,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,69.50M,,,-4.40M,-4.40M,,,80.20M,80.20M,-9.10M,0.00,,14.80M,0.00,-219.30M,148.40M,21.30M,106.70M,,,-29.10M,179.00M,,2020-10,-51.10M,0.00,-51.10M,-1.60M,,,,2020-10,-6.00M,-47.20M,-53.20M,,-0.20M,-0.20M,,,0.00,0.00,0.00,-53.40M,,2020-10,72.90M,-7.20M,1.46B,,2020-10,,-16.30M,-0.20M,,2020-10,AOR,
2020-07,-51.70M,,,3.50M,3.50M,,,78.90M,78.90M,-22.90M,7.20M,,11.80M,0.00,0.50M,-10.50M,6.60M,341.40M,,,26.00M,390.80M,,2020-07,-51.20M,0.00,-51.20M,0.00,,,,2020-07,489.20M,-256.70M,232.50M,,-1.10M,-1.10M,,,0.00,0.00,-12.70M,218.70M,,2020-07,558.30M,35.30M,1.394B,,2020-07,,237.40M,-1.10M,,2020-07,AOR,
2020-04,-1.097B,,,11.20M,11.20M,,,81.10M,81.10M,-127.90M,949.50M,,10.00M,3.10M,187.90M,35.80M,-1.40M,-262.80M,,,67.90M,-142.80M,,2020-04,-56.40M,,-56.40M,169.10M,,,,2020-04,181.90M,272.00M,453.90M,,-114.80M,-114.80M,,,-2.70M,-2.70M,,336.40M,,2020-04,306.30M,-9.00M,800.70M,,2020-04,,458.60M,-114.80M,,2020-04,AOR,
2020-01,-68.50M,,,-2.10M,95.70M,,,87.30M,87.30M,-75.50M,20.60M,,12.90M,142.00M,180.90M,89.10M,0.50M,136.00M,,,-32.50M,588.50M,,2020-01,-112.10M,0.00,-112.10M,-25.20M,,,,2020-01,-61.80M,-336.50M,-398.30M,,-104.90M,-104.90M,,,0.00,0.00,,-502.60M,,2020-01,-51.40M,-0.40M,503.40M,,2020-01,,-324.40M,-104.90M,,2020-01,AOR,
2019-10,208.90M,,,-2.90M,-2.90M,,,81.60M,81.60M,23.20M,1.50M,,14.90M,-0.70M,-192.00M,98.90M,22.10M,-86.90M,,,-54.70M,113.90M,,2019-10,-82.60M,0.00,-82.60M,-2.60M,,,,2019-10,-11.40M,204.50M,193.10M,,-95.50M,-95.50M,,,-2.80M,-2.80M,,94.80M,,2019-10,123.50M,-1.80M,555.20M,,2019-10,,204.50M,-95.50M,,2019-10,AOR,Restated
2019-07,193.10M,,,-0.90M,-0.90M,,,78.40M,78.40M,-10.50M,4.10M,,14.40M,-210.70M,80.70M,-166.40M,-9.00M,285.30M,,,35.00M,391.10M,,2019-07,-73.80M,59.40M,-14.40M,-192.30M,,,,2019-07,-5.10M,-167.00M,-172.10M,,-67.20M,-67.20M,,,-2.80M,-2.80M,,-242.10M,,2019-07,-57.70M,-3.10M,433.50M,,2019-07,,-170.70M,-67.20M,,2019-07,AOR,Restated
2019-04,81.60M,,,-3.70M,1.50M,,,76.50M,76.50M,-10.10M,83.70M,,13.90M,97.60M,-85.70M,99.80M,-28.00M,-286.60M,,,-19.80M,-73.20M,,2019-04,-76.70M,,-76.70M,0.00,,,,2019-04,-7.30M,286.90M,279.60M,,-77.50M,-77.50M,,,-5.70M,-5.70M,,198.30M,,2019-04,48.40M,-6.10M,494.30M,,2019-04,,1.930B,-77.50M,,2019-04,AOR,Restated
2019-01,158.40M,,,-8.10M,6.90M,,,86.80M,86.80M,-115.60M,13.20M,,14.30M,0.00,167.50M,-39.20M,5.60M,235.40M,,,14.10M,547.40M,,2019-01,-109.70M,0.00,-109.70M,0.00,,,,2019-01,-66.40M,-263.90M,-330.30M,,-54.80M,-54.80M,,,0.00,0.00,,-385.00M,,2019-01,52.70M,0.80M,452.00M,,2019-01,,-257.20M,-54.80M,,2019-01,AOR,Restated
2018-10,242.60M,,,-6.10M,-6.10M,,,81.80M,81.80M,9.30M,4.70M,,15.10M,-10.00M,-243.50M,35.40M,18.70M,-128.00M,,,-25.80M,-5.80M,,2018-10,-104.90M,0.00,-104.90M,0.00,,,,2018-10,-1.40M,191.30M,189.90M,,-108.30M,-108.30M,,,-2.80M,-2.80M,,78.70M,,2018-10,-32.00M,-0.60M,398.50M,,2018-10,,191.30M,-108.30M,,2018-10,AOR,Restated
2018-07,164.70M,,,-3.30M,-3.30M,,,83.00M,83.00M,-12.60M,0.00,,15.20M,-1.30M,68.00M,-242.20M,5.60M,319.30M,,,40.20M,436.60M,,2018-07,-88.20M,0.00,-88.20M,0.00,,,,2018-07,-86.40M,-169.10M,-255.50M,,-87.00M,-87.00M,,,-2.90M,-2.90M,,-338.20M,,2018-07,10.20M,-13.60M,431.10M,,2018-07,,-169.10M,-87.00M,,2018-07,AOR,Restated
