,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,1.46B,1.46B,799.20M,19.50M,818.70M,,,,1.484B,136.40M,,69.30M,3.968B,,,,,2.567B,,,2.567B,,2.567B,2.882B,3.463B,6.345B,66.90M,310.50M,9.289B,13.26B,1.134B,1.134B,939.80M,2.074B,,,,44.00M,44.00M,424.10M,468.10M,25.60M,25.60M,,,2.568B,3.464B,1.455B,4.919B,416.60M,416.60M,-3.00M,8.581B,,2020-10,86.20M,3.671B,,-614.30M,4.676B,,2020-10,AOR,
2020-07,1.394B,1.394B,568.80M,27.40M,596.20M,,,,1.642B,158.60M,,55.50M,3.847B,,,,,2.672B,,,2.672B,,2.672B,2.885B,3.484B,6.369B,303.30M,61.60M,9.406B,13.25B,1.048B,1.048B,917.20M,1.965B,,,,85.40M,85.40M,425.70M,511.10M,49.60M,49.60M,,,2.526B,3.498B,1.532B,5.030B,61.60M,61.60M,-2.70M,8.669B,,2020-07,86.20M,3.601B,,-622.60M,4.584B,,2020-07,AOR,
2020-04,800.70M,800.70M,545.60M,21.30M,566.90M,,,,1.561B,160.10M,,99.40M,3.188B,,,,,2.614B,,,2.614B,,2.614B,2.759B,3.385B,6.144B,49.40M,297.60M,9.106B,12.29B,783.90M,783.90M,751.30M,1.535B,,80.30M,241.80M,13.60M,335.70M,399.00M,734.70M,51.70M,51.70M,,,2.322B,2.854B,1.493B,4.347B,433.70M,433.70M,-2.40M,7.781B,,2020-04,86.10M,3.652B,,-733.40M,4.513B,,2020-04,AOR,
2020-01,503.40M,503.40M,741.40M,23.70M,765.10M,,,,1.616B,159.90M,,112.90M,3.394B,209.80M,1.00M,53.20M,1.458B,1.676B,35.50M,849.00M,4.282B,-1.579B,2.703B,3.678B,3.481B,7.158B,40.30M,335.60M,10.24B,13.63B,882.80M,882.80M,929.60M,1.812B,,,,63.40M,63.40M,363.50M,426.90M,64.70M,64.70M,,57.10M,2.361B,2.694B,1.532B,4.226B,558.10M,558.10M,-2.00M,7.820B,,2020-01,85.90M,4.753B,,-640.10M,5.812B,,2020-01,AOR,
2019-10,555.20M,555.20M,972.70M,26.10M,998.80M,,,,1.768B,161.30M,,98.70M,3.582B,,,,,2.643B,,,2.643B,,2.643B,3.738B,3.720B,7.458B,29.20M,307.00M,10.44B,14.02B,780.50M,780.50M,951.30M,1.732B,,,387.50M,41.30M,428.80M,347.30M,776.10M,44.80M,44.80M,,,2.553B,2.738B,1.518B,4.256B,624.10M,624.10M,-0.90M,8.034B,,2019-10,85.90M,4.820B,,-622.60M,5.985B,,2019-10,AOR,Restated
2019-07,433.50M,433.50M,781.00M,27.90M,808.90M,,,,1.862B,183.30M,,110.80M,3.399B,,,,,2.634B,,,2.634B,,2.634B,3.737B,3.724B,7.461B,27.80M,299.30M,10.42B,13.82B,930.20M,930.20M,859.00M,1.789B,,,183.20M,41.20M,224.40M,345.20M,569.60M,68.90M,68.90M,,,2.428B,2.743B,1.536B,4.278B,599.10M,599.10M,-0.60M,7.949B,,2019-07,85.90M,4.614B,,-611.40M,5.872B,,2019-07,AOR,Restated
2019-04,494.30M,494.30M,851.60M,24.40M,876.00M,,,,1.608B,173.40M,,101.30M,3.253B,,,,,2.568B,,,2.568B,,2.568B,3.626B,3.524B,7.150B,27.60M,356.00M,10.10B,13.36B,696.20M,696.20M,789.50M,1.486B,,,,330.70M,330.70M,334.30M,665.00M,55.90M,55.90M,,,2.207B,2.759B,1.499B,4.259B,543.00M,543.00M,-0.20M,7.594B,,2019-04,85.80M,4.423B,,-583.70M,5.762B,,2019-04,AOR,Restated
2019-01,452.00M,452.00M,777.80M,26.00M,803.80M,,,,1.732B,168.70M,,81.70M,3.239B,230.90M,1.00M,54.80M,1.238B,,83.90M,790.30M,2.398B,-1.414B,984.50M,3.670B,3.569B,7.240B,40.50M,360.40M,8.625B,11.86B,924.20M,924.20M,891.60M,1.816B,,,,12.80M,12.80M,0.00,12.80M,65.30M,65.30M,,,1.894B,2.819B,0.00,2.819B,565.20M,565.20M,0.20M,6.036B,,2019-01,85.40M,4.350B,,-507.90M,5.828B,,2019-01,AOR,Restated
2018-10,398.50M,398.50M,937.00M,28.60M,965.60M,,,,1.687B,173.40M,,83.40M,3.308B,,,,,923.70M,,,923.70M,,923.70M,3.655B,3.575B,7.230B,15.30M,353.90M,8.523B,11.83B,752.50M,752.50M,830.10M,1.583B,,,,,276.70M,,276.70M,39.30M,39.30M,,,1.899B,2.878B,,2.878B,655.30M,655.30M,0.50M,6.150B,,2018-10,85.40M,4.191B,,-534.30M,5.681B,,2018-10,AOR,Restated
2018-07,431.10M,431.10M,710.40M,21.20M,731.60M,,,,1.731B,193.00M,,79.30M,3.166B,,,,,881.30M,,,881.30M,,881.30M,3.679B,3.606B,7.285B,12.90M,352.90M,8.532B,11.70B,922.60M,922.60M,766.70M,1.689B,,,,,85.40M,,85.40M,61.00M,61.00M,,,1.836B,2.894B,,2.894B,649.30M,649.30M,1.00M,6.132B,,2018-07,85.40M,3.951B,,-504.70M,5.565B,,2018-07,AOR,Restated
2018-04,434.50M,434.50M,787.60M,24.70M,812.30M,,,,1.525B,201.60M,,68.30M,3.042B,,,,,873.50M,,,873.50M,,873.50M,3.762B,3.672B,7.435B,16.10M,348.50M,8.673B,11.71B,670.50M,670.50M,754.30M,1.425B,,,,,254.50M,,254.50M,47.80M,47.80M,,,1.727B,3.013B,,3.013B,661.90M,661.90M,1.50M,6.15B,,2018-04,85.30M,3.789B,,-406.60M,5.565B,,2018-04,AOR,Restated
