,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,216.98M,,216.98M,18.16M,18.16M,30.81M,96.56M,,362.50M,,,,,,,,,,202.61M,,400.25M,18.84B,19.20B,,,,,,,,0.00,,0.00,0.00,,0.00,7.564B,,7.564B,,,2.677M,879.96M,8.447B,8.447B,,,,,,,10.75B,,AOR,
2020-09,,87.53M,,87.53M,,,238.82M,94.87M,,421.22M,,,,,157.62M,,157.62M,,157.62M,194.32M,73.75M,,18.72B,19.14B,,88.04M,225.02M,313.06M,354.52M,667.59M,,0.00,,0.00,0.00,,667.59M,7.564B,182.86M,7.747B,,0.598M,2.593M,57.68M,7.807B,8.474B,,1.398M,29.70M,10.68B,,-42.62M,10.67B,,AOR,
2020-06,,322.82M,,322.82M,,,217.83M,92.88M,,633.52M,,,,,159.90M,,159.90M,,159.90M,176.35M,81.40M,,18.72B,19.35B,,80.59M,226.13M,306.71M,296.96M,603.68M,,0.00,,0.00,0.00,,603.68M,7.630B,183.51M,7.814B,,0.615M,2.754M,60.54M,7.877B,8.481B,,1.407M,172.30M,10.74B,,-46.32M,10.87B,,AOR,
2020-03,,778.00M,,778.00M,,,203.64M,90.43M,,1.072B,,,,,162.34M,,162.34M,,162.34M,173.73M,74.55M,,18.82B,19.89B,,92.60M,225.71M,318.31M,319.22M,637.54M,,750.00M,,750.00M,750.00M,0.36M,1.388B,7.341B,185.02M,7.526B,,0.614M,2.70M,61.72M,7.591B,8.979B,,1.407M,225.66M,10.73B,,-47.16M,10.91B,,AOR,
2019-12,,39.69M,,39.69M,,,199.20M,87.93M,,326.81M,,,,,124.96M,,124.96M,,124.96M,165.81M,70.49M,,18.79B,19.12B,,92.14M,215.41M,307.55M,321.17M,628.72M,,0.00,,0.00,0.00,0.375M,629.09M,7.296B,140.47M,7.437B,,0.649M,3.252M,61.75M,7.502B,8.131B,,1.406M,282.91M,10.74B,,-31.50M,10.99B,,AOR,
2019-09,,246.42M,,246.42M,,,203.44M,88.33M,,538.19M,,,,,121.22M,,121.22M,,121.22M,207.20M,74.39M,,18.52B,19.06B,,93.59M,213.65M,307.24M,374.85M,682.09M,,0.00,,0.00,0.00,,682.09M,7.361B,136.70M,7.498B,,0.648M,3.355M,61.96M,7.563B,8.245B,,1.397M,329.32M,10.53B,,-45.08M,10.81B,,AOR,Restated
2019-06,,243.58M,,243.58M,,,201.97M,86.47M,,532.01M,,,,,122.38M,,122.38M,,122.38M,208.52M,60.22M,,18.40B,18.93B,,104.54M,213.40M,317.95M,306.66M,624.60M,,0.00,,0.00,0.00,0.541M,625.14M,7.352B,138.16M,7.490B,,0.53M,3.338M,63.18M,7.557B,8.182B,,1.397M,262.55M,10.52B,,-33.18M,10.75B,,AOR,Restated
2019-03,,63.00M,,63.00M,,,176.26M,132.21M,,371.46M,,,,,124.37M,,124.37M,,124.37M,212.64M,55.42M,,18.27B,18.64B,,102.43M,212.75M,315.18M,345.41M,660.59M,,0.00,,0.00,0.00,1.034M,661.62M,7.040B,140.44M,7.181B,,,3.396M,60.46M,7.244B,7.906B,,1.394M,306.86M,10.46B,,-31.91M,10.73B,,AOR,Restated
2018-12,,91.66M,,91.66M,,,166.53M,126.20M,,384.40M,,,,,,,0.00,,0.00,217.43M,47.44M,,18.00B,18.38B,,96.98M,204.19M,301.17M,344.35M,645.52M,,0.00,,0.00,0.00,0.15M,645.67M,7.040B,0.00,7.040B,,0.00,3.244M,58.42M,7.102B,7.748B,,1.385M,350.78M,10.31B,,-26.14M,10.63B,,AOR,Restated
2018-09,,55.89M,,55.89M,,,230.88M,225.70M,,512.47M,,,,,,,,,,173.56M,45.87M,,18.15B,18.66B,,92.32M,203.62M,295.95M,367.37M,663.32M,,56.00M,,56.00M,56.00M,1.037M,720.36M,7.477B,,7.477B,,,6.077M,61.06M,7.544B,8.265B,,1.382M,167.95M,10.25B,,-21.24M,10.40B,,AOR,Restated
