,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2009-06,16.72M,,0.00,,-0.007M,-0.007M,53.74M,,53.74M,53.74M,2.645M,20.30M,,0.00,,-5.843M,9.29M,-0.609M,,2.669M,5.507M,98.91M,,-166.17M,0.00,-165.22M,,19.80M,,-146.38M,,374.87M,,374.87M,1.079M,,1.079M,,,,,-71.10M,-131.93M,172.92M,,90.34M,125.45M,215.79M,,1.079M,506.14M,-131.27M,,23.68M,,AOR,Restated
2009-03,47.10M,,0.00,,-4.281M,-4.281M,52.64M,,52.64M,52.64M,4.591M,,,-1.062M,,,-5.333M,-0.166M,,-2.669M,-8.168M,90.82M,,-156.59M,0.00,-155.46M,,26.91M,,-129.68M,,132.32M,,132.32M,0.035M,,0.035M,,,,,-68.87M,,63.49M,,65.71M,24.63M,90.34M,,0.035M,235.00M,-102.68M,,33.72M,,AOR,Restated
2008-12,1.866M,,-27.05M,,0.034M,-27.02M,50.96M,,50.96M,50.96M,2.314M,57.90M,,-7.877M,,,15.94M,9.561M,,,25.50M,119.10M,,-264.25M,39.30M,-213.98M,,126.61M,23.60M,-74.74M,,451.67M,,451.67M,0.60M,0.00,0.60M,,,,,-69.47M,-341.25M,-58.44M,,79.02M,-14.08M,64.94M,,0.60M,364.25M,87.42M,-100.00M,,,AOR,Restated
2008-09,232.89M,,-183.71M,,-0.224M,-183.94M,50.36M,,50.36M,50.36M,5.88M,0.00,,5.88M,,,10.58M,3.965M,8.12M,,22.67M,127.86M,,-226.18M,341.82M,121.55M,,-89.40M,-15.05M,11.19M,,-335.12M,,-335.12M,3.363M,0.00,3.363M,,,,,-70.89M,335.29M,-67.36M,,7.347M,71.68M,79.02M,,3.363M,-192.50M,-142.62M,0.00,,,AOR,Restated
2008-06,127.44M,,-74.14M,,-3.503M,-77.64M,49.35M,,49.35M,49.35M,5.489M,0.00,,5.489M,,,12.26M,10.77M,-8.12M,,14.91M,119.55M,,-225.57M,148.66M,-75.02M,,33.01M,-1.90M,-45.81M,,-261.59M,,-261.59M,2.013M,0.00,2.013M,,,,,-70.96M,-5.294M,-335.83M,,270.32M,-262.09M,7.347M,,2.013M,306.60M,-568.19M,0.00,,,AOR,Restated
2008-03,48.56M,,,,0.257M,0.257M,48.79M,,48.79M,48.79M,4.097M,,,4.097M,,,-55.21M,-26.92M,,,-82.12M,19.58M,,-213.34M,,-211.30M,,56.39M,,-156.94M,,495.09M,,495.09M,1.457M,-42.16M,-40.70M,,,,,-67.87M,,386.52M,,21.17M,249.15M,270.32M,,1.457M,548.70M,-53.61M,-42.16M,,,AOR,Restated
2007-12,131.82M,,-28.23M,,-59.23M,-85.86M,47.18M,,47.18M,47.18M,7.833M,,,2.193M,,,51.81M,6.265M,,,58.07M,161.23M,,-282.85M,129.82M,-146.60M,,43.89M,-12.49M,-121.62M,,159.03M,,159.03M,1.79M,-143.10M,-141.31M,,,,,-70.89M,-5.217M,-58.38M,,39.04M,-18.77M,20.27M,,1.79M,269.50M,-110.47M,-143.10M,,,AOR,Restated
2007-09,128.77M,,-78.26M,,1.107M,-77.03M,46.08M,-7.354M,38.73M,38.73M,11.45M,,,3.81M,-6.223M,-4.381M,2.171M,-4.921M,,,-13.35M,92.38M,,-281.28M,122.95M,-151.98M,,-21.68M,44.84M,-135.17M,,130.28M,,130.28M,2.14M,-114.83M,-112.69M,,,,,-70.51M,-2.949M,-55.87M,,137.77M,-98.67M,39.04M,,2.14M,287.20M,-156.92M,-114.83M,,,AOR,Restated
2007-06,51.05M,,-0.545M,,,-0.545M,44.37M,7.354M,51.73M,51.73M,,,,-9.641M,-5.246M,4.381M,10.35M,,,,9.487M,102.08M,,-285.57M,3.186M,-279.89M,,14.81M,0.388M,-267.18M,,15.25M,,15.25M,4.355M,0.00,4.355M,,,,,-69.30M,-3.637M,-53.33M,,356.44M,-218.44M,137.77M,,4.355M,16.93M,-1.678M,0.00,,,AOR,Restated
2007-03,46.52M,,,,,,44.09M,,44.09M,44.09M,,,,7.067M,11.47M,,-9.962M,,,,1.507M,99.19M,,-292.00M,5.129M,-286.88M,,1.998M,-0.388M,-285.27M,,-18.19M,,-18.19M,612.74M,0.00,612.74M,,,,,-60.34M,-0.265M,533.95M,,8.567M,347.87M,356.44M,,612.74M,0.00,-18.19M,0.00,,,AOR,Restated
2006-12,46.31M,,,,,,41.69M,-8.208M,33.48M,33.48M,,,,99.35M,2.983M,,26.46M,2.983M,-1.724M,-5.225M,25.47M,102.07M,,148.75M,31.56M,-295.45M,-240.66M,-5.371M,-227.56M,-293.29M,,358.84M,,358.84M,3.788M,0.00,3.788M,,,,,-60.77M,-289.25M,12.61M,,186.88M,-178.61M,8.284M,,3.788M,348.49M,10.35M,0.00,,,AOR,Restated
2006-09,42.11M,,,,,,40.67M,1.94M,42.61M,42.61M,,,,9.303M,-0.858M,,-27.33M,-0.858M,-27.33M,26.92M,-29.44M,64.58M,,-356.51M,3.395M,-171.36M,240.66M,8.885M,-62.49M,-166.05M,,52.20M,,52.20M,7.112M,0.00,7.112M,,,,,-60.14M,276.81M,275.98M,,12.78M,174.50M,186.88M,,7.112M,0.894M,51.30M,0.00,,,AOR,Restated
2006-06,67.01M,,,,,,41.55M,1.112M,42.66M,42.66M,,,,-35.89M,-5.793M,,37.91M,-5.793M,37.91M,-26.92M,37.32M,111.09M,,-505.63M,57.59M,-133.88M,,-8.885M,319.76M,-137.16M,,40.12M,,40.12M,3.151M,,3.151M,,,,,-60.09M,-0.208M,-17.03M,,55.90M,-43.09M,12.78M,,3.151M,36.26M,3.863M,,,,AOR,Restated
2006-03,111.11M,,,,,,40.22M,5.156M,45.38M,45.38M,,,,-72.19M,3.668M,,-8.864M,3.668M,-8.864M,,-10.39M,73.91M,,-118.95M,179.68M,62.83M,,,24.40M,85.13M,,-67.20M,,-67.20M,12.50M,,12.50M,,,,,-54.45M,-0.132M,-109.28M,,6.138M,49.76M,55.90M,,12.50M,5.15M,-72.35M,,,,AOR,Restated
2005-12,84.82M,,,,,,42.79M,-6.309M,36.48M,36.48M,,,,136.84M,10.55M,,16.29M,10.55M,-8.194M,,33.40M,93.85M,,-138.84M,,335.39M,57.42M,,-374.13M,0.647M,,-29.77M,,-29.77M,5.399M,,5.399M,,,,,-55.66M,-11.10M,-91.13M,,2.268M,3.366M,5.715M,,5.399M,4.626M,-34.39M,,,,AOR,Restated
2005-09,99.13M,,,,,,120.51M,1.806M,122.31M,122.31M,,,,-147.56M,-6.673M,,3.544M,-6.673M,3.544M,,-6.258M,67.63M,,178.12M,,-61.50M,0.00,,-161.83M,16.29M,,3.292M,,3.292M,9.961M,,9.961M,,,,,-54.18M,-43.52M,-84.44M,,2.877M,-0.523M,2.268M,,9.961M,5.047M,-1.755M,,,,AOR,Restated
2005-06,56.91M,,,,,,,1.92M,1.92M,1.92M,,,,10.55M,-0.762M,,4.544M,-0.762M,4.544M,,7.564M,76.94M,,-224.26M,,-108.23M,-57.42M,,217.64M,-64.02M,,5.805M,,5.805M,14.92M,,14.92M,,,,,-53.90M,19.67M,-13.51M,,3.497M,-0.594M,2.877M,,14.92M,8.612M,-2.807M,,,,AOR,Restated
2005-03,69.61M,,,,,,,2.583M,2.583M,2.583M,,,,1.654M,-3.116M,,0.106M,-3.116M,0.106M,,-6.02M,67.83M,,-274.41M,,-136.65M,,,301.74M,27.32M,,-80.19M,,-80.19M,6.333M,,6.333M,,,,,-52.95M,33.61M,-93.21M,,1.552M,1.945M,3.497M,,6.333M,7.984M,-88.18M,,,,AOR,Restated
2004-12,114.07M,,,,,,40.35M,1.267M,41.61M,41.61M,,,,-96.54M,-12.29M,,22.74M,-12.29M,22.74M,,20.91M,80.05M,,-347.69M,,47.05M,-74.39M,-88.91M,272.23M,-19.12M,,-28.70M,,-28.70M,16.26M,,16.26M,,,,,-52.63M,-27.74M,-92.82M,,33.58M,-31.89M,1.582M,,16.26M,-26.72M,-1.983M,,,,AOR,
2004-09,45.36M,,,,,,42.45M,1.341M,43.79M,43.79M,,,,-31.39M,1.763M,,-0.787M,1.763M,-0.787M,,1.952M,59.72M,,-232.04M,,-113.59M,-53.85M,48.00M,167.75M,-70.14M,,86.01M,,86.01M,9.176M,,9.176M,,,,,-52.43M,-1.257M,41.50M,,2.501M,31.08M,33.58M,,9.176M,87.86M,-1.853M,,,,AOR,Restated
2004-06,35.03M,,,,,,40.17M,1.262M,41.44M,41.44M,,,,8.722M,,,,,,,,85.19M,,-296.51M,,-146.09M,,40.91M,148.18M,-107.42M,,19.64M,,19.64M,15.64M,,15.64M,,,,,-52.20M,41.30M,24.38M,,0.346M,2.155M,2.501M,,15.64M,-74.40M,94.04M,,,,AOR,Restated
2004-03,25.28M,,,,,,39.70M,1.062M,40.76M,40.76M,,,,-15.32M,,,,,,,,50.72M,,-105.95M,,-51.90M,,0.00,50.94M,-55.01M,,55.21M,,55.21M,12.96M,,12.96M,,,,,-51.83M,-18.86M,-2.529M,,7.165M,-6.819M,0.346M,,12.96M,195.00M,-139.79M,,,,AOR,Restated
2003-12,100.28M,,,,,,39.34M,1.151M,40.49M,40.49M,,,,-87.03M,6.111M,,4.654M,6.111M,4.654M,,21.53M,75.28M,,-162.65M,150.59M,71.30M,,-252.53M,339.31M,74.72M,,20.71M,,20.71M,3.473M,0.00,3.473M,0.00,0.00,0.00,,-51.66M,-122.08M,-149.56M,,6.771M,0.43M,7.196M,,3.473M,22.13M,-1.421M,0.00,,,AOR,
2003-09,57.39M,,,,,,38.00M,1.249M,39.24M,39.24M,,,,-17.00M,-13.14M,,-9.25M,-13.14M,-9.25M,,-44.77M,34.86M,,-165.50M,49.68M,-31.89M,,252.53M,-157.61M,-20.90M,,-1.303M,,-1.303M,132.84M,0.00,132.84M,0.00,0.00,0.00,,-49.46M,-110.71M,-28.64M,,21.47M,-14.68M,6.771M,,132.84M,0.00,-1.303M,0.00,,,AOR,Restated
2003-06,76.47M,,,,,,38.19M,0.926M,39.11M,39.11M,,,,-40.93M,,,,,,,,74.65M,,-215.37M,156.42M,50.63M,,,84.24M,25.29M,,69.08M,,69.08M,4.775M,0.00,4.775M,0.00,-82.03M,-82.03M,,-49.69M,-68.46M,-126.32M,,47.85M,-26.38M,21.47M,,4.775M,21.42M,47.65M,-82.03M,,,AOR,Restated
2003-03,37.39M,,,,,,38.28M,0.858M,39.13M,39.13M,,,,-21.49M,,,,,,,,55.03M,,-183.39M,46.42M,-44.44M,,,91.79M,-45.17M,,-33.58M,,-33.58M,5.846M,-39.88M,-34.03M,81.74M,-81.69M,0.044M,,-51.61M,144.24M,25.06M,,12.93M,34.92M,47.85M,,87.58M,17.40M,-50.99M,-121.57M,,,AOR,Restated
2002-12,66.84M,,,,,,152.49M,,40.50M,40.50M,,,,-61.58M,10.42M,,10.68M,10.42M,10.68M,,42.20M,87.96M,,-429.69M,,-429.69M,0.00,,430.06M,0.375M,,21.32M,,21.32M,2.807M,22.28M,25.09M,-0.051M,,-0.051M,,-52.37M,-72.24M,-78.26M,,3.285M,10.07M,13.36M,,2.756M,20.60M,0.71M,22.28M,,,AOR,Restated
2002-09,28.71M,,,,,,-68.98M,-2.322M,40.69M,40.69M,-1.952M,,,0.22M,8.485M,,-8.596M,8.485M,-8.596M,,-0.222M,67.44M,,209.32M,,97.09M,263.61M,-0.232M,-575.54M,-102.84M,,358.12M,,358.12M,0.303M,-72.04M,-71.74M,14.44M,,14.44M,,-52.76M,-218.89M,29.18M,,9.492M,-6.211M,3.285M,,14.75M,143.30M,214.82M,-72.04M,,,AOR,
2002-06,37.35M,,,,,,35.04M,1.332M,36.38M,36.38M,0.984M,,,-15.08M,-3.041M,,18.09M,-3.041M,18.09M,,30.10M,89.72M,,-95.26M,0.00,16.97M,-369.91M,0.232M,208.38M,-256.56M,,-1.098M,,-1.098M,14.10M,,14.10M,,0.00,0.00,,-53.32M,213.52M,173.20M,,3.139M,6.353M,9.492M,,14.10M,215.41M,-216.50M,0.00,,,AOR,
2002-03,40.72M,,,,,,33.93M,0.99M,34.92M,34.92M,0.968M,,,15.40M,2.679M,,-17.19M,2.679M,-17.19M,,-29.02M,62.99M,,-123.27M,0.00,-123.27M,,,41.96M,-81.31M,,-23.84M,,-23.84M,5.091M,,5.091M,,,,,-49.01M,16.23M,-51.53M,,72.99M,-69.85M,3.139M,,5.091M,,-23.84M,,,,AOR,
2001-12,62.21M,,,,,,,,37.11M,37.11M,,,,-16.81M,-10.41M,,9.065M,-10.41M,9.065M,,-2.694M,79.82M,,-357.41M,,-357.41M,-101.00M,,406.48M,-51.92M,,3.306M,,3.306M,5.102M,111.47M,116.57M,,,,,-50.82M,-225.28M,-156.22M,,201.39M,-128.32M,72.99M,,5.102M,4.096M,-0.79M,111.47M,,,AOR,Restated
2001-09,86.67M,,,,,,-63.29M,-1.262M,35.74M,35.74M,-1.758M,,,-27.84M,8.555M,,-20.39M,8.555M,-20.39M,,-23.67M,69.13M,,207.97M,-22.68M,185.29M,-28.30M,,-198.25M,-41.26M,,374.06M,,374.06M,-86.90M,0.00,-86.90M,,111.47M,111.47M,,-50.90M,-188.45M,159.28M,,14.17M,187.14M,201.39M,,-86.90M,191.41M,182.65M,111.47M,,,AOR,
2001-06,48.52M,,,,,,32.16M,0.828M,32.99M,32.99M,0.998M,,,-24.64M,-2.902M,,27.77M,-2.902M,27.77M,,49.73M,107.59M,,-115.82M,0.00,-115.82M,,,5.369M,-110.46M,,-15.42M,,-15.42M,123.67M,-111.47M,12.20M,,-111.47M,-111.47M,,-53.51M,127.58M,-40.62M,,57.65M,-43.48M,14.17M,,123.67M,128.44M,-143.86M,-222.94M,,,AOR,
2001-03,51.60M,,,,,,31.13M,0.434M,31.56M,31.56M,0.76M,,,10.58M,-3.705M,,-11.52M,-3.705M,-11.52M,,-30.44M,64.07M,,-101.92M,22.68M,-79.24M,,,12.48M,-66.76M,,-9.104M,,-9.104M,9.037M,,9.037M,,,,,-47.99M,51.17M,3.115M,,57.23M,0.417M,57.65M,,9.037M,51.17M,-60.27M,,,,AOR,
2000-12,54.28M,,,,,,122.61M,3.417M,30.24M,30.24M,,,,-30.19M,8.063M,,9.407M,8.063M,9.407M,,34.94M,92.20M,,-131.32M,156.09M,24.76M,,,182.75M,-44.89M,,214.66M,,36.06M,10.69M,,10.69M,,,,,-47.32M,0.136M,-0.432M,,10.36M,46.87M,57.23M,,10.69M,200.00M,14.66M,,,,AOR,Restated
2000-09,58.49M,,,,,,,,31.89M,31.89M,,,,-18.51M,-6.016M,,10.49M,-6.016M,10.49M,,8.948M,80.83M,,-116.07M,,-116.07M,,,55.48M,-60.58M,,10.71M,,10.71M,9.276M,,9.276M,,,,,-47.16M,15.62M,-11.55M,,1.672M,8.69M,10.36M,,9.276M,58.00M,-47.29M,,,,AOR,
2000-06,50.66M,,,,,,-29.42M,-1.248M,33.23M,33.23M,,,,1.489M,-12.82M,,1.703M,-12.82M,1.703M,,-22.24M,63.13M,,-115.55M,-29.32M,-144.87M,,,42.61M,-102.26M,,85.95M,,85.95M,12.26M,,12.26M,,,,,-46.47M,-19.01M,32.73M,,8.076M,-6.404M,1.672M,,12.26M,92.00M,-6.053M,,,,AOR,
2000-03,47.17M,,,,,,29.42M,1.248M,30.67M,30.67M,,,,1.318M,-3.518M,,-5.907M,-3.518M,-5.907M,,-18.85M,60.31M,,-72.39M,29.32M,-43.07M,,,-1.729M,-44.80M,,-0.877M,,-0.877M,3.974M,,3.974M,,,,,-44.55M,26.40M,-15.06M,,7.621M,0.455M,8.076M,,3.974M,0.00,-0.877M,,,,AOR,
1999-12,74.28M,,,,,,,,29.82M,29.82M,,,,-20.29M,0.825M,,6.953M,0.825M,6.953M,,15.56M,99.37M,,-130.16M,,125.46M,,,-148.28M,-22.82M,,78.01M,-150.40M,-72.39M,17.78M,,17.78M,,,,,-43.83M,20.53M,-77.92M,,9.00M,-1.369M,7.621M,,17.78M,-342.80M,420.81M,,,,AOR,Restated
1999-09,20.20M,,,,,,,,29.30M,29.30M,,,,2.704M,-3.802M,,-3.90M,-3.802M,-3.90M,,-15.40M,36.80M,,-121.00M,,-121.00M,,,34.80M,-86.20M,,203.60M,,203.60M,10.80M,,10.80M,,,,,-42.50M,-128.10M,43.80M,,14.60M,-5.60M,9.00M,,10.80M,617.80M,-414.20M,,,,,
1999-06,62.90M,,,,,,,,26.90M,26.90M,,,,-28.20M,3.802M,,-3.20M,3.802M,-3.20M,,1.204M,62.80M,,-137.50M,,-137.50M,,,104.50M,-33.00M,,-138.40M,6.00M,-132.40M,17.30M,,17.30M,,,,,-42.70M,123.90M,-33.90M,,18.60M,-4.10M,14.60M,,17.30M,-125.00M,-13.40M,,,,,
1999-03,14.90M,,,,,,,,27.70M,27.70M,,,,-7.30M,-3.60M,,11.50M,-3.60M,11.50M,,15.80M,51.10M,,-127.60M,,-127.60M,,,5.00M,-122.60M,,124.20M,-6.00M,118.20M,7.40M,,7.40M,,,,,-43.30M,-1.00M,81.30M,,8.90M,9.80M,18.60M,,7.40M,125.00M,-0.80M,,,,,
1998-12,61.08M,,,,,,,,31.93M,31.93M,,,,-21.43M,-13.60M,,13.60M,-13.60M,13.60M,,0.00,71.58M,,-180.80M,,-62.78M,,,-65.21M,-127.98M,,-49.43M,,26.27M,77.87M,,77.87M,,,,,-58.46M,6.595M,52.28M,,9.50M,-4.132M,8.89M,,77.87M,-595.90M,546.47M,,,,AOR,Restated
1998-09,31.50M,,,,,,,,24.20M,24.20M,,,,5.80M,-5.70M,,-0.70M,-5.70M,-0.70M,,-12.80M,48.70M,,-244.30M,,-244.30M,,,27.80M,-216.50M,,202.80M,,202.80M,4.10M,,4.10M,,,,,-40.20M,-4.60M,162.10M,,15.10M,-5.70M,9.50M,,4.10M,514.80M,-312.00M,,,,,
1998-06,18.20M,,,,,,,,14.60M,14.60M,,,,-16.00M,14.10M,,1.50M,14.10M,1.50M,,31.20M,48.00M,,-165.50M,,-165.50M,,,13.30M,-152.20M,,82.50M,,82.50M,51.90M,,51.90M,,,,,-16.10M,-1.80M,116.50M,,,12.00M,15.10M,,51.90M,174.40M,-91.90M,,,,,
1998-03,13.00M,,,,,,,,9.90M,9.90M,,,,-2.10M,-7.00M,,9.20M,-7.00M,9.20M,,4.40M,25.20M,,-122.60M,,-122.60M,,,1.60M,-121.00M,,107.30M,,107.30M,3.30M,,3.30M,,,,,-14.90M,-0.20M,95.50M,,3.20M,,,,3.30M,256.70M,-149.40M,,,,,
1997-12,39.20M,,,,,,,,12.00M,12.00M,,,,-9.50M,12.10M,,-3.70M,12.10M,-3.70M,,16.80M,58.50M,,-169.90M,,-169.90M,,,,-119.90M,,59.40M,,130.90M,-30.50M,,-30.50M,,,,,-45.90M,-3.50M,51.00M,,,,6.70M,,-30.50M,-201.40M,260.80M,,,,AOR,
1997-09,10.60M,,,,,,,,7.00M,7.00M,,,,11.40M,-15.70M,,4.60M,-15.70M,4.60M,,-22.20M,6.80M,,-137.70M,,-137.70M,,,,-137.70M,,45.80M,,45.80M,98.50M,,98.50M,,,,,-11.40M,-0.10M,132.80M,,,,,,98.50M,171.80M,-126.00M,,,,,
1997-06,8.50M,,,,,,,,6.40M,6.40M,,,,-5.60M,0.80M,,4.80M,0.80M,4.80M,,11.20M,20.50M,,-124.90M,,-124.90M,,,,-124.90M,,0.40M,,0.40M,114.50M,,114.50M,,,,,-9.60M,-0.10M,105.20M,,,,,,114.50M,115.00M,-114.60M,,,,,
1997-03,7.80M,,,,,,,,5.70M,5.70M,,,,5.70M,-3.80M,,-1.90M,-3.80M,-1.90M,,-11.40M,7.80M,,-38.90M,,-38.90M,,,,-38.90M,,-9.00M,,-9.00M,49.40M,,49.40M,,,,,-8.90M,-0.20M,31.30M,,0.90M,,,,49.40M,36.50M,-45.50M,,,,,
1996-12,7.037M,,,,,,,,5.389M,5.389M,,,,3.801M,-0.60M,,-3.004M,-0.60M,-0.80M,,-5.004M,11.22M,,-91.02M,,54.35M,,,,-18.60M,,-2.48M,,16.02M,0.251M,,0.251M,,,,,-8.752M,-0.10M,7.419M,,,,0.92M,,0.251M,17.22M,-1.201M,,,,AOR,
1996-09,5.80M,,,,,,,,5.10M,5.10M,,,,-1.20M,-1.90M,,3.30M,-1.90M,3.30M,,2.80M,12.50M,,-94.20M,,-94.20M,,,,-94.20M,,-45.70M,,-45.70M,134.20M,,134.20M,,,,,-6.30M,-0.10M,82.10M,,,,,,134.20M,58.10M,-103.80M,,,,,
1996-06,4.10M,,,,,,,,4.20M,4.20M,,,,-2.50M,1.70M,,0.80M,1.70M,0.80M,,5.00M,10.80M,,-97.20M,,-97.20M,,,,-97.20M,,41.60M,,41.60M,49.60M,,49.60M,,,,,-5.60M,,85.60M,,,,,,49.60M,90.10M,-48.50M,,,,,
1996-03,3.20M,,,,,,,,4.00M,4.00M,,,,1.50M,-1.80M,,0.30M,-1.80M,0.30M,,-3.00M,5.70M,,-7.00M,,-7.00M,,,,-7.00M,,6.10M,,6.10M,0.20M,,0.20M,,,,,-5.40M,,0.90M,,1.70M,,,,0.20M,8.80M,-2.70M,,,,,
1995-12,3.10M,,,,,,,,3.80M,3.80M,,,,-5.30M,5.40M,,-1.10M,5.40M,-1.10M,,8.60M,10.20M,,-90.70M,,-90.70M,,0.00,26.30M,-64.40M,,14.30M,,14.30M,,,,,,,,-4.50M,,53.70M,,,,,,,158.70M,-144.40M,,,,,
1995-09,2.10M,,,,,,,,3.30M,3.30M,,,,-1.90M,-1.00M,,3.00M,-1.00M,3.00M,,4.00M,7.50M,,-0.50M,,-0.50M,,0.00,-8.60M,-9.10M,,7.00M,,7.00M,,,,,,,,-4.50M,,2.50M,,,,,,,9.10M,-2.10M,,,,,
1995-06,4.40M,,,,,,,,3.30M,3.30M,,,,3.00M,-2.80M,,-1.70M,-2.80M,-1.70M,,-9.00M,1.70M,,-13.40M,,-13.40M,,17.50M,4.20M,8.30M,,-6.10M,,-6.10M,,,,,,,,-4.40M,,-10.50M,,,,,,,18.90M,-25.00M,,,,,
1995-03,1.90M,,,,,,,,3.30M,3.30M,,,,2.00M,-1.00M,,-1.00M,-1.00M,-1.00M,,-4.00M,3.20M,,-0.10M,,-0.10M,,,-21.90M,-22.00M,,20.30M,,20.30M,,,,,,,,-4.40M,,15.90M,,4.70M,,,,,25.60M,-5.30M,,,,,
1994-12,2.40M,,,,,,,,2.70M,2.70M,,,,2.10M,-1.60M,,-0.40M,-1.60M,-0.40M,,-4.00M,3.20M,,33.10M,,33.10M,,,-39.00M,-5.90M,,2.20M,,2.20M,0.00,,0.00,,,,,-4.40M,-2.00M,-4.20M,,,,,,0.00,6.50M,-4.30M,,,,,
1994-09,2.30M,,,,,,,,2.80M,2.80M,,,,-3.90M,0.50M,,3.40M,0.50M,3.40M,,7.80M,9.00M,,-43.00M,,-43.00M,,,19.40M,-23.60M,,18.00M,,18.00M,0.00,,0.00,,,,,-5.10M,0.00,12.90M,,,,,,0.00,20.00M,-2.00M,,,,,
1994-06,2.40M,,,,,,,,2.50M,2.50M,,,,-0.10M,-0.40M,,0.50M,-0.40M,0.50M,,0.20M,5.00M,,-31.60M,,-31.60M,,,-15.30M,-46.90M,,34.50M,,34.50M,0.00,,0.00,,,,,,0.10M,34.60M,,,,,,0.00,38.10M,-3.60M,,,,,
1994-03,0.40M,,,,,,,,0.40M,0.40M,,,,3.80M,0.20M,,-4.10M,0.20M,-4.10M,,-7.80M,-3.20M,,-81.40M,,-81.40M,,,-31.60M,-113.00M,,-66.30M,,-66.30M,200.00M,,200.00M,,,,,,1.80M,135.50M,,1.30M,,,,200.00M,14.50M,-80.80M,,,,,
