,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,555.80M,555.80M,213.14M,342.66M,13.46M,13.46M,177.82M,239.50M,,51.59M,-51.59M,,191.29M,151.38M,51.59M,-51.59M,239.15M,-51.59M,338.94M,-2.178M,341.11M,,,0.014M,,341.13M,166.30M,568.35M,177.82M,390.52M,,2.44,,,,1.188,2.44,,2.44,,,,1.188,2.44,,139.60M,139.63M,1.59,,AOR,
2020-09,567.40M,567.40M,212.84M,354.56M,13.98M,13.98M,175.35M,30.63M,,53.25M,-53.25M,,189.33M,165.23M,53.25M,-53.25M,35.71M,-53.25M,147.69M,-0.027M,147.72M,,,-0.014M,,147.70M,125.34M,376.29M,175.35M,200.94M,,1.05,,,,0.8906,1.05,,1.05,,,,0.8910,1.05,,140.27M,140.60M,1.59,,AOR,
2020-06,576.40M,576.40M,198.10M,378.30M,15.57M,15.57M,176.25M,36.14M,,53.40M,-53.40M,,191.82M,186.48M,53.40M,-53.40M,36.66M,-53.40M,169.74M,-1.133M,170.87M,,,-0.041M,,170.83M,144.44M,399.38M,176.25M,223.14M,,1.21,,,,1.022,1.21,,1.21,,,,1.023,1.21,,140.45M,140.74M,1.59,,AOR,
2020-03,601.65M,601.65M,199.02M,402.63M,17.32M,17.32M,177.91M,15.44M,,55.91M,-55.91M,,195.23M,207.40M,55.91M,-55.91M,16.61M,-55.91M,168.10M,0.091M,168.01M,,,-0.035M,,167.97M,152.54M,401.92M,177.91M,224.01M,,1.19,,,,1.080,1.19,,1.19,,,,1.080,1.19,,140.38M,140.78M,1.59,,AOR,
2019-12,593.57M,593.57M,190.39M,403.18M,12.60M,12.60M,171.36M,-3.394M,,54.19M,-54.19M,,183.97M,219.21M,54.19M,-54.19M,4.478M,-54.19M,169.50M,1.825M,167.67M,,,-0.021M,,167.65M,171.01M,395.05M,171.36M,223.69M,,1.20,,,,1.224,1.20,,1.20,,,,1.224,1.20,,139.42M,139.97M,1.52,,AOR,
2019-09,587.61M,587.61M,197.82M,389.79M,12.77M,12.77M,165.46M,129.18M,,51.49M,-51.49M,,178.23M,211.56M,51.49M,-51.49M,130.82M,-51.49M,290.89M,11.18M,279.71M,,,-0.032M,,279.68M,155.46M,507.85M,165.46M,342.39M,,2.00,,,,1.109,2.00,,2.00,,,,1.112,2.00,,139.34M,139.85M,1.52,,AOR,Restated
2019-06,577.26M,577.26M,195.11M,382.15M,18.96M,18.96M,162.69M,17.62M,,50.01M,-50.01M,,181.66M,200.49M,50.01M,-50.01M,17.82M,-50.01M,168.30M,0.00,168.30M,,,-0.024M,,168.28M,150.66M,381.01M,162.69M,218.32M,,1.21,,,,1.083,1.21,,1.21,,,,1.084,1.21,,139.11M,139.62M,1.52,,AOR,Restated
2019-03,566.18M,566.18M,184.78M,381.40M,13.71M,13.71M,162.06M,13.73M,,47.89M,-47.89M,,175.76M,205.64M,47.89M,-47.89M,12.67M,-47.89M,170.41M,-0.006M,170.42M,,,-0.052M,,170.37M,160.35M,380.36M,162.06M,218.30M,,1.23,,,,1.158,1.23,,1.23,,,,1.158,1.23,,138.33M,138.83M,1.52,,AOR,Restated
2018-12,578.52M,578.52M,191.10M,387.42M,15.98M,15.98M,158.91M,225.34M,,55.18M,-55.18M,,174.90M,212.52M,55.18M,-55.18M,228.05M,-55.18M,385.39M,-0.247M,385.64M,,,0.099M,,385.73M,221.24M,599.48M,158.91M,440.57M,,2.79,,,,1.597,2.79,,2.79,,,,1.602,2.79,,137.92M,138.46M,1.47,,AOR,Restated
2018-09,575.98M,575.98M,193.47M,382.52M,14.74M,14.74M,156.54M,25.27M,,54.10M,-54.10M,,171.28M,211.23M,54.10M,-54.10M,35.30M,-54.10M,192.44M,0.029M,192.41M,,,0.079M,,192.49M,167.22M,403.07M,156.54M,246.53M,,1.39,,,,1.207,1.39,,1.39,,,,1.207,1.39,,137.85M,138.32M,1.47,,AOR,Restated
2018-06,569.24M,569.24M,190.83M,378.41M,15.21M,15.21M,156.68M,103.88M,,56.58M,-56.58M,,171.89M,206.52M,56.58M,-56.58M,104.67M,-56.58M,254.60M,0.058M,254.54M,,,0.119M,,254.66M,150.80M,467.87M,156.68M,311.19M,,1.84,,,,1.087,1.84,,1.84,,,,1.089,1.84,,137.84M,138.22M,1.47,,AOR,Restated
2018-03,560.79M,560.79M,191.15M,369.64M,14.43M,14.43M,159.06M,-1.186M,,55.11M,-55.11M,,173.49M,196.15M,55.11M,-55.11M,0.554M,-55.11M,141.59M,0.00,141.59M,,,0.053M,,141.64M,142.83M,355.76M,159.06M,196.70M,,1.03,,,,1.039,1.03,,1.03,,,,1.039,1.03,,138.33M,138.83M,1.47,,AOR,Restated
2017-12,555.29M,555.29M,178.78M,376.51M,14.89M,14.89M,157.10M,85.17M,,52.52M,-52.52M,,171.99M,204.52M,52.52M,-52.52M,85.53M,-52.52M,237.52M,0.039M,237.49M,,,0.087M,,237.57M,152.42M,447.15M,157.10M,290.05M,,1.72,,,,1.102,1.72,,1.72,,,,1.104,1.72,,137.72M,138.25M,1.42,,AOR,Restated
