,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,4.683B,4.683B,3.093B,1.59B,,,919.00M,,,,62.00M,2.00M,-60.00M,5.00M,924.00M,666.00M,2.00M,62.00M,-60.00M,-40.00M,-60.00M,566.00M,114.00M,483.00M,,,-11.00M,472.00M,472.00M,820.00M,192.00M,628.00M,1.38,,,,1.38,1.38,1.38,,,,1.38,1.38,341.00M,342.30M,1.07
2020-06,4.612B,4.612B,2.835B,1.777B,,,844.00M,,,,65.00M,2.00M,-63.00M,8.00M,852.00M,925.00M,2.00M,65.00M,-63.00M,-6.00M,-63.00M,856.00M,199.00M,692.00M,,,-11.00M,681.00M,681.00M,1.122B,201.00M,921.00M,2.0,,,,2.0,2.0,1.99,,,,1.99,1.99,340.90M,341.90M,1.07
2020-03,5.009B,5.009B,3.218B,1.791B,,,873.00M,,,,61.00M,2.00M,-59.00M,14.00M,887.00M,904.00M,2.00M,61.00M,-59.00M,-11.00M,-59.00M,834.00M,197.00M,675.00M,,,-15.00M,660.00M,660.00M,1.108B,213.00M,895.00M,1.93,,,,1.93,1.93,1.92,,,,1.92,1.92,340.80M,340.80M,1.07
2019-12,4.583B,4.583B,3.017B,1.566B,,,859.00M,,,,63.00M,3.00M,-60.00M,-44.00M,815.00M,751.00M,3.00M,63.00M,-60.00M,-58.00M,-60.00M,633.00M,109.00M,556.00M,,,-9.00M,547.00M,547.00M,913.00M,217.00M,696.00M,1.6,,,,1.6,1.6,1.59,,,,1.59,1.59,342.10M,344.40M,1.03
2019-09,4.64B,4.64B,3.085B,1.555B,,,815.00M,,,,66.00M,3.00M,-63.00M,-175.00M,640.00M,915.00M,3.00M,66.00M,-63.00M,-11.00M,-63.00M,841.00M,192.00M,680.00M,,,-9.00M,671.00M,671.00M,1.137B,230.00M,907.00M,1.95,,,,1.95,1.95,1.94,,,,1.94,1.94,343.80M,345.90M,1.03
2019-06,4.594B,4.594B,3.108B,1.486B,,,811.00M,,,,67.00M,2.00M,-65.00M,5.00M,816.00M,670.00M,2.00M,67.00M,-65.00M,-11.00M,-65.00M,594.00M,132.00M,495.00M,,,-10.00M,485.00M,485.00M,897.00M,236.00M,661.00M,1.41,,,,1.41,1.41,1.4,,,,1.4,1.4,344.20M,346.00M,1.03
2019-03,4.633B,4.633B,3.205B,1.428B,,,769.00M,,,,65.00M,3.00M,-62.00M,4.00M,773.00M,655.00M,3.00M,65.00M,-62.00M,-11.00M,-62.00M,582.00M,143.00M,466.00M,,,-12.00M,454.00M,454.00M,881.00M,234.00M,647.00M,1.32,,,,1.32,1.32,1.31,,,,1.31,1.31,343.90M,343.90M,1.03
2018-12,4.569B,4.569B,3.167B,1.402B,,,768.00M,,,,65.00M,3.00M,-62.00M,-5.00M,763.00M,639.00M,3.00M,65.00M,-62.00M,-88.00M,-62.00M,489.00M,91.00M,421.00M,,,-10.00M,411.00M,411.00M,784.00M,230.00M,554.00M,1.19,,,,1.19,1.19,1.18,,,,1.18,1.18,345.60M,347.20M,1.0
2018-09,4.582B,4.582B,3.166B,1.416B,,,749.00M,,,,64.00M,2.00M,-62.00M,-2.00M,747.00M,669.00M,2.00M,64.00M,-62.00M,-30.00M,-62.00M,577.00M,138.00M,462.00M,,,-11.00M,451.00M,451.00M,858.00M,217.00M,641.00M,1.3,,,,1.3,1.3,1.29,,,,1.29,1.29,347.20M,348.80M,1.0
2018-06,4.604B,4.604B,3.149B,1.455B,,,771.00M,,,,68.00M,3.00M,-65.00M,10.00M,781.00M,674.00M,3.00M,68.00M,-65.00M,-36.00M,-65.00M,573.00M,138.00M,465.00M,,,-10.00M,455.00M,455.00M,865.00M,224.00M,641.00M,1.3,,,,1.3,1.3,1.3,,,,1.3,1.3,348.80M,350.30M,1.0
