,NetIncome,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,483.00M,-6.00M,,48.00M,,,192.00M,192.00M,-42.00M,,47.00M,29.00M,,,-198.00M,,559.00M,-258.00M,5.00M,5.00M,,-36.00M,2.00M,-287.00M,100.00M,170.00M,270.00M,,-186.00M,-186.00M,,,-365.00M,-365.00M,77.00M,-1.00M,-205.00M,1.448B,67.00M,3.00M,1.518B,,601.00M,-501.00M,-186.00M
2020-06,692.00M,-9.00M,,-3.00M,,,201.00M,201.00M,21.00M,,39.00M,-5.00M,,,634.00M,,1.579B,-284.00M,,,,-60.00M,13.00M,-331.00M,0.00,-385.00M,-385.00M,,-49.00M,-49.00M,,,-365.00M,-365.00M,27.00M,-15.00M,-787.00M,979.00M,461.00M,8.00M,1.448B,,0.00,0.00,-49.00M
2020-03,675.00M,-38.00M,,-31.00M,,,213.00M,213.00M,-9.00M,,15.00M,-15.00M,,,-144.00M,,704.00M,-352.00M,,,,-9.00M,2.00M,-359.00M,989.00M,-282.00M,707.00M,,-214.00M,-214.00M,,,-357.00M,-357.00M,108.00M,-24.00M,220.00M,442.00M,565.00M,-28.00M,979.00M,,1.241B,-252.00M,-214.00M
2019-12,556.00M,25.00M,,-13.00M,,,217.00M,217.00M,21.00M,,22.00M,10.00M,,,111.00M,,924.00M,-342.00M,36.00M,36.00M,,40.00M,-9.00M,-275.00M,4.00M,-21.00M,-17.00M,,-256.00M,-256.00M,,,-354.00M,-354.00M,17.00M,-22.00M,-632.00M,416.00M,17.00M,9.00M,442.00M,,6.00M,-2.00M,-256.00M
2019-09,680.00M,-1.00M,,-173.00M,,,230.00M,230.00M,-18.00M,,26.00M,15.00M,,,126.00M,,886.00M,-298.00M,206.00M,206.00M,,-109.00M,-44.00M,-245.00M,2.00M,-219.00M,-217.00M,,-214.00M,-214.00M,,,-354.00M,-354.00M,51.00M,-13.00M,-747.00M,534.00M,-106.00M,-12.00M,416.00M,,4.00M,-2.00M,-214.00M
2019-06,495.00M,-3.00M,,8.00M,,,236.00M,236.00M,15.00M,,32.00M,-27.00M,,,-150.00M,,609.00M,-253.00M,,,,51.00M,4.00M,-198.00M,395.00M,-308.00M,87.00M,,-166.00M,-166.00M,,,-355.00M,-355.00M,134.00M,-71.00M,-371.00M,491.00M,40.00M,3.00M,534.00M,,696.00M,-301.00M,-166.00M
2019-03,466.00M,-27.00M,,-21.00M,,,234.00M,234.00M,11.00M,,16.00M,-14.00M,,,-375.00M,,317.00M,-316.00M,,,,-8.00M,,-324.00M,-402.00M,851.00M,449.00M,,-164.00M,-164.00M,,,-345.00M,-345.00M,26.00M,-8.00M,-42.00M,539.00M,-49.00M,1.00M,491.00M,,0.00,-402.00M,-164.00M
2018-12,421.00M,36.00M,,31.00M,,,230.00M,230.00M,-42.00M,0.00,-4.00M,41.00M,,,272.00M,,949.00M,-311.00M,35.00M,35.00M,,-2.00M,8.00M,-270.00M,410.00M,-487.00M,-77.00M,,-204.00M,-204.00M,,,-347.00M,-347.00M,12.00M,-16.00M,-632.00M,494.00M,47.00M,-2.00M,539.00M,,507.00M,-97.00M,-204.00M
2018-09,462.00M,7.00M,,11.00M,,,217.00M,217.00M,27.00M,0.00,19.00M,-68.00M,,,24.00M,,692.00M,-219.00M,16.00M,16.00M,,-26.00M,9.00M,-220.00M,-306.00M,349.00M,43.00M,,-176.00M,-176.00M,,,-348.00M,-348.00M,28.00M,0.00,-453.00M,484.00M,19.00M,-9.00M,494.00M,,0.00,-306.00M,-176.00M
2018-06,465.00M,2.00M,,19.00M,,,224.00M,224.00M,44.00M,0.00,8.00M,37.00M,,,-10.00M,,787.00M,-158.00M,,,,11.00M,-9.00M,-156.00M,-2.00M,-145.00M,-147.00M,,-223.00M,-223.00M,,,-350.00M,-350.00M,8.00M,-35.00M,-747.00M,626.00M,-116.00M,-26.00M,484.00M,,0.00,-2.00M,-223.00M
2018-03,97.00M,-27.00M,,9.00M,,,211.00M,211.00M,-27.00M,74.00M,18.00M,57.00M,,,103.00M,,542.00M,-189.00M,,,,-64.00M,-3.00M,-256.00M,-2.00M,249.00M,247.00M,,-197.00M,-197.00M,,,-341.00M,-341.00M,14.00M,-6.00M,-283.00M,616.00M,3.00M,7.00M,626.00M,,,-2.00M,-197.00M
2017-12,625.00M,38.00M,,43.00M,,,184.00M,184.00M,-28.00M,0.00,12.00M,21.00M,,,6.00M,,863.00M,-190.00M,,,,22.00M,-9.00M,-174.00M,-509.00M,249.00M,-260.00M,,-107.00M,-107.00M,,,-342.00M,-342.00M,7.00M,-39.00M,-741.00M,655.00M,-52.00M,13.00M,616.00M,,0.00,-509.00M,-107.00M
2017-09,579.00M,10.00M,,16.00M,,,182.00M,182.00M,-7.00M,0.00,14.00M,-16.00M,,,37.00M,,805.00M,-209.00M,,,,-62.00M,-19.00M,-290.00M,-367.00M,-3.00M,-370.00M,,-207.00M,-207.00M,,,-343.00M,-343.00M,7.00M,-3.00M,-916.00M,1.051B,-401.00M,5.00M,655.00M,,593.00M,-960.00M,-207.00M
2017-06,540.00M,4.00M,,9.00M,,,180.00M,180.00M,-9.00M,,30.00M,2.00M,,,73.00M,,825.00M,-171.00M,,,,-24.00M,-14.00M,-209.00M,340.00M,-82.00M,258.00M,,-302.00M,-302.00M,,,-345.00M,-345.00M,29.00M,-37.00M,-397.00M,835.00M,219.00M,-3.00M,1.051B,,344.00M,-4.00M,-302.00M
2017-03,575.00M,-26.00M,,-21.00M,,,178.00M,178.00M,-25.00M,0.00,20.00M,-27.00M,,,-264.00M,,436.00M,-215.00M,,,,33.00M,4.00M,-178.00M,-8.00M,196.00M,188.00M,,-295.00M,-295.00M,,,-329.00M,-329.00M,78.00M,-9.00M,-367.00M,923.00M,-109.00M,21.00M,835.00M,,,-8.00M,-295.00M
2016-12,518.00M,27.00M,,33.00M,,,177.00M,177.00M,-2.00M,,13.00M,-55.00M,,,185.00M,,871.00M,-189.00M,,,,36.00M,-26.00M,-156.00M,1.00M,-71.00M,-70.00M,,-227.00M,-227.00M,,,-330.00M,-330.00M,10.00M,-31.00M,-648.00M,884.00M,67.00M,-28.00M,923.00M,,3.00M,-2.00M,-227.00M
2016-09,563.00M,-1.00M,,-1.00M,,,179.00M,179.00M,-16.00M,,19.00M,7.00M,,,197.00M,,948.00M,-185.00M,,,,-66.00M,59.00M,-192.00M,489.00M,-515.00M,-26.00M,,-219.00M,-219.00M,,,-331.00M,-331.00M,39.00M,3.00M,-534.00M,656.00M,222.00M,6.00M,884.00M,,494.00M,-5.00M,-219.00M
2016-06,578.00M,0.00,,0.00,,,177.00M,177.00M,37.00M,,30.00M,-19.00M,,,57.00M,,860.00M,-177.00M,,,,14.00M,8.00M,-155.00M,-589.00M,353.00M,-236.00M,,-153.00M,-153.00M,,,-332.00M,-332.00M,27.00M,6.00M,-688.00M,635.00M,17.00M,4.00M,656.00M,,0.00,-589.00M,-153.00M
