,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-08,242.46M,242.46M,71.24M,71.24M,,2.150B,,,122.49M,2.586B,0.00,643.70M,1.815B,850.68M,,128.13M,202.10M,3.639B,-1.350B,2.290B,302.64M,,302.64M,38.28M,40.23M,2.671B,5.257B,,2.043B,11.58M,2.055B,327.66M,2.383B,,,,,136.80M,136.80M,,2.519B,2.25B,,2.25B,,,258.10M,2.508B,5.027B,,0.636M,206.10M,537.00M,509.92M,-4.135M,229.69M,,,Restated
2008-05,81.65M,81.65M,74.96M,74.96M,,2.106B,,,123.85M,2.387B,,,,,,,,3.571B,-1.316B,2.256B,302.64M,,302.64M,46.60M,34.98M,2.640B,5.027B,,1.874B,,1.874B,319.93M,2.194B,,,,,98.18M,98.18M,92.16M,2.384B,1.932B,,1.932B,,,255.11M,2.187B,4.571B,,,,,,455.83M,455.83M,,,Restated
2008-02,93.46M,93.46M,65.27M,65.27M,,2.068B,,,129.43M,2.357B,,,,,,,,3.493B,-1.289B,2.204B,302.64M,,302.64M,46.31M,28.70M,2.582B,4.938B,,1.843B,,1.843B,326.23M,2.169B,,,,,83.26M,83.26M,72.79M,2.325B,2.095B,,2.095B,,,235.94M,2.331B,4.656B,,,,,,282.23M,282.23M,,,
2007-11,79.81M,79.81M,53.90M,53.90M,,2.052B,,,134.50M,2.320B,,,,,,,,3.441B,-1.252B,2.189B,302.64M,,302.64M,36.28M,27.02M,2.554B,4.874B,,1.845B,,1.845B,326.13M,2.171B,,,,,69.83M,69.83M,78.37M,2.319B,2.161B,,2.161B,,,222.82M,2.384B,4.703B,,,,,,171.05M,171.05M,,,
2007-08,86.65M,86.65M,59.88M,59.88M,,2.007B,,,116.50M,2.270B,0.00,625.99M,1.904B,780.20M,,85.58M,,3.396B,-1.218B,2.178B,302.64M,,302.64M,21.33M,32.44M,2.534B,4.805B,,1.871B,,1.871B,132.34M,2.003B,,16.02M,,16.02M,82.15M,82.15M,184.72M,2.286B,1.936B,,1.936B,,,180.00M,2.116B,4.402B,,0.713M,546.05M,545.40M,679.42M,-9.55M,403.20M,,,
2007-05,82.57M,82.57M,52.74M,52.74M,,1.979B,,,116.23M,2.231B,,,,,,,,3.311B,-1.177B,2.134B,302.64M,,302.64M,27.34M,27.46M,2.492B,4.722B,,1.687B,,1.687B,,1.687B,,,,,52.96M,52.96M,420.37M,2.160B,1.939B,,1.939B,,,164.05M,2.103B,4.263B,,,,,,459.36M,459.36M,,,
2007-02,86.06M,86.06M,59.92M,59.92M,,1.911B,,,123.52M,2.180B,,,,,,,,3.308B,-1.197B,2.111B,302.64M,,302.64M,21.96M,30.62M,2.466B,4.647B,,1.663B,,1.663B,,1.663B,,,,,50.64M,50.64M,366.75M,2.080B,1.854B,,1.854B,,,168.23M,2.023B,4.103B,,,,,,543.59M,543.59M,,,
2006-11,73.36M,73.36M,73.83M,73.83M,,1.883B,,,126.76M,2.157B,,,,,,,,3.263B,-1.166B,2.096B,302.64M,,302.64M,24.23M,31.14M,2.454B,4.612B,,1.650B,,1.650B,,1.650B,,,,,52.06M,52.06M,345.59M,2.047B,1.859B,,1.859B,,,167.64M,2.027B,4.074B,,,,,,537.84M,537.84M,,,
2006-08,91.56M,91.56M,80.36M,80.36M,,1.847B,,,100.36M,2.119B,0.00,588.44M,1.732B,729.43M,,134.36M,,3.184B,-1.132B,2.051B,302.64M,,302.64M,20.64M,32.78M,2.407B,4.526B,,1.700B,,1.700B,,1.700B,,,,,50.10M,50.10M,304.80M,2.055B,1.857B,,1.857B,,,145.05M,2.002B,4.057B,,0.772M,559.21M,500.88M,575.83M,-15.50M,469.53M,,,
2006-05,83.97M,83.97M,102.60M,102.60M,,1.753B,,,101.12M,2.040B,,,,,,,,3.140B,-1.118B,2.022B,302.64M,,302.64M,43.25M,34.96M,2.403B,4.443B,,1.442B,,1.442B,257.58M,1.700B,,,,,15.53M,15.53M,150.48M,1.866B,1.825B,,1.825B,,,183.52M,2.009B,3.874B,,,,,,568.54M,568.54M,,,
2006-02,81.37M,81.37M,124.27M,124.27M,,1.723B,,,106.67M,2.035B,,,,,,,,3.084B,-1.091B,1.992B,,302.64M,302.64M,36.79M,35.01M,2.367B,4.402B,,1.428B,,1.428B,267.16M,1.695B,,,,,10.03M,10.03M,89.94M,1.795B,1.779B,,1.779B,,,186.59M,1.966B,3.761B,,,581.67M,,,59.49M,641.16M,,,
2005-11,81.38M,81.38M,113.76M,113.76M,,1.681B,,,124.60M,2.001B,,,,,,,,3.037B,-1.071B,1.966B,,302.64M,302.64M,32.04M,38.75M,2.339B,4.340B,,1.515B,,1.515B,257.86M,1.772B,,,,,8.916M,8.916M,63.52M,1.845B,1.790B,,1.790B,,,183.91M,1.974B,3.819B,,,484.65M,,,36.63M,521.28M,,,
2005-08,74.81M,74.81M,118.26M,118.26M,,1.664B,,,72.53M,1.929B,0.00,559.23M,1.602B,662.50M,,155.25M,,2.979B,-1.041B,1.938B,,302.70M,302.70M,32.92M,42.57M,2.316B,4.245B,,1.540B,,1.540B,255.67M,1.795B,,,,,10.96M,10.96M,4.753M,1.811B,1.862B,,1.862B,,,181.24M,2.043B,3.854B,,0.811M,370.28M,462.29M,405.79M,-36.58M,391.01M,,,
2005-05,77.38M,77.38M,120.12M,120.12M,,1.639B,75.05M,,,1.912B,,,,,,,,2.889B,-1.009B,1.880B,,302.72M,302.72M,25.08M,48.74M,2.257B,4.169B,,1.430B,,1.430B,253.16M,1.683B,,,,,,,133.75M,1.817B,1.915B,,1.915B,,,138.65M,2.053B,3.870B,,,944.55M,,,-645.80M,298.75M,,,
2005-02,80.14M,80.14M,104.58M,104.58M,,1.592B,70.34M,,,1.847B,,,,,,,,2.821B,-983.82M,1.837B,,302.77M,302.77M,,72.35M,2.212B,4.059B,,1.287B,,1.287B,273.19M,1.560B,,,,,9.668M,9.668M,75.78M,1.645B,1.902B,,1.902B,,,127.79M,2.029B,3.675B,,,796.76M,,,-412.03M,384.73M,,,
2004-11,63.88M,63.88M,73.31M,73.31M,,1.629B,73.74M,,,1.840B,,,,,,,,2.768B,-943.89M,1.824B,,302.85M,302.85M,,52.99M,2.180B,4.020B,,1.491B,,1.491B,289.99M,1.781B,,,,,9.67M,9.67M,79.40M,1.870B,1.825B,,1.825B,0.281M,0.281M,47.96M,1.873B,3.743B,,,702.67M,,,-425.28M,277.39M,,,
2004-08,76.85M,76.85M,68.37M,68.37M,,1.561B,,,49.05M,1.756B,0.00,538.92M,1.508B,574.88M,,87.69M,,2.709B,-919.05M,1.790B,,301.02M,301.02M,,65.70M,2.157B,3.913B,,1.429B,,1.429B,243.82M,1.673B,,,,,6.011M,6.011M,72.10M,1.751B,1.869B,,1.869B,5.728M,5.728M,115.14M,1.990B,3.741B,,0.894M,580.15M,414.23M,808.23M,-15.65M,171.39M,,,
2004-05,6.758M,6.758M,84.32M,84.32M,,1.517B,26.64M,8.671M,,1.643B,,,,,,,,2.638B,-885.76M,1.752B,301.00M,,301.00M,33.96M,57.67M,2.145B,3.789B,,1.240B,,1.240B,267.40M,1.508B,,,,,,,145.19M,1.653B,1.799B,,1.799B,,,76.75M,1.876B,3.528B,,,1.227B,,,-966.41M,260.14M,,,
2004-02,6.711M,6.711M,77.28M,77.28M,,1.487B,27.09M,1.796M,,1.600B,,,,,,,,2.601B,-865.16M,1.736B,,,,50.10M,315.76M,2.101B,3.702B,,1.216B,,1.216B,285.72M,1.502B,,,,,,,95.72M,1.598B,1.787B,,1.787B,,,83.06M,1.870B,3.468B,,,,,,233.88M,233.88M,,,
2003-11,6.664M,6.664M,64.96M,64.96M,,1.520B,34.20M,6.985M,,1.632B,,,,,,,,2.600B,-880.82M,1.719B,294.35M,,294.35M,53.85M,20.30M,2.088B,3.720B,,1.347B,,1.347B,282.74M,1.630B,,,,,,,80.47M,1.710B,1.453B,,1.453B,,,83.54M,1.537B,3.247B,,,,,,473.27M,473.27M,,,
2003-08,93.10M,93.10M,43.75M,43.75M,,1.511B,19.19M,3.996M,,1.671B,0.00,525.47M,1.326B,551.46M,125.59M,44.87M,,2.573B,-857.41M,1.716B,294.35M,,294.35M,25.54M,59.83M,2.095B,3.767B,,1.360B,,1.360B,361.47M,1.722B,,,,,,,39.98M,1.762B,1.547B,,1.547B,,,84.30M,1.631B,3.393B,,1.007M,869.74M,410.96M,870.65M,-37.30M,373.76M,,,
2003-05,6.638M,6.638M,44.78M,44.78M,,1.498B,22.18M,34.06M,,1.605B,,,,,,,,2.497B,-825.15M,1.672B,305.39M,,305.39M,61.45M,3.79M,2.043B,3.648B,,1.090B,,1.090B,316.06M,1.406B,,,,,,,164.66M,1.571B,1.420B,,1.420B,,,55.38M,1.475B,3.046B,,,,,,601.62M,601.62M,,,
2003-02,6.559M,6.559M,29.27M,29.27M,,1.490B,18.78M,33.13M,,1.578B,,,,,,,,2.464B,-801.93M,1.663B,305.39M,,305.39M,56.61M,12.10M,2.037B,3.615B,,1.048B,,1.048B,322.58M,1.371B,,,,,,,99.14M,1.470B,1.340B,,1.340B,,,57.47M,1.397B,2.867B,,,,,,747.77M,747.77M,,,
2002-11,6.53M,6.53M,28.90M,28.90M,,1.485B,17.38M,28.33M,,1.566B,,,,,,,,2.458B,-794.41M,1.664B,305.39M,,305.39M,62.45M,15.14M,2.047B,3.613B,,1.121B,,1.121B,304.91M,1.426B,,,,,,,59.47M,1.485B,1.313B,,1.313B,,,60.46M,1.374B,2.859B,,,,,,753.84M,753.84M,,,
2002-08,6.498M,6.498M,23.78M,23.78M,,1.376B,11.69M,32.57M,,1.450B,0.00,502.30M,1.229B,533.12M,114.32M,53.79M,,2.432B,-770.40M,1.662B,305.39M,,305.39M,60.30M,0.241M,2.028B,3.478B,,1.146B,,1.146B,344.60M,1.490B,,,,,,,43.44M,1.534B,1.195B,,1.195B,,,60.58M,1.255B,2.789B,,1.10M,974.14M,370.46M,644.97M,-11.60M,689.13M,,,
2002-05,7.242M,7.242M,22.50M,22.50M,,1.291B,13.76M,,37.29M,1.372B,,,,,,,,2.428B,-736.16M,1.692B,305.39M,,305.39M,71.43M,3.861M,2.072B,3.444B,,932.11M,,932.11M,316.29M,1.248B,,,,,,,99.62M,1.348B,1.251B,,1.251B,,,70.18M,1.321B,2.669B,,,,,,774.92M,774.92M,,,
2002-02,7.228M,7.228M,17.96M,17.96M,,1.273B,15.11M,36.30M,,1.350B,,,,,,,,2.393B,-710.21M,1.682B,305.39M,,305.39M,79.85M,3.86M,2.071B,3.421B,,838.09M,,838.09M,300.78M,1.139B,,,,,,,67.71M,1.207B,1.252B,,1.252B,,,71.32M,1.323B,2.530B,,,,,,891.60M,891.60M,,,
2001-11,7.285M,7.285M,31.11M,31.11M,,1.325B,11.78M,40.77M,,1.416B,,,,,,,,2.386B,-688.13M,1.698B,305.39M,,305.39M,80.59M,4.362M,2.088B,3.505B,,894.93M,,894.93M,298.52M,1.193B,,,,,,,48.32M,1.242B,1.281B,,1.281B,,,72.17M,1.353B,2.595B,,,,,,910.27M,910.27M,,,
2001-08,7.286M,7.286M,19.14M,19.14M,,1.243B,18.43M,,40.77M,1.329B,0.00,492.29M,1.183B,505.28M,116.64M,75.22M,,2.372B,-661.87M,1.710B,305.39M,,305.39M,80.59M,7.575M,2.104B,3.433B,,945.67M,,945.67M,292.15M,1.238B,,,,,,,28.84M,1.267B,1.225B,,1.225B,,,74.24M,1.300B,2.566B,,1.195M,825.20M,295.63M,248.59M,-7.219M,866.21M,,,
2001-05,7.188M,7.188M,22.58M,22.58M,,1.215B,29.32M,19.59M,,1.294B,,,,,,,,2.414B,-643.79M,1.770B,320.42M,,320.42M,51.50M,11.32M,2.154B,3.447B,,782.01M,,782.01M,240.80M,1.023B,,,,,,,89.02M,1.112B,1.393B,,1.393B,,,52.97M,1.446B,2.558B,,,1.713B,,,,889.65M,,,
2001-02,7.11M,7.11M,22.98M,22.98M,,1.159B,29.55M,19.59M,,1.238B,,,,,,,,2.372B,-615.64M,1.756B,322.45M,,322.45M,51.34M,22.84M,2.153B,3.391B,,659.28M,,659.28M,224.66M,883.95M,,,,,,,53.22M,937.16M,1.520B,,1.520B,,,55.34M,1.575B,2.513B,,,1.650B,,,,878.57M,,,
2000-11,7.041M,7.041M,24.77M,24.77M,,1.180B,25.08M,19.47M,,1.256B,,,,,,,,2.340B,-590.42M,1.749B,324.47M,,324.47M,48.12M,31.35M,2.153B,3.410B,,791.61M,,791.61M,221.50M,1.013B,,,,,,,34.26M,1.047B,1.408B,,1.408B,,,58.10M,1.466B,2.514B,,,1.618B,,,,895.85M,,,
2000-08,6.969M,6.969M,21.41M,21.41M,,1.109B,,,49.43M,1.187B,,,,,,,,2.320B,-561.94M,1.758B,,324.49M,324.49M,,63.50M,2.146B,3.333B,,788.82M,,788.82M,,788.82M,,,,,,,245.72M,1.035B,1.250B,,1.250B,,,56.56M,1.306B,2.341B,,1.543M,1.564B,301.90M,870.92M,-4.468M,992.18M,,,
2000-05,6.821M,6.821M,,18.01M,,1.133B,,,50.33M,1.208B,,,,,,,,2.248B,-527.78M,1.720B,,331.21M,331.21M,,82.98M,2.134B,3.343B,,659.02M,,659.02M,,659.02M,,,,,,,260.15M,919.17M,1.215B,,1.215B,,,62.66M,1.278B,2.197B,,,,,,1.146B,1.146B,,,
2000-02,6.80M,6.80M,,18.90M,,1.147B,,,58.00M,1.231B,,,,,,,,2.201B,-500.70M,1.700B,,333.20M,333.20M,,80.10M,2.113B,3.344B,,691.20M,,691.20M,,691.20M,,48.10M,,48.10M,,,263.10M,1.002B,1.074B,,1.074B,,,67.50M,1.142B,2.144B,,,,,,1.200B,1.200B,,,
1999-11,6.70M,6.70M,,33.20M,,1.181B,,,55.40M,1.276B,,,,,,,,2.159B,-483.40M,1.676B,,335.20M,335.20M,,79.50M,2.090B,3.366B,,730.50M,,730.50M,,730.50M,,,,,,,260.40M,990.90M,1.083B,,1.083B,,,67.50M,1.150B,2.141B,,,,,,1.226B,1.226B,,,
1999-08,5.918M,5.918M,,25.92M,,1.130B,,,63.56M,1.225B,,,,,,,,2.089B,-450.57M,1.638B,,337.26M,337.26M,,83.94M,2.060B,3.285B,,757.45M,,757.45M,,757.45M,,,,,,,243.11M,1.001B,888.34M,,888.34M,,,72.07M,960.41M,1.961B,,,,,,1.324B,1.324B,,,
1999-05,5.80M,5.80M,,36.20M,,1.092B,,,103.40M,1.237B,,,,,,,,1.998B,-415.80M,1.582B,,313.40M,313.40M,,98.50M,1.994B,3.230B,,714.60M,,714.60M,,714.60M,,,,,,,263.00M,977.60M,845.70M,,845.70M,,,80.70M,926.40M,1.904B,,,1.198B,,,,1.326B,,,
1999-02,6.30M,6.30M,,40.00M,,995.80M,,,103.00M,1.145B,,,,,,,,1.996B,-395.50M,1.600B,,280.80M,280.80M,,68.20M,1.949B,3.094B,,634.90M,,634.90M,,634.90M,,,,,,,210.50M,845.40M,839.40M,,839.40M,,,90.20M,929.60M,1.775B,,,1.139B,,,,1.319B,,,
1998-11,7.10M,7.10M,,39.70M,,1.005B,,,86.20M,1.138B,,,,,,,,1.941B,-366.70M,1.574B,,180.20M,180.20M,,47.50M,1.802B,2.940B,,659.90M,,659.90M,,659.90M,,,,,,,194.50M,854.40M,745.10M,,745.10M,,,37.10M,782.20M,1.637B,,,1.103B,,,,1.304B,,,
1998-08,6.60M,6.60M,,44.40M,,966.60M,,,99.50M,1.117B,,,,,,,,1.778B,-351.00M,1.428B,,181.30M,181.30M,,22.20M,1.631B,2.748B,,683.40M,,683.40M,,683.40M,,,,,,,176.40M,859.80M,545.10M,,545.10M,,,41.10M,586.20M,1.446B,,,1.052B,,,,1.302B,,,
1998-05,5.90M,5.90M,,19.30M,,768.50M,,,59.60M,853.30M,,,,,,,,1.57B,-326.40M,1.244B,,55.70M,55.70M,,58.10M,1.357B,2.211B,,466.10M,,466.10M,,466.10M,,,,,,,168.50M,634.60M,338.00M,,338.00M,,,13.40M,351.40M,986.00M,,,877.70M,,,,1.225B,,,
1998-02,4.80M,4.80M,,19.70M,,719.80M,,,43.00M,787.30M,,,,,,,,1.463B,-296.50M,1.167B,,16.30M,16.30M,,10.30M,1.194B,1.981B,,399.20M,,399.20M,,399.20M,,,,,,,134.10M,533.30M,263.80M,,263.80M,,,15.10M,278.90M,812.20M,,,905.70M,,,,1.169B,,,
1997-11,4.40M,4.40M,,22.40M,,724.90M,,,45.20M,796.90M,,,,,,,,1.420B,-287.60M,1.132B,,16.40M,16.40M,,9.00M,1.157B,1.954B,,465.30M,,465.30M,,465.30M,,,,,,,137.60M,602.90M,203.00M,,203.00M,,,16.60M,219.60M,822.50M,,,871.30M,,,,1.132B,,,
1997-08,4.70M,4.70M,,18.70M,,709.40M,,,46.00M,778.80M,,,,,,,,1.337B,-255.80M,1.081B,,16.60M,16.60M,,7.50M,1.105B,1.884B,,449.80M,,449.80M,,449.80M,,,,,,,142.70M,592.50M,198.40M,,198.40M,,,17.90M,216.30M,808.80M,,,823.80M,,,,1.075B,,,
1997-05,4.80M,4.80M,,22.40M,,750.60M,,,46.40M,824.20M,,,,,,,,1.225B,-244.50M,980.10M,,16.80M,16.80M,,5.90M,1.003B,1.827B,,467.80M,,467.80M,,467.80M,,,,,,,141.30M,609.10M,209.70M,,209.70M,,,17.70M,227.40M,836.50M,,,742.30M,,,,990.50M,,,
1997-02,4.60M,4.60M,,21.00M,,664.20M,,,41.30M,731.10M,,,,,,,,1.164B,-233.30M,931.10M,,16.90M,16.90M,,5.50M,953.50M,1.685B,,390.60M,,390.60M,,390.60M,,,,,,,118.50M,509.10M,215.90M,,215.90M,,,19.30M,235.20M,744.30M,,,696.20M,,,,940.30M,,,
1996-11,3.90M,3.90M,,18.30M,,610.50M,,,44.00M,676.70M,,,,,,,,1.115B,-215.50M,899.80M,,17.00M,17.00M,,6.90M,923.70M,1.600B,,417.30M,,417.30M,,417.30M,,1.90M,,1.90M,,,121.90M,541.10M,133.00M,,133.00M,,,19.80M,152.80M,693.90M,,,666.80M,,,,906.50M,,,
1996-08,3.90M,3.90M,,15.50M,,555.90M,,,37.80M,613.10M,,,,,,,,1.061B,-198.30M,862.90M,,17.20M,17.20M,,5.20M,885.30M,1.498B,,381.30M,,381.30M,,381.30M,,114.40M,,114.40M,,,117.20M,612.90M,,,,,,,19.90M,632.80M,,,628.80M,,,,865.60M,,,
1996-05,4.80M,4.80M,,15.10M,,531.30M,,,41.50M,592.70M,,,,,,,,964.20M,-176.60M,787.60M,,17.40M,17.40M,,6.30M,811.30M,1.404B,,376.80M,,376.80M,,376.80M,,97.80M,,97.80M,,,115.20M,589.80M,,,,,,,19.30M,609.10M,,,586.30M,,,,794.90M,,,
1996-02,3.00M,3.00M,,10.20M,,488.10M,,,31.80M,533.10M,,,,,,,,907.50M,-168.50M,739.00M,,17.50M,17.50M,,2.70M,759.20M,1.292B,,335.70M,,335.70M,,335.70M,,84.40M,,84.40M,,,107.60M,527.70M,,,,,,,11.80M,539.50M,,,548.70M,,,,752.80M,,,
1995-11,2.90M,2.90M,,8.90M,,422.50M,,,41.50M,475.80M,,,,,,,,861.50M,-160.70M,700.80M,,17.70M,17.70M,,2.00M,720.50M,1.196B,,319.40M,,319.40M,,319.40M,,18.50M,,18.50M,,,126.30M,464.20M,,,,0.60M,0.60M,8.50M,9.10M,473.30M,,,521.40M,,,,723.00M,,,
1995-08,6.40M,6.40M,,9.70M,,395.80M,,,35.90M,447.80M,,,,,,,,792.30M,-148.10M,644.20M,,17.80M,17.80M,,2.00M,664.00M,1.112B,,300.60M,,300.60M,,300.60M,,13.50M,,13.50M,,,103.40M,417.50M,,,,1.20M,1.20M,8.40M,9.60M,427.10M,,,486.60M,,,,684.70M,,,
1995-05,2.50M,2.50M,,7.20M,,378.80M,,,37.60M,426.10M,,,,,,,,704.20M,-130.50M,573.70M,,18.00M,18.00M,,4.70M,596.40M,1.022B,,252.80M,,252.80M,,252.80M,,0.20M,,0.20M,,,120.00M,373.00M,16.60M,,16.60M,1.20M,1.20M,9.20M,27.00M,400.00M,,,459.30M,,,,622.50M,,,
1995-02,7.90M,7.90M,,7.70M,,375.40M,,,30.70M,421.70M,,,,,,,,644.70M,-120.40M,524.30M,,18.10M,18.10M,,3.60M,546.00M,967.70M,,242.10M,,242.10M,,242.10M,,0.20M,,0.20M,,,108.70M,351.00M,18.90M,,18.90M,1.80M,1.80M,9.10M,29.80M,380.80M,,,426.90M,,,,586.90M,,,
1994-11,46.20M,46.20M,,8.60M,,349.80M,,,29.10M,433.70M,,,,,,,,593.80M,-111.60M,482.20M,,18.30M,18.30M,,3.20M,503.70M,937.40M,,249.50M,,249.50M,,249.50M,,0.20M,,0.20M,,,112.70M,362.40M,4.00M,,4.00M,2.50M,2.50M,8.80M,15.30M,377.70M,,,375.40M,,,,559.70M,,,
1994-08,56.20M,56.20M,,7.10M,,334.10M,,,27.00M,424.40M,,,,,,,,539.00M,-102.90M,436.10M,,18.40M,18.40M,,3.20M,457.70M,882.10M,,242.80M,,242.80M,,242.80M,,0.20M,,0.20M,,,96.00M,339.00M,4.00M,,4.00M,3.00M,3.00M,7.70M,14.70M,353.70M,,,347.80M,,,,528.40M,,,
1994-05,73.60M,73.60M,,8.00M,,321.10M,,,35.60M,438.30M,,,,,,,,478.80M,-91.20M,387.60M,,18.60M,18.60M,,1.40M,407.60M,845.90M,,241.40M,,241.40M,,241.40M,,0.20M,,0.20M,,,111.20M,352.80M,4.10M,,4.10M,2.90M,2.90M,7.60M,14.60M,367.40M,,,302.60M,,,,478.50M,,,
1994-02,60.70M,60.70M,,7.70M,,292.40M,,,30.30M,391.10M,,,,,,,,439.30M,-84.10M,355.20M,,18.80M,18.80M,,1.30M,375.30M,766.40M,,204.20M,,204.20M,,204.20M,,0.20M,,0.20M,,,99.90M,304.30M,4.20M,,4.20M,3.70M,3.70M,5.70M,13.60M,317.90M,,,274.40M,,,,448.50M,,,
1993-11,90.80M,90.80M,,10.40M,,269.70M,,,25.20M,396.10M,,,,,,,,404.40M,-79.90M,324.50M,,18.90M,18.90M,,1.60M,345.00M,741.10M,,220.10M,,220.10M,,220.10M,,0.20M,,0.20M,,,86.10M,306.40M,4.20M,,4.20M,3.90M,3.90M,5.50M,13.60M,320.00M,,,257.50M,,,,421.10M,,,
1993-08,84.50M,84.50M,,10.20M,,260.10M,,,23.70M,378.50M,,,,,,,,370.90M,-73.50M,297.40M,,19.00M,19.00M,,1.60M,318.00M,696.50M,,203.70M,,203.70M,,203.70M,,0.20M,,0.20M,,,82.20M,286.10M,4.30M,,4.30M,4.30M,4.30M,5.20M,13.80M,299.90M,,,231.40M,,,,396.60M,,,
1993-05,83.90M,83.90M,,8.40M,,251.00M,,,21.70M,365.00M,,,,,,,,318.50M,-65.40M,253.10M,,19.20M,19.20M,,1.70M,274.00M,639.00M,,187.50M,,187.50M,,187.50M,,0.20M,,0.20M,,,80.70M,268.40M,4.30M,,4.30M,1.20M,1.20M,4.90M,10.40M,278.80M,,,201.50M,,,,360.20M,,,
1993-02,75.40M,75.40M,,4.90M,,214.60M,,,21.10M,316.00M,,,,,,,,290.20M,-61.30M,228.90M,,19.40M,19.40M,,2.20M,250.50M,566.50M,,150.70M,,150.70M,,150.70M,,0.20M,,0.20M,,,62.60M,213.50M,6.70M,,6.70M,1.60M,1.60M,4.70M,13.00M,226.50M,,,181.70M,,,,340.00M,,,
1992-11,73.80M,73.80M,,6.20M,,201.40M,,,17.40M,298.80M,,,,,,,,272.60M,-56.50M,216.10M,,19.50M,19.50M,,2.40M,238.00M,536.80M,,153.30M,,153.30M,,153.30M,,0.20M,,0.20M,,,64.90M,218.40M,6.80M,,6.80M,1.60M,1.60M,4.40M,12.80M,231.20M,,,165.60M,,,,305.60M,,,
1992-08,57.80M,57.80M,,5.90M,,198.20M,,,18.50M,280.40M,,,,,,,,252.90M,-53.10M,199.80M,,19.70M,19.70M,,2.20M,221.70M,502.10M,,141.30M,,141.30M,,141.30M,,0.20M,,0.20M,,,65.60M,207.10M,6.80M,,6.80M,1.80M,1.80M,4.30M,12.90M,220.00M,,,148.50M,,,,282.10M,,,
1992-05,41.40M,41.40M,,6.90M,,213.20M,,,17.00M,278.50M,,,,,,,,223.80M,-47.60M,176.20M,,19.80M,19.80M,,3.40M,199.40M,477.90M,,148.30M,,148.30M,,148.30M,,0.20M,,0.20M,,,61.80M,210.30M,6.90M,,6.90M,2.00M,2.00M,3.80M,12.70M,223.00M,,,123.00M,,,,254.90M,,,
1992-02,30.10M,30.10M,,6.10M,,208.90M,,,18.00M,263.10M,,,,,,,,209.50M,-44.90M,164.60M,,20.00M,20.00M,,1.60M,186.20M,449.30M,,138.90M,,138.90M,,138.90M,,0.20M,,0.20M,,,57.70M,196.80M,7.00M,,7.00M,2.00M,2.00M,3.60M,12.60M,209.40M,,,108.60M,,,,239.90M,,,
1991-11,25.10M,25.10M,,5.00M,,196.00M,,,16.90M,243.00M,,,,,,,,195.70M,-42.20M,153.50M,,20.10M,20.10M,,1.60M,175.20M,418.20M,,118.60M,,118.60M,,118.60M,,15.40M,,15.40M,,,46.60M,180.60M,7.00M,,7.00M,2.00M,2.00M,3.50M,12.50M,193.10M,,,97.80M,,,,225.10M,,,
1991-08,9.00M,9.00M,,4.20M,,205.70M,,,15.60M,234.50M,,,,,,,,182.60M,-39.80M,142.80M,,20.30M,20.30M,,1.30M,164.40M,398.90M,,121.00M,,121.00M,,121.00M,,0.20M,,0.20M,,,56.40M,177.60M,7.00M,,7.00M,2.10M,2.10M,3.60M,12.70M,190.30M,,,85.20M,,,,208.60M,,,
1991-05,1.00M,1.00M,,4.30M,,235.80M,,,13.70M,254.80M,,,,,,,,165.10M,-36.60M,128.50M,,20.50M,20.50M,,1.90M,150.90M,405.70M,,147.90M,,147.90M,,147.90M,,15.60M,,15.60M,,,41.20M,204.70M,10.00M,,10.00M,1.80M,1.80M,2.70M,14.50M,219.20M,,,64.00M,,,,186.50M,,,
1990-08,0.90M,0.90M,,4.20M,,176.70M,,,11.00M,192.80M,,,,,,,,143.70M,-31.50M,112.20M,,20.90M,20.90M,,2.50M,135.60M,328.40M,,117.60M,,117.60M,,117.60M,,0.90M,,0.90M,,,46.40M,164.90M,73.90M,,73.90M,2.00M,2.00M,3.00M,78.90M,243.80M,,,41.30M,,,,84.60M,,,
