,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2016-08,189.73M,189.73M,287.68M,287.68M,3.632B,3.632B,,,130.24M,4.240B,0.00,998.46M,3.170B,1.551B,,176.67M,434.62M,6.330B,-2.597B,3.733B,391.89M,60.98M,452.87M,36.86M,137.24M,4.360B,8.600B,,4.096B,138.13M,4.234B,231.49M,4.465B,,,44.83M,44.83M,,,,4.690B,4.924B,,4.924B,284.50M,284.50M,488.39M,5.697B,10.39B,,0.303M,-1.602B,1.055B,932.77M,-307.53M,-1.788B,,AOR,Restated
2016-05,213.38M,213.38M,294.53M,294.53M,3.597B,3.597B,,0.00,120.33M,4.225B,,,,,,,,6.157B,-2.538B,3.619B,391.89M,63.67M,455.56M,30.94M,132.82M,4.239B,8.464B,,3.991B,129.13M,4.120B,527.43M,4.648B,,,,,0.00,0.00,,4.648B,4.954B,,4.954B,245.30M,245.30M,480.80M,5.680B,10.33B,,0.302M,-2.029B,998.38M,563.04M,-269.98M,-1.863B,,AOR,Restated
2016-02,207.96M,207.96M,295.79M,295.79M,3.591B,3.591B,,,115.38M,4.210B,,,,,,,,6.022B,-2.477B,3.545B,391.89M,65.69M,457.58M,23.58M,130.56M,4.157B,8.366B,,3.912B,89.91M,4.002B,535.24M,4.537B,,457.40M,,457.40M,0.00,0.00,,4.995B,4.388B,,4.388B,248.65M,248.65M,476.60M,5.113B,10.11B,,0.301M,-2.356B,953.07M,30.37M,-307.85M,-1.741B,,AOR,Restated
2015-11,165.49M,165.49M,248.12M,248.12M,3.516B,3.516B,,3.799M,120.76M,4.054B,,,,,,,,5.979B,-2.442B,3.537B,391.89M,67.71M,459.60M,41.48M,125.53M,4.164B,8.218B,,3.890B,107.82M,3.998B,516.75M,4.514B,,,,,260.82M,260.82M,,4.775B,4.754B,,4.754B,,,466.31M,5.220B,9.996B,,0.322M,-1.161B,994.49M,1.372B,-240.40M,-1.778B,,AOR,Restated
2015-08,175.31M,175.31M,247.87M,247.87M,3.422B,3.422B,,3.631M,121.85M,3.970B,0.00,966.92M,2.989B,1.423B,,116.73M,395.71M,5.892B,-2.386B,3.506B,391.89M,,391.89M,42.62M,191.92M,4.132B,8.102B,,3.864B,144.91M,4.009B,226.99M,4.236B,,,40.53M,40.53M,259.06M,259.06M,,4.713B,4.625B,,4.625B,,,465.99M,5.091B,9.804B,,0.321M,-1.419B,938.36M,971.81M,-249.52M,-1.701B,,AOR,Restated
2015-05,153.29M,153.29M,212.07M,212.07M,3.468B,3.468B,,6.81M,110.08M,3.950B,,,,,,,,5.748B,-2.322B,3.426B,384.61M,76.38M,460.99M,48.45M,146.12M,4.082B,8.032B,,3.845B,118.11M,3.963B,499.97M,4.463B,,,,,229.89M,229.89M,,4.693B,4.533B,,4.533B,,,449.25M,4.983B,9.676B,,0.321M,-1.820B,914.80M,541.31M,-197.18M,-1.643B,,AOR,Restated
2015-02,151.54M,151.54M,196.65M,196.65M,3.457B,3.457B,,6.798M,102.06M,3.914B,,,,,,,,5.649B,-2.272B,3.376B,384.01M,79.03M,463.04M,50.02M,146.56M,4.036B,7.950B,,3.717B,92.33M,3.809B,500.90M,4.310B,,87.16M,,87.16M,226.41M,226.41M,,4.623B,4.361B,,4.361B,,,434.18M,4.795B,9.419B,,0.319M,-2.129B,871.60M,26.06M,-185.59M,-1.469B,,AOR,Restated
2014-11,117.19M,117.19M,195.52M,195.52M,3.280B,3.280B,,7.092M,107.55M,3.708B,,,,,,,,5.598B,-2.240B,3.358B,383.92M,81.12M,465.03M,45.72M,140.70M,4.010B,7.717B,,3.691B,114.55M,3.805B,496.80M,4.302B,,559.24M,,559.24M,229.63M,229.63M,,5.091B,3.863B,,3.863B,,,426.08M,4.289B,9.380B,,0.34M,-1.291B,881.09M,1.107B,-146.15M,-1.663B,,AOR,Restated
2014-08,124.48M,124.48M,200.90M,200.90M,3.140B,3.140B,,4.708M,110.42M,3.581B,0.00,925.36M,2.802B,1.254B,,150.28M,368.33M,5.501B,-2.190B,3.310B,367.83M,,367.83M,45.14M,193.11M,3.917B,7.497B,,3.609B,118.53M,3.728B,208.74M,3.936B,180.91M,180.91M,36.50M,217.42M,227.89M,227.89M,,4.541B,4.142B,,4.142B,,,435.73M,4.578B,9.119B,,0.339M,-1.529B,843.50M,807.67M,-128.90M,-1.622B,,AOR,Restated
2014-05,145.35M,145.35M,190.85M,190.85M,3.133B,3.133B,,6.25M,112.05M,3.588B,,,,,,,,5.322B,-2.129B,3.193B,367.83M,77.52M,445.35M,17.28M,128.04M,3.784B,7.372B,,3.575B,141.80M,3.717B,470.72M,4.187B,,215.16M,,215.16M,201.36M,201.36M,,4.604B,4.163B,,4.163B,,,412.84M,4.576B,9.180B,,0.338M,-1.903B,819.90M,620.00M,-105.68M,-1.808B,,AOR,Restated
2014-02,139.76M,139.76M,191.12M,191.12M,3.089B,3.089B,,5.931M,112.45M,3.538B,,,,,,,,5.225B,-2.090B,3.135B,367.83M,79.51M,447.34M,15.65M,126.15M,3.724B,7.263B,,3.478B,104.63M,3.582B,459.23M,4.042B,,158.44M,,158.44M,199.32M,199.32M,,4.399B,4.163B,,4.163B,,,410.60M,4.574B,8.973B,,0.338M,-2.188B,797.70M,200.00M,-120.35M,-1.710B,,AOR,Restated
2013-11,125.85M,125.85M,173.11M,173.11M,2.948B,2.948B,,1.87M,121.84M,3.370B,,,,,,,,5.148B,-2.040B,3.109B,367.83M,51.77M,419.60M,5.819M,119.00M,3.653B,7.023B,,3.407B,95.47M,3.503B,462.26M,3.965B,,160.26M,,160.26M,207.55M,207.55M,,4.333B,4.013B,,4.013B,,,398.57M,4.412B,8.745B,,0.369M,-1.161B,845.30M,1.294B,-112.09M,-1.721B,,AOR,Restated
