,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2020-11,3.154B,3.154B,1.479B,1.676B,1.060B,,46.18M,-46.18M,,1.060B,615.22M,46.18M,-46.18M,,-46.18M,569.05M,126.61M,442.43M,442.43M,442.43M,704.78M,89.55M,615.22M,,19.05,,19.05,19.05,,18.61,,18.61,18.61,,23.22M,23.78M,,AOR,
2020-08,4.546B,4.546B,2.133B,2.413B,1.395B,,71.33M,-65.64M,,1.395B,1.018B,71.33M,-65.64M,,-65.64M,952.41M,211.95M,740.46M,740.46M,740.46M,1.149B,125.35M,1.024B,,31.67,,31.67,31.67,,30.93,,30.93,30.93,,23.33M,23.89M,,AOR,
2020-05,2.779B,2.779B,1.289B,1.491B,998.98M,,47.45M,-47.45M,,998.98M,491.67M,47.45M,-47.45M,,-47.45M,444.22M,101.33M,342.90M,342.90M,342.90M,583.37M,91.70M,491.67M,,14.66,,14.66,14.66,,14.39,,14.39,14.39,,23.39M,23.83M,,AOR,
2020-02,2.514B,2.514B,1.148B,1.366B,958.12M,,44.34M,-44.34M,,958.12M,407.94M,44.34M,-44.34M,,-44.34M,363.60M,64.32M,299.28M,299.28M,299.28M,498.61M,90.67M,407.94M,,12.70,,12.70,12.70,,12.39,,12.39,12.39,,23.57M,24.16M,,AOR,
2019-11,2.793B,2.793B,1.292B,1.501B,1.001B,,43.74M,-43.74M,,1.001B,500.02M,43.74M,-43.74M,,-43.74M,456.28M,105.94M,350.34M,350.34M,350.34M,589.77M,89.75M,500.02M,,14.67,,14.67,14.67,,14.30,,14.30,14.30,,23.88M,24.49M,,AOR,Restated
2019-08,3.988B,3.988B,1.858B,2.130B,1.350B,,68.59M,-61.20M,,1.350B,780.78M,68.59M,-61.20M,,-61.20M,719.58M,154.35M,565.23M,565.23M,565.23M,907.01M,118.84M,788.17M,,21.47,,21.47,21.47,,20.95,,20.95,20.95,,24.23M,24.86M,,AOR,Restated
2019-05,2.783B,2.783B,1.291B,1.492B,944.50M,,43.24M,-43.24M,,944.50M,547.52M,43.24M,-43.24M,,-43.24M,504.28M,98.34M,405.95M,405.95M,405.95M,632.41M,84.89M,547.52M,,16.35,,16.35,16.35,,15.99,,15.99,15.99,,24.84M,25.39M,,AOR,Restated
2019-02,2.451B,2.451B,1.125B,1.325B,925.09M,,41.36M,-41.36M,,925.09M,400.02M,41.36M,-41.36M,,-41.36M,358.66M,64.02M,294.64M,294.64M,294.64M,483.80M,83.78M,400.02M,,11.71,,11.71,11.71,,11.49,,11.49,11.49,,25.17M,25.64M,,AOR,Restated
2018-11,2.642B,2.642B,1.224B,1.417B,929.66M,,39.01M,-39.01M,,929.66M,487.82M,39.01M,-39.01M,,-39.01M,448.81M,97.41M,351.41M,351.41M,351.41M,570.27M,82.45M,487.82M,,13.71,,13.71,13.71,,13.47,,13.47,13.47,,25.63M,26.10M,,AOR,Restated
2018-08,3.559B,3.559B,1.651B,1.908B,1.317B,,59.98M,-54.34M,,1.317B,591.24M,59.98M,-54.34M,,-54.34M,536.90M,136.62M,400.28M,400.28M,400.28M,704.87M,107.99M,596.88M,,15.27,,15.27,15.27,,15.02,,15.02,15.02,,25.96M,26.39M,,AOR,Restated
2018-05,2.660B,2.660B,1.237B,1.423B,877.21M,,41.96M,-41.96M,,877.21M,545.76M,41.96M,-41.96M,,-41.96M,503.81M,137.09M,366.72M,366.72M,366.72M,625.52M,79.75M,545.76M,,13.62,,13.62,13.62,,13.42,,13.42,13.42,,26.93M,27.33M,,AOR,Restated
2018-02,2.413B,2.413B,1.136B,1.277B,1.072B,,39.34M,-39.34M,,1.072B,205.10M,39.34M,-39.34M,,-39.34M,165.76M,-123.77M,289.53M,289.53M,289.53M,284.45M,79.35M,205.10M,,10.58,,10.58,10.58,,10.38,,10.38,10.38,,27.36M,27.88M,,AOR,Restated
2017-11,2.589B,2.589B,1.223B,1.366B,897.09M,,38.89M,-38.89M,,897.09M,468.75M,38.89M,-38.89M,,-38.89M,429.86M,148.86M,281.00M,281.00M,281.00M,546.74M,77.99M,468.75M,,10.17,,10.17,10.17,,10.00,,10.00,10.00,,27.64M,28.10M,,AOR,Restated
2017-08,3.513B,3.513B,1.658B,1.854B,1.146B,,54.90M,-51.40M,,1.146B,707.63M,54.90M,-51.40M,,-51.40M,656.23M,222.33M,433.90M,433.90M,433.90M,814.19M,103.06M,711.13M,,15.52,,15.52,15.52,,15.27,,15.27,15.27,,27.81M,28.21M,,AOR,Restated
2017-05,2.619B,2.619B,1.241B,1.378B,848.85M,,35.68M,-35.68M,,848.85M,529.57M,35.68M,-35.68M,,-35.68M,493.90M,162.20M,331.70M,331.70M,331.70M,604.91M,75.34M,529.57M,,11.70,,11.70,11.70,,11.44,,11.44,11.44,,28.36M,29.00M,,AOR,Restated
2017-02,2.289B,2.289B,1.084B,1.206B,821.57M,,34.20M,-34.20M,,821.57M,383.97M,34.20M,-34.20M,,-34.20M,349.77M,112.63M,237.14M,237.14M,237.14M,456.80M,72.83M,383.97M,,8.29,,8.29,8.29,,8.08,,8.08,8.08,,28.61M,29.34M,,AOR,Restated
2016-11,2.468B,2.468B,1.166B,1.302B,842.64M,,33.31M,-33.31M,,842.64M,458.90M,33.31M,-33.31M,,-33.31M,425.60M,147.47M,278.12M,278.12M,278.12M,530.71M,71.81M,458.90M,,9.61,,9.61,9.61,,9.36,,9.36,9.36,,28.95M,29.70M,,AOR,Restated
2016-08,3.399B,3.399B,1.604B,1.795B,1.091B,,48.16M,-45.79M,,1.091B,703.37M,48.16M,-45.79M,,-45.79M,657.58M,230.81M,426.77M,426.77M,426.77M,799.67M,93.93M,705.74M,,14.58,,14.58,14.58,,14.30,,14.30,14.30,,29.08M,29.63M,,AOR,Restated
2016-05,2.594B,2.594B,1.223B,1.370B,834.08M,,34.05M,-34.05M,,834.08M,536.37M,34.05M,-34.05M,,-34.05M,502.32M,174.81M,327.52M,327.52M,327.52M,604.90M,68.53M,536.37M,,10.99,,10.99,10.99,,10.77,,10.77,10.77,,29.81M,30.40M,,AOR,Restated
2016-02,2.257B,2.257B,1.067B,1.191B,807.94M,,32.83M,-32.83M,,807.94M,382.66M,32.83M,-32.83M,,-32.83M,349.83M,121.22M,228.61M,228.61M,228.61M,451.31M,68.65M,382.66M,,7.58,,7.58,7.58,,7.43,,7.43,7.43,,30.17M,30.78M,,AOR,Restated
2015-11,2.386B,2.386B,1.133B,1.253B,814.94M,,35.01M,-35.01M,,814.94M,438.00M,35.01M,-35.01M,,-35.01M,402.98M,144.87M,258.11M,258.11M,258.11M,504.28M,66.28M,438.00M,,8.46,,8.46,8.46,,8.29,,8.29,8.29,,30.50M,31.14M,,AOR,Restated
2015-08,3.290B,3.290B,1.563B,1.728B,1.058B,,48.67M,-47.06M,,1.058B,669.27M,48.67M,-47.06M,,-47.06M,622.21M,221.07M,401.14M,401.14M,401.14M,757.58M,86.71M,670.88M,,13.02,,13.02,13.02,,12.75,,12.75,12.75,,30.56M,31.22M,,AOR,Restated
2015-05,2.493B,2.493B,1.190B,1.303B,788.84M,,31.78M,-31.78M,,788.84M,513.95M,31.78M,-31.78M,,-31.78M,482.17M,173.10M,309.07M,309.07M,309.07M,576.25M,62.30M,513.95M,,9.77,,9.77,9.77,,9.57,,9.57,9.57,,31.64M,32.30M,,AOR,Restated
2015-02,2.144B,2.144B,1.024B,1.120B,758.76M,,34.54M,-34.54M,,758.76M,361.27M,34.54M,-34.54M,,-34.54M,326.73M,115.01M,211.72M,211.72M,211.72M,421.14M,59.87M,361.27M,,6.64,,6.64,6.64,,6.51,,6.51,6.51,,31.90M,32.54M,,AOR,Restated
2014-11,2.260B,2.260B,1.084B,1.177B,768.10M,,37.06M,-37.06M,,768.10M,408.56M,37.06M,-37.06M,,-37.06M,371.50M,133.19M,238.31M,238.31M,238.31M,469.61M,61.04M,408.56M,,7.42,,7.42,7.42,,7.27,,7.27,7.27,,32.13M,32.76M,,AOR,Restated
2014-08,3.050B,3.050B,1.454B,1.595B,965.02M,,51.28M,-49.43M,,965.02M,630.20M,51.28M,-49.43M,,-49.43M,580.78M,207.10M,373.67M,373.67M,373.67M,711.03M,78.98M,632.05M,,11.50,,11.50,11.50,,11.28,,11.28,11.28,,32.24M,32.88M,,AOR,Restated
2014-05,2.342B,2.342B,1.125B,1.217B,738.01M,,36.16M,-36.16M,,738.01M,478.95M,36.16M,-36.16M,,-36.16M,442.79M,157.63M,285.16M,285.16M,285.16M,537.08M,58.13M,478.95M,,8.62,,8.62,8.62,,8.46,,8.46,8.46,,33.07M,33.72M,,AOR,Restated
2014-02,1.990B,1.990B,953.46M,1.037B,699.69M,,39.49M,-39.49M,,699.69M,337.34M,39.49M,-39.49M,,-39.49M,297.85M,105.02M,192.83M,192.83M,192.83M,395.73M,58.38M,337.34M,,5.73,,5.73,5.73,,5.63,,5.63,5.63,,33.65M,34.26M,,AOR,Restated
2013-11,2.094B,2.094B,1.008B,1.086B,701.97M,,42.43M,-42.43M,,701.97M,383.73M,42.43M,-42.43M,,-42.43M,341.30M,123.21M,218.09M,218.09M,218.09M,439.50M,55.77M,383.73M,,6.39,,6.39,6.39,,6.29,,6.29,6.29,,34.11M,34.68M,,AOR,Restated
2013-08,3.095B,3.095B,1.491B,1.604B,968.16M,,62.50M,-60.90M,,968.16M,636.22M,62.50M,-60.90M,,-60.90M,575.32M,204.12M,371.20M,371.20M,371.20M,709.14M,71.32M,637.83M,,10.59,,10.59,10.59,,10.42,,10.42,10.42,,34.75M,35.30M,,AOR,Restated
