,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-11,442.43M,,,,89.55M,89.55M,10.30M,,,10.51M,,3.15M,17.49M,-124.75M,135.83M,,98.98M,127.55M,683.49M,,-115.40M,,-2.368M,,,5.225M,,-110.18M,,-13.79M,,-13.79M,28.67M,-678.32M,-649.66M,,-663.44M,,1.751B,-90.13M,3.322M,1.664B,,28.67M,,-13.79M,-678.32M,,AOR,
2020-08,740.46M,,,,125.35M,125.35M,26.80M,,,12.58M,,4.158M,-95.41M,-8.89M,588.06M,,23.89M,507.65M,1.417B,,-183.85M,,9.963M,,,-76.07M,,-249.95M,,91.62M,,91.62M,12.09M,0.00,12.09M,-35.19M,68.52M,,509.12M,1.236B,6.133M,1.751B,,12.09M,600.00M,-508.38M,0.00,,AOR,
2020-05,342.90M,,,,91.70M,91.70M,13.13M,,,10.14M,,2.356M,65.74M,86.95M,15.55M,,23.01M,191.25M,651.46M,,-83.32M,,0.615M,,,9.70M,,-73.01M,,-37.15M,,-37.15M,7.601M,-166.06M,-158.46M,-13.78M,-209.39M,,152.97M,369.07M,-12.92M,509.12M,,7.601M,1.007B,-1.044B,-166.06M,,AOR,
2020-02,299.28M,,,,90.67M,90.67M,9.214M,,,12.11M,,2.021M,-5.651M,-129.03M,-99.96M,,25.89M,-208.76M,204.54M,,-89.16M,,0.806M,,,4.148M,,-84.20M,,148.01M,,148.01M,39.88M,-314.85M,-274.96M,,-126.96M,,158.09M,-6.617M,1.498M,152.97M,,39.88M,163.00M,-14.99M,-314.85M,,AOR,
2019-11,350.34M,,,,89.75M,89.75M,1.94M,,,9.996M,,2.195M,-23.25M,-133.21M,117.66M,,31.68M,-7.117M,447.10M,,-101.41M,,0.379M,,,10.32M,,-90.71M,,65.37M,,65.37M,8.822M,-450.00M,-441.18M,,-375.81M,,176.30M,-19.42M,1.206M,158.09M,,8.822M,79.70M,-14.33M,-450.00M,,AOR,Restated
2019-08,565.23M,,,,118.84M,118.84M,17.94M,,,11.73M,,-4.14M,-26.90M,-9.264M,183.47M,,-15.03M,132.28M,841.88M,,-182.20M,,0.244M,,,-24.60M,,-206.55M,,38.32M,,38.32M,23.89M,-691.78M,-667.89M,-1.044M,-630.61M,,174.06M,4.713M,-2.471M,176.30M,,23.89M,0.00,38.32M,-691.78M,,AOR,Restated
2019-05,405.95M,,,,84.89M,84.89M,9.90M,,,9.971M,,1.838M,16.72M,-20.49M,-18.46M,,-20.75M,-42.98M,469.57M,,-118.02M,,0.206M,,,8.72M,,-109.09M,,35.10M,,35.10M,57.35M,-466.02M,-408.67M,-8.36M,-381.93M,,195.66M,-21.45M,-0.155M,174.06M,,57.35M,646.50M,-611.40M,-466.02M,,AOR,Restated
2019-02,294.64M,,,,83.78M,83.78M,-0.209M,,,11.03M,,1.804M,-22.00M,-196.94M,157.13M,,38.65M,-23.16M,367.89M,,-97.66M,,5.519M,,,7.841M,,-84.30M,,-58.81M,,-58.81M,62.91M,-350.04M,-287.13M,,-345.94M,,252.09M,-62.36M,5.936M,195.66M,,62.91M,-45.88M,-12.93M,-350.04M,,AOR,Restated
2018-11,351.41M,,,,82.45M,82.45M,7.42M,,,10.53M,,1.864M,-16.34M,-167.45M,131.54M,,47.77M,-4.487M,449.18M,,-98.17M,,0.633M,,,5.636M,,-91.90M,,136.78M,,136.78M,44.67M,-497.06M,-452.39M,,-315.61M,,217.82M,41.68M,-7.413M,252.09M,,44.67M,149.38M,-12.60M,-497.06M,,AOR,Restated
2018-08,400.28M,,-237.09M,,107.99M,107.99M,11.71M,,0.00,14.12M,,121.20M,3.28M,66.33M,121.32M,,-22.29M,168.63M,823.94M,,-195.10M,,-35.62M,,,-24.21M,,-219.20M,,37.66M,,37.66M,20.02M,-664.86M,-644.84M,0.195M,-606.98M,,218.39M,-2.244M,1.682M,217.82M,,20.02M,170.20M,-132.54M,-664.86M,,AOR,Restated
2018-05,366.72M,,79.75M,,79.75M,79.75M,14.64M,,0.00,5.795M,,1.931M,7.393M,14.10M,-13.08M,,26.76M,35.17M,504.01M,,-112.40M,,33.30M,,,7.048M,,-72.05M,,-105.62M,,-105.62M,4.45M,-399.70M,-395.25M,0.003M,-500.87M,,288.52M,-68.91M,-1.229M,218.39M,,4.45M,0.00,-105.62M,-399.70M,,AOR,Restated
2018-02,289.53M,,79.35M,,79.35M,79.35M,-159.17M,,193.16M,12.68M,,1.928M,-9.81M,-117.81M,-103.37M,,0.836M,-230.15M,187.33M,,-104.47M,,1.512M,,,7.003M,,-95.95M,,56.15M,,56.15M,58.21M,-174.88M,-116.67M,-0.085M,-60.60M,,257.68M,30.77M,0.076M,288.52M,,58.21M,,56.15M,-174.88M,,AOR,Restated
2017-11,281.00M,,77.99M,,77.99M,77.99M,8.556M,,,11.09M,,1.999M,6.671M,-151.40M,308.30M,,20.81M,184.39M,565.02M,,-110.28M,,0.354M,,,-24.73M,,-134.65M,,-117.00M,,-117.00M,7.033M,-352.57M,-345.54M,-1.165M,-463.70M,,293.27M,-33.34M,-2.253M,257.68M,,7.033M,,-117.00M,-352.57M,,AOR,Restated
