,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-10,7.066B,641.00M,7.707B,38.62B,,,38.62B,1.995B,648.00M,4.006B,,4.999B,,51.33B,0.0,286.00M,4.179B,5.936B,12.10B,440.00M,22.94B,-9.824B,13.12B,3.081B,1.327B,4.408B,193.00M,1.251B,1.499B,2.432B,23.76B,75.09B,1.926B,244.00M,730.00M,860.00M,3.76B,3.262B,7.022B,,374.00M,1.238B,11.63B,13.24B,318.00M,13.56B,1.647B,1.647B,,,23.38B,32.60B,135.00M,32.73B,519.00M,519.00M,5.413B,7.00M,,,38.77B,62.15B,4.895B,31.65B,18.06B,,,,-5.539B,12.94B
2020-07,8.19B,640.00M,8.83B,38.76B,,,38.76B,2.101B,696.00M,4.427B,,5.65B,,53.24B,,,,,14.93B,,14.93B,-2.017B,12.91B,2.984B,1.301B,4.285B,199.00M,1.243B,1.534B,2.824B,24.03B,77.26B,,,,,,,9.565B,,,,14.44B,14.44B,,14.44B,,,,,24.00B,34.04B,,34.04B,479.00M,479.00M,5.776B,3.00M,,,40.37B,64.37B,4.75B,31.13B,17.67B,,,,-5.319B,12.89B
2020-04,8.90B,626.00M,9.526B,37.93B,,,37.93B,2.394B,722.00M,4.646B,,6.171B,,53.62B,,,,,14.86B,,14.86B,-1.932B,12.93B,2.917B,1.311B,4.228B,192.00M,1.244B,1.435B,2.713B,23.70B,77.33B,,,,,,,9.072B,,,,15.82B,15.82B,,15.82B,,,,,24.89B,34.32B,,34.32B,475.00M,475.00M,5.68B,1.00M,,,40.57B,65.46B,4.713B,30.56B,17.69B,,,,-5.715B,11.86B
2020-01,3.602B,609.00M,4.211B,37.13B,,,37.13B,2.311B,818.00M,4.946B,,6.482B,,47.82B,,,,,13.40B,,13.40B,,13.40B,2.945B,1.349B,4.294B,217.00M,1.405B,1.414B,2.362B,24.00B,71.82B,,,,,,,8.63B,,,,14.42B,14.42B,,14.42B,,,,,23.05B,30.48B,,30.48B,491.00M,491.00M,5.71B,4.00M,14.00M,,36.84B,59.89B,4.675B,30.13B,17.55B,,,,-5.329B,11.93B
2019-10,3.857B,581.00M,4.438B,38.81B,,,38.81B,2.285B,747.00M,4.613B,,5.975B,,49.22B,0.0,278.00M,4.051B,5.71B,12.05B,733.00M,22.82B,-9.284B,13.54B,2.917B,1.38B,4.297B,215.00M,1.533B,1.466B,1.899B,23.79B,73.01B,1.996B,244.00M,734.00M,611.00M,3.585B,3.374B,6.959B,,658.00M,2.698B,11.75B,15.10B,,15.10B,1.635B,1.635B,,,24.76B,30.18B,51.00M,30.23B,495.00M,495.00M,5.953B,4.00M,14.00M,,36.83B,61.59B,4.642B,29.85B,17.47B,,,,-5.607B,11.41B
2019-07,3.383B,565.00M,3.948B,39.01B,,,39.01B,2.365B,815.00M,5.345B,,6.747B,,49.70B,,,,,13.07B,,13.07B,,13.07B,3.013B,1.444B,4.457B,219.00M,1.589B,1.088B,1.977B,23.83B,73.53B,,,,,,,9.39B,,,,16.19B,16.19B,,16.19B,,,,,25.58B,29.24B,,29.24B,507.00M,507.00M,5.781B,4.00M,14.00M,,35.68B,61.26B,4.599B,29.37B,17.12B,,,,-4.581B,12.27B
2019-04,3.484B,545.10M,4.029B,38.20B,,,38.20B,2.424B,873.00M,5.729B,-0.10M,7.161B,,49.39B,,,,,12.80B,,12.80B,,12.80B,3.025B,1.476B,4.501B,234.80M,1.512B,1.039B,1.871B,23.34B,72.73B,,,,,,,9.626B,,,,16.46B,16.46B,,16.46B,,,,,26.09B,28.26B,,28.26B,513.50M,513.50M,5.733B,4.50M,14.30M,,34.72B,60.81B,4.559B,28.71B,16.74B,,,,-4.610B,11.92B
2019-01,3.626B,523.50M,4.149B,35.21B,,,35.21B,2.506B,1.026B,5.693B,-0.10M,7.402B,,46.76B,,,,,12.69B,,12.69B,,12.69B,3.048B,1.508B,4.556B,211.70M,1.686B,834.10M,1.832B,23.16B,69.92B,,,,,,,9.086B,,,,15.20B,15.20B,,15.20B,,,,,24.29B,27.86B,,27.86B,525.40M,525.40M,5.759B,4.90M,14.00M,,34.30B,58.59B,4.512B,27.82B,16.42B,,,,-4.578B,11.33B
2018-10,3.904B,490.00M,4.394B,36.08B,,,36.08B,2.233B,776.00M,4.777B,,6.149B,,46.62B,0.0,287.00M,3.922B,5.57B,9.795B,619.00M,20.19B,-7.16B,13.03B,3.101B,1.562B,4.663B,207.00M,1.758B,808.00M,1.718B,23.48B,70.11B,2.466B,223.00M,836.00M,672.00M,4.197B,3.263B,7.46B,,808.00M,3.857B,10.35B,15.02B,,15.02B,1.55B,1.55B,,,25.13B,27.24B,,27.24B,556.00M,556.00M,5.751B,3.00M,14.00M,,33.69B,58.82B,4.474B,27.55B,16.31B,,,,-4.427B,11.29B
2018-07,3.923B,488.20M,4.412B,36.08B,,,36.08B,2.126B,795.00M,4.768B,0.30M,6.239B,,46.73B,,,,,12.44B,,12.44B,,12.44B,3.046B,1.581B,4.628B,198.70M,1.328B,1.645B,1.677B,22.66B,69.39B,,,,,,,9.483B,,,,15.53B,15.53B,,15.53B,,,,,25.01B,26.84B,,26.84B,524.60M,524.60M,6.522B,9.60M,14.00M,,34.01B,59.02B,4.451B,26.27B,15.81B,,,,-4.553B,10.36B
