,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,OtherIncomeandExpenses,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,9.526B,9.45B,6.937B,2.513B,1.21B,1.21B,443.00M,,-1.313B,1.423B,1.09B,,1.116B,330.00M,758.00M,,0.00,758.00M,758.00M,1.594B,504.00M,1.09B,2.41,,2.41,2.41,2.39,,2.39,2.39,314.10M,317.20M,0.76
2020-07,8.697B,8.925B,6.125B,2.80B,752.00M,752.00M,370.00M,,408.00M,1.53B,1.27B,,1.27B,457.00M,811.00M,,,811.00M,811.00M,1.817B,547.00M,1.27B,2.59,,2.59,2.59,2.57,,2.57,2.57,313.00M,315.80M,0.76
2020-04,9.073B,9.253B,6.636B,2.617B,906.00M,906.00M,406.00M,,377.00M,1.689B,928.00M,,928.00M,245.00M,666.00M,,,666.00M,666.00M,1.457B,529.00M,928.00M,2.13,,2.13,2.13,2.11,,2.11,2.11,313.20M,316.20M,0.76
2020-01,7.426B,7.631B,5.413B,2.218B,809.00M,809.00M,425.00M,,415.00M,1.649B,569.00M,,569.00M,50.00M,518.00M,,-1.00M,517.00M,517.00M,1.107B,538.00M,569.00M,1.65,,1.65,1.65,1.63,,1.63,1.63,313.50M,317.20M,0.76
2019-10,9.66B,9.579B,7.352B,2.227B,1.087B,1.087B,488.00M,,-1.129B,1.427B,800.00M,,825.00M,104.00M,722.00M,,-1.00M,721.00M,721.00M,1.297B,497.00M,800.00M,2.3,,2.3,2.3,2.27,,2.27,2.27,314.10M,317.90M,0.76
2019-07,9.853B,10.04B,7.244B,2.792B,896.00M,896.00M,431.00M,,352.00M,1.679B,1.113B,,1.113B,221.00M,899.00M,,,899.00M,899.00M,1.619B,506.00M,1.113B,2.84,,2.84,2.84,2.81,,2.81,2.81,315.90M,319.80M,0.76
2019-04,11.11B,11.34B,8.106B,3.236B,947.00M,947.00M,457.00M,,359.00M,1.763B,1.473B,,1.473B,343.00M,1.136B,,-1.00M,1.135B,1.135B,1.986B,513.00M,1.473B,3.57,,3.57,3.57,3.52,,3.52,3.52,317.90M,322.20M,0.76
2019-01,7.756B,7.984B,5.785B,2.199B,764.00M,764.00M,407.00M,,351.00M,1.522B,677.00M,,677.00M,184.00M,500.00M,,-2.00M,498.00M,498.00M,1.18B,503.00M,677.00M,1.56,,1.56,1.56,1.54,,1.54,1.54,318.50M,322.70M,0.76
2018-10,9.188B,9.08B,6.915B,2.165B,1.088B,1.088B,470.00M,,-1.286B,1.20B,965.00M,,979.00M,203.00M,785.00M,,-1.00M,784.00M,784.00M,1.447B,482.00M,965.00M,2.45,,2.45,2.45,2.42,,2.42,2.42,320.20M,324.60M,0.69
2018-07,10.07B,10.31B,7.443B,2.865B,913.00M,913.00M,416.00M,,346.00M,1.675B,1.19B,,1.19B,289.00M,911.00M,,-1.00M,910.00M,910.00M,1.684B,494.20M,1.19B,2.81,,2.81,2.81,2.78,,2.78,2.78,323.50M,328.00M,0.69
