,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,-72.00M,,8.00M,,8.00M,587.00M,587.00M,-97.00M,349.00M,105.00M,-39.00M,249.00M,50.00M,-771.00M,73.00M,,37.00M,-362.00M,,479.00M,,-200.00M,,,,322.00M,-526.00M,-336.00M,-740.00M,,111.00M,23.00M,134.00M,,0.00,0.00,-174.00M,-174.00M,61.00M,0.00,21.00M,,1.462B,-240.00M,-3.00M,1.219B,2020-09,,,852.00M,-741.00M,0.00,,AOR,
2020-06,-3.428B,,-16.00M,,-16.00M,604.00M,604.00M,-269.00M,3.724B,105.00M,-8.579B,1.677B,-32.00M,-1.70B,114.00M,,-28.00M,31.00M,,803.00M,,-251.00M,,,,-30.00M,-219.00M,-47.00M,-547.00M,,530.00M,39.00M,569.00M,,0.00,0.00,-694.00M,-694.00M,0.00,-42.00M,-167.00M,,1.375B,89.00M,-2.00M,1.462B,2020-06,,,3.51B,-2.98B,0.00,,AOR,
2020-03,-7.368B,,-10.00M,,-10.00M,792.00M,792.00M,-781.00M,8.523B,108.00M,8.631B,233.00M,-42.00M,-688.00M,15.00M,,2.00M,-480.00M,,784.00M,,-407.00M,,,,,-1.104B,199.00M,-1.312B,,1.385B,34.00M,1.419B,,-26.00M,-26.00M,-692.00M,-692.00M,85.00M,-9.00M,777.00M,,1.137B,249.00M,-11.00M,1.375B,2020-03,,,1.475B,-90.00M,-26.00M,,AOR,
2019-12,343.00M,,4.00M,,-268.00M,848.00M,848.00M,-178.00M,456.00M,76.00M,13.48B,571.00M,86.00M,229.00M,59.00M,,99.00M,1.044B,,2.252B,,-494.00M,,,,584.00M,-176.00M,-117.00M,-203.00M,,-1.372B,0.00,-1.372B,,0.00,0.00,-692.00M,-692.00M,0.00,-33.00M,-2.097B,,1.183B,-48.00M,2.00M,1.137B,2019-12,,,31.00M,-1.403B,0.00,,AOR,
2019-09,-11.37B,,2.00M,,2.00M,900.00M,900.00M,-732.00M,12.69B,135.00M,-23.00M,152.00M,-68.00M,106.00M,-70.00M,,24.00M,144.00M,,1.745B,,-413.00M,,,,-4.00M,-420.00M,-97.00M,-934.00M,,-360.00M,-22.00M,-382.00M,,-79.00M,-79.00M,-692.00M,-692.00M,113.00M,-50.00M,-1.09B,,1.466B,-279.00M,-4.00M,1.183B,2019-09,,,1.623B,-1.983B,-79.00M,,AOR,Restated
2019-06,493.00M,,-3.00M,,-3.00M,938.00M,938.00M,-29.00M,0.00,86.00M,-16.00M,-301.00M,-135.00M,-12.00M,36.00M,,-57.00M,-469.00M,,1.108B,,-404.00M,,,,-17.00M,-137.00M,-86.00M,-644.00M,,493.00M,16.00M,509.00M,,-101.00M,-101.00M,-693.00M,-693.00M,-1.00M,52.00M,-234.00M,,1.23B,230.00M,6.00M,1.466B,2019-06,,,538.00M,-45.00M,-101.00M,,AOR,Restated
2019-03,430.00M,,3.00M,,3.00M,903.00M,903.00M,-72.00M,0.00,108.00M,108.00M,-280.00M,-197.00M,-478.00M,-93.00M,,2.00M,-1.046B,,326.00M,,-413.00M,,,,,269.00M,-86.00M,-230.00M,,444.00M,-38.00M,406.00M,,-98.00M,-98.00M,-692.00M,-692.00M,107.00M,-20.00M,-297.00M,,1.433B,-201.00M,-2.00M,1.23B,2019-03,,,1.812B,-1.368B,-98.00M,,AOR,Restated
2018-12,549.00M,,-7.00M,,-305.00M,919.00M,919.00M,-178.00M,172.00M,86.00M,258.00M,544.00M,58.00M,116.00M,43.00M,,327.00M,1.088B,,2.331B,,-621.00M,,,,577.00M,-241.00M,-30.00M,-315.00M,,-1.283B,18.00M,-1.265B,,-100.00M,-100.00M,-693.00M,-693.00M,5.00M,-16.00M,-2.069B,,1.493B,-53.00M,-7.00M,1.433B,2018-12,,,678.00M,-1.961B,-100.00M,,AOR,Restated
2018-09,657.00M,,-15.00M,,-15.00M,887.00M,887.00M,-67.00M,0.00,83.00M,83.00M,170.00M,3.00M,6.00M,12.00M,,91.00M,282.00M,,1.827B,,-565.00M,,,,-243.00M,-55.00M,-32.00M,-895.00M,,-227.00M,3.00M,-224.00M,,-100.00M,-100.00M,-692.00M,-692.00M,123.00M,-7.00M,-900.00M,,1.461B,32.00M,0.00,1.493B,2018-09,,,206.00M,-433.00M,-100.00M,,AOR,Restated
2018-06,441.00M,,-21.00M,,-21.00M,876.00M,876.00M,,184.00M,86.00M,270.00M,-132.00M,10.00M,-494.00M,114.00M,,-77.00M,-579.00M,,987.00M,,-520.00M,,,,-34.00M,518.00M,-76.00M,-112.00M,,-414.00M,-1.00M,-415.00M,,-103.00M,-103.00M,-693.00M,-693.00M,6.00M,-59.00M,-1.264B,,1.865B,-389.00M,-15.00M,1.461B,2018-06,,,2.00M,-416.00M,-103.00M,,AOR,Restated
