,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.272B,1.272B,,1.272B,628.10M,628.10M,132.10M,75.00M,282.00M,489.10M,190.40M,,,2.580B,,,,,916.50M,,916.50M,,916.50M,3.283B,2.058B,5.341B,59.00M,6.316B,8.896B,242.80M,75.20M,318.00M,564.10M,882.10M,,,,296.10M,,296.10M,,,,1.178B,1.93B,105.40M,2.035B,423.10M,423.10M,1.80M,496.90M,2.955B,4.134B,2.60M,1.156B,6.592B,2.413B,,,-577.60M,4.760B
2020-06,1.109B,1.109B,,1.109B,500.20M,500.20M,147.80M,78.80M,322.30M,548.90M,204.70M,,,2.363B,,,,,910.50M,,910.50M,,910.50M,3.227B,2.040B,5.267B,64.00M,6.241B,8.604B,214.10M,61.70M,275.80M,486.90M,762.70M,,,,0.30M,,0.30M,,,,763.00M,2.183B,101.00M,2.284B,439.20M,439.20M,2.30M,472.90M,3.196B,3.959B,2.60M,1.125B,6.577B,2.416B,,,-644.70M,4.643B
2020-03,,235.90M,,235.90M,709.10M,709.10M,141.80M,80.30M,368.40M,590.50M,269.70M,,,1.805B,,,,,923.50M,,923.50M,,923.50M,3.192B,2.045B,5.237B,92.50M,6.253B,8.058B,271.10M,64.50M,335.60M,522.90M,858.50M,,,,33.00M,,33.00M,,,,891.50M,1.421B,108.30M,1.530B,464.70M,464.70M,2.70M,482.50M,2.477B,3.368B,2.60M,1.242B,6.554B,2.399B,,,-712.20M,4.688B
2019-12,,404.90M,,404.90M,782.00M,782.00M,122.80M,82.50M,356.40M,561.70M,121.70M,,100.70M,2.000B,0.0,51.90M,553.60M,1.328B,159.30M,102.00M,2.194B,-1.233B,961.70M,3.396B,2.176B,5.573B,68.50M,6.603B,8.603B,307.90M,67.10M,375.00M,238.70M,613.70M,125.00M,,2.30M,2.30M,43.70M,46.00M,29.20M,29.20M,2.80M,995.50M,1.433B,119.50M,1.553B,479.60M,479.60M,2.40M,480.30M,2.512B,3.508B,2.60M,1.404B,6.587B,2.301B,,,-599.70M,5.092B
2019-09,,226.10M,,226.10M,698.40M,698.40M,135.40M,84.00M,385.70M,605.10M,281.70M,,,1.811B,,,,,939.20M,,939.20M,,939.20M,3.356B,2.168B,5.523B,92.90M,6.556B,8.367B,246.30M,69.90M,316.20M,541.00M,857.20M,,,,11.70M,,11.70M,,,,868.90M,1.404B,118.50M,1.522B,500.70M,500.70M,1.80M,415.70M,2.439B,3.308B,2.60M,1.324B,6.567B,2.228B,,,-609.10M,5.057B
2019-06,,250.10M,,250.10M,700.10M,700.10M,130.40M,87.30M,390.60M,608.30M,269.80M,,,1.828B,,,,,975.40M,,975.40M,,975.40M,3.413B,2.296B,5.709B,63.00M,6.747B,8.575B,248.10M,52.00M,300.10M,524.40M,824.50M,,,,56.30M,,56.30M,,,,880.80M,1.441B,119.30M,1.561B,519.80M,519.80M,1.80M,431.20M,2.512B,3.392B,2.60M,1.262B,6.551B,2.132B,,,-502.60M,5.181B
2019-03,,225.40M,,225.40M,658.50M,658.50M,137.20M,88.50M,392.50M,618.20M,293.50M,,,1.796B,,,,,1.018B,,1.018B,,1.018B,3.399B,2.325B,5.724B,67.20M,6.809B,8.604B,269.00M,69.80M,338.80M,511.10M,849.90M,,,,20.70M,,20.70M,,,,870.60M,1.545B,125.50M,1.671B,535.10M,535.10M,1.80M,418.70M,2.624B,3.495B,2.60M,1.245B,6.520B,2.123B,,,-537.40M,5.108B
2018-12,,309.60M,,309.60M,701.90M,701.90M,129.70M,89.20M,380.00M,598.90M,133.00M,,123.30M,1.888B,0.0,55.00M,560.30M,1.354B,,107.60M,2.077B,-1.206B,870.60M,3.431B,2.420B,5.852B,76.80M,6.799B,8.687B,283.90M,68.30M,352.20M,283.00M,635.20M,91.70M,,92.40M,92.40M,,92.40M,29.30M,29.30M,2.80M,1.013B,1.565B,0.00,1.565B,552.80M,552.80M,11.90M,423.00M,2.541B,3.554B,2.60M,1.226B,6.522B,2.151B,,,-478.70M,5.121B
2018-09,,233.10M,,233.10M,702.00M,702.00M,138.50M,90.90M,442.60M,672.00M,295.70M,,,1.903B,,,,,,,,,865.70M,3.444B,2.488B,5.932B,69.10M,6.866B,8.769B,287.80M,69.00M,356.80M,568.50M,925.30M,,,,154.80M,,154.80M,,,,1.080B,1.575B,,1.575B,513.70M,513.70M,12.30M,446.30M,2.535B,3.615B,2.60M,1.244B,6.529B,2.166B,,,-466.50M,5.142B
2018-06,,239.30M,,239.30M,710.30M,710.30M,136.30M,88.40M,441.60M,666.30M,276.50M,,,1.892B,,,,,,,,,857.60M,3.458B,2.547B,6.005B,67.40M,6.930B,8.822B,292.40M,31.90M,324.30M,575.30M,899.60M,,,,218.10M,,218.10M,,,,1.118B,1.587B,,1.587B,538.00M,538.00M,12.90M,439.60M,2.564B,3.682B,2.60M,1.216B,6.526B,2.177B,,,-440.80M,5.127B
2018-03,,317.10M,,317.10M,670.40M,670.40M,149.70M,94.60M,452.30M,696.60M,316.40M,,,2.000B,,,,,,,,,888.20M,4.573B,2.811B,7.385B,99.50M,8.372B,10.37B,286.80M,54.30M,341.10M,531.70M,872.80M,,,,22.60M,,22.60M,,,,895.40M,1.646B,,1.646B,641.40M,641.40M,12.10M,485.30M,2.772B,3.668B,2.60M,2.376B,6.532B,1.936B,,,-281.00M,6.693B
2017-12,,320.60M,54.40M,375.00M,746.20M,746.20M,145.10M,90.40M,387.60M,623.10M,137.50M,,116.80M,2.002B,0.0,58.70M,554.70M,1.368B,,91.60M,2.072B,-1.196B,876.00M,4.539B,2.801B,7.340B,156.10M,8.372B,10.37B,284.40M,61.50M,345.90M,380.80M,726.70M,,,30.10M,30.10M,,30.10M,8.90M,8.90M,17.40M,954.50M,1.612B,,1.612B,718.00M,718.00M,11.60M,462.50M,2.792B,3.747B,2.60M,2.316B,6.544B,1.955B,,,-291.00M,6.616B
2017-09,,370.00M,,370.00M,734.40M,734.40M,145.40M,91.30M,387.70M,624.40M,243.60M,,,1.972B,,,,,,,,,859.90M,5.075B,3.109B,8.184B,182.60M,9.227B,11.20B,249.00M,39.70M,288.70M,538.30M,827.00M,,,,21.40M,,21.40M,,,,848.40M,1.601B,,1.601B,818.20M,818.20M,12.00M,441.90M,2.861B,3.709B,2.60M,2.986B,6.545B,1.737B,,,-318.60M,7.478B
2017-06,,268.40M,,268.40M,664.20M,664.20M,149.60M,91.30M,355.90M,596.80M,236.30M,,,1.766B,,,,,,,,,841.00M,5.024B,3.059B,8.083B,160.30M,9.084B,10.85B,245.60M,31.40M,277.00M,455.10M,732.10M,,,,21.60M,,21.60M,,,,753.70M,1.587B,,1.587B,802.40M,802.40M,11.70M,432.40M,2.822B,3.576B,2.60M,2.916B,6.527B,1.745B,,,-438.00M,7.262B
2017-03,,363.30M,,363.30M,598.60M,598.60M,136.00M,85.60M,343.50M,565.10M,193.60M,,,1.721B,,,,,,,,,807.10M,5.958B,2.955B,8.913B,153.00M,9.873B,11.59B,258.40M,42.10M,300.50M,424.30M,724.80M,,,,22.70M,,22.70M,,,,747.50M,1.528B,,1.528B,753.20M,753.20M,11.40M,401.60M,2.683B,3.430B,2.60M,3.986B,6.516B,1.695B,,,-658.00M,8.152B
2016-12,,383.90M,0.00,383.90M,636.00M,636.00M,128.70M,77.10M,311.30M,517.10M,108.90M,,83.50M,1.744B,0.0,52.80M,500.40M,1.219B,,82.90M,1.855B,-1.055B,799.80M,5.952B,2.958B,8.910B,102.90M,9.812B,11.56B,223.00M,67.20M,290.20M,296.10M,586.30M,,,21.10M,21.10M,,21.10M,14.10M,14.10M,2.70M,767.60M,1.511B,,1.511B,751.70M,751.70M,11.60M,399.50M,2.662B,3.430B,2.60M,3.948B,6.517B,1.647B,,,-705.70M,8.114B
2016-09,,330.70M,,330.70M,672.10M,672.10M,132.30M,85.30M,338.80M,556.40M,282.40M,,,1.842B,,,,,,,,,822.90M,6.057B,3.136B,9.192B,95.60M,10.11B,11.95B,224.00M,47.00M,271.00M,482.80M,753.80M,,,,16.40M,,16.40M,,,,770.20M,1.570B,,1.570B,854.50M,854.50M,13.00M,400.80M,2.825B,3.595B,2.60M,3.859B,6.509B,1.547B,,,-479.40M,8.344B
2016-06,,311.60M,,311.60M,637.20M,637.20M,119.20M,76.40M,327.50M,523.10M,266.50M,,,1.738B,,,,,,,,,794.10M,5.795B,3.028B,8.823B,95.70M,9.713B,11.45B,227.10M,19.50M,246.60M,466.10M,712.70M,,,,9.80M,,9.80M,,,,722.50M,1.172B,,1.172B,849.80M,849.80M,4.10M,391.70M,2.413B,3.136B,2.60M,3.785B,6.499B,1.46B,,,-514.60M,8.312B
2016-03,,323.10M,,323.10M,625.20M,625.20M,119.60M,75.70M,366.80M,562.10M,295.10M,,,1.806B,,,,,,,,,816.50M,5.836B,3.138B,8.974B,86.30M,9.877B,11.68B,287.40M,55.70M,343.10M,500.20M,843.30M,,,,10.90M,,10.90M,,,,854.20M,1.169B,,1.169B,875.50M,875.50M,3.60M,398.20M,2.443B,3.297B,2.60M,3.698B,6.490B,1.377B,,,-431.20M,8.382B
