,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2001-10,24.20M,,,104.65M,,,55.51M,55.51M,-37.34M,,,-17.31M,,,,,,-203.99M,16.61M,146.33M,-18.60M,,-18.60M,-0.989M,-311.77M,-10.05M,-341.41M,,-2.022M,12.29M,0.00,12.29M,,,,,10.27M,1.550B,-184.81M,-0.492M,1.365B,12.29M,,,0.00
2001-07,39.30M,,,-2.692M,,,53.48M,53.48M,10.66M,,,17.31M,,,,,,68.92M,68.92M,186.98M,-43.79M,,-43.79M,0.046M,171.21M,2.52M,129.98M,,-2.016M,18.55M,0.00,18.55M,,,,,16.53M,1.217B,333.50M,-0.327M,1.550B,18.55M,,,0.00
2001-04,102.50M,,,2.692M,,,52.21M,52.21M,-0.262M,,,-0.728M,,,,,,100.58M,100.58M,256.98M,-95.90M,,-95.90M,-1.102M,-134.08M,-0.871M,-231.95M,,-3.521M,2.985M,0.00,2.985M,,,,,-0.536M,1.192B,24.50M,0.669M,1.217B,2.985M,,,0.00
2001-01,190.38M,,,-18.58M,,,49.28M,49.28M,-2.983M,,,0.728M,,,,,,34.50M,34.50M,253.32M,-138.94M,,-138.94M,-36.42M,-598.60M,-3.028M,-777.00M,,-8.66M,6.123M,-21.83M,-15.71M,,,,,-24.37M,1.736B,-548.05M,3.548M,1.192B,6.123M,,,-21.83M
2000-10,199.87M,,,0.00,,,46.23M,46.23M,8.321M,,,-0.558M,,,,,,17.98M,15.09M,268.95M,-106.94M,,-106.94M,-164.09M,5.12M,-54.35M,-320.27M,,1.169B,1.771M,,1.771M,,,,,1.170B,619.08M,1.119B,-1.735M,1.736B,1.771M,,,
2000-07,192.20M,,,-43.86M,,,37.13M,37.13M,-11.15M,,,-0.001M,,,,,,-57.27M,-57.27M,117.06M,-75.05M,,-75.05M,-3.00M,-22.76M,62.81M,-38.00M,,5.838M,20.40M,,20.40M,,,,,26.24M,514.89M,105.29M,-1.101M,619.08M,20.40M,,,
2000-04,122.06M,,,,,,37.42M,37.42M,0.283M,,,0.159M,,,,,,-5.918M,-5.918M,154.00M,-52.15M,,-52.15M,-0.976M,69.24M,8.337M,24.46M,,-85.93M,10.69M,,10.69M,,,,0.10M,-75.14M,409.50M,103.32M,2.188M,514.89M,10.69M,,,
2000-01,93.00M,,,,,,35.90M,35.90M,-10.00M,,,0.40M,,,,,,45.20M,45.20M,164.50M,-40.70M,,-40.70M,-1.20M,-78.90M,-1.60M,-122.40M,,-1.10M,10.00M,,10.00M,,,,-0.10M,8.80M,355.90M,50.90M,2.60M,409.50M,10.00M,,,
1999-10,73.20M,,,12.00M,,,35.80M,35.80M,10.40M,,,-0.10M,,,,,,-17.90M,47.10M,178.40M,-11.00M,,-11.00M,,-73.60M,-107.00M,-212.10M,,-4.00M,-12.30M,,-12.30M,,,,-0.10M,-16.40M,405.60M,-50.10M,0.40M,355.90M,-12.30M,,,
1999-07,54.60M,,,3.10M,,,35.90M,35.90M,4.00M,,,5.80M,,,,,,17.90M,17.90M,121.30M,-20.50M,,-20.50M,,-222.10M,104.70M,-137.90M,,-1.10M,20.90M,,20.90M,,,,-0.10M,19.70M,401.30M,3.10M,1.20M,405.60M,20.90M,,,
1999-04,39.10M,,,4.00M,,,35.70M,35.70M,0.90M,,,-5.70M,,,,,,10.30M,10.30M,84.30M,-33.70M,,-33.70M,,14.70M,3.40M,-15.60M,,-5.70M,5.70M,,5.70M,,,,0.10M,0.10M,332.40M,68.80M,0.10M,401.30M,5.70M,,,
1999-01,29.90M,,,2.30M,,,35.20M,35.20M,1.30M,,,,,,,,,-10.30M,-10.30M,58.40M,-12.30M,,-12.30M,,17.50M,2.40M,7.60M,,-1.50M,4.80M,,4.80M,,,,,3.30M,263.30M,69.30M,-0.20M,332.40M,4.80M,,,
1998-10,26.30M,,,-9.30M,,,34.30M,34.30M,-16.20M,,,0.10M,,,,,,8.90M,-8.80M,26.40M,-22.90M,,4.10M,,-2.70M,9.80M,11.20M,,1.40M,5.10M,-39.50M,-34.40M,,,,,-33.00M,261.70M,4.60M,-3.00M,263.30M,5.10M,,,-39.50M
1998-07,9.20M,,,12.50M,,,32.30M,32.30M,0.50M,,,-6.40M,,,,,,-8.90M,-8.90M,39.20M,-24.70M,,-24.70M,,53.90M,-60.30M,-31.10M,,-1.30M,13.70M,-44.70M,-31.00M,,,,,-32.30M,286.10M,-24.20M,-0.20M,261.70M,13.70M,,,-44.70M
