,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2013-10,201.55M,,,-85.44M,27.52M,0.055M,27.57M,27.57M,-6.558M,13.12M,-1.098M,0.887M,,,,,,,132.13M,282.16M,-48.56M,,-48.56M,100.00M,-300.25M,-1.591M,-250.40M,0.00,0.00,,-42.81M,-42.81M,-105.94M,-105.94M,44.40M,3.881M,-100.47M,460.07M,-68.70M,0.725M,392.09M,,0.00,0.00,-42.81M
2013-07,176.24M,,,10.20M,27.45M,0.055M,27.50M,27.50M,-0.739M,12.75M,-6.265M,0.31M,,,,,,,0.025M,220.02M,-30.07M,,-30.07M,-2.475M,-413.71M,-1.54M,-447.79M,101.09M,101.09M,,3.80M,3.80M,-104.92M,-104.92M,85.85M,6.574M,92.39M,595.63M,-135.37M,-0.191M,460.07M,,493.88M,-392.79M,3.80M
2013-04,164.47M,,,,27.48M,0.055M,27.53M,27.53M,-0.767M,17.96M,-2.833M,-0.02M,,,,,,,45.84M,252.19M,-26.18M,,-26.18M,,-385.48M,-0.478M,-412.13M,0.00,0.00,,-4.519M,-4.519M,-104.42M,-104.42M,62.26M,7.017M,-39.66M,795.80M,-199.61M,-0.556M,595.63M,,,0.00,-4.519M
2013-01,131.22M,,,,27.76M,0.055M,27.81M,27.81M,-9.635M,13.06M,-5.975M,-1.362M,,,,,,,2.848M,157.97M,-18.27M,,-18.27M,,180.72M,-2.048M,160.40M,-60.11M,-60.11M,,-17.00M,-17.00M,-90.68M,-90.68M,113.77M,1.196M,-52.82M,528.83M,265.55M,1.416M,795.80M,,,-60.11M,-17.00M
2012-10,179.19M,,0.00,0.00,27.48M,0.054M,27.54M,27.54M,-5.696M,14.28M,-2.678M,-1.417M,,,,,,,24.84M,236.05M,-37.51M,,-37.51M,0.00,-68.50M,-0.447M,-106.46M,-33.62M,-33.62M,,-20.83M,-20.83M,-91.37M,-91.37M,80.53M,1.553M,-63.75M,462.15M,65.84M,0.845M,528.83M,,0.00,-33.62M,-20.83M
2012-07,169.77M,,0.00,0.00,27.11M,0.056M,27.16M,27.16M,0.034M,13.79M,-5.054M,-1.161M,,,,,,,-66.84M,137.71M,-39.24M,,-39.24M,0.00,-243.68M,0.408M,-282.52M,-3.625M,-3.625M,,-17.48M,-17.48M,-89.51M,-89.51M,23.47M,0.299M,-86.85M,695.07M,-231.66M,-1.256M,462.15M,,0.00,-3.625M,-17.48M
2012-04,162.90M,,-1.231M,-1.231M,26.87M,0.018M,26.89M,26.89M,-7.762M,12.10M,-2.602M,-0.981M,,,,,,,36.66M,225.97M,-30.14M,,-30.14M,-24.16M,-488.57M,-1.65M,-544.51M,-3.625M,-3.625M,,-44.14M,-44.14M,-89.40M,-89.40M,38.88M,13.97M,-84.32M,1.097B,-402.87M,0.491M,695.07M,,,-3.625M,-44.14M
2012-01,139.38M,,,,28.24M,0.00,28.24M,28.24M,3.623M,13.33M,-1.896M,0.591M,,,,,,,31.54M,214.82M,-25.29M,,-25.29M,,-381.24M,0.327M,-406.20M,-15.62M,-15.62M,,-78.59M,-78.59M,-74.42M,-74.42M,48.86M,5.071M,-114.70M,1.405B,-306.09M,-1.572M,1.097B,,,-15.62M,-78.59M
2011-10,,0.00,,0.00,28.78M,0.267M,29.05M,29.05M,8.693M,13.55M,-7.64M,-684.22M,,,,,,,3.332M,230.16M,-26.33M,,-26.33M,0.00,-31.22M,0.088M,-57.46M,-28.39M,-3.625M,,-83.05M,-83.05M,-74.82M,-74.82M,28.16M,8.554M,-124.79M,1.358B,47.91M,-0.63M,1.405B,,0.00,,-83.05M
2011-07,,0.00,,0.00,29.13M,0.347M,29.48M,29.48M,4.65M,13.31M,-1.282M,220.42M,,,,,,,-9.598M,256.98M,-36.98M,,-36.98M,-13.99M,-620.24M,0.836M,-670.37M,0.00,-21.14M,,-66.28M,-66.28M,-74.99M,-74.99M,41.16M,-1.128M,-122.39M,1.895B,-535.78M,-1.162M,1.358B,,0.00,,-66.28M
