,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,44.23M,,44.23M,42.27M,195.38M,,237.64M,,67.21M,2.975B,,,,192.35M,,192.35M,,192.35M,,519.92M,519.92M,447.58M,,,665.11M,12.94B,15.92B,,,,763.39M,129.59M,129.59M,129.59M,774.32M,774.32M,415.74M,2.083B,6.168B,179.90M,6.348B,,,556.23M,,144.20M,6.492B,8.576B,,538.40M,-3.976B,10.23B,,,,-3.685M,6.788B,,AOR,
2020-09,197.12M,,197.12M,63.22M,231.16M,,294.38M,,102.42M,2.807B,,,,190.88M,,190.88M,,190.88M,,501.58M,501.58M,480.98M,,,737.10M,12.94B,15.75B,,,,834.52M,0.00,0.00,0.00,755.02M,755.02M,93.05M,1.683B,6.380B,175.00M,6.555B,,,566.25M,,108.03M,6.663B,8.346B,,538.36M,-3.923B,10.23B,,,,-3.236M,6.840B,,AOR,
2020-06,730.96M,,730.96M,73.43M,253.77M,,327.21M,,105.68M,1.543B,,,,193.73M,,193.73M,,193.73M,,537.56M,537.56M,505.09M,,,750.51M,14.77B,16.32B,,,,847.08M,0.00,0.00,0.00,751.44M,751.44M,32.65M,1.631B,6.729B,177.03M,6.906B,,,570.05M,,110.73M,7.017B,8.648B,,538.32M,-3.660B,10.22B,,,,-2.186M,7.099B,,AOR,
2020-03,783.54M,,783.54M,85.04M,220.65M,,305.69M,,106.56M,1.468B,,,,171.84M,,171.84M,,171.84M,,550.35M,550.35M,524.61M,,,776.39M,14.61B,16.07B,,,,856.03M,0.00,0.00,0.00,753.43M,753.43M,31.72M,1.641B,6.389B,156.81M,6.546B,,,576.94M,,72.14M,6.618B,8.259B,,538.14M,-3.512B,10.21B,,,,-2.495M,7.237B,,AOR,
2019-12,80.40M,,80.40M,44.84M,190.58M,,235.42M,,13.38M,3.977B,,,,167.32M,,167.32M,,167.32M,,260.20M,260.20M,858.98M,,,538.29M,10.06B,14.03B,,,,457.53M,93.00M,93.00M,93.00M,274.55M,274.55M,403.69M,1.229B,5.909B,152.40M,6.062B,,,582.42M,,74.99M,6.137B,7.365B,,505.22M,-3.601B,9.184B,,,,-2.857M,6.085B,,AOR,Restated
2019-09,124.99M,,124.99M,56.99M,137.62M,,194.61M,,30.11M,752.46M,,,,172.96M,,172.96M,,172.96M,,303.72M,303.72M,589.85M,,,656.12M,13.26B,14.01B,,,,431.49M,737.79M,737.79M,737.79M,208.65M,208.65M,35.06M,1.413B,5.863B,156.30M,6.019B,,,590.22M,,54.91M,6.074B,7.487B,,494.85M,-3.461B,8.905B,,,,-5.223M,5.933B,,AOR,Restated
2019-06,130.52M,,130.52M,53.84M,124.56M,,178.40M,,25.53M,495.45M,,,,172.42M,,172.42M,,172.42M,,317.96M,317.96M,875.14M,,,618.22M,13.22B,13.71B,,,,371.24M,530.00M,530.00M,530.00M,193.29M,193.29M,30.09M,1.125B,5.761B,154.88M,5.915B,,,564.87M,,53.77M,5.969B,7.094B,,491.11M,-3.233B,8.801B,,,,-4.459M,6.054B,,AOR,Restated
2019-03,120.12M,,120.12M,48.56M,86.14M,,134.69M,,26.54M,292.19M,,,,165.75M,,165.75M,,165.75M,,275.56M,275.56M,895.36M,,,643.46M,12.61B,12.90B,,,,352.64M,276.50M,276.50M,276.50M,181.47M,181.47M,0.132M,810.74M,5.487B,152.84M,5.640B,,,562.18M,,49.49M,5.690B,6.500B,,477.93M,-3.042B,8.405B,,,,-3.883M,5.837B,,AOR,Restated
2018-12,110.79M,,110.79M,48.17M,63.00M,,111.17M,,29.06M,359.10M,,,,,,0.00,,0.00,,305.08M,305.08M,1.254B,,,591.02M,12.36B,12.72B,,,,391.58M,80.10M,80.10M,80.10M,190.68M,190.68M,1.125M,663.49M,5.488B,0.00,5.488B,,,568.15M,,54.66M,5.542B,6.206B,,477.50M,-2.927B,8.399B,,,,-4.708M,5.944B,,AOR,Restated
2018-09,78.86M,,78.86M,48.70M,41.30M,,90.00M,,29.88M,621.81M,,,,,,,,,,305.80M,305.80M,1.338B,,,582.68M,12.46B,13.08B,,,,410.80M,636.71M,636.71M,636.71M,174.51M,174.51M,3.146M,1.225B,6.162B,,6.162B,,,569.21M,,56.87M,6.218B,7.444B,,469.92M,-3.584B,8.190B,,,,-4.297M,5.071B,,AOR,Restated
