,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,150.24M,13.25M,,,-302.61M,19.24M,-270.12M,,,155.75M,155.75M,-6.328M,,146.53M,,3.976M,-19.50M,-7.222M,65.02M,,,,57.79M,218.71M,,,,,,-29.33M,77.39M,7.099M,-241.22M,,120.97M,,120.97M,1.171M,-0.256M,0.915M,,,,-199.48M,-199.48M,-17.75M,-95.34M,,299.54M,-188.11M,0.00,111.43M,,1.171M,2.717B,-2.596B,-0.256M,,,,AOR,
2020-09,-59.58M,-3.26M,,,-0.149M,19.48M,33.99M,,,173.63M,173.63M,23.70M,,34.55M,,4.42M,-27.80M,9.386M,27.27M,,,,36.65M,219.90M,,,,,,-11.39M,15.45M,-32.45M,-231.21M,,-302.21M,,-302.21M,0.511M,-0.275M,0.236M,,,,-199.55M,-199.55M,-24.27M,-525.80M,,836.64M,-537.10M,0.00,299.54M,,0.511M,0.00,-302.21M,-0.275M,,,,AOR,
2020-06,55.05M,-2.528M,,,-82.83M,17.09M,-42.44M,,,178.49M,178.49M,-7.036M,,24.05M,,4.14M,-27.26M,18.15M,19.56M,,,,37.71M,224.78M,,,,,,5.492M,25.58M,-82.68M,-384.26M,,342.58M,,342.58M,0.767M,-0.261M,0.506M,,,,-199.55M,-199.55M,-37.37M,106.16M,,890.10M,-53.32M,-0.143M,836.64M,,0.767M,594.75M,-252.17M,-0.261M,,,,AOR,
2020-03,282.54M,-167.43M,,,-206.58M,11.98M,-362.86M,,,189.28M,189.28M,-24.91M,,39.12M,,4.832M,-19.09M,-5.036M,-18.34M,,,,-23.38M,95.04M,,,,,,-398.07M,84.34M,-29.86M,-151.01M,,-98.34M,,-98.34M,1.066B,-9.737M,1.057B,,,,-188.50M,-188.50M,-8.432M,761.42M,,184.66M,705.45M,-0.01M,890.10M,,1.066B,2.026B,-2.124B,-9.737M,,,,AOR,
2019-12,47.36M,-156.54M,,,-4.192M,-1.387M,-139.91M,,,190.80M,190.80M,-3.785M,,110.28M,,3.633M,-4.282M,-18.33M,23.59M,,,,5.261M,217.47M,,,,,,443.75M,0.125M,-52.22M,-7.264M,,-244.34M,,-244.34M,284.91M,-0.112M,284.80M,,,,-183.46M,-183.46M,-37.97M,-180.98M,,155.10M,-61.64M,0.322M,93.78M,,284.91M,5.668B,-5.913B,-0.112M,,,,AOR,Restated
2019-09,-42.31M,0.02M,,,0.784M,7.643M,43.46M,,,171.94M,171.94M,-6.982M,,38.26M,,4.171M,-6.341M,-15.97M,58.86M,,,,42.88M,248.04M,,,,,,-5.526M,273.18M,-36.68M,-352.54M,,203.34M,,203.34M,103.64M,-0.349M,103.30M,,,,-182.11M,-182.11M,-20.94M,103.59M,,156.05M,-0.906M,-0.042M,155.10M,,103.64M,2.647B,-2.443B,-0.349M,,,,AOR,Restated
2019-06,-9.98M,-11.50M,,,-11.45M,1.506M,-20.31M,,,165.30M,165.30M,-3.686M,,68.54M,,6.247M,-5.436M,-4.359M,21.85M,,,,17.49M,221.98M,,,,,,-4.671M,0.36M,-47.94M,-928.70M,,502.10M,,502.10M,405.45M,-1.663M,403.79M,,,,-177.26M,-177.26M,-12.49M,716.14M,,146.65M,9.415M,-0.015M,156.05M,,405.45M,1.27B,-767.90M,-1.663M,,,,AOR,Restated
2019-03,64.99M,0.00,,,-8.044M,0.863M,-7.181M,,,131.95M,131.95M,-3.80M,,8.858M,,4.111M,-1.832M,-11.11M,-32.63M,,,,-43.75M,158.58M,,,,,,-3.87M,0.481M,-42.11M,-160.28M,,192.56M,,192.56M,1.578M,-2.919M,-1.341M,,,,-177.29M,-177.29M,-5.415M,8.521M,,139.85M,6.826M,-0.02M,146.65M,,1.578M,320.00M,-127.44M,-2.919M,,,,AOR,Restated
2018-12,834.38M,,,,-763.77M,2.152M,-770.51M,,,130.76M,130.76M,-5.694M,,36.08M,,3.465M,-36.81M,10.35M,8.825M,,,,19.18M,215.79M,,,,,,-1.388M,0.589M,-80.13M,1.012B,,-1.231B,,-1.231B,212.97M,-0.09M,212.88M,,,,-174.35M,-174.35M,-3.753M,-1.196B,,108.74M,-47.54M,-0.054M,61.14M,,212.97M,620.00M,-1.851B,-0.09M,,,,AOR,Restated
2018-09,102.93M,,,,-95.33M,0.911M,-50.52M,,,132.20M,132.20M,-5.443M,,5.268M,,2.88M,0.995M,3.779M,-2.445M,,,,1.334M,193.24M,,,,,,389.24M,15.01M,-45.38M,325.77M,,-608.93M,,-608.93M,1.253M,-0.564M,0.689M,,,,-174.13M,-174.13M,249.95M,-532.42M,,121.93M,-13.41M,0.221M,108.74M,,1.253M,973.59M,-1.583B,-0.564M,,,,AOR,Restated
2018-06,92.93M,,,,-46.06M,0.101M,-45.96M,,,143.29M,143.29M,-4.994M,,17.21M,,4.299M,-3.405M,9.638M,21.93M,,,,31.57M,243.51M,,,,,,333.34M,0.00,-32.07M,481.04M,,-541.85M,,-541.85M,0.659M,-0.634M,0.025M,,,,-174.29M,-174.29M,-4.389M,-720.50M,,117.97M,4.048M,-0.087M,121.93M,,0.659M,213.00M,-754.85M,-0.634M,,,,AOR,Restated
2018-03,43.24M,,,,-20.82M,-0.57M,-21.38M,,,143.25M,143.25M,-2.394M,,-3.298M,,5.919M,31.27M,-18.08M,12.32M,,,,-5.767M,196.16M,,,,,,-3.688M,132.43M,-19.89M,10.73M,,68.83M,,68.83M,2.774M,-2.144M,0.63M,,,,-174.15M,-174.15M,-66.55M,-171.24M,,82.20M,35.65M,0.111M,117.97M,,2.774M,240.00M,-171.17M,-2.144M,,,,AOR,Restated
2017-12,-57.92M,,,,-33.79M,-6.33M,-40.12M,,,136.83M,136.83M,12.26M,,84.37M,,3.393M,47.31M,-22.56M,29.13M,,,,6.568M,209.14M,,,,,,-20.56M,8.499M,-41.99M,-494.44M,,408.50M,,408.50M,10.00M,-0.326M,9.677M,,,,-174.18M,-174.18M,-37.50M,206.50M,,161.02M,-78.79M,-0.025M,82.20M,,10.00M,1.221B,-812.27M,-0.326M,,,,AOR,Restated
2017-09,-5.72M,,,,-5.182M,-1.062M,47.98M,,,130.59M,130.59M,-5.314M,,25.33M,,3.773M,10.08M,6.556M,-16.14M,,,,-9.58M,206.31M,,,,,,-4.474M,0.511M,-36.54M,-236.11M,,-35.82M,,-35.82M,4.231M,-0.098M,4.133M,,,,-173.66M,-173.66M,-57.45M,-262.80M,,453.45M,-292.60M,0.174M,161.02M,,4.231M,23.42M,-59.24M,-0.098M,,,,AOR,Restated
2017-06,22.10M,,,,-0.412M,-0.24M,-0.652M,,,130.75M,130.75M,-4.342M,,56.68M,,3.327M,-0.988M,-9.913M,30.81M,,,,20.90M,238.46M,,,,,,-13.19M,364.40M,-29.32M,243.04M,,-681.87M,,-681.87M,10.42M,-0.829M,9.586M,,,,-173.49M,-173.49M,-7.428M,-853.20M,,824.92M,-371.69M,0.22M,453.45M,,10.42M,5.395M,-687.26M,-0.829M,,,,AOR,Restated
2017-03,464.18M,,,,-368.15M,-3.269M,-371.42M,,,136.55M,136.55M,-8.13M,,,,3.765M,-1.809M,1.136M,-38.98M,,,,-37.85M,193.13M,,,,,,454.13M,185.36M,-37.69M,1.734B,,-1.060B,,-1.060B,3.472M,-3.532M,-0.06M,,,,-173.63M,-173.63M,-5.009M,-1.239B,,136.99M,687.92M,0.007M,824.92M,,3.472M,,-1.060B,-3.532M,,,,AOR,Restated
2016-12,61.79M,,,0.127M,-45.09M,-15.39M,-14.33M,,,146.93M,146.93M,0.00,,0.00,,3.577M,0.491M,-14.55M,1.352M,,,9.674M,-3.524M,215.50M,,,,,,-0.017M,158.71M,-396.94M,-114.81M,,-1.622B,,-1.622B,8.466M,-0.018M,8.448M,,,,-173.30M,-173.30M,1.630B,-156.94M,,132.89M,-56.25M,-0.265M,136.99M,,8.466M,1.108B,-2.730B,-0.018M,,,,AOR,Restated
2016-09,155.51M,,,-0.036M,0.009M,2.053M,2.026M,,,141.41M,141.41M,-1.961M,,0.00,,9.802M,1.209M,10.43M,17.37M,,,-6.782M,21.01M,331.72M,,,,,,-0.013M,0.00,-20.56M,-160.54M,,111.85M,,111.85M,13.26M,-4.793M,8.467M,,,,-269.18M,-269.18M,-5.711M,-154.58M,,116.45M,16.60M,-0.158M,132.89M,,13.26M,-642.90M,754.74M,-4.793M,,,,AOR,Restated
2016-06,306.31M,,,-0.002M,-119.61M,1.067M,-118.55M,,,139.92M,139.92M,0.00,,,,4.16M,1.16M,-6.576M,66.30M,,,3.955M,63.68M,398.30M,,,,,,-0.02M,0.00,19.95M,12.14M,,-124.47M,,-124.47M,11.80M,-0.246M,11.56M,,,,-268.88M,-268.88M,-6.559M,-388.35M,,91.09M,25.67M,-0.303M,116.45M,,11.80M,220.00M,-344.47M,-0.246M,,,,AOR,Restated
2016-03,121.21M,,,-0.089M,,0.908M,0.819M,,,139.86M,139.86M,49.16M,,,,5.345M,-3.218M,3.705M,-43.00M,,,-6.847M,-46.14M,268.62M,,,,,,-10.14M,,32.41M,-165.76M,,-114.02M,,-114.02M,34.12M,-3.628M,30.49M,,,,-268.19M,-268.19M,-2.689M,-354.40M,,346.50M,-255.12M,-0.293M,91.09M,,34.12M,422.90M,-536.92M,-3.628M,,,,AOR,Restated
2015-12,-678.80M,,,7.103M,0.00,-23.40M,-14.80M,-369.63M,0.98M,136.26M,136.26M,,,829.59M,,5.059M,55.54M,-18.39M,28.32M,,,1.186M,11.11M,354.48M,,,,,,-795.11M,627.27M,-371.91M,25.22M,,-3.01M,,-3.01M,36.97M,-0.732M,36.24M,,,,-263.06M,-263.06M,88.04M,-141.79M,,120.50M,231.85M,-0.27M,401.06M,,36.97M,414.11M,-417.12M,-0.732M,,,,AOR,Restated
2015-09,117.95M,,,2.763M,-0.052M,-8.314M,-6.095M,134.70M,-0.344M,134.36M,134.36M,,,96.86M,,5.344M,-26.09M,-4.17M,-53.86M,,,7.287M,-50.75M,273.67M,,,,,,-11.73M,-52.30M,19.80M,-40.52M,,-36.38M,,-36.38M,76.38M,-0.316M,76.06M,,,,-261.68M,-261.68M,-5.17M,-227.16M,,115.77M,5.995M,-1.267M,120.50M,,76.38M,95.54M,-131.92M,-0.316M,,,,AOR,Restated
2015-06,167.75M,,,-10.00M,-0.061M,-12.00M,-22.16M,120.40M,-0.258M,120.14M,120.14M,,,44.84M,,9.559M,-29.19M,-2.65M,76.94M,,,-2.634M,71.65M,363.92M,,,,,,-4.233M,35.58M,-121.47M,-1.317B,,1.172B,,1.172B,30.69M,-1.594M,29.10M,,,,-261.21M,-261.21M,-8.096M,931.32M,,137.17M,-21.54M,0.144M,115.77M,,30.69M,930.00M,241.53M,-1.594M,-0.383M,-168.16M,,AOR,Restated
2015-03,-237.50M,,,0.134M,-6.264M,-13.60M,-20.63M,114.52M,-0.378M,114.14M,114.14M,,,478.46M,,6.165M,-26.93M,-3.814M,-75.15M,,,-5.839M,-84.80M,230.07M,,,,,,-27.28M,17.50M,-186.35M,-328.29M,,266.26M,,266.26M,62.42M,-6.096M,56.33M,,,,-260.69M,-260.69M,-10.18M,51.72M,,183.81M,-46.50M,-0.144M,137.17M,,62.42M,928.12M,-661.86M,-6.096M,0.383M,168.16M,,AOR,Restated
2014-12,125.26M,,,-0.127M,-3.288M,-10.18M,-15.06M,111.52M,-0.33M,111.19M,111.19M,,,,,5.418M,58.52M,-1.652M,36.80M,,,8.058M,43.21M,365.60M,,,,,,0.00,,-646.35M,-554.65M,,525.31M,,525.31M,23.53M,-1.104M,22.43M,,,,-250.72M,-250.72M,-9.397M,287.62M,,83.53M,96.67M,1.712M,181.92M,,23.53M,770.96M,-245.65M,-1.104M,,,,AOR,Restated
