,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,-126.45M,-126.45M,-223.60M,97.15M,25.51M,25.51M,,-54.81M,54.53M,,46.18M,,-46.18M,,38.06M,59.09M,,46.18M,-46.18M,-105.57M,-46.18M,-92.65M,6.793M,-117.50M,,,-3.851M,,146.39M,-46.16M,109.27M,155.75M,-46.48M,,-0.04,0.31,,,0.0996,0.27,,-0.04,0.31,,,0.0995,0.27,,538.50M,538.86M,0.37,,AOR,
2020-09,597.74M,597.74M,314.29M,283.45M,21.66M,21.66M,,34.55M,-55.06M,,56.24M,,-56.24M,,195.29M,88.16M,,56.24M,-56.24M,-47.85M,-56.24M,-15.93M,24.17M,-59.58M,,,-3.836M,,-63.42M,-23.33M,213.94M,173.63M,40.31M,,-0.12,,,,-0.0455,-0.12,,-0.12,,,,-0.0455,-0.12,,538.33M,538.33M,0.37,,AOR,
2020-06,588.44M,588.44M,315.84M,272.60M,23.72M,23.72M,,24.05M,-50.50M,,57.55M,,-57.55M,,202.21M,70.39M,,57.55M,-57.55M,51.95M,-57.55M,64.79M,-7.346M,55.05M,,,-3.543M,,51.51M,27.88M,300.83M,178.49M,122.34M,,0.09,,,,0.0461,0.09,,0.09,,,,0.0461,0.09,,538.26M,538.52M,0.37,,AOR,
2020-03,585.15M,585.15M,376.01M,209.14M,22.35M,22.35M,,39.12M,-53.14M,,58.38M,,-58.38M,,211.62M,-2.488M,,58.38M,-58.38M,322.34M,-58.38M,261.48M,-33.04M,282.54M,,,-3.46M,,279.08M,197.52M,509.13M,189.28M,319.85M,,0.55,,,,0.3890,0.55,,0.54,,,,0.3816,0.54,,506.48M,515.04M,0.37,,AOR,
2019-12,-225.35M,-225.35M,-225.74M,0.392M,21.52M,21.52M,,-97.94M,80.94M,,50.11M,,-50.11M,,-12.48M,12.87M,,50.11M,-50.11M,202.43M,-50.11M,165.19M,6.104M,162.77M,,,-3.839M,,43.52M,99.03M,406.10M,190.80M,215.30M,,0.09,,,,-0.0305,0.09,,0.09,,,,-0.0291,0.09,,497.24M,502.96M,0.37,,AOR,Restated
2019-09,537.97M,537.97M,248.07M,289.90M,22.97M,22.97M,,38.26M,-74.59M,,61.23M,,-61.23M,,194.91M,94.99M,,61.23M,-61.23M,-74.68M,-61.23M,-40.93M,-6.261M,-42.31M,,,-3.555M,,-45.86M,17.98M,192.25M,171.94M,20.30M,,-0.09,,,,0.0400,-0.09,,-0.09,,,,0.0400,-0.09,,491.20M,491.20M,0.37,,AOR,Restated
2019-06,491.57M,491.57M,213.99M,277.57M,27.12M,27.12M,,68.54M,-71.01M,,56.94M,,-56.94M,,192.42M,85.16M,,56.94M,-56.94M,-38.55M,-56.94M,-10.34M,-1.864M,-9.98M,,,-3.617M,,-13.60M,35.23M,211.90M,165.30M,46.60M,,-0.03,,,,0.0720,-0.03,,-0.03,,,,0.0720,-0.03,,478.74M,478.74M,0.37,,AOR,Restated
2019-03,436.15M,436.15M,168.93M,267.23M,21.36M,21.36M,,8.858M,-13.38M,,49.33M,,-49.33M,,153.31M,113.92M,,49.33M,-49.33M,-2.199M,-49.33M,62.40M,-3.458M,64.99M,,,-3.52M,,61.47M,65.36M,243.67M,131.95M,111.72M,,0.13,,,,0.1381,0.13,,0.13,,,,0.1381,0.13,,477.77M,479.13M,0.37,,AOR,Restated
2018-12,-213.45M,-213.45M,-148.97M,-64.48M,21.51M,21.51M,,-8.263M,15.95M,,49.65M,,-49.65M,,7.451M,-71.93M,,49.65M,-49.65M,735.55M,-49.65M,613.96M,10.52M,598.13M,,,-2.835M,,831.55M,-78.07M,794.38M,130.76M,663.62M,,1.75,,,,0.3264,1.75,,1.73,,,,0.3611,1.73,,473.01M,491.92M,0.37,,AOR,Restated
2018-09,456.02M,456.02M,181.21M,274.82M,23.50M,23.50M,,5.268M,-53.66M,,63.49M,,-63.49M,,155.70M,119.11M,,63.49M,-63.49M,43.28M,-63.49M,98.91M,-4.929M,102.93M,,,-3.555M,,99.37M,68.95M,294.59M,132.20M,162.39M,,0.21,,,,0.1453,0.21,,0.21,,,,0.1453,0.21,,469.87M,470.12M,0.37,,AOR,Restated
2018-06,469.55M,469.55M,173.87M,295.68M,22.51M,22.51M,,13.91M,-16.32M,,73.04M,,-73.04M,,165.81M,129.88M,,73.04M,-73.04M,31.53M,-73.04M,88.38M,-4.654M,92.93M,,,-2.986M,,89.94M,68.23M,304.70M,143.29M,161.41M,,0.19,,,,0.1438,0.19,,0.19,,,,0.1438,0.19,,469.77M,469.94M,0.37,,AOR,Restated
2018-03,479.20M,479.20M,172.55M,306.64M,29.18M,29.18M,,0.00,-2.195M,,75.10M,,-75.10M,,172.42M,134.22M,,75.10M,-75.10M,-21.79M,-75.10M,37.33M,-5.336M,43.24M,,,-3.005M,,40.23M,26.64M,255.68M,143.25M,112.43M,,0.08,,,,0.0511,0.08,,0.08,,,,0.0511,0.08,,469.56M,469.70M,0.37,,AOR,Restated
