,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.094B,1.126B,729.52M,396.40M,,613.73M,613.73M,,-4.116M,173.81M,,-173.81M,0.011M,908.10M,-511.70M,,173.81M,-173.81M,6.804M,-173.81M,-678.70M,-76.73M,-601.97M,,,67.24M,-534.73M,-531.08M,-210.53M,294.36M,-504.90M,-1.08,,,,-1.073,-1.08,-1.08,,,,-1.073,-1.08,493.52M,493.52M,0.0025
2020-06,273.61M,289.81M,374.37M,-84.56M,,616.14M,616.14M,,-26.35M,156.76M,,-156.76M,-0.082M,915.27M,-999.83M,,156.76M,-156.76M,-50.14M,-156.76M,-1.207B,-270.24M,-936.49M,,,79.23M,-857.26M,-836.81M,-750.76M,299.21M,-1.050B,-1.67,,,,-1.629,-1.67,-1.67,,,,-1.629,-1.67,493.46M,493.46M,0.0025
2020-03,2.155B,2.253B,1.438B,814.65M,,718.11M,718.11M,,1.437B,157.14M,,-157.14M,0.122M,1.037B,-221.87M,,157.14M,-157.14M,1.316B,-157.14M,936.82M,262.30M,674.52M,,,132.35M,806.87M,-227.75M,1.412B,318.29M,1.094B,1.64,,,,-0.4484,1.64,1.64,,,,-0.4418,1.64,495.42M,496.98M,0.15
2019-12,3.079B,3.185B,1.900B,1.285B,,676.05M,676.05M,,-11.38M,200.48M,,-200.48M,-2.676B,-1.668B,2.954B,,200.48M,-200.48M,-131.11M,-200.48M,2.622B,556.38M,2.066B,,,-54.37M,2.012B,2.021B,3.154B,331.44M,2.823B,3.94,,,,3.958,3.94,3.91,,,,3.927,3.91,511.40M,514.96M,0.13
2019-09,3.206B,3.314B,1.937B,1.378B,,602.77M,602.77M,,-249.86M,215.50M,,-215.50M,0.925M,925.71M,452.02M,,215.50M,-215.50M,-237.69M,-215.50M,-1.172M,-7.276M,6.104M,,,-43.24M,-37.13M,145.26M,536.34M,322.01M,214.33M,-0.08,,,,0.2714,-0.08,-0.08,,,,0.2714,-0.08,518.98M,518.98M,0.13
2019-06,3.112B,3.223B,1.905B,1.318B,,632.48M,632.48M,,-5.79M,215.83M,,-215.83M,0.879M,968.15M,350.27M,,215.83M,-215.83M,-46.54M,-215.83M,87.90M,11.73M,76.17M,,,-32.76M,43.40M,48.42M,638.52M,334.79M,303.73M,0.08,,,,0.0894,0.08,0.08,,,,0.0894,0.08,532.36M,535.42M,0.13
2019-03,3.065B,3.177B,1.862B,1.315B,,654.55M,654.55M,,-8.776M,216.12M,,-216.12M,3.287M,974.25M,340.29M,,216.12M,-216.12M,13.50M,-216.12M,137.67M,71.51M,66.16M,,,-34.86M,31.30M,37.70M,670.20M,316.41M,353.79M,0.05,,,,0.062,0.05,0.05,,,,0.0619,0.05,534.22M,537.51M,0.13
2018-12,2.942B,3.053B,1.827B,1.226B,,563.05M,563.05M,,-28.68M,214.54M,,-214.54M,18.51M,894.10M,331.94M,,214.54M,-214.54M,-18.91M,-214.54M,98.50M,92.74M,5.76M,,,-29.09M,-23.33M,-2.391M,625.58M,312.54M,313.03M,-0.06,,,,-0.0204,-0.06,-0.06,,,,-0.0206,-0.06,528.76M,531.58M,0.12
2018-09,2.923B,3.029B,1.787B,1.242B,,561.51M,561.51M,,42.40M,205.57M,,-205.57M,46.89M,908.87M,333.01M,,205.57M,-205.57M,63.02M,-205.57M,190.46M,19.05M,171.41M,,,-28.53M,142.88M,104.72M,696.50M,300.47M,396.03M,0.26,,,,0.1887,0.26,0.26,,,,0.1894,0.26,535.13M,540.40M,0.12
2018-06,2.754B,2.859B,1.669B,1.189B,,541.89M,541.89M,,-16.97M,181.49M,,-181.49M,19.08M,857.18M,332.10M,,181.49M,-181.49M,13.52M,-181.49M,164.13M,23.71M,140.42M,,,-16.65M,123.78M,138.30M,641.83M,296.21M,345.63M,0.21,,,,0.2365,0.21,0.21,,,,0.2362,0.21,548.43M,554.34M,0.12
