,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,-601.97M,4.116M,0.00,2.969M,6.883M,,,294.36M,294.36M,-79.67M,,,21.95M,36.33M,-55.72M,9.476M,-21.40M,190.99M,,,-3.87M,119.48M,,-164.10M,-37.36M,0.241M,0.241M,-32.77M,,0.00,-69.56M,1.141B,-1.071B,70.30M,0.00,0.00,0.00,-1.233M,-1.233M,,-77.05M,-7.985M,4.836B,-241.65M,0.016M,4.594B,0.00,0.00,1.141B,0.00,6.728M,139.10M
2020-06,-936.49M,26.35M,0.00,32.11M,58.38M,,,299.21M,299.21M,-147.92M,,,18.84M,38.63M,111.88M,-0.462M,16.62M,-63.43M,,,-122.05M,-57.44M,,-662.56M,-67.10M,0.017M,0.017M,-17.70M,,0.385M,-21.57M,908.43M,-1.289B,-381.01M,0.088M,0.00,0.088M,-1.233M,-1.233M,,-114.78M,-496.93M,6.016B,-1.181B,0.149M,4.836B,0.088M,2.05B,-1.142B,0.00,-0.572M,127.42M
2020-03,674.52M,54.98M,-1.492B,-3.127M,-1.313B,,,318.29M,318.29M,277.22M,,,36.90M,50.06M,136.22M,-3.322M,-40.11M,-577.94M,,,-17.30M,-502.44M,,-422.94M,-73.11M,0.175M,0.175M,-20.65M,,,2.363B,457.90M,1.289B,1.747B,524.62M,-353.72M,170.90M,-73.90M,-73.90M,,-99.57M,1.745B,2.330B,3.684B,2.316M,6.016B,524.62M,1.305B,-846.72M,-353.72M,2.439M,162.00M
2019-12,2.066B,11.38M,,-9.569M,-2.534B,,,331.44M,331.44M,542.26M,,,24.32M,30.73M,-70.82M,-1.212M,30.67M,29.11M,,,-3.296M,-15.55M,,454.29M,-256.22M,0.642M,0.642M,651.73M,,0.00,4.549B,-2.004B,-1.923B,-3.927B,550.64M,-392.72M,157.92M,-66.12M,-66.12M,,-74.28M,-3.910B,1.234B,1.093B,2.763M,2.330B,550.64M,0.00,-2.004B,-392.72M,10.27M,229.18M
2019-09,6.104M,249.86M,,-21.54M,231.03M,,,322.01M,322.01M,-15.83M,,,15.32M,13.57M,-735.87M,2.621M,-44.79M,583.85M,,,-2.881M,-197.07M,,388.28M,-161.17M,1.363M,1.363M,-0.602M,,-0.942M,-151.69M,1.980B,-1.711B,268.90M,86.06M,-356.98M,-270.92M,-66.95M,-66.95M,,-93.14M,-162.11M,1.161B,74.48M,-1.502M,1.234B,86.06M,0.00,1.980B,-356.98M,11.15M,182.59M
2019-06,76.17M,5.79M,,-5.527M,53.47M,,,334.79M,334.79M,0.786M,,,17.06M,18.76M,31.12M,4.69M,62.13M,-37.42M,,,-2.461M,58.06M,,568.05M,-138.37M,0.232M,0.232M,-71.11M,,0.341M,-150.75M,-389.88M,289.77M,-100.12M,64.91M,-281.83M,-216.92M,-68.42M,-68.42M,,-97.17M,-482.63M,1.223B,-65.33M,2.52M,1.161B,64.91M,2.50B,-2.890B,-281.83M,7.069M,205.85M
2019-03,66.16M,8.776M,,-20.58M,-11.81M,,,316.41M,316.41M,67.83M,,,32.14M,11.78M,48.96M,0.423M,-40.45M,-109.93M,,,9.897M,-91.10M,,399.78M,-183.25M,0.341M,0.341M,-545.24M,,-30.51M,-726.81M,-100.00M,-289.77M,-389.77M,548.39M,0.00,548.39M,-69.80M,-69.80M,,-63.97M,24.85M,1.527B,-302.18M,-1.18M,1.223B,548.39M,750.00M,-850.00M,0.00,,209.35M
2018-12,5.76M,28.68M,,-16.32M,13.78M,,,312.54M,312.54M,105.48M,,,19.17M,-7.562M,-117.76M,-6.403M,32.88M,-29.04M,,,-8.877M,-129.21M,,327.07M,-262.92M,25.04M,25.04M,-53.79M,,5.001M,-284.33M,0.00,464.16M,464.16M,0.00,-150.00M,-150.00M,-63.30M,-63.30M,,-69.02M,181.84M,1.303B,224.58M,-0.496M,1.527B,0.00,0.00,0.00,-150.00M,,206.74M
2018-09,171.41M,-42.40M,,-23.91M,-66.76M,,,300.47M,300.47M,12.22M,,,17.10M,15.43M,-57.95M,5.471M,-50.39M,-65.51M,,,3.569M,-164.80M,,302.32M,-362.16M,0.135M,0.135M,-870.92M,,-6.60M,-1.119B,0.00,1.139B,1.139B,0.00,-176.07M,-176.07M,-63.96M,-63.96M,,-53.40M,845.55M,1.273B,28.60M,1.201M,1.303B,0.00,0.00,0.00,-176.07M,,192.09M
2018-06,140.42M,16.97M,,-36.87M,-18.28M,,,296.21M,296.21M,18.76M,,,17.80M,-4.374M,-1.231M,-1.814M,33.84M,2.343M,,,18.53M,51.67M,,515.49M,-443.14M,0.215M,0.215M,0.00,,-4.134M,-247.06M,1.00B,-740.91M,259.09M,0.00,-594.86M,-594.86M,-65.34M,-65.34M,,-119.99M,-521.10M,1.525B,-252.67M,0.14M,1.273B,0.00,1.00B,0.00,-594.86M,-2.935M,156.38M
2018-03,266.30M,5.898M,,-19.44M,-12.52M,,,268.82M,268.82M,-89.75M,,,16.11M,3.103M,27.39M,-5.114M,-24.99M,113.72M,,,0.90M,111.90M,,577.66M,-418.62M,0.225M,0.225M,-2.503M,,-11.48M,-432.38M,-2.265M,380.04M,377.77M,0.00,-362.40M,-362.40M,-68.00M,-68.00M,,-64.42M,-117.05M,1.500B,28.24M,-2.83M,1.525B,0.00,0.00,-2.265M,-362.40M,2.935M,168.40M
2017-12,1.419B,27.63M,,-19.58M,22.40M,,,249.36M,249.36M,-1.354B,,,16.19M,-7.672M,-31.92M,-1.058M,5.006M,416.37M,,,-48.56M,339.83M,,694.50M,-464.80M,0.347M,0.347M,-10.81M,,20.07M,-453.98M,0.00,-603.73M,-603.73M,-17.14M,0.00,-17.14M,-62.29M,-62.29M,,-43.64M,-726.80M,1.987B,-486.27M,-0.419M,1.500B,-17.14M,0.00,0.00,0.00,181.65M,135.79M
2017-09,175.74M,7.711M,,-28.96M,9.293M,,,249.60M,249.60M,82.16M,,,15.34M,3.639M,-49.52M,1.871M,-42.01M,106.54M,,,13.38M,30.25M,,572.78M,-526.67M,0.078M,0.078M,-1.148M,,-6.098M,-533.84M,-152.67M,413.88M,261.21M,404.68M,-327.50M,77.18M,-63.30M,-63.30M,,-84.14M,190.96M,1.757B,229.91M,-0.286M,1.987B,404.68M,350.00M,-502.67M,-327.50M,-140.60M,180.86M
2017-06,240.87M,13.24M,,-30.08M,-16.04M,,,244.75M,244.75M,21.72M,,,15.00M,11.38M,27.12M,-2.673M,36.11M,39.80M,,,-84.71M,15.66M,,533.69M,-416.54M,0.113M,0.113M,-1.273M,,-9.134M,-126.83M,,97.37M,97.37M,,,,-63.25M,-63.25M,,-77.54M,-43.41M,1.395B,363.45M,-1.833M,1.757B,,,,,138.04M,129.84M
2017-03,252.57M,1.696M,,-32.84M,-31.15M,,,249.77M,249.77M,-9.255M,,,15.96M,4.468M,36.35M,-2.796M,-53.85M,-140.45M,,,66.70M,-94.05M,,405.44M,-456.08M,0.18M,0.18M,-3.50M,,-6.554M,-465.95M,0.00,107.48M,107.48M,,0.00,0.00,-63.18M,-63.18M,,-33.83M,10.47M,1.447B,-50.05M,-1.089M,1.395B,,,0.00,0.00,2.56M,212.15M
2016-12,68.89M,12.36M,,-24.79M,-12.40M,,,233.05M,233.05M,8.475M,,,16.61M,-17.47M,-56.61M,-0.329M,37.55M,185.11M,,,11.31M,177.04M,,484.97M,-672.16M,0.654M,0.654M,-10.55M,,-3.439M,-686.44M,0.00,192.58M,192.58M,0.00,0.00,0.00,0.00,0.00,,9.126M,201.71M,1.446B,0.242M,0.181M,1.447B,0.00,0.00,0.00,0.00,4.914M,109.82M
2016-09,561.26M,-1.268M,,-21.36M,-5.85M,,,209.74M,209.74M,-52.11M,,,13.95M,-422.26M,-12.65M,4.751M,-26.96M,160.92M,,,-2.522M,123.54M,,435.36M,-619.74M,1.631M,1.631M,-535.98M,,-3.061M,-1.158B,-2.188B,2.015B,-173.04M,0.00,-100.00M,-100.00M,0.00,0.00,,-61.89M,-334.93M,2.503B,-1.057B,0.019M,1.446B,0.00,1.00B,-3.188B,-100.00M,7.914M,203.24M
