,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,4.594B,,4.594B,328.41M,751.00M,1.250B,97.32M,245.30M,,,6.186B,,,,,23.12B,,23.12B,,23.12B,2.092B,3.698B,5.789B,1.474B,432.31M,30.82B,37.00B,150.44M,,,28.83M,179.27M,1.788B,1.967B,,,,,,,,800.00M,2.767B,11.41B,8.380B,19.80B,2.164B,2.164B,4.842B,57.97M,518.06M,22.54B,25.30B,4.933M,3.540B,3.356B,,,,-39.37M,6.861B
2020-06,4.836B,,4.836B,287.06M,751.00M,1.205B,106.79M,223.90M,,,6.371B,,,,,23.36B,,23.36B,,23.36B,2.092B,3.747B,5.838B,1.468B,436.58M,31.10B,37.47B,122.43M,,,26.71M,149.14M,1.626B,1.775B,,,,,,,,800.00M,2.575B,11.34B,8.377B,19.72B,2.243B,2.243B,4.974B,58.80M,529.54M,22.55B,25.12B,4.933M,4.076B,3.333B,,,,-39.03M,7.375B
2020-03,6.016B,,6.016B,454.83M,735.00M,1.234B,106.33M,240.90M,,,7.598B,,,,,23.60B,,23.60B,,23.60B,2.092B,3.796B,5.887B,1.596B,438.75M,31.52B,39.12B,202.74M,,,40.96M,243.70M,1.648B,1.891B,,,,,,,,735.00M,2.626B,11.74B,8.375B,20.12B,2.388B,2.388B,5.158B,89.64M,564.61M,23.16B,25.79B,4.932M,4.934B,3.274B,,,,-39.77M,8.174B
2019-12,2.330B,,2.330B,612.72M,735.00M,1.375B,102.89M,200.32M,,,4.008B,0.0,5.348B,15.29B,5.924B,4.486B,209.89M,31.26B,-8.582B,22.68B,2.085B,3.827B,5.911B,822.37M,456.79M,29.87B,33.88B,235.44M,53.49M,218.03M,74.73M,581.69M,1.412B,1.994B,,,95.45M,95.45M,367.15M,367.15M,,735.00M,3.191B,11.17B,4.278B,15.45B,2.107B,2.107B,4.936B,105.05M,363.59M,18.02B,21.21B,5.031M,4.201B,3.531B,,,,-10.20M,7.727B
2019-09,1.234B,,1.234B,550.34M,735.00M,1.309B,104.21M,233.75M,,,2.881B,,,,,21.25B,,21.25B,,21.25B,2.076B,3.867B,5.943B,758.99M,331.20M,28.29B,31.17B,253.64M,,,144.50M,398.14M,2.160B,2.558B,,,,,,,,735.00M,3.293B,14.94B,518.36M,15.46B,1.536B,1.536B,4.460B,105.98M,250.37M,17.36B,20.65B,5.139M,2.256B,3.846B,,,,-46.84M,6.061B
2019-06,1.161B,,1.161B,562.77M,,583.77M,106.71M,188.97M,,,2.040B,,,,,21.72B,,21.72B,,21.72B,2.081B,3.923B,6.004B,746.73M,304.21M,28.77B,30.81B,277.59M,,,231.74M,509.33M,2.277B,2.787B,,,,,,,,,2.787B,14.66B,529.17M,15.19B,1.553B,1.553B,4.434B,100.59M,228.45M,17.07B,19.86B,5.263M,2.360B,4.182B,,,,-26.33M,6.520B
2019-03,1.223B,,1.223B,602.60M,,621.14M,111.30M,251.29M,,,2.207B,,,,,21.84B,,21.84B,,21.84B,2.002B,4.047B,6.048B,731.00M,322.04M,28.94B,31.15B,336.59M,,,249.29M,585.88M,2.224B,2.810B,,2.548M,,2.548M,,,,,2.813B,14.73B,510.95M,15.24B,1.567B,1.567B,4.432B,99.34M,208.33M,17.12B,19.93B,5.372M,2.385B,4.420B,,,,-24.61M,6.786B
2018-12,1.527B,,1.527B,657.21M,,685.64M,110.83M,203.55M,,,2.527B,0.0,6.924B,16.44B,6.064B,,321.94M,29.75B,-9.018B,20.73B,1.821B,3.944B,5.766B,732.87M,455.32M,27.68B,30.21B,302.58M,31.73M,235.16M,311.79M,881.26M,1.460B,2.342B,,43.41M,,43.41M,563.94M,563.94M,,,2.949B,15.09B,0.00,15.09B,1.343B,1.343B,3.958B,102.25M,259.24M,16.79B,19.74B,5.275M,2.423B,4.092B,,,,-8.556M,6.512B
2018-09,1.303B,,1.303B,546.65M,,566.20M,104.44M,234.71M,,,2.208B,,,,,,,,,20.73B,1.822B,3.992B,5.814B,666.21M,551.93M,27.77B,29.97B,301.01M,,,372.74M,673.75M,2.304B,2.978B,,,,,,,,,2.978B,14.66B,,14.66B,1.241B,1.241B,3.973B,93.34M,251.40M,16.25B,19.23B,5.319M,2.510B,4.252B,,,,6.234M,6.773B
2018-06,1.273B,,1.273B,497.35M,,520.47M,109.13M,180.64M,,,2.083B,,,,,,,,,19.86B,1.801B,3.777B,5.578B,882.94M,570.22M,26.89B,28.98B,268.14M,,,418.94M,687.08M,2.378B,3.065B,,,,,,,,,3.065B,13.51B,,13.51B,1.226B,1.226B,3.993B,86.97M,245.72M,15.07B,18.14B,5.379M,2.431B,4.414B,,,,-3.237M,6.847B
2018-03,1.525B,,1.525B,505.59M,,547.24M,107.31M,212.76M,,,2.393B,,,,,,,,,19.71B,1.801B,3.819B,5.620B,1.051B,522.98M,26.91B,29.30B,253.39M,,,434.94M,688.33M,2.359B,3.047B,,539.61M,,539.61M,,,,,3.587B,12.74B,,12.74B,1.207B,1.207B,4.030B,78.68M,282.88M,14.31B,17.90B,5.568M,2.373B,5.000B,,,,-7.48M,7.371B
2017-12,1.500B,,1.500B,542.27M,,584.82M,102.29M,189.24M,,,2.376B,0.0,6.532B,12.25B,5.157B,,3.951B,27.89B,-8.250B,19.64B,1.807B,3.878B,5.684B,1.033B,430.44M,26.78B,29.16B,255.03M,29.78M,170.64M,474.81M,930.25M,1.596B,2.527B,,158.04M,,158.04M,453.65M,453.65M,,,3.138B,12.75B,,12.75B,1.295B,1.295B,4.034B,79.78M,284.42M,14.41B,17.55B,5.663M,2.217B,5.358B,,,,-3.61M,7.577B
2017-09,1.987B,,1.987B,515.42M,,515.42M,101.24M,191.18M,,,2.795B,,,,,,,,,19.13B,1.807B,3.925B,5.732B,1.008B,433.45M,26.31B,29.10B,242.60M,,6.013M,238.09M,486.70M,1.783B,2.269B,,466.38M,,466.38M,,,,,2.736B,13.03B,,13.03B,2.669B,2.669B,4.016B,59.34M,286.26M,16.04B,18.78B,5.655M,922.66M,5.390B,,,,-9.84M,6.309B
2017-06,1.757B,,1.757B,469.13M,,476.49M,103.12M,148.46M,,,2.485B,,,,,,,,,18.90B,1.808B,3.972B,5.780B,980.88M,400.18M,26.06B,28.54B,206.14M,,0.00,254.32M,460.47M,1.747B,2.207B,,472.59M,,472.59M,,,,,2.680B,12.73B,,12.73B,2.560B,2.560B,3.720B,57.34M,289.63M,15.63B,18.31B,5.75M,836.84M,5.678B,,,,-9.148M,6.511B
