,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2005-06,187.11M,,187.11M,580.70M,580.70M,494.32M,127.10M,30.63M,,1.420B,,,,,,,319.51M,-135.23M,184.29M,,760.88M,760.88M,,,,74.86M,1.020B,2.440B,322.26M,,322.26M,288.56M,610.81M,,,12.66M,,12.66M,,,,623.47M,518.95M,,518.95M,72.20M,72.20M,14.37M,,48.51M,639.67M,1.263B,0.871M,676.10M,464.66M,,,,20.75M,1.162B
2005-03,114.74M,,114.74M,550.26M,550.26M,495.57M,137.17M,30.90M,,1.329B,,,,,,,310.54M,-135.23M,175.32M,,767.27M,767.27M,,,,68.91M,1.011B,2.340B,304.49M,,304.49M,257.73M,562.21M,,,9.852M,,9.852M,,,,572.07M,517.09M,,517.09M,69.90M,69.90M,13.04M,,39.60M,626.59M,1.199B,0.868M,639.02M,454.36M,,,,34.21M,1.128B
2004-12,186.62M,,186.62M,554.67M,554.67M,486.49M,174.17M,28.80M,,1.431B,0.0,7.935M,71.14M,232.25M,,,311.33M,-135.23M,176.10M,,756.50M,756.50M,,,,70.32M,1.003B,2.434B,367.21M,,367.21M,316.81M,684.02M,,,9.875M,,9.875M,,,,693.90M,525.68M,,525.68M,66.60M,66.60M,12.44M,,29.00M,621.28M,1.315B,0.867M,615.26M,445.57M,,,,44.35M,1.106B
2004-09,72.97M,,72.97M,542.52M,542.52M,449.84M,166.22M,28.70M,,1.260B,,,,,,,304.16M,-132.48M,171.68M,,698.86M,698.86M,,,,81.48M,952.02M,2.212B,262.08M,,262.08M,257.25M,519.34M,,,10.72M,,10.72M,,,,530.06M,522.77M,,522.77M,66.54M,66.54M,11.37M,,22.23M,611.53M,1.142B,0.434M,590.54M,445.82M,,,,22.52M,1.059B
2004-06,106.34M,,106.34M,518.81M,518.81M,444.98M,146.44M,30.11M,,1.247B,,,,,,,290.51M,-132.48M,158.04M,,670.28M,670.28M,,,,125.28M,953.60M,2.200B,287.71M,,287.71M,273.28M,560.99M,,,88.15M,,88.15M,,,,649.14M,420.88M,,420.88M,54.63M,54.63M,13.26M,,13.82M,489.32M,1.138B,0.437M,575.12M,453.38M,,,,19.61M,1.049B
2004-03,73.09M,,73.09M,472.93M,472.93M,408.07M,101.19M,30.75M,,1.086B,,,,,,,283.97M,-132.48M,151.50M,,440.20M,440.20M,,,,154.86M,746.56M,1.833B,258.70M,,258.70M,206.69M,465.40M,,,13.80M,,13.80M,,,,479.20M,273.33M,,273.33M,,,12.00M,,38.58M,311.91M,791.11M,0.44M,552.19M,457.08M,,,,19.77M,1.029B
2003-12,157.35M,3.012M,160.36M,467.08M,467.08M,385.85M,112.63M,30.56M,,1.156B,0.0,7.754M,64.41M,214.52M,,,286.68M,-132.48M,154.20M,,436.44M,436.44M,,,,72.24M,662.89M,1.819B,278.16M,,278.16M,231.71M,509.88M,,,9.312M,,9.312M,,,,519.19M,247.10M,,247.10M,32.94M,32.94M,11.53M,,4.494M,284.53M,803.72M,0.875M,533.65M,444.68M,,,,24.91M,1.004B
2003-09,92.86M,12.90M,105.76M,498.02M,498.02M,372.08M,85.07M,26.84M,,1.088B,,,,,,,264.92M,-114.10M,150.82M,,377.40M,377.40M,,,,81.01M,609.22M,1.697B,246.71M,,246.71M,,246.71M,,,10.83M,,10.83M,,,202.94M,460.48M,245.39M,,245.39M,,,10.04M,,28.96M,274.34M,734.83M,0.436M,501.02M,439.34M,,,,11.32M,952.12M
2003-06,121.16M,16.15M,137.31M,418.47M,418.47M,343.74M,73.22M,27.94M,,1.001B,,,,,,,264.54M,-114.10M,150.44M,,377.49M,377.49M,,,,85.19M,613.12M,1.614B,228.47M,,228.47M,185.75M,414.22M,,,9.58M,,9.58M,,,,423.80M,247.18M,,247.18M,,,9.466M,,26.34M,273.52M,697.32M,0.435M,463.52M,431.12M,,,,11.94M,907.02M
2003-03,187.00M,14.44M,201.44M,381.13M,381.13M,334.91M,67.85M,28.72M,,1.014B,,,,,,,257.12M,-108.40M,148.73M,,314.42M,314.42M,,,,74.08M,537.24M,1.551B,213.87M,,213.87M,163.24M,377.11M,,,5.813M,,5.813M,,,,382.92M,242.87M,,242.87M,,,9.07M,,25.11M,267.98M,650.90M,0.441M,451.29M,440.37M,,,,-0.782M,891.31M
2002-12,200.65M,31.21M,231.86M,368.26M,368.26M,323.08M,74.41M,29.92M,,1.028B,0.0,7.061M,62.72M,174.27M,,,244.05M,-101.52M,142.53M,,310.35M,310.35M,,,,77.64M,530.52M,1.558B,243.17M,,243.17M,172.71M,415.88M,,,7.452M,,7.452M,,,,423.33M,242.56M,,242.56M,,,6.748M,,24.20M,266.76M,690.09M,0.44M,430.39M,436.55M,1.156M,,,-5.01M,861.22M
2002-09,149.30M,35.28M,184.58M,415.58M,415.58M,314.50M,63.12M,29.17M,,1.007B,,,,,,,238.22M,-101.06M,137.16M,,303.36M,303.36M,,,,69.65M,510.17M,1.517B,260.20M,,260.20M,157.70M,417.90M,,,8.746M,,8.746M,,,,426.64M,242.14M,,242.14M,,,7.067M,,21.08M,263.22M,689.86M,0.44M,399.43M,435.02M,1.156M,,,-13.52M,820.21M
2002-06,132.51M,14.64M,147.15M,362.74M,362.74M,314.51M,59.52M,26.23M,,910.15M,,,,,,,230.15M,-94.74M,135.41M,,304.15M,304.15M,,,,60.45M,500.01M,1.410B,204.96M,,204.96M,151.31M,356.27M,,,6.462M,,6.462M,,,,362.73M,242.99M,,242.99M,,,7.882M,,19.62M,262.61M,625.34M,0.437M,360.20M,428.22M,1.156M,,,-10.76M,776.94M
2002-03,93.42M,,93.42M,356.45M,356.45M,293.76M,57.14M,26.63M,,827.41M,,,,,,,222.85M,-93.35M,129.50M,,293.11M,293.11M,,,,59.51M,482.11M,1.310B,205.72M,,205.72M,121.45M,327.17M,,,7.243M,,7.243M,,,,334.41M,241.97M,,241.97M,,,7.539M,,18.17M,260.14M,594.56M,0.43M,332.13M,401.63M,1.156M,,,-25.61M,707.42M
2001-12,193.37M,,193.37M,363.70M,363.70M,291.23M,52.92M,25.75M,,926.97M,0.0,3.54M,52.26M,153.01M,,,208.80M,-90.82M,117.98M,,288.00M,288.00M,,,,52.47M,458.46M,1.385B,263.19M,,263.19M,154.62M,417.81M,,,19.25M,,19.25M,,,,437.06M,242.17M,,242.17M,,,6.786M,,18.95M,261.12M,698.18M,0.427M,312.40M,393.05M,1.156M,,,-24.26M,680.46M
2001-09,107.85M,,107.85M,416.11M,416.11M,248.96M,45.92M,22.94M,,841.78M,,,,,,,198.12M,-89.11M,109.01M,276.19M,,276.19M,,,,54.46M,439.66M,1.281B,200.24M,,200.24M,140.17M,340.41M,,,17.34M,,17.34M,,,-0.001M,357.75M,250.65M,,250.65M,,,6.161M,,12.48M,263.13M,620.88M,0.426M,285.27M,390.79M,1.156M,,,-20.93M,654.40M
2001-06,75.85M,,75.85M,366.32M,366.32M,258.66M,46.17M,21.84M,,768.84M,,,,,,,179.71M,-83.06M,96.65M,,278.77M,278.77M,,,,57.53M,432.95M,1.202B,169.63M,,169.63M,127.63M,297.26M,,,13.71M,,13.71M,,,,310.97M,250.80M,,250.80M,,,6.954M,,13.45M,264.25M,575.22M,0.425M,260.07M,386.28M,1.156M,,,-26.00M,619.61M
2001-03,38.11M,,38.11M,358.95M,358.95M,273.70M,52.89M,20.22M,,743.87M,,,,,,,174.96M,-78.61M,96.35M,,286.42M,286.42M,,,,54.54M,437.30M,1.181B,176.74M,,176.74M,122.10M,298.84M,,,12.76M,,12.76M,,,,311.60M,253.87M,,253.87M,,,7.339M,,11.40M,265.28M,576.88M,0.423M,239.16M,382.30M,1.156M,,,-23.77M,596.96M
2000-12,58.36M,,58.36M,,371.67M,276.47M,,,81.90M,788.40M,,,,,,,167.80M,-73.13M,94.66M,,292.02M,292.02M,,,,55.98M,442.66M,1.231B,216.54M,,216.54M,,216.54M,,,10.47M,,10.47M,,,137.85M,364.86M,266.22M,,266.22M,,,7.996M,,12.93M,279.16M,644.01M,0.419M,225.03M,373.41M,1.156M,,,-18.64M,579.06M
2000-09,37.24M,,37.24M,,386.67M,260.19M,,,82.12M,766.23M,,,,,,,159.20M,-70.08M,89.11M,,280.29M,280.29M,,,,48.67M,418.07M,1.184B,198.68M,,198.68M,,198.68M,,,33.60M,,33.60M,,,109.12M,341.41M,272.18M,,272.18M,,,7.297M,,11.21M,283.38M,624.79M,0.414M,212.30M,365.13M,1.156M,,,-24.47M,552.22M
2000-06,45.90M,,45.90M,,357.22M,274.67M,,,80.54M,758.33M,,,,,,,154.68M,-67.20M,87.49M,,283.39M,283.39M,,,,41.70M,412.58M,1.171B,183.59M,,183.59M,,183.59M,,,43.21M,,43.21M,,,103.52M,330.32M,280.13M,,280.13M,,,8.324M,,11.86M,291.98M,622.30M,0.413M,196.06M,362.53M,1.156M,,,-17.56M,540.28M
2000-03,17.40M,,17.40M,,358.37M,292.70M,,,84.24M,752.71M,,,,,,,151.81M,-64.52M,87.29M,,288.28M,288.28M,,,,44.06M,419.63M,1.172B,184.10M,,184.10M,,184.10M,,,43.70M,,43.70M,,,93.49M,321.28M,306.26M,,306.26M,,,7.07M,,11.44M,317.70M,638.98M,0.408M,179.21M,362.16M,1.156M,,,-14.33M,526.28M
1999-12,26.00M,,26.00M,,388.10M,285.60M,,,79.10M,778.80M,,,,,,,147.30M,-60.70M,86.60M,,295.10M,295.10M,,,,43.60M,425.30M,1.204B,199.00M,,199.00M,,199.00M,,,45.40M,,45.40M,,,106.00M,350.40M,318.20M,,318.20M,,,7.90M,,9.70M,327.90M,678.30M,0.40M,167.80M,361.80M,1.20M,,,-11.00M,517.90M
1999-09,39.10M,,39.10M,,387.00M,267.80M,,,74.60M,768.50M,,,,,,,138.70M,-63.70M,75.00M,,282.20M,282.20M,,,,43.20M,400.40M,1.169B,185.60M,,185.60M,,185.60M,,,51.80M,,51.80M,,,121.60M,359.00M,293.50M,,293.50M,,,7.30M,,10.10M,303.60M,662.60M,0.40M,152.30M,357.40M,1.20M,,,-9.90M,499.00M
1999-06,25.10M,,25.10M,,361.30M,278.80M,,,78.40M,743.60M,,,,,,,132.30M,-60.20M,72.10M,,286.60M,286.60M,,,,43.40M,402.10M,1.146B,165.70M,,165.70M,,165.70M,,,46.70M,,46.70M,,,113.90M,326.30M,318.20M,,318.20M,,,6.90M,,9.10M,327.30M,653.60M,,140.70M,,,,,,485.20M
1999-03,13.30M,,13.30M,,357.30M,294.40M,,,70.80M,735.80M,,,,,,,128.80M,-57.50M,71.30M,,285.00M,285.00M,,,,47.90M,404.20M,1.14B,175.20M,,175.20M,,175.20M,,,45.10M,,45.10M,,,104.10M,324.40M,323.50M,,323.50M,,,6.30M,,12.60M,336.10M,660.50M,,127.40M,,,,,,473.20M
1998-12,28.20M,,28.20M,,338.10M,270.00M,,,68.20M,704.50M,,,,,,,121.40M,-53.80M,67.60M,,148.40M,148.40M,,,,41.50M,257.50M,962.00M,169.90M,,169.90M,,169.90M,,,29.00M,,29.00M,,,102.00M,300.90M,180.40M,,180.40M,,,5.90M,,11.80M,192.20M,493.10M,,119.10M,,,,,,463.00M
1998-09,16.10M,,16.10M,,353.80M,264.80M,,,59.30M,694.00M,,,,,,,135.10M,-66.60M,68.50M,,145.30M,145.30M,,,,42.60M,256.40M,950.40M,183.20M,,183.20M,,183.20M,,,27.70M,,27.70M,,,89.70M,300.60M,182.00M,,182.00M,,,1.80M,,8.80M,190.80M,491.40M,,113.80M,,,,,,457.20M
1998-06,15.50M,,15.50M,,291.20M,234.80M,,,59.50M,601.00M,,,,,,,121.90M,-62.70M,59.20M,,131.10M,131.10M,,,,45.00M,235.30M,836.30M,163.60M,,163.60M,,163.60M,,,22.00M,,22.00M,,,77.60M,263.20M,124.20M,,124.20M,,,2.10M,,8.20M,132.40M,395.60M,,105.40M,,,,,,438.60M
