,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2016-09,76.19M,,76.19M,1.368B,1.368B,1.468B,373.85M,,,3.286B,,,,,,,,,324.11M,1.976B,593.26M,2.569B,454.70M,,,,3.348B,6.634B,931.09M,158.16M,1.089B,599.82M,1.689B,333.12M,17.46M,350.58M,,350.58M,,,,2.040B,718.02M,,718.02M,143.61M,143.61M,7.861M,571.37M,257.76M,1.691B,3.730B,0.806M,2.997B,119.92M,,,,-222.18M,2.895B
2016-06,63.56M,,63.56M,1.296B,1.296B,1.483B,377.66M,57.64M,,3.278B,,,,,,,,,320.10M,1.955B,593.92M,2.549B,487.40M,,,,3.356B,6.634B,881.67M,148.86M,1.031B,625.38M,1.656B,237.81M,17.19M,255.00M,,255.00M,,,,1.911B,700.05M,,700.05M,248.31M,248.31M,7.89M,568.69M,250.02M,1.767B,3.678B,0.818M,3.010B,151.06M,,,,-214.61M,2.948B
2016-03,71.61M,,71.61M,1.275B,1.275B,1.500B,363.96M,60.10M,,3.271B,,,,,,,,,324.28M,1.925B,603.25M,2.528B,476.92M,,,,3.330B,6.601B,809.12M,159.64M,968.76M,577.38M,1.546B,424.03M,17.33M,441.36M,,441.36M,,,,1.988B,666.28M,,666.28M,257.88M,257.88M,2.536M,530.00M,242.68M,1.697B,3.684B,0.821M,2.934B,188.77M,,,,-209.70M,2.914B
2015-12,72.09M,,72.09M,1.230B,1.230B,1.510B,361.08M,58.16M,,3.231B,0.0,18.76M,117.67M,570.38M,,89.77M,796.58M,-478.10M,318.48M,1.908B,595.48M,2.503B,293.27M,27.51M,86.10M,45.20M,3.274B,6.505B,1.006B,161.76M,1.168B,633.48M,1.801B,328.63M,17.33M,345.96M,,345.96M,,,,2.147B,463.75M,,463.75M,252.86M,252.86M,2.558M,542.19M,212.12M,1.471B,3.618B,0.824M,2.896B,207.37M,,,,-219.94M,2.884B
2015-09,60.48M,,60.48M,1.224B,1.224B,1.425B,356.79M,54.34M,,3.120B,,,,,,,,,311.89M,1.902B,615.26M,2.517B,422.72M,,,,3.251B,6.372B,873.78M,167.33M,1.041B,554.82M,1.596B,186.89M,14.46M,201.34M,,201.34M,,,,1.797B,597.11M,,597.11M,248.25M,248.25M,2.594M,584.59M,202.38M,1.632B,3.430B,0.834M,2.879B,259.50M,,,,-199.68M,2.939B
2015-06,47.07M,,47.07M,1.164B,1.164B,1.314B,322.13M,57.54M,,2.905B,,,,,,,,,310.33M,1.872B,601.12M,2.473B,416.99M,,,,3.200B,6.106B,778.75M,155.42M,934.17M,555.43M,1.490B,132.43M,14.72M,147.14M,,147.14M,,,,1.637B,588.52M,,588.52M,252.97M,252.97M,2.623M,567.67M,193.70M,1.603B,3.240B,0.837M,2.780B,248.77M,,,,-165.74M,2.863B
2015-03,59.20M,,59.20M,1.099B,1.099B,1.298B,293.34M,52.62M,,2.802B,,,,,,,,,292.04M,1.856B,601.47M,2.457B,387.78M,,,,3.137B,5.939B,716.98M,152.31M,869.28M,499.90M,1.369B,163.07M,14.59M,177.65M,,177.65M,,,,1.547B,653.72M,,653.72M,248.44M,248.44M,2.539M,573.14M,181.25M,1.657B,3.203B,0.839M,2.690B,244.75M,,,,-201.87M,2.733B
2014-12,89.47M,,89.47M,1.128B,1.128B,1.328B,311.79M,56.59M,,2.913B,0.0,19.17M,119.06M,526.26M,,84.65M,749.14M,-437.64M,311.50M,1.884B,646.89M,2.531B,261.47M,18.10M,80.30M,23.27M,3.226B,6.139B,861.00M,151.16M,1.012B,579.24M,1.591B,182.90M,5.815M,188.71M,,188.71M,,,,1.780B,542.78M,,542.78M,253.12M,253.12M,2.851M,564.53M,181.83M,1.542B,3.322B,0.84M,2.643B,265.36M,,,,-95.13M,2.814B
2014-09,76.54M,,76.54M,1.179B,1.179B,1.284B,319.35M,69.47M,,2.928B,,,,,,,,,303.16M,1.886B,654.07M,2.540B,358.89M,,,,3.202B,6.131B,822.07M,171.87M,993.94M,517.30M,1.511B,188.82M,5.782M,194.60M,,194.60M,,,,1.706B,630.81M,,630.81M,264.68M,264.68M,2.785M,549.43M,158.74M,1.604B,3.309B,0.845M,2.565B,269.92M,,,,-17.29M,2.818B
2014-06,89.70M,,89.70M,1.188B,1.188B,1.257B,310.50M,66.43M,,2.912B,,,,,,,,,292.97M,1.832B,594.36M,2.427B,360.04M,,,,3.080B,5.992B,756.00M,158.36M,914.36M,539.57M,1.454B,83.67M,6.302M,89.97M,,89.97M,,,,1.544B,665.91M,,665.91M,278.46M,278.46M,2.789M,497.93M,152.03M,1.594B,3.138B,0.85M,2.506B,265.47M,,,,78.70M,2.851B
2014-03,129.12M,,129.12M,1.117B,1.117B,1.247B,307.03M,77.39M,,2.877B,,,,,,,,,285.53M,1.803B,587.20M,2.390B,327.57M,,,,3.003B,5.880B,685.92M,165.81M,851.73M,511.51M,1.363B,144.04M,105.98M,250.03M,,250.03M,,,,1.613B,541.69M,,541.69M,287.15M,287.15M,2.746M,482.70M,136.25M,1.448B,3.061B,0.856M,2.446B,297.06M,,,,72.86M,2.816B
2013-12,188.62M,,188.62M,1.055B,1.055B,1.250B,276.56M,63.86M,,2.835B,0.0,19.98M,112.51M,469.77M,,73.97M,676.24M,-400.35M,275.89M,1.635B,420.45M,2.055B,206.18M,155.84M,50.48M,42.79M,2.790B,5.625B,824.50M,145.16M,969.66M,546.06M,1.516B,29.51M,5.441M,34.95M,,34.95M,,,,1.551B,450.23M,,450.23M,198.67M,198.67M,2.804M,497.54M,139.53M,1.286B,2.837B,0.856M,2.398B,318.22M,,,,67.85M,2.785B
2013-09,69.92M,,69.92M,1.103B,1.103B,1.123B,272.36M,66.77M,,2.635B,,,,,,,,,265.27M,1.634B,431.50M,2.066B,311.41M,,,,2.643B,5.278B,723.90M,156.94M,880.85M,469.26M,1.350B,15.75M,80.59M,96.34M,,96.34M,,,,1.446B,311.46M,,311.46M,205.26M,205.26M,2.123M,475.02M,128.94M,1.121B,2.567B,0.86M,2.328B,328.66M,,,,51.15M,2.709B
2013-06,78.84M,,78.84M,1.040B,1.040B,1.099B,292.42M,63.08M,,2.573B,,,,,,,,,256.78M,1.608B,435.41M,2.043B,291.32M,,,,2.591B,5.165B,682.60M,139.60M,822.21M,470.64M,1.293B,15.59M,5.894M,21.48M,,21.48M,,,,1.314B,446.71M,,446.71M,200.71M,200.71M,2.059M,466.02M,119.29M,1.233B,2.547B,0.867M,2.276B,337.73M,,,,1.265M,2.615B
2013-03,90.56M,,90.56M,1.028B,1.028B,1.136B,265.58M,65.07M,,2.585B,,,,,,,,,262.82M,1.611B,453.50M,2.064B,292.95M,,,,2.620B,5.206B,609.03M,137.11M,746.14M,444.45M,1.191B,50.07M,1.908M,51.98M,,51.98M,,,,1.243B,600.60M,,600.60M,199.77M,199.77M,1.445M,463.36M,119.71M,1.383B,2.626B,0.874M,2.223B,339.86M,,,,14.46M,2.578B
2012-12,122.08M,,122.08M,1.015B,1.015B,1.204B,299.55M,64.05M,,2.704B,0.0,13.53M,112.98M,429.96M,,70.72M,627.20M,-353.74M,273.46M,1.601B,466.21M,2.067B,193.89M,9.851M,44.94M,36.93M,2.630B,5.334B,787.66M,132.77M,920.43M,507.12M,1.428B,27.17M,17.99M,45.16M,,45.16M,,,,1.473B,488.12M,,488.12M,196.81M,196.81M,2.279M,435.18M,125.31M,1.245B,2.718B,0.879M,2.184B,375.95M,,,,52.86M,2.614B
2012-09,89.34M,,89.34M,1.036B,1.036B,1.071B,257.03M,59.43M,,2.512B,,,,,,,,,258.68M,1.591B,471.14M,2.063B,278.04M,,,,2.599B,5.112B,707.64M,130.58M,838.22M,262.69M,1.101B,155.22M,17.74M,172.96M,,172.96M,,,,1.449B,436.43M,,436.43M,180.98M,180.98M,377.07M,,96.40M,713.80M,2.163B,0.883M,2.130B,404.87M,,,,35.48M,2.572B
2012-06,87.90M,,87.90M,972.29M,972.29M,977.00M,233.27M,60.69M,,2.331B,,,,,,,,,255.72M,1.523B,425.04M,1.948B,299.91M,,,,2.504B,4.835B,619.94M,126.70M,746.64M,436.23M,1.183B,83.45M,17.13M,100.58M,,100.58M,,,,1.283B,434.42M,,434.42M,185.25M,185.25M,360.51M,,82.98M,702.64M,1.986B,0.889M,2.076B,398.82M,,,,12.88M,2.489B
2012-03,101.81M,,101.81M,957.47M,957.47M,975.80M,217.38M,54.55M,,2.307B,,,,,,,,,259.76M,1.483B,409.14M,1.892B,300.63M,,,,2.453B,4.760B,571.34M,131.81M,703.15M,407.95M,1.111B,5.004M,23.03M,28.03M,,28.03M,,,,1.139B,453.06M,,453.06M,186.84M,186.84M,370.46M,,84.08M,723.98M,1.863B,0.902M,2.061B,410.14M,,,,53.74M,2.526B
2011-12,147.28M,,147.28M,888.25M,888.25M,947.85M,234.16M,54.97M,,2.273B,0.0,13.24M,104.13M,387.76M,,64.76M,569.89M,-307.80M,262.09M,1.497B,413.75M,1.911B,224.19M,5.834M,41.93M,19.31M,2.468B,4.740B,621.47M,121.23M,742.70M,451.10M,1.194B,55.01M,22.82M,77.83M,,77.83M,,,,1.272B,363.52M,,363.52M,188.74M,188.74M,1.401M,402.05M,80.57M,1.035B,2.307B,0.899M,2.007B,401.26M,,,,22.58M,2.432B
2011-09,106.87M,,106.87M,983.06M,983.06M,923.69M,249.40M,54.11M,,2.317B,,,,,,,,,262.50M,1.495B,426.06M,1.921B,297.34M,,,,2.481B,4.798B,595.48M,127.34M,722.81M,,722.81M,40.02M,20.08M,60.09M,,60.09M,,,242.53M,1.201B,371.86M,,371.86M,190.73M,190.73M,418.47M,,76.73M,639.32M,1.841B,0.909M,1.951B,538.03M,,,,49.62M,2.539B
2011-06,161.79M,,161.79M,963.07M,963.07M,926.72M,243.25M,54.18M,,2.349B,,,,,,,,,270.02M,1.513B,447.50M,1.960B,304.52M,,,,2.535B,4.884B,605.78M,125.72M,731.51M,264.70M,996.21M,49.24M,21.19M,70.42M,,70.42M,,,,1.237B,372.92M,,372.92M,197.54M,197.54M,425.63M,,77.37M,647.83M,1.885B,0.924M,1.928B,541.37M,,,,102.92M,2.573B
2011-03,116.71M,,116.71M,934.95M,934.95M,930.34M,228.14M,51.36M,,2.262B,,,,,,,,,271.75M,1.500B,458.48M,1.958B,303.56M,,,,2.533B,4.795B,579.47M,131.39M,710.86M,263.90M,974.76M,97.19M,8.357M,105.55M,,105.55M,,,,1.234B,407.46M,,407.46M,196.36M,196.36M,427.43M,,82.71M,686.53M,1.921B,0.923M,1.837B,518.84M,,,,89.84M,2.447B
2010-12,150.35M,,150.35M,885.78M,885.78M,870.21M,214.01M,48.95M,,2.169B,0.0,13.15M,98.50M,342.43M,,58.23M,512.31M,-259.74M,252.57M,1.425B,405.47M,1.830B,295.33M,,,,2.378B,4.547B,590.03M,91.58M,681.61M,440.48M,1.122B,41.51M,4.487M,46.00M,,46.00M,,,,1.168B,395.31M,,395.31M,190.22M,190.22M,305.47M,,76.75M,662.29M,1.830B,0.919M,1.779B,601.01M,,,,30.51M,2.412B
2010-09,203.73M,,203.73M,923.03M,923.03M,849.54M,230.62M,40.86M,,2.248B,,,,,,,,,254.00M,1.426B,413.70M,1.839B,263.33M,,,,2.357B,4.604B,532.27M,,532.27M,529.11M,1.061B,201.14M,25.12M,226.26M,,226.26M,,,,1.288B,383.50M,,383.50M,190.56M,190.56M,1.421M,,374.68M,948.74M,2.236B,0.924M,1.722B,592.65M,,,,50.93M,2.367B
2010-06,321.12M,14.99M,336.10M,829.92M,829.92M,797.60M,205.99M,42.93M,,2.213B,,,,,,,,,248.23M,1.368B,406.83M,1.775B,181.95M,,,,2.205B,4.418B,504.25M,,504.25M,496.48M,1.001B,0.255M,25.22M,25.47M,,25.47M,,,,1.026B,523.42M,,523.42M,187.60M,187.60M,0.184M,,413.45M,1.124B,2.151B,0.915M,1.638B,632.24M,,,,-3.849M,2.267B
2010-03,355.39M,26.98M,382.37M,803.04M,803.04M,806.12M,183.40M,44.44M,,2.219B,,,,,,,,,249.72M,1.259B,349.66M,1.608B,185.16M,,,,2.043B,4.263B,483.30M,,483.30M,504.93M,988.23M,0.009M,25.63M,25.64M,,25.64M,,,,1.014B,522.88M,,522.88M,173.27M,173.27M,0.164M,,361.04M,1.057B,2.071B,0.913M,1.554B,607.68M,,,,29.31M,2.191B
2009-12,471.15M,,471.15M,725.40M,725.40M,775.20M,183.78M,48.00M,,2.204B,0.0,12.64M,97.98M,385.62M,,60.39M,556.63M,-297.06M,259.58M,986.40M,204.44M,1.191B,182.04M,,,,1.632B,3.836B,521.08M,86.03M,607.11M,444.65M,1.052B,0.932M,23.56M,24.49M,,24.49M,,,,1.076B,243.37M,,243.37M,100.98M,100.98M,178.60M,,75.30M,419.65M,1.496B,0.906M,1.493B,603.77M,,,,64.19M,2.161B
2009-09,317.61M,,317.61M,764.28M,764.28M,770.37M,186.74M,40.75M,,2.080B,,,,,,,,,257.60M,977.05M,212.04M,1.189B,176.89M,,,,1.624B,3.703B,507.46M,,507.46M,496.01M,1.003B,1.731M,23.93M,25.66M,,25.66M,,,,1.029B,242.51M,,242.51M,107.95M,107.95M,61.72M,,249.55M,600.02M,1.629B,0.904M,1.406B,533.51M,,,,71.86M,2.012B
2009-06,393.87M,,393.87M,731.00M,731.00M,737.96M,187.80M,38.67M,,2.089B,,,,,,,,,254.01M,948.86M,206.43M,1.155B,146.90M,,,,1.556B,3.645B,435.58M,,435.58M,465.77M,901.35M,2.014M,154.25M,156.26M,,156.26M,,,,1.058B,261.23M,,261.23M,96.54M,96.54M,75.18M,,58.48M,416.25M,1.474B,0.902M,1.310B,740.19M,,,,45.58M,2.096B
2009-03,308.16M,,308.16M,677.19M,677.19M,740.95M,176.63M,37.39M,,1.940B,,,,,,,,,242.18M,899.88M,203.16M,1.103B,147.01M,,,,1.492B,3.433B,426.07M,,426.07M,428.86M,854.93M,1.911M,155.04M,156.96M,,156.96M,,,,1.012B,256.33M,,256.33M,86.14M,86.14M,70.49M,,56.13M,398.60M,1.410B,0.902M,1.236B,729.94M,,,,-15.58M,1.952B
2008-12,369.57M,,369.57M,734.03M,734.03M,731.65M,193.84M,36.97M,,2.066B,0.0,12.38M,80.03M,349.28M,,56.60M,498.28M,-250.44M,247.84M,922.95M,214.09M,1.137B,148.26M,,,,1.533B,3.599B,554.77M,,554.77M,467.55M,1.022B,4.936M,156.40M,161.34M,,161.34M,,,,1.184B,256.65M,,256.65M,95.40M,95.40M,0.262M,,291.14M,643.19M,1.827B,0.894M,1.181B,560.02M,,,,29.72M,1.772B
2008-09,288.36M,,288.36M,767.30M,767.30M,731.51M,194.74M,32.34M,,2.014B,,,,,,,470.65M,-223.30M,247.34M,917.26M,174.77M,1.092B,,,,152.94M,1.492B,3.507B,511.66M,,511.66M,429.02M,940.67M,,,160.03M,,160.03M,,,,1.101B,268.99M,,268.99M,86.35M,86.35M,50.71M,,52.30M,407.64M,1.508B,0.899M,1.157B,712.67M,,,,77.00M,1.948B
2008-06,271.43M,11.92M,283.36M,731.50M,731.50M,693.56M,186.51M,36.20M,,1.931B,,,,,,,477.41M,-223.30M,254.11M,954.20M,191.04M,1.145B,,,,139.04M,1.538B,3.470B,453.80M,,453.80M,438.19M,891.99M,,,29.83M,,29.83M,,,,921.82M,424.47M,,424.47M,92.70M,92.70M,46.82M,,54.64M,571.81M,1.494B,0.898M,1.103B,693.13M,,,,131.83M,1.929B
2008-03,203.04M,35.92M,238.96M,702.52M,702.52M,701.77M,192.73M,37.33M,,1.873B,,,,,,,479.07M,-223.30M,255.76M,947.88M,193.15M,1.141B,,,,118.37M,1.515B,3.388B,428.69M,,428.69M,430.78M,859.48M,,,30.04M,,30.04M,,,,889.52M,428.54M,,428.54M,91.85M,91.85M,40.05M,,52.71M,573.10M,1.463B,0.902M,1.057B,693.37M,,,,134.14M,1.886B
2007-12,247.59M,0.997M,248.59M,708.31M,708.31M,666.79M,192.29M,32.83M,,1.849B,0.0,11.91M,79.71M,325.31M,,54.04M,470.97M,-223.30M,247.67M,917.19M,192.42M,1.110B,107.90M,,,,1.465B,3.314B,474.01M,,474.01M,433.33M,907.34M,8.977M,24.32M,33.30M,,33.30M,,,,940.64M,423.27M,,423.27M,80.26M,80.26M,35.92M,,53.91M,557.44M,1.498B,0.896M,1.005B,673.76M,,,,100.27M,1.780B
2007-09,207.46M,27.75M,235.21M,764.59M,764.59M,676.56M,145.37M,31.74M,,1.853B,,,,,,,423.57M,-187.26M,236.31M,887.28M,203.39M,1.091B,,,,103.04M,1.430B,3.283B,514.83M,,514.83M,467.16M,981.98M,,,31.91M,,31.91M,,,,1.014B,432.28M,,432.28M,71.92M,71.92M,29.65M,,62.21M,566.40M,1.580B,0.895M,926.79M,665.01M,,,,80.86M,1.674B
2007-06,190.97M,88.00M,278.97M,637.23M,637.23M,579.47M,123.85M,29.34M,,1.649B,,,,,,,410.49M,-187.26M,223.23M,771.83M,155.62M,927.46M,,,,97.11M,1.248B,2.897B,361.03M,,361.03M,342.28M,703.31M,,,30.20M,,30.20M,,,,733.50M,450.26M,,450.26M,57.96M,57.96M,24.69M,,62.96M,571.18M,1.305B,0.891M,867.21M,643.03M,,,,56.14M,1.567B
2007-03,154.46M,47.50M,201.96M,617.43M,617.43M,583.24M,119.17M,29.99M,,1.552B,,,,,,,408.50M,-187.26M,221.23M,787.02M,157.87M,944.89M,,,,97.49M,1.264B,2.815B,343.49M,,343.49M,314.83M,658.32M,,,39.85M,,39.85M,,,,698.17M,457.32M,,457.32M,67.55M,67.55M,21.93M,,61.29M,586.16M,1.284B,0.888M,833.38M,629.05M,,,,45.82M,1.509B
2006-12,248.65M,48.00M,296.65M,610.02M,610.02M,584.10M,125.84M,28.24M,,1.645B,0.0,10.39M,108.04M,293.87M,,,412.30M,-187.26M,225.04M,773.80M,170.92M,944.72M,,,9.898M,56.64M,1.236B,2.881B,414.06M,,414.06M,352.46M,766.52M,,,43.56M,,43.56M,,,,810.09M,455.81M,,455.81M,62.33M,62.33M,21.75M,,60.21M,578.35M,1.388B,0.885M,808.16M,614.55M,,50.70M,-3.341M,47.36M,1.471B
2006-09,176.07M,,176.07M,605.06M,605.06M,572.57M,134.32M,28.63M,,1.517B,,,,,,,358.13M,-139.98M,218.15M,751.66M,161.42M,913.09M,,,,69.73M,1.201B,2.718B,365.70M,,365.70M,315.38M,681.08M,,,43.17M,,43.17M,,,,724.25M,456.49M,,456.49M,55.35M,55.35M,16.50M,,58.26M,570.10M,1.294B,0.886M,754.01M,610.72M,,,,41.16M,1.407B
2006-06,138.33M,101.11M,239.44M,579.77M,579.77M,551.55M,124.11M,27.87M,,1.523B,,,,,,,349.85M,-139.98M,209.88M,717.73M,140.27M,858.00M,,,,59.43M,1.127B,2.650B,351.57M,,351.57M,287.07M,638.64M,,,33.44M,,33.44M,,,,672.08M,486.01M,,486.01M,60.28M,60.28M,17.25M,,59.57M,605.87M,1.278B,0.882M,716.10M,593.12M,,,,44.75M,1.355B
2006-03,159.89M,80.18M,240.06M,546.41M,546.41M,511.95M,164.97M,30.11M,,1.494B,,,,,,,334.24M,-139.98M,194.26M,682.48M,133.94M,816.42M,,,,62.76M,1.073B,2.567B,340.65M,,340.65M,83.32M,423.97M,,,34.10M,,34.10M,44.53M,44.53M,146.48M,649.08M,488.21M,,488.21M,60.37M,60.37M,14.26M,,56.15M,604.73M,1.254B,0.883M,684.22M,587.11M,,,,26.67M,1.299B
2005-12,210.68M,124.01M,334.69M,582.62M,582.62M,505.54M,126.05M,35.50M,,1.584B,0.0,8.902M,85.06M,236.76M,,,330.72M,-139.98M,190.75M,626.87M,123.20M,750.07M,,,,57.89M,998.71M,2.583B,371.39M,,371.39M,317.62M,689.01M,,,35.11M,,35.11M,,,,724.11M,489.52M,,489.52M,54.43M,54.43M,12.35M,,53.55M,597.50M,1.322B,0.871M,667.96M,559.27M,,,,21.06M,1.249B
2005-09,220.08M,8.425M,228.50M,612.04M,612.04M,483.28M,129.26M,29.47M,,1.483B,,,,,,,316.10M,-135.23M,180.88M,,755.40M,755.40M,,,,62.79M,999.07M,2.482B,343.65M,,343.65M,280.54M,624.19M,,,10.81M,,10.81M,,,,635.00M,513.59M,,513.59M,69.46M,69.46M,11.86M,,52.36M,635.42M,1.270B,0.874M,698.87M,475.20M,,,,24.41M,1.199B
