,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-01,122.49M,,-12.56M,73.98M,93.24M,167.22M,167.22M,-31.79M,,,,-17.18M,22.57M,423.85M,61.13M,-293.38M,,-43.51M,-16.62M,154.04M,,382.21M,-142.72M,,-142.72M,,,0.168M,-142.55M,,-0.376M,48.37M,-103.67M,-55.30M,,-21.70M,,-74.36M,143.41M,165.30M,-1.526M,307.19M,48.37M,,,-103.67M
2004-10,200.86M,,3.737M,69.37M,2.13M,71.50M,71.50M,18.06M,,,,-8.499M,-41.61M,-538.05M,35.75M,416.45M,,169.45M,16.62M,58.61M,,344.25M,-148.20M,,-148.20M,,,0.165M,-148.04M,,-5.369M,13.62M,-175.07M,-161.45M,,-21.99M,,-188.80M,135.58M,7.411M,0.415M,143.41M,13.62M,,,-175.07M
2004-07,118.24M,,3.986M,68.36M,1.588M,69.95M,69.95M,17.82M,,,,7.579M,7.529M,-197.55M,-12.60M,53.53M,,88.56M,,-60.53M,,157.04M,-75.30M,,-75.30M,,,0.161M,-75.14M,,-0.361M,16.42M,-182.06M,-165.64M,,-22.26M,,-188.25M,241.51M,-106.36M,0.434M,135.58M,16.42M,,,-182.06M
2004-04,168.11M,,6.726M,67.36M,3.16M,70.52M,70.52M,18.68M,,,,0.92M,-16.22M,-78.90M,-48.36M,128.75M,,-56.90M,,-71.64M,,193.31M,-62.91M,,-62.91M,,,0.158M,-62.75M,,-0.356M,18.44M,-133.78M,-115.33M,,-17.47M,,-133.16M,246.40M,-2.603M,-2.29M,241.51M,18.44M,,,-133.78M
2004-01,189.79M,,-12.12M,67.33M,84.58M,151.91M,151.91M,14.63M,,,,-5.083M,24.99M,341.16M,-26.62M,-204.41M,,-35.37M,,99.75M,,438.88M,-97.72M,,-97.72M,,,0.156M,-154.70M,,-0.347M,26.48M,-130.79M,-104.32M,,-17.60M,,-119.71M,87.62M,164.47M,-5.689M,246.40M,26.48M,,,-130.79M
2003-10,182.83M,,7.061M,171.05M,7.22M,66.12M,66.12M,15.62M,,,,,-26.19M,-207.49M,25.59M,106.20M,,131.44M,-13.79M,15.76M,,287.40M,-123.16M,,-123.16M,,,0.152M,-123.00M,,-15.34M,23.13M,-112.63M,-89.50M,,-17.75M,,-122.58M,44.01M,41.81M,1.801M,87.62M,23.13M,,,-112.63M
2003-07,123.26M,,5.058M,-55.56M,-2.639M,53.95M,53.95M,16.14M,,,,-4.766M,8.693M,-127.40M,-10.98M,38.05M,,-3.715M,13.79M,-81.56M,,112.08M,-100.90M,,-100.90M,,,0.151M,-100.74M,,-0.334M,7.306M,-127.78M,-120.48M,,-17.93M,,-138.74M,171.45M,-127.40M,-0.041M,44.01M,7.306M,,,-127.78M
2003-04,113.53M,,3.126M,55.56M,2.639M,58.20M,58.20M,16.36M,,,,4.766M,-19.31M,-316.95M,-39.40M,178.99M,,-69.72M,,-266.39M,,-70.41M,-87.27M,,-87.27M,,,0.147M,-87.12M,,-0.327M,2.246M,-149.54M,-147.30M,,-15.61M,,-163.24M,492.33M,-320.77M,-0.105M,171.45M,2.246M,,,-149.54M
2003-01,154.30M,,5.181M,,,54.14M,54.14M,43.79M,,,,,19.37M,446.34M,-4.064M,-171.00M,,40.83M,1.302M,332.78M,,555.04M,-116.27M,,-116.27M,,,0.145M,-116.12M,,-0.32M,9.103M,-89.38M,-80.28M,,-15.76M,,-96.36M,151.94M,342.57M,-2.175M,492.33M,9.103M,,,-89.38M
2002-10,147.36M,,5.954M,,,52.23M,52.23M,9.272M,,,,,-24.80M,-230.00M,33.87M,21.77M,,81.18M,8.642M,-109.34M,,105.48M,-121.53M,,-121.53M,,,0.142M,-121.39M,,274.18M,10.92M,-392.35M,-381.43M,,-15.86M,,-123.11M,292.64M,-139.03M,-1.678M,151.94M,10.92M,,,-392.35M
2002-07,129.63M,,4.539M,,,52.05M,52.05M,16.49M,,,,,10.53M,-235.75M,-12.71M,100.99M,,-1.928M,-3.178M,-142.05M,,60.66M,-88.16M,,-88.16M,,,0.14M,-88.02M,,-274.80M,3.812M,90.93M,94.74M,,-16.18M,,-196.24M,516.86M,-223.60M,-0.618M,292.64M,3.812M,,,90.93M
2002-04,147.10M,,4.792M,,,49.46M,49.46M,2.585M,,,,,-11.08M,-66.24M,-39.30M,93.80M,,13.03M,-6.766M,-16.55M,,187.38M,-70.77M,,-70.77M,,,0.137M,-70.63M,,-0.302M,10.08M,-90.93M,-80.85M,,-12.23M,,-93.38M,492.78M,23.37M,0.712M,516.86M,10.08M,,,-90.93M
2002-01,155.32M,,13.91M,,,51.70M,51.70M,26.41M,,,,,24.86M,530.87M,-11.25M,-119.19M,,-0.219M,-19.01M,406.07M,,653.40M,-152.33M,,-152.33M,,,0.135M,-152.20M,,-0.301M,24.66M,-97.29M,-72.63M,,-12.27M,,-85.20M,76.09M,416.00M,0.685M,492.78M,24.66M,,,-97.29M
2001-10,109.50M,,48.46M,,,52.51M,52.51M,-1.059M,,,,,-25.50M,-138.85M,-0.138M,-14.96M,,97.67M,-0.375M,-82.15M,,127.26M,-125.79M,,-125.79M,,,-0.753M,-126.54M,,-3.18M,17.12M,-67.10M,-49.98M,,-12.33M,,-65.49M,138.62M,-64.78M,2.25M,76.09M,17.12M,,,-67.10M
2001-07,111.91M,,14.52M,,,51.16M,51.16M,10.94M,,,,,4.91M,-211.70M,32.38M,153.51M,,-80.42M,-2.154M,-103.47M,,85.05M,-106.01M,,-106.01M,,,-1.803M,-107.81M,,-11.23M,12.52M,-131.89M,-119.37M,,-12.47M,,-143.07M,304.69M,-165.83M,-0.238M,138.62M,12.52M,,,-131.89M
2001-04,123.67M,,0.594M,,,48.72M,48.72M,-1.059M,,,,,-11.89M,-193.61M,-22.27M,101.41M,,-0.979M,2.154M,-125.18M,,46.74M,-65.32M,,-65.32M,,,-2.981M,-68.30M,,322.23M,10.90M,-127.88M,-116.98M,,-11.22M,,194.03M,132.54M,172.47M,-0.319M,304.69M,10.90M,,,-127.88M
2001-01,135.18M,,19.31M,,,44.80M,44.80M,-6.334M,,,,,8.953M,499.56M,13.08M,-236.68M,-12.08M,-3.119M,-0.836M,268.87M,,461.82M,-75.69M,0.00,-75.69M,,,-4.576M,-80.26M,,-271.93M,22.05M,-43.75M,-21.70M,,-11.20M,,-304.83M,55.48M,76.74M,0.319M,132.54M,22.05M,,,-43.75M
2000-10,158.27M,,-5.623M,,,48.16M,48.16M,-5.967M,,,,,-13.50M,-270.24M,-13.08M,119.50M,44.74M,133.20M,-5.19M,-4.577M,,190.27M,-66.76M,0.00,-66.76M,,,-6.922M,-73.69M,,13.57M,0.379M,-101.69M,-101.31M,,-11.27M,,-99.02M,39.40M,17.56M,-1.484M,55.48M,0.379M,,,-101.69M
2000-07,114.03M,,2.768M,,,42.22M,42.22M,-5.967M,,,,,6.352M,-130.62M,,-70.35M,-22.96M,-83.00M,,-300.58M,,-147.52M,-60.07M,9.183M,-50.89M,,,-17.92M,-68.81M,,186.98M,1.573M,-157.25M,-155.68M,,-11.58M,,19.72M,236.01M,-196.61M,,39.40M,1.573M,,,-157.25M
2000-04,130.58M,,4.046M,,,40.60M,40.60M,-5.967M,,,,,-8.302M,-330.73M,,221.69M,-21.79M,22.05M,,-117.07M,,52.19M,-54.48M,,-54.48M,,,6.32M,-48.16M,,10.18M,2.099M,-141.41M,-139.32M,,-10.64M,,-139.78M,371.76M,-135.75M,,236.01M,2.099M,,,-141.41M
2000-01,136.95M,,-8.471M,,,44.58M,44.58M,10.19M,,,,,8.406M,448.00M,,-131.37M,31.12M,-45.19M,,310.95M,,494.21M,-56.10M,,-56.10M,,,4.146M,-51.95M,,89.82M,12.37M,-186.40M,-174.03M,,-10.85M,,-95.06M,24.56M,347.20M,,371.76M,12.37M,,,-186.40M
1999-10,151.72M,,0.213M,,,39.81M,39.81M,-2.475M,,,,0.038M,-6.355M,-74.24M,,6.102M,-4.277M,82.48M,,3.701M,,193.00M,-66.23M,,-66.23M,,,-4.146M,-70.37M,,48.37M,-9.201M,-173.36M,-182.57M,,-11.06M,,-145.26M,47.19M,-22.63M,,24.56M,-9.201M,,,-173.36M
1999-07,115.88M,,0.617M,,,38.76M,38.76M,-2.475M,,,,-0.038M,2.971M,-139.38M,,-30.79M,-20.41M,-74.00M,,-261.60M,,-108.85M,-72.64M,,-72.64M,,,,-72.64M,,48.63M,2.911M,-121.07M,-118.16M,,-11.16M,,-80.69M,309.36M,-262.18M,,47.19M,2.911M,,,-121.07M
1999-04,122.27M,,-15.48M,,,37.24M,37.24M,-2.475M,,,,,-13.22M,-263.26M,,154.57M,-21.97M,1.924M,,-141.95M,,-0.397M,-43.61M,,-43.61M,,,,-43.61M,,10.55M,14.97M,-123.73M,-108.76M,,-9.663M,,-107.88M,461.24M,-151.88M,,309.36M,14.97M,,,-123.73M
1999-01,126.90M,,-1.90M,,,36.20M,36.20M,-15.60M,,,,-0.10M,37.10M,315.30M,,-92.10M,29.90M,-16.80M,,273.40M,,418.90M,-55.40M,1.10M,-54.30M,,,,-54.30M,,-22.20M,18.90M,-45.90M,-27.00M,,-9.80M,,-59.00M,0.00,305.60M,,461.20M,18.90M,,,-45.90M
1998-10,124.70M,,9.90M,,,34.70M,34.70M,-1.50M,,,,0.00,-22.90M,-31.40M,,70.10M,5.30M,92.30M,,113.40M,,281.20M,-58.10M,0.00,-58.10M,,,,-58.10M,,-6.70M,1.60M,-109.90M,-108.30M,,-10.40M,-0.10M,-125.50M,58.00M,97.60M,,0.00,1.60M,,,-109.90M
1998-07,84.80M,,1.20M,,,33.00M,33.00M,-1.40M,,,,0.00,9.20M,-88.60M,,-100.70M,-15.90M,-34.60M,,-230.60M,,-113.00M,-54.90M,0.00,-54.90M,,,,-54.90M,,-0.80M,1.10M,-91.20M,-90.10M,,-10.70M,0.10M,-101.50M,0.00,-269.40M,,58.00M,1.10M,,,-91.20M
