,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2014-01,582.29M,1.247M,1.247M,,,141.54M,141.54M,5.16M,,19.44M,-21.47M,-3.867M,40.27M,690.03M,15.11M,-502.66M,,,,242.75M,,967.09M,-187.40M,,-187.40M,,-73.58M,-2.653M,-260.97M,0.00,0.00,28.81M,-472.98M,-444.17M,-102.79M,-102.79M,21.47M,-525.48M,2.011B,180.64M,-41.65M,2.150B,28.81M,0.00,,-472.98M
2013-10,622.66M,1.001M,1.001M,,,141.31M,141.31M,4.255M,,20.96M,-24.62M,-8.602M,-28.53M,-456.35M,15.93M,534.08M,,,,65.14M,,822.09M,-262.27M,,-262.27M,,-21.40M,0.00,-283.67M,0.00,0.00,53.38M,-370.54M,-317.17M,-103.70M,-103.70M,24.62M,-396.26M,1.859B,142.16M,9.791M,2.011B,53.38M,0.00,0.00,-370.54M
2013-07,479.56M,5.692M,5.692M,,,135.43M,135.43M,34.16M,,19.13M,-19.23M,-7.108M,35.84M,-113.56M,-64.56M,25.18M,,,,-117.10M,,530.53M,-258.50M,,-258.50M,,-1.059M,0.00,-259.56M,0.00,0.00,29.56M,-324.94M,-295.38M,-104.05M,-104.05M,18.26M,-381.17M,1.990B,-110.20M,-20.84M,1.859B,29.56M,0.00,0.00,-324.94M
2013-04,452.89M,-0.026M,-0.026M,,,130.54M,130.54M,8.661M,,16.55M,-17.22M,7.152M,-35.61M,-84.88M,30.16M,-227.47M,,,,-317.80M,,280.75M,-238.52M,,-238.52M,,-5.705M,2.653M,-241.57M,499.56M,499.56M,34.75M,-302.64M,-267.89M,-83.21M,-83.21M,10.65M,159.11M,1.812B,198.29M,-20.41M,1.990B,34.75M,499.56M,,-302.64M
2013-01,604.84M,7.578M,7.578M,,,136.56M,136.56M,-48.84M,,14.82M,-18.57M,5.54M,14.95M,364.18M,-101.04M,-4.27M,,,,273.82M,,975.76M,-202.63M,,-202.63M,,-45.80M,0.00,-438.80M,0.00,0.00,32.83M,-340.65M,-307.82M,-83.61M,-83.61M,18.52M,-372.91M,1.642B,164.04M,6.001M,1.812B,32.83M,0.00,0.00,-340.65M
2012-10,461.55M,3.289M,3.289M,,,125.91M,125.91M,31.35M,,19.72M,-16.58M,-10.06M,-35.32M,-277.31M,16.71M,452.96M,,,,157.04M,,772.22M,-336.68M,,-336.68M,,-24.40M,33.96M,-327.12M,0.00,0.00,39.68M,-407.46M,-367.78M,-84.60M,-84.60M,16.58M,-435.80M,1.620B,9.299M,12.21M,1.642B,39.68M,0.00,0.00,-407.46M
2012-07,421.09M,0.174M,0.174M,,,125.82M,125.82M,19.84M,,15.61M,-18.72M,7.684M,29.49M,-117.21M,-2.981M,122.38M,,,,31.68M,,603.18M,-184.65M,,-184.65M,,-5.09M,0.267M,-189.48M,-1.456M,-1.456M,32.95M,-299.71M,-266.76M,-84.95M,-84.95M,18.12M,-335.05M,1.564B,78.66M,-21.95M,1.620B,32.95M,0.00,-1.456M,-299.71M
2012-04,419.20M,0.835M,0.835M,,,120.64M,120.64M,10.91M,,14.27M,-8.60M,-1.875M,-27.54M,57.52M,33.60M,85.60M,,,,149.18M,,704.56M,-254.26M,,-254.26M,,-77.56M,0.263M,-331.56M,0.00,0.00,28.32M,-297.26M,-268.94M,-70.76M,-70.76M,7.879M,-331.82M,1.507B,41.18M,15.40M,1.564B,28.32M,0.00,,-297.26M
2012-01,475.31M,9.061M,9.061M,,,128.76M,128.76M,-52.52M,,14.38M,-12.08M,-1.327M,31.11M,744.34M,86.29M,-338.11M,,,,523.63M,,1.085B,-141.91M,-10.65M,-152.56M,,-24.23M,10.90M,-165.89M,-0.706M,-0.706M,51.00M,-346.06M,-295.06M,,-71.50M,12.08M,-355.18M,956.93M,564.13M,-13.95M,1.507B,51.00M,,-0.706M,-346.06M
2011-10,406.49M,3.849M,3.849M,,,120.50M,120.50M,150.75M,,18.10M,-9.353M,-8.54M,-19.14M,-359.62M,-46.69M,248.77M,,,,-176.68M,,505.11M,-222.20M,10.65M,-211.56M,,7.259M,0.253M,-204.04M,-0.693M,-0.693M,57.16M,-303.44M,-246.27M,,-71.90M,9.349M,-309.51M,977.76M,-8.445M,-12.39M,956.93M,57.16M,,-0.693M,-303.44M
