,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,330.00M,,-3.00M,25.00M,27.00M,341.00M,763.00M,1.104B,1.104B,-10.00M,,0.00,32.00M,-5.00M,34.00M,,8.00M,,,-660.00M,-618.00M,860.00M,,-73.00M,-73.00M,-84.00M,-250.00M,11.00M,-396.00M,,-29.00M,,-29.00M,,-214.00M,-214.00M,,,,,-31.00M,-274.00M,,1.738B,190.00M,28.00M,1.956B,,,0.00,-29.00M,-214.00M,,,,AOR,
2020-06,300.00M,,-5.00M,40.00M,106.00M,334.00M,651.00M,985.00M,985.00M,-113.00M,,38.00M,34.00M,12.00M,86.00M,,28.00M,,,-485.00M,-371.00M,991.00M,,-112.00M,-112.00M,26.00M,,2.00M,-84.00M,,-685.00M,0.00,-685.00M,,0.00,0.00,,,,,-54.00M,-739.00M,,1.534B,168.00M,36.00M,1.738B,,,1.979B,-2.664B,0.00,,,,AOR,
2020-03,407.00M,,6.00M,31.00M,37.00M,326.00M,704.00M,1.03B,1.03B,-75.00M,,,-4.00M,29.00M,36.00M,,-202.00M,,,-923.00M,-1.089B,335.00M,,-105.00M,-105.00M,-42.00M,,77.00M,-70.00M,,500.00M,,500.00M,,-527.00M,-527.00M,,,,,-232.00M,-259.00M,,1.552B,6.00M,-24.00M,1.534B,,,500.00M,0.00,-527.00M,,,,AOR,
2019-12,511.00M,,7.00M,1.00M,8.00M,333.00M,775.00M,1.108B,1.108B,68.00M,,0.00,60.00M,-5.00M,81.00M,,143.00M,,,-742.00M,-518.00M,1.232B,,-100.00M,-100.00M,-44.00M,54.00M,-57.00M,-147.00M,,-62.00M,0.00,-62.00M,,-333.00M,-333.00M,,,,,32.00M,-365.00M,,813.00M,720.00M,19.00M,1.552B,,,0.00,-62.00M,-333.00M,,,,AOR,
2019-09,297.00M,,41.00M,24.00M,65.00M,322.00M,700.00M,1.022B,1.022B,-18.00M,,155.00M,13.00M,-3.00M,147.00M,,111.00M,,,-838.00M,-580.00M,951.00M,,-67.00M,-67.00M,-56.00M,0.00,52.00M,-71.00M,,-915.00M,-173.00M,-1.088B,,-300.00M,-300.00M,,,,,39.00M,-1.349B,,1.321B,-469.00M,-39.00M,813.00M,,,-3.00M,-912.00M,-300.00M,,,,AOR,Restated
2019-06,987.00M,,,28.00M,56.00M,320.00M,681.00M,1.001B,1.001B,-511.00M,,0.00,39.00M,6.00M,-221.00M,,79.00M,,,-762.00M,-904.00M,674.00M,,-78.00M,-78.00M,-46.00M,,-2.00M,-126.00M,,-30.00M,173.00M,143.00M,,0.00,0.00,,,,,-134.00M,9.00M,,745.00M,557.00M,19.00M,1.321B,,,1.482B,-1.512B,0.00,,,,AOR,Restated
2019-03,418.00M,,,-5.00M,-5.00M,372.00M,697.00M,1.069B,1.069B,-43.00M,,,30.00M,44.00M,-10.00M,,-211.00M,,,-750.00M,-971.00M,542.00M,,-44.00M,-44.00M,-56.00M,,6.00M,-94.00M,,-453.00M,,-453.00M,,0.00,0.00,,,,,-199.00M,-652.00M,,986.00M,-204.00M,-37.00M,745.00M,,,0.00,-453.00M,0.00,,,,AOR,Restated
2018-12,299.00M,0.00,-13.00M,32.00M,19.00M,397.00M,765.00M,1.162B,1.162B,9.00M,,0.00,-12.00M,85.00M,45.00M,,49.00M,,,-727.00M,-633.00M,929.00M,,-41.00M,-41.00M,-5.00M,1.00M,0.00,-44.00M,,-130.00M,-298.00M,-428.00M,,0.00,0.00,,,,10.00M,-13.00M,-431.00M,,531.00M,454.00M,1.00M,986.00M,,,-1.00M,-129.00M,0.00,,,,AOR,Restated
2018-09,135.00M,0.00,-2.00M,11.00M,9.00M,398.00M,863.00M,1.261B,1.261B,-60.00M,,0.00,43.00M,31.00M,146.00M,,-55.00M,,,-579.00M,-488.00M,931.00M,,-24.00M,-24.00M,-8.00M,-3.00M,69.00M,34.00M,,-562.00M,-286.00M,-848.00M,,0.00,0.00,,,,18.00M,1.00M,-829.00M,,392.00M,136.00M,3.00M,531.00M,,,0.00,-562.00M,0.00,,,,AOR,Restated
2018-06,244.00M,-84.00M,,59.00M,-25.00M,410.00M,909.00M,1.319B,1.319B,-45.00M,,,34.00M,-42.00M,-140.00M,,103.00M,,,-892.00M,-929.00M,556.00M,,-34.00M,-34.00M,59.00M,64.00M,3.00M,92.00M,,-1.561B,579.00M,-982.00M,,0.00,0.00,,,,3.00M,-63.00M,-1.042B,,812.00M,-394.00M,-26.00M,392.00M,,,1.00M,-1.562B,0.00,,,,AOR,Restated
