,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-03,-611.00M,,,,-1.00M,,,314.00M,314.00M,10.00M,,,,23.00M,476.00M,-124.00M,-51.00M,91.00M,,-19.00M,-67.00M,306.00M,41.00M,,-586.00M,1.00M,-585.00M,,-3.00M,-4.00M,-592.00M,,,,-21.00M,30.00M,,30.00M,,,,,153.00M,162.00M,,1.38B,-389.00M,,991.00M,,30.00M,,,,,,
2006-12,-574.00M,,,,28.00M,318.00M,-88.00M,230.00M,230.00M,-2.00M,,,,453.00M,-268.00M,82.00M,117.00M,226.00M,,-15.00M,-5.00M,137.00M,272.00M,,-666.00M,19.00M,-647.00M,,917.00M,-197.00M,-3.345B,,,,3.04B,18.00M,,18.00M,,,,,11.00M,3.069B,,1.385B,-4.00M,,1.38B,,18.00M,,,,,,
2006-09,134.63M,,,,86.86M,180.24M,-90.70M,89.54M,89.54M,-0.719M,,,,13.43M,-116.45M,-63.34M,36.48M,186.42M,,-28.24M,-108.81M,-93.94M,229.80M,,-425.31M,0.715M,-424.60M,,871.94M,0.578M,447.93M,,,,-0.938M,21.06M,,21.06M,,,,,-2.442M,17.68M,,688.66M,695.41M,,1.385B,,21.06M,,,,,,
2006-06,88.37M,,,,-39.86M,178.76M,13.70M,192.46M,192.46M,4.719M,,,,43.57M,262.45M,-64.66M,-25.48M,-124.42M,,-53.76M,-64.19M,-70.06M,219.20M,,-455.69M,1.285M,-454.40M,,-207.94M,181.42M,-480.93M,,,,-1.062M,31.94M,,31.94M,,,,,96.44M,127.32M,,829.00M,-134.41M,-5.00M,688.66M,,31.94M,,,,,,
2006-03,185.00M,,,,12.00M,160.00M,14.00M,174.00M,174.00M,-4.00M,,,,,67.00M,52.00M,-32.00M,13.00M,,96.00M,3.00M,199.00M,566.00M,,-310.00M,2.00M,-308.00M,,-634.00M,17.00M,-925.00M,,,,-211.00M,655.00M,,655.00M,,,,,105.00M,549.00M,,633.00M,190.00M,5.00M,829.00M,,655.00M,,,,,,
2005-12,95.59M,,,,81.31M,262.99M,14.27M,277.26M,277.26M,-0.685M,,,,,45.39M,28.16M,-12.50M,180.76M,-123.98M,-34.02M,,83.81M,537.28M,,-329.14M,2.547M,-326.59M,,-364.93M,-133.08M,-824.60M,,,,-55.43M,68.48M,,68.48M,,,,,89.76M,102.81M,,806.12M,-184.51M,11.46M,633.07M,,68.48M,,,,,,
2005-09,76.00M,,,,-47.58M,276.55M,14.20M,290.75M,290.75M,-0.571M,,,,,-136.83M,-20.60M,30.86M,375.05M,3.047M,-141.05M,,110.49M,429.09M,,-362.30M,1.343M,-360.95M,,-27.21M,0.00,-388.16M,,,,-0.258M,67.80M,,67.80M,,,,,-8.013M,59.53M,,711.22M,100.46M,-5.564M,806.12M,,67.80M,,,,,,
2005-06,11.32M,,,,-64.65M,305.60M,12.85M,318.46M,318.46M,-13.22M,,,,,-35.56M,-63.97M,43.04M,-41.52M,1.712M,109.55M,,13.26M,265.16M,,-303.26M,5.573M,-297.69M,,-86.02M,-3.50M,-387.21M,,,,-58.41M,17.87M,,17.87M,,,,,214.33M,173.80M,,661.98M,51.75M,-2.517M,711.22M,,17.87M,,,,,,
2005-03,-17.42M,,,,-68.53M,318.80M,14.08M,332.88M,332.88M,-7.329M,,,,,23.64M,28.64M,-53.02M,12.34M,-9.803M,9.931M,,11.73M,251.33M,,-518.47M,0.216M,-518.26M,,-145.73M,-5.625M,-669.61M,,,,44.71M,35.19M,,35.19M,,,,,78.14M,158.05M,,918.38M,-260.24M,3.845M,661.98M,,35.19M,,,,,,
2004-12,-29.96M,,,,12.06M,312.84M,16.31M,329.15M,329.15M,-24.29M,,,,,59.13M,-67.56M,-8.406M,-127.14M,-5.882M,225.10M,,75.24M,362.19M,,-470.38M,9.836M,-460.54M,,-83.45M,,-543.99M,,,,-23.24M,65.84M,,65.84M,,,,,271.32M,313.91M,,776.59M,132.11M,9.68M,918.38M,,65.84M,,,,,,
2004-09,43.85M,,,,-40.48M,292.64M,12.09M,304.73M,304.73M,-9.624M,,,,,-87.51M,-81.05M,12.15M,130.58M,-6.588M,-2.646M,,-35.08M,263.40M,,-406.75M,17.13M,-389.62M,,37.63M,,-351.99M,,,,11.90M,13.16M,,13.16M,,,,,139.92M,164.98M,,698.25M,76.39M,1.948M,776.59M,,13.16M,,,,,,
2004-06,32.18M,,,,-5.493M,281.10M,11.29M,292.39M,292.39M,-4.489M,,,,,-65.09M,-36.44M,21.91M,7.056M,-19.91M,18.37M,,-74.10M,240.49M,,-360.96M,1.159M,-359.80M,,-92.27M,,-452.08M,,,,-43.06M,25.06M,,25.06M,,,,,-27.59M,-45.59M,,957.42M,-257.18M,-1.994M,698.25M,,25.06M,,,,,,
2004-03,45.09M,,,,-34.01M,287.02M,10.96M,297.98M,297.98M,-0.833M,,,,,-68.98M,5.07M,9.406M,-4.72M,11.32M,-39.87M,,-87.78M,220.45M,,-202.05M,6.058M,-195.99M,,-11.74M,,-207.73M,,,,-67.74M,19.62M,,19.62M,,,,,27.61M,-20.50M,,968.18M,-7.783M,-2.977M,957.42M,,19.62M,,,,,,
2003-12,43.19M,,,,-59.60M,278.44M,8.875M,287.31M,287.31M,-12.23M,,,,,-70.46M,-5.262M,55.41M,363.18M,-38.25M,-174.71M,,129.92M,388.59M,,-162.78M,3.269M,-159.51M,0.00,-47.86M,0.00,-207.37M,,,,-300.10M,18.29M,,18.29M,,,,,183.52M,-98.29M,,994.94M,82.93M,-1.821M,968.18M,,18.29M,,,,,,
2003-09,-31.23M,,,,-24.51M,276.60M,8.427M,285.03M,285.03M,15.20M,,,,,-140.04M,-37.38M,27.34M,-132.78M,-8.832M,20.72M,26.50M,-244.49M,0.001M,,-123.96M,24.21M,-99.75M,0.00,-43.68M,147.62M,4.191M,,,,241.63M,6.864M,,6.864M,,,,,60.43M,308.93M,,703.18M,313.12M,9.69M,994.94M,,6.864M,,,,,,
2003-06,-140.10M,,,,-21.05M,202.23M,11.33M,213.57M,213.57M,,,,,,30.94M,-27.34M,24.08M,-64.93M,16.63M,-19.65M,-26.50M,-66.76M,-14.34M,,-103.08M,0.387M,-102.69M,-6.265M,334.90M,,225.94M,,,,-13.72M,5.152M,,5.152M,,,,,55.67M,47.10M,,429.39M,258.70M,15.08M,703.18M,,5.152M,,,,,,
2003-03,-146.36M,,,,-17.63M,198.29M,11.47M,209.75M,209.75M,,,,,,24.20M,-7.445M,-36.58M,-133.12M,17.83M,10.69M,,-124.43M,-78.66M,,-180.50M,2.071M,-178.42M,,238.84M,,60.42M,,,,-21.39M,5.133M,,5.133M,,,,,25.93M,9.665M,,428.75M,-8.577M,9.221M,429.39M,,5.133M,,,,,,
2002-12,-854.74M,,,,301.95M,197.62M,2.246M,199.87M,199.87M,235.79M,,,,,31.67M,-12.37M,-3.593M,85.08M,-132.48M,50.76M,,19.07M,-98.07M,,-137.96M,3.456M,-134.51M,0.00,-274.08M,,-408.59M,,,,297.25M,5.573M,,5.573M,,,,,75.73M,378.55M,,533.39M,-128.11M,23.47M,428.75M,,5.573M,,,,,,
2002-09,-254.17M,,,,-32.18M,210.85M,-11.76M,199.09M,199.09M,-102.60M,,,,,89.50M,-40.15M,47.44M,-18.15M,-113.24M,130.85M,,96.25M,-93.62M,,-195.77M,2.922M,-192.85M,0.00,260.73M,,67.88M,,,,108.24M,7.507M,,7.507M,,,,,-60.72M,55.02M,,506.19M,29.28M,-2.085M,533.39M,,7.507M,,,,,,
2002-06,-184.94M,,,,-9.256M,165.40M,17.71M,183.11M,183.11M,-90.20M,,,,,172.31M,-3.284M,-21.01M,29.48M,12.60M,-196.58M,,-6.478M,-107.76M,,-172.33M,2.24M,-170.09M,0.00,-1.509B,1.934B,255.59M,,,,-36.88M,7.827M,,7.827M,,,,,66.49M,37.43M,,298.39M,185.26M,22.54M,506.19M,,7.827M,,,,,,
2002-03,-9.163M,,,,-0.848M,165.74M,8.364M,174.11M,174.11M,-7.566M,,,,,-33.97M,3.834M,-23.64M,-29.48M,132.90M,4.359M,,54.00M,210.53M,,-199.08M,,-199.08M,-26.51M,1.391B,-1.934B,-769.27M,,,,433.93M,8.272M,,8.272M,,,,,-5.762M,436.44M,,427.29M,-122.30M,-6.605M,298.39M,,8.272M,,,,,,
2001-12,-15.84M,,,,12.62M,,,150.48M,150.48M,-21.60M,,,,,-80.56M,75.98M,8.672M,67.11M,21.53M,-54.55M,-52.29M,-14.09M,111.57M,,-136.97M,0.022M,-136.95M,,49.78M,0.00,-87.17M,,,,-17.38M,-1.546M,-8.383M,-9.929M,,,,,,10.20M,,397.42M,34.59M,-4.728M,427.29M,,-1.546M,,,-8.383M,,,
2001-09,-186.93M,,,,81.26M,,,160.01M,160.01M,-38.25M,,,,,139.35M,-48.24M,17.74M,83.98M,-157.52M,-50.64M,72.41M,57.09M,73.19M,,-164.07M,1.348M,-162.72M,,181.28M,0.00,18.56M,,,,-34.61M,5.629M,-68.84M,-63.21M,,,,,,-97.82M,,392.50M,-6.076M,11.00M,397.42M,,5.629M,,,-68.84M,,,
2001-06,17.35M,,,,-4.913M,,,159.44M,159.44M,0.376M,,,,,-125.81M,-53.59M,4.653M,-43.62M,-22.92M,-22.43M,-72.41M,-336.12M,-163.87M,,-215.10M,0.068M,-215.04M,,-128.22M,-122.36M,-465.61M,,,,-40.65M,21.76M,,21.76M,,,,,,-18.89M,,1.056B,-648.36M,-14.91M,392.50M,,21.76M,,,,,,
2001-03,124.84M,,,,-19.44M,,,152.93M,152.93M,23.42M,,,,,-55.16M,-11.13M,-2.506M,-107.47M,70.13M,-28.86M,,-135.00M,146.76M,,-162.71M,0.299M,-162.41M,,143.12M,,-19.29M,,,,327.36M,10.86M,,10.86M,,,,,,338.22M,,591.46M,465.68M,-1.362M,1.056B,,10.86M,,,,,,
2000-12,177.97M,,,,-22.25M,,,149.61M,149.61M,-123.54M,,,,,236.45M,-156.28M,79.29M,-40.85M,-340.59M,290.70M,,68.71M,250.50M,,-228.30M,0.656M,-227.64M,,-48.00M,,-275.64M,,,,9.169M,7.087M,,7.087M,,,,,,31.64M,,582.30M,6.498M,2.66M,591.46M,,7.087M,,,,,,
2000-09,407.63M,,,,-175.98M,,,153.76M,153.76M,70.58M,,,,,-271.29M,57.37M,25.04M,174.34M,41.56M,-198.01M,2.175M,-168.83M,287.15M,,-287.28M,377.58M,90.30M,,-284.80M,,-194.50M,,,,-242.94M,20.81M,,20.81M,,,,,,-222.13M,,709.52M,-129.49M,2.263M,582.30M,,20.81M,,,,,,
2000-06,208.08M,,,,-3.929M,,,147.81M,147.81M,34.40M,,,,,-107.28M,-57.37M,-25.04M,-52.32M,29.64M,209.31M,-102.18M,-105.23M,281.14M,,-160.87M,0.611M,-160.26M,,168.71M,,8.457M,,,,-4.808M,43.54M,,43.54M,,,,,,38.73M,,380.15M,328.33M,1.042M,709.52M,,43.54M,,,,,,
2000-03,189.35M,,,,-13.14M,,,127.89M,127.89M,-0.515M,,,,,9.803M,,,-23.69M,,-2.931M,100.00M,83.18M,386.76M,,-129.03M,9.049M,-119.98M,,-234.13M,,-354.11M,,,,-0.648M,51.56M,,51.56M,,,,,,50.91M,,294.12M,83.56M,2.468M,380.15M,,51.56M,,,,,,
1999-12,65.10M,,,,-2.00M,,,129.90M,129.90M,-3.60M,,,,-0.30M,60.10M,,,-94.70M,,254.20M,,150.20M,339.30M,,-124.80M,0.70M,-124.10M,,-21.90M,,-146.00M,,,,-15.20M,10.70M,,10.70M,,,,,,9.90M,,93.30M,203.20M,-2.30M,294.10M,,10.70M,,,,,,
1999-09,-105.50M,,,,-14.30M,,,130.20M,130.20M,-2.10M,,,,0.20M,-127.10M,,,58.30M,,-1.40M,,-70.20M,-61.70M,,-147.60M,0.40M,-147.20M,,146.40M,0.10M,-0.70M,,,,-72.90M,5.80M,,5.80M,,,,,,-67.10M,,220.60M,-129.50M,2.10M,93.30M,,5.80M,,,,,,
1999-06,79.87M,,,,-435.70M,,,127.91M,127.91M,173.74M,,,,,-1.508M,,,27.10M,,-10.98M,,14.61M,-39.57M,,-147.61M,454.41M,306.81M,,-120.02M,-0.10M,186.69M,,,,-106.21M,17.05M,,17.05M,,,,,,-89.16M,,163.58M,57.96M,-0.928M,220.60M,,17.05M,,,,,,
1999-03,-128.37M,,,,2.205M,,,127.49M,127.49M,-7.344M,,,,,24.01M,,,4.298M,,-0.416M,,27.89M,21.87M,,-199.79M,2.786M,-197.01M,,14.62M,,-182.39M,,,,-37.39M,10.25M,,10.25M,,,,,,-27.14M,,361.91M,-187.66M,-10.67M,163.58M,,10.25M,,,,,,
1998-12,22.30M,,,,11.40M,,,125.10M,125.10M,-5.00M,,,,-0.10M,0.90M,,,10.40M,,11.50M,,-42.60M,111.10M,,-176.40M,93.20M,-83.20M,,109.50M,,26.30M,,,,-48.60M,17.40M,,17.40M,,,,,118.20M,87.00M,,135.70M,224.40M,1.80M,361.90M,,17.40M,,,,,,
1998-09,1.00M,,,,4.50M,,,117.10M,117.10M,-2.80M,,,,0.10M,-155.40M,,,-9.00M,,3.60M,,-160.80M,-40.90M,,-308.50M,7.30M,-301.20M,,85.80M,-0.10M,-215.50M,,,,220.30M,5.10M,,5.10M,,,,,0.00,225.40M,,160.00M,-31.00M,6.50M,135.70M,,5.10M,,,,,,
1998-06,-64.60M,,,,-2.10M,,,113.10M,113.10M,-44.40M,,,,0.30M,-18.40M,,,102.20M,,3.30M,,87.10M,89.40M,,-305.90M,0.80M,-305.10M,,-415.00M,0.10M,-720.00M,,,,503.20M,16.10M,,16.10M,,,,,78.40M,597.70M,,192.50M,-32.90M,0.60M,160.00M,,16.10M,,,,,,
1998-03,-62.70M,,,,-5.20M,,,112.20M,112.20M,-54.70M,,,,-0.20M,86.20M,,,-94.20M,,0.80M,,-7.20M,-17.80M,,-184.30M,5.70M,-178.60M,,110.80M,,-67.80M,,,,34.50M,5.50M,,5.50M,,,,,0.10M,40.10M,,240.70M,-45.50M,-2.70M,192.50M,,5.50M,,,,,,
1997-12,-12.33M,,,,-5.39M,,,107.68M,107.68M,-13.42M,,,,,-104.03M,,,128.26M,,96.51M,,120.74M,197.27M,,-216.72M,20.90M,-195.83M,,52.49M,0.00,-143.34M,,,,-31.54M,-9.302M,,-9.302M,,,,,64.78M,23.94M,,162.78M,77.88M,,240.66M,,-9.302M,,,,,,
1997-09,-31.68M,,,,0.621M,,,103.96M,103.96M,-14.33M,,,,,-13.30M,,,-3.405M,,-18.32M,,-35.02M,23.56M,,-157.48M,22.13M,-135.35M,,104.19M,0.00,-31.16M,,,,-0.713M,10.50M,,10.50M,,,,,0.006M,9.788M,,160.60M,2.186M,,162.78M,,10.50M,,,,,,
1997-06,9.968M,,,,18.02M,,,94.02M,94.02M,4.786M,,,,-0.061M,-62.35M,,,37.25M,,-38.46M,,-63.56M,63.19M,,-160.30M,0.437M,-159.86M,,21.08M,0.00,-138.78M,,,,-3.647M,14.45M,,14.45M,,,,,-0.006M,10.80M,,225.38M,-64.79M,,160.60M,,14.45M,,,,,,
1997-03,12.95M,,,,-1.826M,,,88.80M,88.80M,4.40M,,,,0.061M,-5.286M,,,-5.777M,,21.48M,,10.41M,114.80M,,-150.59M,0.13M,-150.46M,,-169.43M,-0.128M,-320.03M,,,,239.59M,24.83M,,24.83M,,,,,,264.42M,,166.19M,59.19M,,225.38M,,24.83M,,,,,,
1996-12,-21.24M,,,,-9.732M,,,84.18M,84.18M,6.134M,,,,,84.52M,,,56.11M,,-50.59M,,90.04M,149.38M,,-135.89M,0.211M,-135.68M,,32.59M,,-103.08M,,,,-7.272M,18.42M,,18.42M,,,,,,11.15M,,108.75M,57.45M,,166.19M,,18.42M,,,,,,
1996-09,-38.36M,,,,0.391M,,,77.70M,77.70M,-14.60M,,,,,-58.59M,,,8.353M,,-0.998M,,-51.23M,-26.10M,,-143.48M,1.03M,-142.46M,,-48.74M,,-191.20M,,,,244.56M,3.682M,,3.682M,,,,,,248.24M,,77.81M,30.94M,,108.75M,,3.682M,,,,,,
1996-06,-34.67M,,,,-28.30M,,,94.95M,94.95M,19.60M,,,,,-20.60M,,,-4.902M,,-51.57M,,-77.07M,-25.50M,,-110.32M,0.446M,-109.87M,,137.37M,,27.50M,,,,-17.49M,7.916M,,7.916M,,,,,,-9.577M,,85.38M,-7.576M,,77.81M,,7.916M,,,,,,
1996-03,25.33M,,,,-45.12M,,,75.81M,75.81M,6.00M,,,,,22.77M,,,-102.42M,,-6.901M,,-86.56M,-24.54M,,-95.33M,0.802M,-94.53M,,85.80M,,-8.73M,,,,-24.69M,17.02M,,17.02M,,,,,,-7.663M,,126.32M,-40.93M,,85.38M,,17.02M,,,,,,
1995-12,-28.62M,,,,-18.28M,,,85.56M,85.56M,,,,,,70.50M,,,38.96M,,-82.49M,,26.97M,64.70M,,-138.53M,1.788M,-136.74M,,-13.31M,0.00,-150.06M,,,,-14.08M,83.73M,-1.035M,82.70M,,,0.00,,,68.62M,,178.43M,-16.74M,,126.32M,,83.73M,,,-1.035M,,,
1995-09,56.16M,,,,-14.83M,,,65.90M,65.90M,,,,,,3.256M,,,10.24M,,-11.82M,,1.679M,108.91M,,-164.55M,1.646M,-162.91M,,-22.61M,0.00,-185.52M,,,,-13.63M,7.586M,0.00,7.586M,,,0.00,,,-6.042M,,261.07M,-82.65M,,178.43M,,7.586M,,,0.00,,,
1995-06,91.98M,,,,-2.195M,,,55.73M,55.73M,,,,,,-48.84M,,,75.91M,,21.28M,,48.35M,193.87M,,-126.82M,0.817M,-126.01M,,36.96M,0.00,-89.04M,,,,-11.67M,5.238M,0.00,5.238M,,,0.00,,,-6.429M,,162.68M,98.39M,,261.07M,,5.238M,,,0.00,,,
1995-03,96.80M,,,,2.918M,,,57.48M,57.48M,,,,,,-5.367M,,,-1.045M,,26.79M,,20.38M,177.58M,,-195.99M,0.583M,-195.41M,,-68.34M,-18.02M,-281.76M,,,,142.78M,5.249M,-2.501M,2.748M,,,-0.01M,,,145.52M,,121.34M,41.34M,,162.68M,,5.249M,,,-2.501M,,,
1994-12,40.76M,,,,62.03M,,,56.96M,56.96M,,,,,,-8.307M,,,34.73M,,-12.91M,,13.51M,173.26M,,-255.84M,0.814M,-255.02M,,131.89M,-63.99M,-187.13M,,,,-9.754M,16.97M,,16.97M,,,-2.588M,,,4.627M,,130.59M,-9.244M,,121.34M,,16.97M,,,,,,
1994-09,86.69M,,,,-24.97M,,,54.44M,54.44M,0.183M,,,,,-36.89M,,,7.029M,,53.75M,,23.89M,140.22M,,-152.85M,0.143M,-152.71M,,103.66M,-35.94M,-84.99M,,,,-7.253M,5.921M,,5.921M,,,-2.587M,,,-3.919M,,79.27M,51.32M,,130.59M,,5.921M,,,,,,
1994-06,93.23M,,,,0.44M,,,53.62M,53.62M,-0.181M,,,,,-7.012M,,,7.104M,,,,0.092M,147.20M,,-86.93M,0.86M,-86.07M,,-33.78M,-39.24M,-159.09M,,,,-4.649M,13.99M,,13.99M,,,-2.587M,,,6.753M,,84.40M,-5.137M,,79.27M,,13.99M,,,,,,
1994-03,84.59M,,,,35.56M,,,50.97M,50.97M,-0.002M,,,,,-62.36M,,,3.73M,,,,-58.63M,112.49M,,-53.13M,0.241M,-52.88M,,-30.51M,,-83.39M,,,,-5.217M,2.686M,,2.686M,,,-2.588M,,,-5.119M,,60.42M,23.98M,,84.40M,,2.686M,,,,,,
1993-12,41.70M,,,,50.80M,,,41.40M,41.40M,0.00,,,,-0.20M,-5.10M,,,56.40M,,,,51.30M,185.00M,,-56.30M,0.10M,-56.20M,,-20.20M,0.10M,-76.30M,,,,-38.10M,-33.50M,,-33.50M,,,-2.60M,,,-74.10M,,0.00,34.60M,,60.40M,,-33.50M,,,,,,
1993-09,61.30M,,,,3.70M,,,42.30M,42.30M,-0.30M,,,,,-49.20M,,,19.70M,,,,-29.50M,77.50M,,-93.10M,0.50M,-92.60M,,-40.00M,-0.10M,-132.70M,,,,19.80M,20.70M,,20.70M,,,-2.60M,,,37.90M,,0.00,-17.30M,,0.00,,20.70M,,,,,,
1993-06,64.30M,,,,-20.40M,,,50.60M,50.60M,0.00,,,,0.10M,-1.00M,,,-18.80M,,,,-19.80M,74.80M,,-80.00M,3.80M,-76.20M,,-84.50M,0.10M,-160.60M,,,,11.40M,39.60M,,39.60M,,,-2.60M,,,48.40M,,0.00,-37.40M,,0.00,,39.60M,,,,,,
1993-03,61.50M,,,,34.90M,,,40.80M,40.80M,-26.70M,,,,-0.10M,-4.00M,,,12.50M,,,,8.50M,118.90M,,-94.30M,0.20M,-94.10M,,-4.00M,,-98.10M,,,,-5.30M,15.60M,,15.60M,,,-2.60M,,,7.70M,,52.00M,28.50M,,0.00,,15.60M,,,,,,
1992-12,69.60M,,,,-10.00M,,,43.60M,43.60M,,,,,0.10M,5.10M,,,5.20M,,,,10.30M,94.50M,,-70.50M,0.60M,-69.90M,,-45.40M,21.30M,-94.00M,,,,-122.30M,13.20M,,13.20M,,,-2.60M,,-0.10M,-111.80M,,0.00,-111.30M,,52.00M,,13.20M,,,,,,
1992-09,49.10M,,,,0.80M,,,37.50M,37.50M,,,,,-0.10M,14.40M,,,6.20M,,,,20.60M,107.90M,,-57.40M,0.30M,-57.10M,,18.40M,0.00,-38.70M,,,,-2.50M,1.40M,,1.40M,,,-2.60M,,0.00,-3.70M,,0.00,65.50M,,0.00,,1.40M,,,,,,
1992-06,41.40M,,,,0.90M,,,34.50M,34.50M,,,,,,-18.80M,,,-0.20M,,,,-19.00M,57.80M,,-57.20M,0.20M,-57.00M,,-68.60M,-0.10M,-125.70M,,,,-1.20M,1.80M,,1.80M,,,-2.60M,,0.00,-2.00M,,0.00,-69.90M,,0.00,,1.80M,,,,,,
1992-03,84.90M,,,,2.20M,,,36.70M,36.70M,,,,,,-3.20M,,,7.90M,,,,4.70M,128.50M,,-37.00M,0.20M,-36.80M,,-66.60M,,-103.40M,,,,-18.20M,9.30M,,9.30M,,,-2.60M,,0.10M,-11.40M,,153.90M,13.70M,,0.00,,9.30M,,,,,,
1991-12,106.80M,,,,-54.90M,,,48.70M,48.70M,-8.80M,,,,0.00,8.30M,,,27.30M,,,,35.60M,127.40M,,-36.80M,1.00M,-35.80M,,-106.80M,84.00M,-58.60M,,,,-2.30M,2.40M,,2.40M,,,-2.60M,,0.10M,-2.40M,,0.00,66.40M,,0.00,,2.40M,,,,,,
1991-09,17.00M,,,,0.20M,,,35.80M,35.80M,-5.50M,,,,0.10M,-18.50M,,,7.60M,,,,-10.90M,36.70M,,-30.00M,0.50M,-29.50M,,5.50M,-0.10M,-24.10M,,,,-2.00M,2.60M,,2.60M,,,-2.60M,,-0.10M,-2.10M,,0.00,10.50M,,0.00,,2.60M,,,,,,
1991-06,17.30M,,,,-0.20M,,,34.90M,34.90M,-1.20M,,,,0.10M,-52.40M,,,2.50M,,,,-49.90M,1.00M,,-25.70M,0.20M,-25.50M,,30.90M,0.10M,5.50M,,,,0.70M,2.20M,,2.20M,,,-2.60M,,0.00,0.30M,,0.00,6.80M,,0.00,,2.20M,,,,,,
1991-03,4.20M,,,,-0.60M,,,36.50M,36.50M,,,,,-0.10M,-9.20M,,,-6.80M,,,,-16.00M,24.00M,,-18.50M,1.30M,-17.20M,,19.50M,,2.30M,,,,-4.30M,1.70M,,1.70M,,,-2.60M,,0.10M,-5.10M,,49.10M,21.20M,,0.00,,1.70M,,,,,,
1990-12,-43.00M,,,,26.80M,,,33.60M,33.60M,-1.90M,,,,0.00,21.30M,,,14.10M,,,,35.40M,50.90M,,-64.60M,1.20M,-63.40M,,19.50M,0.00,-43.90M,,,,0.70M,0.90M,,0.90M,,,-2.60M,,,-0.90M,,0.00,6.10M,,0.00,,0.90M,,,,,,
1990-09,-17.80M,,,,2.20M,,,24.20M,24.20M,0.00,,,,-0.20M,7.10M,,,9.10M,,,,16.20M,24.60M,,-69.60M,-2.30M,-71.90M,,71.30M,0.00,-0.60M,,,,0.20M,1.60M,,1.60M,,,-2.60M,,,-0.80M,,0.00,23.20M,,0.00,,1.60M,,,,,,
1990-06,-5.90M,,,,-10.30M,,,39.80M,39.80M,-0.80M,,,,0.20M,-1.20M,,,-7.70M,,,,-8.90M,14.10M,,-103.40M,57.60M,-45.80M,,-3.60M,-25.80M,-75.20M,,,,4.20M,3.20M,,3.20M,,,-2.60M,,,4.80M,,0.00,-56.30M,,0.00,,3.20M,,,,,,
1990-03,13.10M,,,,-9.40M,,,30.70M,30.70M,,,,,-0.10M,-6.40M,,,-9.50M,,,,-15.90M,18.40M,,-66.60M,0.20M,-66.40M,,45.90M,-0.10M,-20.60M,,,,-0.70M,1.90M,,1.90M,,,-2.60M,,,-1.40M,,79.70M,-3.60M,,0.00,,1.90M,,,,,,
