,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2015-03,-180.00M,,,,,,,46.00M,46.00M,,,,17.00M,74.00M,46.00M,-6.00M,52.00M,-221.00M,,,,-129.00M,-172.00M,,-22.00M,,-22.00M,,7.00M,,-15.00M,,57.00M,,57.00M,,,,,,,,2.00M,59.00M,,805.00M,-128.00M,,677.00M,,,58.00M,-1.00M,,,AOR,Restated
2014-12,-364.00M,,,,-3.00M,,,48.00M,48.00M,0.00,,,16.00M,16.00M,151.00M,213.00M,36.00M,-230.00M,,,,170.00M,116.00M,,-22.00M,0.00,-22.00M,,65.00M,,43.00M,,-1.077B,,-1.077B,-4.00M,,-4.00M,,,,,3.00M,6.00M,,640.00M,165.00M,,805.00M,,-4.00M,-1.005B,-72.00M,,,AOR,Restated
2014-09,17.00M,,,,0.00,,,49.00M,49.00M,-1.00M,,,21.00M,-2.00M,-104.00M,62.00M,-72.00M,48.00M,,,,-66.00M,18.00M,,-29.00M,0.00,-29.00M,,148.00M,,119.00M,,-1.00M,,-1.00M,2.00M,,2.00M,,,,,-1.00M,0.00,,503.00M,137.00M,,640.00M,,2.00M,0.00,-1.00M,,,AOR,Restated
2014-06,-36.00M,,,,49.00M,,,53.00M,53.00M,1.00M,,,21.00M,2.00M,-32.00M,-90.00M,-76.00M,80.00M,,,,-118.00M,-28.00M,,-23.00M,,-23.00M,,-20.00M,,-43.00M,,18.00M,,18.00M,1.00M,,1.00M,,,,,1.00M,20.00M,,554.00M,-51.00M,,503.00M,,1.00M,491.00M,-473.00M,,,AOR,Restated
2014-03,-20.00M,,,,15.00M,,,53.00M,53.00M,,,,23.00M,2.00M,-8.00M,14.00M,-8.00M,-275.00M,,,,-277.00M,-204.00M,,-21.00M,,-21.00M,,-110.00M,,-131.00M,,20.00M,,20.00M,1.00M,,1.00M,,,,,-1.00M,20.00M,,869.00M,-315.00M,,554.00M,,1.00M,589.00M,-569.00M,,,AOR,Restated
2013-12,89.00M,1.00M,,,2.00M,,,54.00M,54.00M,,,,24.00M,5.00M,42.00M,38.00M,-18.00M,-215.00M,,,,-153.00M,21.00M,,-21.00M,0.00,-21.00M,,317.00M,,296.00M,,4.00M,,4.00M,0.00,,0.00,,,,,5.00M,9.00M,,543.00M,326.00M,,869.00M,,0.00,55.00M,-51.00M,,,AOR,Restated
2013-09,48.00M,-17.00M,,,-17.00M,,,57.00M,57.00M,-1.00M,,,23.00M,6.00M,-203.00M,-211.00M,-10.00M,329.00M,,,,-95.00M,21.00M,,-15.00M,57.00M,42.00M,,144.00M,,186.00M,,-2.00M,,-2.00M,1.00M,,1.00M,,,,,3.00M,2.00M,,334.00M,209.00M,,543.00M,,1.00M,0.00,-2.00M,,,AOR,Restated
2013-06,-74.00M,-1.00M,,,-1.00M,,,59.00M,59.00M,0.00,,,20.00M,8.00M,-25.00M,-97.00M,-74.00M,149.00M,,,,-47.00M,-35.00M,,-28.00M,3.00M,-25.00M,,-49.00M,,-74.00M,,-1.00M,,-1.00M,1.00M,,1.00M,,,,,2.00M,2.00M,,441.00M,-107.00M,,334.00M,,1.00M,0.00,-1.00M,,,AOR,Restated
2013-03,-146.00M,48.00M,,,48.00M,,,66.00M,66.00M,1.00M,,,24.00M,5.00M,-14.00M,-52.00M,-1.00M,-86.00M,,,,-153.00M,-155.00M,,-20.00M,178.00M,158.00M,,-111.00M,,47.00M,,-1.00M,,-1.00M,1.00M,,1.00M,,,,,,0.00,,549.00M,-108.00M,,441.00M,,1.00M,0.00,-1.00M,,,AOR,Restated
2012-12,-473.00M,1.00M,,0.00,1.00M,,,66.00M,66.00M,1.00M,,,23.00M,13.00M,53.00M,183.00M,-2.00M,-164.00M,,,13.00M,83.00M,-286.00M,,-22.00M,0.00,-22.00M,0.00,62.00M,14.00M,54.00M,,-1.00M,,-1.00M,2.00M,,2.00M,,,,,4.00M,5.00M,,776.00M,-227.00M,,549.00M,,2.00M,0.00,-1.00M,,,AOR,Restated
2012-09,-157.00M,0.00,,0.00,0.00,,,66.00M,66.00M,-1.00M,,,27.00M,5.00M,60.00M,89.00M,-14.00M,-320.00M,,,5.00M,-180.00M,-240.00M,,-32.00M,0.00,-32.00M,0.00,40.00M,-18.00M,-10.00M,,5.00M,,5.00M,0.00,,0.00,,,,,6.00M,11.00M,,1.015B,-239.00M,,776.00M,,0.00,491.00M,-486.00M,,,AOR,Restated
2012-06,37.00M,0.00,,0.00,0.00,,,65.00M,65.00M,-4.00M,,,26.00M,8.00M,217.00M,-249.00M,25.00M,-42.00M,,,-2.00M,-51.00M,81.00M,,-39.00M,0.00,-39.00M,0.00,-223.00M,-1.00M,-263.00M,,-1.00M,,-1.00M,3.00M,,3.00M,,,,,2.00M,4.00M,,1.193B,-178.00M,,1.015B,,3.00M,,-1.00M,,,AOR,Restated
2012-03,-590.00M,0.00,,278.00M,278.00M,,,63.00M,63.00M,-36.00M,,,21.00M,3.00M,-40.00M,-106.00M,-41.00M,571.00M,,,-16.00M,368.00M,107.00M,,-40.00M,0.00,-40.00M,-281.00M,525.00M,-4.00M,200.00M,,-1.00M,,-1.00M,9.00M,,9.00M,,,,,9.00M,17.00M,,869.00M,324.00M,,1.193B,,9.00M,,-1.00M,,,AOR,Restated
2011-12,,,,0.00,-5.00M,,,70.00M,70.00M,-6.00M,,,21.00M,-658.00M,-10.00M,65.00M,73.00M,-65.00M,,,2.00M,65.00M,187.00M,,-87.00M,0.00,-87.00M,0.00,186.00M,-2.00M,97.00M,,-51.00M,,-51.00M,1.00M,,1.00M,,,,,10.00M,-40.00M,,625.00M,244.00M,,869.00M,,1.00M,0.00,-51.00M,,,AOR,Restated
2011-09,,,,0.00,0.00,,,79.00M,79.00M,2.00M,,,22.00M,95.00M,-150.00M,102.00M,6.00M,37.00M,,,-4.00M,-9.00M,189.00M,,-58.00M,16.00M,-42.00M,0.00,76.00M,0.00,34.00M,,12.00M,,-153.00M,2.00M,,2.00M,,,,,-1.00M,-152.00M,,554.00M,71.00M,,625.00M,,2.00M,170.00M,-158.00M,,,AOR,Restated
2011-06,,,,0.00,0.00,,,80.00M,80.00M,-1.00M,,,20.00M,67.00M,2.00M,6.00M,47.00M,-38.00M,,,-9.00M,8.00M,174.00M,,-67.00M,,-67.00M,0.00,-163.00M,0.00,-230.00M,,-164.00M,,1.00M,6.00M,,6.00M,,,,,1.00M,8.00M,,602.00M,-48.00M,,554.00M,,6.00M,-165.00M,1.00M,,,AOR,Restated
2011-03,,,,-492.00M,-492.00M,,,88.00M,88.00M,-1.00M,,,27.00M,526.00M,-189.00M,-16.00M,-11.00M,-110.00M,,,10.00M,-316.00M,-168.00M,,-38.00M,,-38.00M,0.00,41.00M,-17.00M,-14.00M,,164.00M,,164.00M,9.00M,,9.00M,,,,,5.00M,178.00M,,606.00M,-4.00M,,602.00M,,9.00M,165.00M,-1.00M,,,AOR,Restated
2010-12,471.00M,,-17.00M,-352.00M,-20.00M,,,89.00M,89.00M,-5.00M,,,22.00M,-120.00M,-465.00M,-10.00M,-105.00M,-68.00M,,,-2.00M,-650.00M,-213.00M,,-38.00M,0.00,-38.00M,0.00,-61.00M,-4.00M,-103.00M,,281.00M,,281.00M,6.00M,,6.00M,,,,,15.00M,302.00M,,620.00M,-14.00M,,606.00M,,6.00M,297.00M,-16.00M,,,AOR,Restated
2010-09,,,8.00M,186.00M,194.00M,,,94.00M,94.00M,,,,22.00M,-101.00M,-285.00M,-41.00M,4.00M,-10.00M,,,-1.00M,-333.00M,-124.00M,,-31.00M,1.00M,-30.00M,0.00,-296.00M,5.00M,-321.00M,,-18.00M,,-18.00M,2.00M,,2.00M,,,,,-3.00M,-19.00M,,1.084B,-464.00M,,620.00M,,2.00M,800.00M,-818.00M,,,AOR,Restated
2010-06,-257.00M,,-8.00M,120.00M,112.00M,,,100.00M,100.00M,,,,23.00M,212.00M,-254.00M,-4.00M,10.00M,-41.00M,,,1.00M,-288.00M,-98.00M,,-31.00M,,-31.00M,0.00,530.00M,17.00M,516.00M,,9.00M,,9.00M,4.00M,,4.00M,,,,,11.00M,24.00M,,642.00M,442.00M,,1.084B,,4.00M,224.00M,-215.00M,,,AOR,Restated
2010-03,257.00M,,,183.00M,-142.00M,,,100.00M,100.00M,0.00,,,20.00M,12.00M,-134.00M,-89.00M,-6.00M,-8.00M,,,13.00M,-224.00M,23.00M,,-48.00M,,-48.00M,-904.00M,-264.00M,1.00M,-1.215B,,174.00M,,174.00M,3.00M,,3.00M,,,,,,177.00M,,1.657B,-1.015B,,642.00M,,3.00M,199.00M,-25.00M,,,AOR,Restated
2009-12,1.177B,16.00M,1.00M,0.00,28.00M,,,284.00M,284.00M,-12.00M,-32.00M,0.00,18.00M,51.00M,-349.00M,-52.00M,12.00M,28.00M,,,-3.00M,-364.00M,1.15B,,-173.00M,57.00M,-116.00M,0.00,-383.00M,-58.00M,-557.00M,,-654.00M,,-654.00M,2.00M,,2.00M,-178.00M,-178.00M,,,47.00M,-783.00M,,1.847B,-190.00M,,1.657B,,-176.00M,839.00M,-1.493B,,,AOR,Restated
