,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2007-03,1.233B,1.233B,886.00M,347.00M,335.00M,432.00M,84.00M,2.00M,,,,,851.00M,-504.00M,,,,-14.00M,,-588.00M,23.00M,-611.00M,,-8.00M,,-611.00M,-612.30M,-190.00M,314.00M,-504.00M,,-1.11,0.00,,-1.112,-1.11,,-1.11,0.00,,-1.112,-1.11,,549.00M,549.00M,,,
2006-12,1.751B,1.751B,1.108B,643.00M,294.00M,370.00M,61.00M,-414.00M,,,,,726.00M,-83.00M,,,,-419.00M,,-482.00M,-9.00M,-546.00M,,-8.00M,,-576.00M,-139.73M,147.00M,230.00M,-83.00M,,-1.14,-0.06,,-0.3792,-1.20,,-1.14,-0.06,,-0.3792,-1.20,,534.00M,534.00M,,,
2006-09,1.328B,1.328B,645.00M,683.00M,279.00M,277.00M,6.00M,-2.00M,,,,,562.00M,121.00M,,,,-12.00M,,115.00M,-21.00M,136.00M,,-7.00M,,136.00M,137.20M,210.54M,89.54M,121.00M,,0.28,0.00,,0.2825,0.28,,0.27,0.00,,0.2724,0.27,,486.00M,497.00M,,,
2006-06,1.216B,1.216B,526.06M,690.31M,309.52M,278.67M,,7.24M,,,,,588.20M,102.11M,,,,-5.227M,,126.80M,18.30M,88.85M,,-7.183M,,88.85M,82.65M,294.57M,192.46M,102.11M,,0.18,0.00,,0.1672,0.18,,0.18,0.00,,0.1676,0.18,,484.54M,500.18M,,,
2006-03,1.332B,1.332B,553.00M,779.00M,256.00M,264.00M,,-19.00M,,,,,520.00M,259.00M,,,,-37.00M,,220.00M,35.00M,185.00M,,-6.00M,,185.00M,200.98M,433.00M,174.00M,259.00M,,0.40,0.00,,0.4344,0.40,,0.38,0.00,,0.4123,0.38,,464.08M,495.33M,,,
2005-12,1.838B,1.838B,986.15M,852.13M,317.11M,329.30M,,,,,,,646.41M,205.72M,,,,,,181.71M,-1.284M,95.59M,,19.17M,,95.59M,95.59M,482.97M,277.26M,205.72M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,412.50M,534.35M,,,
2005-09,1.523B,1.523B,896.26M,626.49M,258.75M,289.02M,,,,,,,547.77M,78.73M,,,,,,54.17M,-0.606M,76.00M,,21.23M,,76.00M,76.00M,369.48M,290.75M,78.73M,,0.19,0.00,,0.19,0.19,,0.18,0.00,,0.18,0.18,,399.02M,443.68M,,,
2005-06,1.260B,1.260B,765.95M,493.96M,228.51M,272.58M,,-4.096M,,,,,501.10M,-7.131M,,,,-4.096M,,-29.69M,-3.10M,11.32M,,37.90M,,11.32M,14.99M,311.32M,318.46M,-7.131M,,0.03,0.00,,0.0393,0.03,,0.03,0.00,,0.0390,0.03,,395.41M,405.74M,,,
2005-03,1.227B,1.227B,807.45M,419.18M,211.71M,253.12M,,,,,,,464.84M,-45.66M,,,,,,-65.93M,-1.652M,-17.42M,,46.85M,,-17.42M,-17.42M,287.22M,332.88M,-45.66M,,-0.04,0.00,,-0.04,-0.04,,-0.04,0.00,,-0.04,-0.04,,393.08M,393.08M,,,
2004-12,1.264B,1.264B,742.65M,521.06M,245.62M,252.77M,,-2.942M,,,,,499.39M,21.67M,,,,-2.942M,,-51.78M,-4.981M,-29.96M,,16.83M,,-29.96M,-27.30M,350.82M,329.15M,21.67M,,-0.09,0.00,,-0.0829,-0.09,,-0.09,0.00,,-0.0832,-0.09,,375.31M,391.74M,,,
2004-09,1.239B,1.239B,738.03M,501.43M,202.18M,230.90M,,,,,,,433.08M,68.36M,,,,,,45.71M,4.872M,43.85M,,3.008M,,43.85M,43.85M,373.09M,304.73M,68.36M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,355.25M,417.58M,,,
2004-06,1.262B,1.262B,783.07M,478.77M,178.99M,224.82M,,-2.514M,,,,,403.81M,74.95M,,,,-2.514M,,42.28M,3.574M,32.18M,,-6.527M,,32.18M,34.48M,367.35M,292.39M,74.95M,,0.09,0.00,,0.0965,0.09,,0.09,0.00,,0.0955,0.09,,353.66M,420.05M,,,
2004-03,1.236B,1.236B,768.84M,467.59M,180.22M,226.09M,,,,,,,406.31M,61.29M,,,,,,47.46M,2.373M,45.09M,,5.351M,,45.09M,45.09M,359.27M,297.98M,61.29M,,0.13,0.00,,0.13,0.13,,0.12,0.00,,0.12,0.12,,351.33M,417.96M,,,
2003-12,1.206B,1.206B,778.51M,427.09M,162.81M,226.50M,,9.453M,,,,,389.31M,37.78M,,,,9.453M,,68.55M,0.00,43.19M,,19.41M,,43.19M,33.74M,325.09M,287.31M,37.78M,,0.13,0.00,,0.1029,0.13,,0.13,0.00,,0.1029,0.13,,349.07M,349.07M,,,
2003-09,953.76M,953.76M,626.88M,326.88M,151.11M,214.00M,,8.00M,,,,,365.11M,-38.23M,,,,8.00M,,-56.58M,,-31.23M,,25.35M,,-31.23M,-39.23M,246.80M,285.03M,-38.23M,,-0.09,0.00,,-0.1130,-0.09,,-0.09,0.00,,-0.1130,-0.09,,347.33M,347.33M,,,
2003-06,645.26M,645.26M,425.08M,220.18M,135.16M,208.51M,,,,,,,343.67M,-123.50M,,,,4.795M,,-140.10M,,-140.10M,,,,-140.10M,-140.10M,90.07M,213.57M,-123.50M,,-0.40,0.00,,-0.40,-0.40,,-0.40,0.00,,-0.40,-0.40,,346.32M,346.32M,,,
2003-03,714.56M,714.56M,496.59M,217.96M,138.23M,203.06M,,-2.146M,,,,,341.29M,-123.33M,,,,-1.028M,,-144.54M,2.936M,-146.36M,,,,-146.36M,-145.07M,86.43M,209.75M,-123.33M,,-0.42,0.00,,-0.4163,-0.42,,-0.42,0.00,,-0.4163,-0.42,,345.01M,345.01M,,,
2002-12,686.43M,686.43M,506.61M,179.82M,194.39M,244.85M,,,,,,,439.24M,-259.42M,,,,-330.55M,,-611.30M,243.47M,-854.74M,,,,-854.74M,-854.74M,-59.55M,199.87M,-259.42M,,-2.50,0.00,,-2.50,-2.50,,-2.50,0.00,,-2.50,-2.50,,342.61M,342.61M,,,
2002-09,508.23M,508.23M,453.88M,54.34M,158.57M,220.96M,,,,,,,379.53M,-325.18M,,,,5.888M,,-333.41M,-73.35M,-254.17M,,,,-254.17M,-254.17M,-126.10M,199.09M,-325.18M,,-0.74,0.00,,-0.74,-0.74,,-0.74,0.00,,-0.74,-0.74,,342.78M,342.78M,,,
2002-06,600.30M,600.30M,558.29M,42.01M,160.25M,178.42M,,,,,,,338.67M,-296.66M,,,,-2.699M,,-303.73M,-121.49M,-184.94M,,,,-184.94M,-184.94M,-113.56M,183.11M,-296.66M,,-0.54,0.00,,-0.54,-0.54,,-0.54,0.00,,-0.54,-0.54,,341.78M,341.78M,,,
2002-03,902.07M,902.07M,586.87M,315.20M,156.86M,171.88M,,,,,,,328.74M,-13.54M,,,,2.959M,,-16.16M,-4.041M,-9.163M,,,,-9.163M,-9.163M,160.56M,174.11M,-13.54M,,-0.03,0.00,,-0.03,-0.03,,-0.03,0.00,,-0.03,-0.03,,340.81M,340.81M,,,
2001-12,951.87M,951.87M,644.66M,307.21M,163.68M,160.87M,,0.00,,,,,324.56M,-17.34M,,,,-0.417M,,-21.13M,-5.705M,-15.84M,,,,-15.84M,-15.84M,133.13M,150.48M,-17.34M,,-0.04,0.00,,-0.04,-0.04,,-0.04,0.00,,-0.04,-0.04,,340.12M,340.12M,,,
2001-09,765.87M,765.87M,594.06M,171.81M,150.92M,161.18M,,-89.30M,,,,,312.10M,-140.29M,,,,-90.49M,,-250.76M,-65.02M,-186.93M,,,,-186.93M,-120.78M,19.72M,160.01M,-140.29M,,-0.54,0.00,,-0.3483,-0.54,,-0.54,0.00,,-0.3483,-0.54,,345.04M,345.04M,,,
2001-06,985.26M,985.26M,636.20M,349.06M,156.29M,171.11M,,,,,,,327.40M,21.66M,,,,7.30M,,13.77M,3.717M,17.35M,,,,17.35M,17.35M,181.10M,159.44M,21.66M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,330.12M,340.53M,,,
2001-03,1.189B,1.189B,714.83M,473.92M,149.14M,157.76M,,,,,,,306.90M,167.02M,,,,13.18M,,164.20M,52.54M,124.84M,,,,124.84M,124.84M,319.95M,152.93M,167.02M,,0.40,0.00,,0.40,0.40,,0.37,0.00,,0.37,0.37,,314.35M,351.78M,,,
2000-12,1.175B,1.175B,657.30M,517.87M,160.76M,162.09M,,0.00,,,,,322.84M,195.03M,,,,7.57M,,200.54M,30.08M,178.03M,,,,177.97M,178.03M,344.64M,149.61M,195.03M,,0.56,0.01,0.0001,0.56,0.57,,0.53,0.01,0.0001,0.53,0.53,,313.50M,349.75M,,,
2000-09,1.207B,1.207B,639.01M,567.54M,141.93M,162.76M,,336.90M,,,,,304.70M,262.84M,,,,341.30M,,602.15M,175.01M,431.55M,,,,408.57M,192.56M,416.60M,153.76M,262.84M,,1.38,-0.07,-0.0737,0.6139,1.31,,1.38,-0.07,-0.0737,0.7028,1.31,,311.94M,352.89M,,,
2000-06,1.170B,1.170B,464.76M,705.68M,152.02M,155.65M,,,,,,,455.48M,250.20M,,,,0.032M,,258.92M,51.78M,207.14M,,,,207.14M,207.14M,398.01M,147.81M,250.20M,,0.67,0.00,0.0000,0.67,0.67,,0.61,0.00,0.0000,0.61,0.61,,309.12M,352.44M,,,
2000-03,1.092B,1.092B,605.76M,486.27M,144.31M,161.30M,,,,,,,305.60M,180.67M,,,,-0.969M,,,,189.35M,,,,189.35M,189.35M,308.56M,127.89M,180.67M,,0.63,0.00,,0.63,0.63,,0.58,0.00,,0.58,0.58,,301.76M,343.88M,,,
1999-12,968.70M,968.70M,451.60M,517.10M,158.80M,150.90M,,-7.00M,,,,,439.60M,77.50M,,,,-7.00M,,65.10M,0.00,65.10M,,,,65.10M,72.10M,207.40M,129.90M,77.50M,,0.23,0.00,,0.2536,0.23,,0.23,0.00,,0.2536,0.23,,296.51M,296.51M,,,
1999-09,662.20M,662.20M,343.90M,318.30M,129.40M,157.60M,,4.70M,,,,,417.20M,-98.90M,,,,4.70M,,,,-105.50M,,,,-105.50M,-108.32M,31.30M,130.20M,-98.90M,,-0.36,0.00,,-0.3696,-0.36,,-0.36,0.00,,-0.3696,-0.36,,295.22M,295.22M,,,
1999-06,595.10M,595.10M,330.40M,264.70M,124.50M,167.30M,,425.80M,,,,,419.70M,-155.00M,,,,425.80M,,252.70M,172.80M,79.90M,,,,79.90M,-175.58M,-27.09M,127.91M,-155.00M,,0.27,0.00,,-1.469,0.27,,0.27,0.00,,-1.438,0.27,,146.95M,149.54M,,,
1999-03,631.59M,631.59M,322.94M,308.65M,127.31M,159.95M,,-17.75M,,,,,414.74M,-106.09M,,,,-17.75M,,-133.84M,-5.473M,-128.37M,,,,-128.37M,-111.34M,21.39M,127.49M,-106.09M,,-0.44,0.00,,-0.3817,-0.44,,-0.44,0.00,,-0.3817,-0.44,,291.82M,291.82M,,,
1998-12,788.80M,788.80M,356.90M,431.90M,120.50M,156.50M,,-26.70M,,,,,402.10M,29.80M,,,,-26.70M,,22.10M,-0.20M,22.30M,,,,22.30M,38.32M,154.90M,125.10M,29.80M,,0.08,0.00,,0.1356,0.08,,0.08,0.00,,0.1356,0.08,,288.21M,288.21M,,,
1998-09,685.90M,685.90M,305.90M,380.00M,109.80M,143.70M,,12.10M,,,,,370.60M,9.40M,,,,12.10M,,0.40M,-0.60M,1.00M,,,,1.00M,-6.26M,126.50M,117.10M,9.40M,,0.01,0.00,,-0.0154,0.01,,0.01,0.00,,-0.0154,0.01,,285.97M,285.97M,,,
1998-06,526.50M,526.50M,277.00M,249.50M,101.20M,139.20M,,12.90M,,,,,353.50M,-104.00M,,,,12.90M,,-108.70M,-44.10M,-64.60M,,,,-64.60M,-72.34M,9.10M,113.10M,-104.00M,,-0.23,0.00,,-0.2576,-0.23,,-0.23,0.00,,-0.2576,-0.23,,280.87M,280.87M,,,
1998-03,540.90M,540.90M,311.40M,229.50M,88.20M,128.10M,,1.80M,,,,,328.50M,-99.00M,,,,1.80M,,-109.70M,-47.00M,-62.70M,,,,-62.70M,-63.78M,13.20M,112.20M,-99.00M,,-0.22,0.00,,-0.2238,-0.22,,-0.22,0.00,,-0.2238,-0.22,,285.00M,285.00M,,,
1997-12,613.17M,613.17M,428.86M,184.32M,102.30M,127.03M,,,,,,,229.33M,-45.01M,,,,8.049M,,-50.24M,-29.86M,-12.33M,,,,-12.33M,-12.33M,62.66M,107.68M,-45.01M,,-0.045,0.00,,-0.045,-0.045,,-0.045,0.00,,-0.045,-0.045,,279.91M,279.91M,,,
1997-09,596.64M,596.64M,428.24M,168.40M,100.92M,125.92M,,,,,,,226.83M,-58.43M,,,,5.30M,,-67.05M,-30.07M,-31.68M,,,,-31.68M,-31.68M,45.54M,103.96M,-58.43M,,-0.11,0.00,,-0.11,-0.11,,-0.11,0.00,,-0.11,-0.11,,283.46M,283.46M,,,
1997-06,594.56M,594.56M,372.27M,222.30M,102.98M,110.02M,,,,,,,213.00M,9.291M,,,,3.547M,,9.051M,2.63M,9.968M,,,,9.968M,9.968M,103.32M,94.02M,9.291M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,295.84M,295.84M,,,
1997-03,552.00M,552.00M,349.08M,202.92M,94.52M,104.91M,,,,,,,199.43M,3.496M,,,,7.691M,,7.408M,2.148M,12.95M,,,,12.95M,12.95M,92.30M,88.80M,3.496M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,293.50M,294.64M,,,
1996-12,496.87M,496.87M,354.62M,142.25M,88.29M,107.50M,,,,,,,195.79M,-53.54M,,,,13.00M,,-57.07M,-22.83M,-21.24M,,,,-21.24M,-21.24M,30.64M,84.18M,-53.54M,,-0.08,0.00,,-0.08,-0.08,,-0.08,0.00,,-0.08,-0.08,,275.38M,275.38M,,,
1996-09,456.86M,456.86M,337.69M,119.17M,90.43M,105.66M,,,,,,,196.09M,-76.92M,,,,7.326M,,-76.15M,-30.46M,-38.36M,,,,-38.36M,-38.36M,0.783M,77.70M,-76.92M,,-0.14,0.00,,-0.14,-0.14,,-0.14,0.00,,-0.14,-0.14,,272.16M,272.16M,,,
1996-06,455.08M,455.08M,379.78M,75.30M,83.06M,92.77M,,,,,,,175.83M,-100.53M,,,,12.91M,,-79.31M,-31.72M,-34.67M,,,,-34.67M,-34.67M,-5.584M,94.95M,-100.53M,,-0.13,0.00,,-0.13,-0.13,,-0.13,0.00,,-0.13,-0.13,,270.53M,270.53M,,,
1996-03,544.21M,544.21M,368.74M,175.48M,103.01M,94.78M,,,,,,,197.79M,-22.31M,,,,21.56M,,3.764M,,25.33M,,,,25.33M,25.33M,53.49M,75.81M,-22.31M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,276.80M,276.80M,,,
1995-12,631.68M,631.68M,480.93M,150.75M,122.82M,122.98M,,,,,,,245.79M,-95.04M,,,,21.50M,,-88.87M,-38.75M,-28.61M,,,0.00,-28.61M,-28.61M,-9.476M,85.56M,-95.04M,,-0.1369,,,-0.1369,-0.1369,,-0.1369,,,-0.1369,-0.1369,,209.04M,209.04M,,,
1995-09,590.38M,590.38M,344.34M,246.04M,95.52M,100.01M,,,,,,,195.54M,50.50M,,,,12.31M,,60.37M,16.52M,56.16M,,,,56.16M,56.16M,116.40M,65.90M,50.50M,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,214.64M,214.64M,,,
1995-06,626.21M,626.21M,300.96M,325.26M,97.36M,101.03M,,,,,,,198.40M,126.86M,,,,2.529M,,133.52M,44.06M,91.98M,,,,91.98M,91.98M,182.59M,55.73M,126.86M,,0.43,0.00,,0.43,0.43,,0.43,0.00,,0.43,0.43,,214.34M,214.61M,,,
1995-03,620.10M,620.10M,290.77M,329.32M,96.95M,92.50M,,,,,,,189.45M,139.88M,,,,-1.414M,,146.59M,48.38M,96.80M,,,0.01M,96.80M,96.80M,197.36M,57.48M,139.88M,,0.48,0.00,,0.48,0.48,,0.46,0.00,,0.46,0.46,,202.02M,213.43M,,,
1994-12,545.17M,545.21M,263.84M,281.37M,87.24M,76.12M,,,,,,,163.39M,117.98M,,,,-60.99M,,65.30M,21.55M,40.76M,,,2.588M,40.76M,40.76M,174.94M,56.96M,117.98M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,197.27M,210.98M,,,
1994-09,543.11M,543.11M,252.41M,290.70M,87.37M,67.76M,,,,,,,155.13M,135.58M,,,,-4.277M,,135.77M,44.80M,86.69M,,,2.587M,86.69M,86.69M,190.02M,54.44M,135.58M,,0.43,0.00,,0.43,0.43,,0.42,0.00,,0.42,0.42,,195.56M,209.74M,,,
1994-06,533.30M,533.30M,235.62M,297.67M,91.73M,67.89M,,,,,,,159.62M,138.05M,,,,-2.925M,,143.52M,47.36M,93.23M,,,2.587M,93.23M,93.23M,191.67M,53.62M,138.05M,,0.47,0.00,,0.47,0.47,,0.45,0.00,,0.45,0.45,,194.79M,208.50M,,,
1994-03,513.08M,513.08M,230.44M,282.64M,92.89M,68.22M,,,,,,,161.12M,121.53M,,,,,,124.39M,39.80M,84.59M,,,2.588M,84.59M,84.59M,172.50M,50.97M,121.53M,,0.43,0.00,,0.43,0.43,,0.41,0.00,,0.41,0.41,,192.47M,207.34M,,,
1993-12,413.40M,413.40M,167.20M,246.20M,149.90M,,,4.70M,,,,,191.30M,54.90M,,,,4.70M,,57.90M,16.20M,41.70M,,,2.60M,41.70M,38.32M,96.30M,41.40M,54.90M,,-0.07,0.00,,-0.0879,-0.07,,-0.10,0.00,,-0.1174,-0.10,,188.74M,194.89M,,,
1993-09,418.40M,418.40M,153.50M,264.90M,136.90M,,,4.40M,,,,,183.40M,81.50M,,,,4.40M,,85.20M,23.90M,61.30M,,,2.60M,61.30M,58.13M,128.00M,42.30M,81.50M,,0.31,0.00,,0.2933,0.31,,0.30,0.00,,0.2838,0.30,,189.35M,195.67M,,,
1993-06,409.10M,409.10M,136.30M,272.80M,136.60M,,,4.00M,,,,,187.20M,85.60M,,,,4.00M,,89.40M,25.00M,64.40M,,,2.60M,64.40M,61.52M,136.20M,50.60M,85.60M,,0.33,0.00,,0.3146,0.33,,0.32,0.00,,0.3051,0.32,,187.27M,193.12M,,,
1993-03,407.40M,407.40M,153.30M,254.10M,130.30M,,,3.40M,,,,,171.10M,83.00M,,,,3.40M,,85.40M,23.90M,61.50M,,,2.60M,61.50M,59.05M,123.80M,40.80M,83.00M,,0.32,0.00,,0.3067,0.32,,0.31,0.00,,0.2971,0.31,,184.06M,190.00M,,,
1992-12,400.20M,400.20M,154.70M,245.50M,128.80M,,,5.70M,,,,,172.40M,73.10M,,,,5.70M,,75.80M,6.20M,69.60M,,,2.60M,69.60M,64.37M,116.70M,43.60M,73.10M,,0.37,0.00,,0.3411,0.37,,0.35,0.00,,0.3227,0.35,,180.92M,192.05M,,,
1992-09,356.70M,356.70M,145.40M,211.30M,122.20M,,,5.10M,,,,,159.60M,51.70M,,,,5.10M,,52.20M,3.10M,49.10M,,,2.60M,49.10M,44.30M,89.20M,37.50M,51.70M,,0.26,0.00,,0.2332,0.26,,0.25,0.00,,0.2242,0.25,,178.85M,186.00M,,,
1992-06,350.20M,350.20M,147.60M,202.60M,123.90M,,,4.50M,,,,,158.50M,44.10M,,,,4.50M,,43.60M,2.20M,41.40M,,,2.60M,41.40M,37.13M,78.70M,34.50M,44.10M,,0.22,0.00,,0.1958,0.22,,0.21,0.00,,0.1869,0.21,,176.36M,184.76M,,,
1992-03,407.40M,407.40M,146.50M,260.90M,123.20M,,,3.60M,,,,,159.90M,101.00M,,,,3.60M,,99.90M,15.00M,84.90M,,,2.60M,84.90M,81.84M,137.70M,36.70M,101.00M,,0.45,0.00,,0.4333,0.45,,0.43,0.00,,0.4140,0.43,,182.89M,191.40M,,,
1991-12,366.10M,366.10M,137.30M,228.80M,117.00M,,,49.50M,,,,,165.70M,63.10M,,,,49.50M,,,,106.80M,,,2.60M,106.80M,77.10M,111.80M,48.70M,63.10M,,0.59,0.00,,0.4330,0.59,,0.58,0.00,,0.4303,0.58,,189.11M,198.33M,,,
1991-09,289.40M,289.40M,124.10M,165.30M,109.50M,,,2.50M,,,,,145.30M,20.00M,,,,2.50M,,,,17.10M,,,2.60M,17.10M,15.60M,55.80M,35.80M,20.00M,,0.08,0.00,,0.0717,0.08,,0.08,0.00,,0.0717,0.08,,181.25M,181.25M,,,
1991-06,296.80M,296.80M,121.50M,175.30M,120.50M,,,2.50M,,,,,155.40M,19.90M,,,,2.50M,,,,17.30M,,,2.60M,17.30M,15.80M,54.80M,34.90M,19.90M,,0.09,0.00,,0.0808,0.09,,0.09,0.00,,0.0808,0.09,,163.33M,163.33M,,,
1991-03,274.30M,274.30M,120.00M,154.30M,111.70M,,,2.40M,,,,,148.20M,6.10M,,,,2.40M,,,,4.20M,,,2.60M,4.20M,2.76M,42.60M,36.50M,6.10M,,0.01,0.00,,0.001,0.01,,0.01,0.00,,0.001,0.01,,160.00M,160.00M,,,
1990-12,265.90M,265.90M,138.80M,127.10M,110.00M,,,-24.90M,,,,,143.60M,-16.50M,,,,-24.90M,,,,-43.00M,,,2.60M,-43.00M,-28.06M,17.10M,33.60M,-16.50M,,-0.28,0.00,,-0.1834,-0.28,,-0.28,0.00,,-0.1834,-0.28,,154.59M,154.59M,,,
1990-09,254.20M,254.20M,146.40M,107.80M,103.40M,,,3.60M,,,,,127.50M,-19.70M,,,,3.60M,,,,-17.80M,,,2.60M,-17.80M,-19.96M,4.50M,24.20M,-19.70M,,-0.13,0.00,,-0.1438,-0.13,,-0.13,0.00,,-0.1438,-0.13,,156.92M,156.92M,,,
1990-06,267.70M,267.70M,137.50M,130.20M,105.50M,,,11.30M,,,,,145.40M,-15.20M,,,,11.30M,,-6.60M,-0.70M,-5.90M,,,2.60M,-5.90M,-16.00M,24.70M,39.80M,-15.20M,,-0.05,0.00,,-0.1094,-0.05,,-0.05,0.00,,-0.1094,-0.05,,170.00M,170.00M,,,
1990-03,271.50M,271.50M,127.40M,144.10M,113.00M,,,16.00M,,,,,143.70M,0.40M,,,,16.00M,,13.80M,0.70M,13.10M,,,2.60M,13.10M,-2.088M,31.10M,30.70M,0.40M,,0.07,0.00,,-0.0313,0.07,,0.07,0.00,,-0.0313,0.07,,150.00M,150.00M,,,
1989-12,285.20M,285.20M,130.50M,154.70M,114.80M,,,22.30M,,,,,146.30M,8.40M,,,,22.30M,,11.90M,0.00,11.90M,,,2.60M,11.90M,-10.40M,39.90M,31.50M,8.40M,,0.06,0.00,,-0.0847,0.06,,0.06,0.00,,-0.0847,0.06,,154.09M,154.09M,,,
1989-09,274.80M,274.80M,128.20M,146.60M,102.20M,,,2.90M,,,,,136.10M,10.50M,,,,2.90M,,13.40M,1.30M,12.10M,,,2.60M,12.10M,9.481M,44.40M,33.90M,10.50M,,0.06,0.00,,0.0435,0.06,,0.06,0.00,,0.0435,0.06,,158.33M,158.33M,,,
1989-06,274.90M,274.90M,,,,,,,,,,,,274.90M,,,,,,,,12.10M,,,,12.10M,,274.90M,,274.90M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,159.89M,159.89M,,,
1989-03,269.60M,269.60M,,,,,,,,,,,,269.60M,,,,,,,,10.10M,,,,10.10M,,269.60M,,269.60M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,159.88M,159.88M,,,
1988-12,248.10M,248.10M,,,,,,,,,,,,-846.30M,,,,,,,,-34.10M,,,,-34.10M,,-846.30M,,-846.30M,,,,,,,,,,,,,,159.89M,159.89M,,,
1988-09,285.50M,285.50M,,,,,,,,,,,,285.50M,,,,,,,,7.20M,,,,7.20M,,285.50M,,285.50M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,156.01M,156.01M,,,
1988-06,308.10M,308.10M,,,,,,,,,,,,308.10M,,,,,,,,26.10M,,,,26.10M,,308.10M,,308.10M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,156.01M,156.01M,,,
1988-03,284.20M,284.20M,,,,,,,,,,,,284.20M,,,,,,,,20.20M,,,,20.20M,,284.20M,,284.20M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,154.60M,154.60M,,,
1987-12,262.60M,262.60M,,,,,,,,,,,,-750.70M,,,,,,,,-2.70M,,,,-2.70M,,-750.70M,,-750.70M,,,,,,,,,,,,,,157.02M,157.02M,,,
1987-09,260.90M,260.90M,,,,,,,,,,,,260.90M,,,,,,,,-53.80M,,,,-53.80M,,260.90M,,260.90M,,-0.36,0.00,,-0.36,-0.36,,-0.36,0.00,,-0.36,-0.36,,154.60M,154.60M,,,
1987-06,473.60M,473.60M,,,,,,,,,,,,473.60M,,,,,,,,8.30M,,,,8.30M,,473.60M,,473.60M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,161.03M,161.03M,,,
1987-03,170.20M,170.20M,,,,,,,,,,,,-523.50M,,,,,,,,-3.30M,,,,-3.30M,,-523.50M,,-523.50M,,,,,,,,,,,,,,116.51M,116.51M,,,
1986-12,150.20M,150.20M,,,,,,,,,,,,150.20M,,,,,,,,-17.70M,,,,-17.70M,,150.20M,,150.20M,,-0.16,0.00,,-0.16,-0.16,,-0.16,0.00,,-0.16,-0.16,,114.32M,114.32M,,,
1986-09,157.70M,157.70M,,,,,,,,,,,,157.70M,,,,,,,,-46.90M,,,,-46.90M,,157.70M,,157.70M,,-0.41,0.00,,-0.41,-0.41,,-0.41,0.00,,-0.41,-0.41,,114.32M,114.32M,,,
1986-06,153.90M,153.90M,,,,,,,,,,,,153.90M,,,,,,,,-28.00M,,,,-28.00M,,153.90M,,153.90M,,-0.25,0.00,,-0.25,-0.25,,-0.25,0.00,,-0.25,-0.25,,114.32M,114.32M,,,
1986-03,153.40M,153.40M,,,,,,,,,,,,-500.50M,,,,,,,,-11.30M,,,,-11.30M,,-500.50M,,-500.50M,,,,,,,,,,,,,,114.32M,114.32M,,,
1985-12,144.10M,144.10M,,,,,,,,,,,,144.10M,,,,,,,,-10.70M,,,,-10.70M,,144.10M,,144.10M,,-0.10,0.00,,-0.10,-0.10,,-0.10,0.00,,-0.10,-0.10,,111.86M,111.86M,,,
1985-09,128.10M,128.10M,,,,,,,,,,,,128.10M,,,,,,,,-15.30M,,,,-15.30M,,128.10M,,128.10M,,-0.14,0.00,,-0.14,-0.14,,-0.14,0.00,,-0.14,-0.14,,111.86M,111.86M,,,
1985-06,150.60M,150.60M,,,,,,,,,,,,150.60M,,,,,,,,0.70M,,,,0.70M,,150.60M,,150.60M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,111.05M,111.05M,,,
