,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,SECFilingLinks,AsOriginallyReported,Restated
2020-09,9.256B,2.831B,12.09B,7.265B,16.55B,23.82B,17.48B,,,5.83B,59.21B,,,,,32.83B,,32.83B,,32.83B,79.58B,31.70B,111.28B,20.22B,,4.569B,173.69B,232.90B,,2020-09,34.99B,14.33B,49.32B,,5.443B,5.443B,1.789B,7.232B,5.491B,62.04B,61.55B,18.49B,80.04B,7.253B,7.253B,4.793B,305.00M,,9.655B,101.74B,163.79B,,49.33B,,28.16B,,1.255B,2020-09,AOR,
2020-06,14.87B,2.596B,17.46B,6.848B,15.67B,22.52B,16.52B,,,6.002B,62.51B,,,,,32.79B,,32.79B,,32.79B,80.06B,32.22B,112.28B,18.59B,,4.682B,172.99B,235.50B,,2020-06,32.82B,15.63B,48.46B,,8.192B,8.192B,1.766B,9.958B,5.28B,63.69B,63.48B,18.61B,82.09B,7.136B,7.136B,4.639B,333.00M,,9.578B,103.45B,167.14B,,48.77B,,28.24B,,1.213B,2020-06,AOR,
2020-03,10.08B,2.632B,12.71B,7.698B,15.34B,23.04B,16.98B,,,6.232B,58.96B,,,,,32.82B,,32.82B,,32.82B,79.99B,32.73B,112.72B,16.84B,,4.748B,171.68B,230.64B,,2020-03,33.26B,13.57B,46.83B,255.00M,5.828B,6.083B,1.762B,7.845B,4.884B,59.56B,65.74B,18.74B,84.47B,7.121B,7.121B,4.555B,334.00M,,9.455B,105.60B,165.16B,,46.46B,,28.18B,,687.00M,2020-03,AOR,
2019-12,5.683B,2.373B,8.056B,6.717B,12.90B,19.62B,17.52B,,,5.113B,50.30B,0.00,1.981B,4.068B,17.27B,20.86B,5.611B,49.79B,-16.89B,32.90B,79.75B,33.12B,112.87B,17.31B,,4.60B,172.15B,222.45B,,2019-12,30.97B,12.13B,43.10B,,3.781B,3.781B,1.596B,5.377B,4.821B,53.30B,64.70B,18.93B,83.62B,7.294B,7.294B,4.459B,306.00M,,9.598B,104.98B,158.28B,,45.11B,,28.24B,,1.019B,2019-12,AOR,
2019-09,5.193B,2.334B,7.527B,6.413B,13.38B,19.79B,16.03B,6.00M,,4.835B,48.18B,,,,,32.41B,,32.41B,,32.41B,79.55B,33.66B,113.20B,17.34B,,4.385B,171.93B,220.11B,,2019-09,29.56B,11.62B,41.17B,1.07B,3.778B,4.848B,1.798B,6.646B,4.728B,52.54B,64.21B,18.83B,83.03B,7.279B,7.279B,4.59B,319.00M,,9.735B,104.64B,157.18B,,44.02B,,28.21B,,950.00M,2019-09,AOR,Restated
2019-06,6.063B,2.462B,8.525B,6.966B,11.21B,18.17B,15.51B,,,4.691B,46.90B,,,,,32.35B,,32.35B,,32.35B,79.48B,34.16B,113.65B,16.97B,,4.763B,172.00B,218.90B,,2019-06,27.99B,10.56B,38.55B,446.00M,3.894B,4.34B,1.793B,6.133B,4.695B,49.38B,66.94B,18.85B,85.79B,7.375B,7.375B,4.271B,317.00M,,10.49B,107.93B,157.30B,,43.14B,,28.26B,,684.00M,2019-06,AOR,Restated
2019-03,5.896B,2.426B,8.322B,7.158B,12.35B,19.51B,15.45B,,,4.578B,47.86B,,,,,32.34B,,32.34B,,32.34B,79.08B,35.15B,114.22B,16.41B,,4.865B,171.91B,219.77B,,2019-03,26.82B,10.44B,37.26B,,6.898B,6.898B,1.803B,8.701B,4.669B,50.63B,67.89B,18.96B,86.85B,7.54B,7.54B,4.074B,320.00M,,10.67B,109.13B,159.76B,,41.86B,,28.22B,,433.00M,2019-03,AOR,Restated
2018-12,4.059B,2.522B,6.581B,6.497B,11.13B,17.63B,16.45B,,,4.581B,45.24B,0.00,1.872B,3.785B,15.83B,,5.384B,26.87B,-15.52B,11.35B,78.68B,36.52B,115.20B,15.73B,,5.046B,151.21B,196.46B,,2018-12,26.44B,10.71B,37.15B,720.00M,1.265B,1.985B,0.00,1.985B,4.876B,44.01B,71.44B,0.00,71.44B,7.677B,7.677B,3.884B,318.00M,,10.90B,93.90B,137.91B,,40.91B,,28.23B,,102.00M,2018-12,AOR,Restated
2018-09,41.59B,105.00M,41.69B,7.258B,7.579B,14.84B,14.82B,,,634.00M,71.98B,,,,,,,,,10.42B,34.22B,13.17B,47.38B,,,1.724B,59.52B,131.51B,,2018-09,21.16B,6.16B,27.32B,0.00,2.139B,2.139B,,2.139B,,29.46B,60.75B,,60.75B,3.052B,3.052B,,4.00M,,1.625B,65.42B,94.88B,,41.84B,32.36B,37.73B,,129.00M,2018-09,AOR,Restated
2018-06,43.82B,96.00M,43.91B,6.611B,7.547B,14.16B,14.92B,,,799.00M,73.79B,,,,,,,,,10.25B,34.22B,13.32B,47.54B,,,1.709B,59.50B,133.29B,,2018-06,20.31B,7.64B,27.95B,0.00,3.54B,3.54B,,3.54B,,31.49B,61.57B,,61.57B,3.054B,3.054B,,4.00M,,1.563B,66.19B,97.68B,,40.96B,32.26B,37.78B,,141.00M,2018-06,AOR,Restated
2018-03,42.02B,119.00M,42.14B,13.96B,,13.96B,14.82B,,,868.00M,71.80B,,,,,,,,,10.14B,38.12B,13.39B,51.50B,,,1.694B,63.34B,135.14B,,2018-03,18.98B,7.724B,26.71B,0.00,3.542B,3.542B,,3.542B,,30.25B,61.55B,,61.55B,3.058B,3.058B,,4.00M,,1.604B,66.21B,96.46B,,44.04B,32.19B,37.75B,,172.00M,2018-03,AOR,Restated
2017-12,1.696B,111.00M,1.807B,7.895B,5.286B,13.18B,15.30B,,,945.00M,31.23B,0.00,1.707B,3.343B,14.45B,,4.793B,24.29B,-14.00B,10.29B,38.45B,13.63B,52.08B,112.00M,,1.417B,63.90B,95.13B,,2017-12,19.22B,6.581B,25.80B,1.276B,3.545B,4.821B,,4.821B,23.00M,30.65B,22.18B,,22.18B,2.996B,2.996B,0.00,4.00M,,1.611B,26.79B,57.44B,,43.56B,,37.80B,,-165.00M,2017-12,AOR,Restated
2017-09,2.485B,75.00M,2.56B,12.44B,,12.44B,14.15B,,,776.00M,29.92B,,,,,,,,,9.914B,38.17B,13.30B,51.47B,,,1.544B,62.93B,92.85B,,2017-09,17.71B,8.404B,26.11B,110.00M,2.293B,2.403B,,2.403B,,28.51B,23.39B,,23.39B,4.442B,4.442B,,5.00M,,1.644B,29.47B,57.98B,,40.78B,32.01B,37.80B,,-147.00M,2017-09,AOR,Restated
2017-06,2.094B,75.00M,2.169B,12.27B,,12.27B,14.27B,,,690.00M,29.40B,,,,,,,,,10.07B,38.13B,13.35B,51.48B,,,1.564B,63.12B,92.52B,,2017-06,17.58B,8.133B,25.72B,1.10B,42.00M,1.142B,,1.142B,,26.86B,25.62B,,25.62B,4.21B,4.21B,,5.00M,,1.689B,31.52B,58.38B,,40.00B,31.87B,37.44B,,-306.00M,2017-06,AOR,Restated
2017-03,2.217B,85.00M,2.302B,12.11B,,12.11B,14.31B,,,735.00M,29.46B,,,,,,,,,10.06B,38.26B,13.39B,51.65B,,,1.503B,63.21B,92.67B,,2017-03,16.80B,8.68B,25.48B,1.768B,43.00M,1.811B,,1.811B,,27.29B,25.62B,,25.62B,4.214B,4.214B,,5.00M,,1.704B,31.54B,58.83B,,39.42B,31.03B,36.34B,,-296.00M,2017-03,AOR,Restated
2016-12,3.371B,87.00M,3.458B,12.16B,,12.16B,14.76B,,,660.00M,31.04B,0.00,1.734B,3.226B,13.35B,,4.494B,22.80B,-12.63B,10.18B,38.25B,13.51B,51.76B,,,1.485B,63.42B,94.46B,,2016-12,17.40B,6.937B,24.33B,1.874B,42.00M,1.916B,,1.916B,,26.25B,25.62B,,25.62B,4.214B,4.214B,,4.00M,,1.549B,31.38B,57.63B,,38.98B,31.62B,33.48B,,-305.00M,2016-12,AOR,Restated
2016-09,2.189B,74.00M,2.263B,13.62B,,13.62B,14.35B,,,703.00M,30.94B,,,,,,,,,9.901B,38.21B,13.57B,51.78B,,,1.535B,63.22B,94.16B,,2016-09,16.76B,8.856B,25.62B,340.00M,783.00M,1.123B,,1.123B,,26.74B,25.61B,,25.61B,4.254B,4.254B,,5.00M,,1.597B,31.46B,58.20B,,37.73B,31.54B,33.02B,,-319.00M,2016-09,AOR,Restated
