,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2020-09,1.219B,-271.00M,,495.00M,1.114B,1.114B,76.00M,,109.00M,109.00M,-1.331B,-958.00M,1.765B,349.00M,-3.694B,2.73B,-1.139B,1.874B,,2020-09,-534.00M,-534.00M,774.00M,-1.609B,-1.00M,-1.37B,,2020-09,-5.504B,0.00,,,,-665.00M,-665.00M,83.00M,-31.00M,-6.117B,,2020-09,15.14B,-5.613B,9.532B,,2020-09,,-9.477B,,,,,2020-09,AOR
2020-06,2.986B,,,,1.102B,1.102B,-66.00M,,83.00M,83.00M,482.00M,462.00M,-811.00M,559.00M,3.694B,-1.372B,3.014B,7.119B,,2020-06,-448.00M,-448.00M,-155.00M,-731.00M,1.00M,-1.333B,,2020-06,-8.00M,-255.00M,,,,-663.00M,-663.00M,12.00M,-64.00M,-978.00M,,2020-06,10.34B,4.808B,15.14B,,2020-06,,-8.00M,,,,,2020-06,AOR
2020-03,2.012B,,,,1.086B,1.086B,-35.00M,,96.00M,96.00M,-2.715B,541.00M,2.067B,-1.119B,,1.372B,146.00M,3.305B,,2020-03,-742.00M,-742.00M,-613.00M,-247.00M,5.00M,-1.597B,,2020-03,2.938B,255.00M,,,,-652.00M,-652.00M,154.00M,-20.00M,2.675B,,2020-03,5.954B,4.383B,10.34B,,2020-03,,-1.008B,,,,,2020-03,AOR
2019-12,1.744B,0.00,,0.00,1.096B,1.096B,-616.00M,,98.00M,-91.00M,154.00M,-1.488B,1.005B,-240.00M,,617.00M,48.00M,2.634B,,2019-12,-567.00M,-562.00M,-83.00M,-90.00M,26.00M,-709.00M,,2019-12,292.00M,-1.07B,,,,-651.00M,-651.00M,27.00M,-38.00M,-1.44B,,2019-12,5.469B,485.00M,5.954B,,2019-12,,-706.00M,,,,,2019-12,AOR
2019-09,1.529B,205.00M,,284.00M,1.092B,1.092B,4.00M,,129.00M,129.00M,-1.631B,-526.00M,1.452B,-60.00M,-204.00M,859.00M,-110.00M,2.928B,,2019-09,-601.00M,-601.00M,-111.00M,-119.00M,2.00M,-829.00M,,2019-09,-2.993B,625.00M,,,,-646.00M,-646.00M,72.00M,-26.00M,-2.968B,,2019-09,6.338B,-869.00M,5.469B,,2019-09,,-6.176B,,,,,2019-09,AOR
2019-06,1.931B,,,,1.072B,1.072B,-195.00M,,112.00M,112.00M,1.308B,-62.00M,882.00M,75.00M,204.00M,11.00M,2.418B,5.338B,,2019-06,-573.00M,-573.00M,-126.00M,-215.00M,4.00M,-910.00M,,2019-06,-1.017B,-2.56B,,,,-657.00M,-657.00M,10.00M,-34.00M,-4.258B,,2019-06,6.168B,170.00M,6.338B,,2019-06,,-1.292B,,,,,2019-06,AOR
2019-03,1.427B,,,,1.111B,1.111B,153.00M,,114.00M,114.00M,-1.989B,1.001B,531.00M,-389.00M,,-11.00M,-857.00M,1.948B,,2019-03,-716.00M,-716.00M,-124.00M,-61.00M,10.00M,-891.00M,,2019-03,-882.00M,2.285B,,,,-649.00M,-649.00M,101.00M,-39.00M,816.00M,,2019-03,4.295B,1.873B,6.168B,,2019-03,,-882.00M,,,,,2019-03,AOR
2018-12,-421.00M,0.00,,0.00,807.00M,807.00M,-123.00M,2.228B,108.00M,-3.84B,586.00M,-1.625B,179.00M,0.00,,487.00M,-373.00M,2.479B,,2018-12,-585.00M,-585.00M,-41.50B,179.00M,10.00M,-41.90B,,2018-12,1.711B,720.00M,,,,-510.00M,-510.00M,28.00M,-57.00M,1.892B,,2018-12,41.83B,-37.53B,4.295B,,2018-12,,-2.536B,,,,,2018-12,AOR
2018-09,1.39B,86.00M,,86.00M,620.00M,620.00M,-42.00M,0.00,62.00M,62.00M,-666.00M,103.00M,570.00M,171.00M,-875.00M,-322.00M,-1.019B,1.097B,,2018-09,-540.00M,-540.00M,-60.00M,-38.00M,4.00M,-634.00M,,2018-09,-2.265B,0.00,,,,-510.00M,-510.00M,84.00M,-2.00M,-2.693B,,2018-09,44.06B,-2.23B,41.83B,,2018-09,,-2.265B,,,,,2018-09,AOR
2018-06,-2.563B,,,,647.00M,647.00M,190.00M,3.921B,55.00M,3.976B,-202.00M,-95.00M,1.211B,-117.00M,-113.00M,,684.00M,2.934B,,2018-06,-430.00M,-430.00M,-203.00M,7.00M,5.00M,-621.00M,,2018-06,0.00,0.00,,,,-510.00M,-510.00M,23.00M,-33.00M,-520.00M,,2018-06,42.26B,1.793B,44.06B,,2018-06,,0.00,,,,,2018-06,AOR
