,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,,8.726B,,8.726B,899.00M,,899.00M,,,,9.626B,,,,,,,,,517.70M,,,2.242B,5.108B,,,196.20M,8.064B,17.69B,,1.764B,1.178B,,3.204B,,3.204B,,,,,,,3.204B,1.079B,,1.079B,129.90M,129.90M,291.70M,343.80M,2.084B,498.50M,,2018-03,54.20M,10.26B,,10.06B,,2018-03,AOR,Restated
2017-12,,8.970B,,8.970B,1.098B,,1.098B,,,,10.07B,,,,,,,,,516.60M,,,2.235B,5.063B,,,191.10M,8.006B,18.07B,,129.00M,1.307B,,1.817B,,1.817B,,,,,,,1.817B,1.096B,,1.096B,125.30M,125.30M,211.10M,322.40M,2.208B,537.30M,,2017-12,55.20M,11.97B,,11.76B,,2017-12,AOR,Restated
2017-09,,8.750B,,8.750B,1.002B,,1.002B,,,,9.752B,580.90M,74.20M,,804.70M,,,1.460B,-942.60M,517.20M,1.687B,540.50M,2.228B,4.861B,,,176.50M,7.782B,17.53B,,113.30M,74.70M,,479.50M,,479.50M,,,,,,,479.50M,1.098B,,1.098B,170.60M,170.60M,396.60M,315.80M,1.942B,512.00M,,2017-09,55.50M,12.85B,,12.62B,,2017-09,AOR,Restated
2017-06,,8.786B,,8.786B,978.60M,,978.60M,,,,9.765B,,,,,,,,,508.80M,,,2.228B,4.829B,,,145.90M,7.711B,17.48B,,113.70M,,,388.70M,,388.70M,,,,,,,388.70M,1.428B,,1.428B,156.50M,156.50M,359.80M,305.10M,1.831B,607.70M,,2017-06,55.80M,12.67B,,12.40B,,2017-06,AOR,Restated
2017-03,,8.776B,,8.776B,1.024B,,1.024B,,,,9.800B,,,,,,,,,509.80M,,,2.224B,4.536B,,,140.80M,7.410B,17.21B,,114.20M,,,373.50M,,373.50M,,,,,,,373.50M,1.680B,,1.680B,159.80M,159.80M,276.20M,279.60M,1.660B,587.40M,,2017-03,56.20M,12.51B,,12.19B,,2017-03,AOR,Restated
2016-12,,8.455B,,8.455B,930.00M,,930.00M,,,,9.385B,,,,,,,,,512.50M,,,2.200B,3.969B,,,143.70M,6.826B,16.21B,,114.60M,191.70M,,521.10M,,521.10M,,,,,,,521.10M,1.734B,,1.734B,151.70M,151.70M,191.80M,282.20M,841.20M,523.00M,,2016-12,56.60M,12.33B,,11.96B,,2016-12,AOR,Restated
2016-09,,8.483B,,8.483B,794.30M,,794.30M,,,,9.278B,563.50M,74.10M,,756.40M,,,1.394B,-870.80M,523.20M,1.661B,550.10M,2.211B,3.93B,,,156.70M,6.821B,16.10B,,104.60M,,,337.90M,,337.90M,,,,,,,337.90M,2.083B,,2.083B,161.50M,161.50M,357.40M,592.40M,61.10M,569.30M,,2016-09,57.00M,12.23B,,11.94B,,2016-09,AOR,Restated
2016-06,,8.242B,,8.242B,812.60M,,812.60M,,,,9.055B,,,,,,,,,508.40M,1.661B,552.10M,2.214B,4.071B,,,149.90M,6.943B,16.00B,,105.60M,,,298.60M,,298.60M,,,,,,,298.60M,2.164B,,2.164B,140.80M,140.80M,355.00M,589.40M,39.40M,628.40M,,2016-06,57.70M,12.08B,,11.78B,,2016-06,AOR,Restated
2016-03,,8.041B,,8.041B,798.00M,,798.00M,,,,8.839B,,,,,,,,,504.40M,1.665B,556.70M,2.222B,4.171B,,,155.30M,7.052B,15.89B,,107.00M,,,280.80M,,280.80M,,,,,,,280.80M,2.166B,,2.166B,128.10M,128.10M,306.40M,633.30M,36.80M,568.70M,,2016-03,58.60M,12.03B,,11.77B,,2016-03,AOR,Restated
2015-12,,8.269B,,8.269B,863.70M,,863.70M,,,,9.133B,,,,,,,,,507.10M,,,2.248B,4.028B,,100.40M,139.20M,7.023B,16.16B,,108.70M,193.50M,,531.40M,,531.40M,,,,,,,531.40M,2.120B,,2.120B,237.00M,237.00M,209.80M,639.70M,53.20M,582.90M,,2015-12,59.50M,12.06B,,11.78B,,2015-12,AOR,Restated
2015-09,,8.368B,,8.368B,838.00M,,838.00M,,,,9.206B,557.00M,74.20M,,733.60M,,,1.365B,-854.70M,510.10M,1.661B,595.80M,2.257B,4.109B,,,253.40M,7.130B,16.34B,,92.60M,,,324.70M,,324.70M,,,,,,,324.70M,2.155B,,2.155B,241.40M,241.40M,433.20M,654.80M,59.60M,625.70M,,2015-09,60.40M,12.09B,,11.84B,,2015-09,AOR,Restated
