,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-09,,2.315B,1.793B,4.108B,,,690.35M,33.94M,17.31M,,4.850B,0.00,72.34M,,547.52M,,478.82M,1.099B,-543.97M,554.71M,1.438B,579.57M,2.018B,916.06M,404.23M,187.81M,246.42M,4.327B,9.177B,,,66.03M,,586.04M,307.22M,893.27M,,13.29M,,13.29M,13.29M,29.34M,935.89M,118.43M,,118.43M,146.49M,146.49M,,77.16M,,824.18M,,2008-09,23.28M,7.045B,0.00,7.074B,,2008-09,AOR,Restated
2008-06,,2.881B,1.259B,4.140B,,,746.68M,,93.29M,,4.980B,,,,,,,,,568.06M,1.448B,588.23M,2.037B,466.09M,351.76M,215.21M,727.02M,4.365B,9.345B,,,31.50M,,554.08M,277.82M,831.91M,,158.38M,,158.38M,158.38M,28.39M,1.019B,130.42M,,130.42M,209.26M,209.26M,,47.84M,,782.64M,,2008-06,23.46M,6.971B,0.00,7.156B,,2008-06,AOR,Restated
2008-03,,3.664B,1.486B,5.150B,738.47M,279.40M,1.018B,,90.20M,285.00M,6.543B,,,,,,,,,567.54M,1.453B,595.03M,2.048B,,778.13M,225.92M,-217.75M,3.402B,9.945B,,,15.68M,,227.35M,,227.35M,,298.99M,420.00M,718.99M,718.99M,1.552B,2.498B,141.08M,,141.08M,201.46M,201.46M,,46.14M,,73.63M,,2008-03,23.64M,6.768B,0.00,6.984B,,2008-03,AOR,Restated
2007-12,,2.882B,1.080B,3.962B,,,781.63M,,86.89M,1.368B,6.198B,,,,,,,,,561.01M,1.457B,599.58M,2.056B,539.09M,799.65M,,-481.53M,3.475B,9.673B,,,136.90M,,343.31M,457.78M,801.08M,,,,420.00M,420.00M,27.91M,1.249B,151.62M,,151.62M,186.87M,186.87M,,38.00M,,1.034B,,2007-12,23.97M,6.768B,0.00,7.013B,,2007-12,AOR,Restated
2007-09,,3.304B,1.205B,4.510B,,,865.13M,,82.08M,,5.457B,0.00,73.47M,,662.50M,,467.93M,1.204B,-644.41M,559.48M,1.456B,601.83M,2.058B,703.61M,582.24M,257.89M,314.08M,4.476B,9.932B,,,119.67M,,666.61M,322.96M,989.57M,420.00M,0.00,,420.00M,420.00M,26.08M,1.436B,162.12M,,162.12M,214.51M,214.51M,,41.40M,,746.31M,,2007-09,24.55M,7.049B,0.00,7.332B,,2007-09,AOR,Restated
2007-06,,3.322B,923.40M,4.245B,,,830.09M,,82.48M,,5.158B,,,,,,,,,537.39M,1.438B,616.45M,2.054B,534.27M,419.72M,,751.46M,4.297B,9.455B,,,81.87M,,300.10M,556.69M,856.79M,,64.41M,355.59M,420.00M,420.00M,89.54M,1.366B,172.25M,,172.25M,237.31M,237.31M,,68.77M,,598.00M,,2007-06,24.59M,6.758B,0.00,7.012B,,2007-06,AOR,Restated
2007-03,,3.979B,942.71M,4.922B,,,708.50M,,109.78M,578.37M,6.319B,,,,,,,,,525.10M,1.406B,569.36M,1.976B,508.26M,544.18M,,-254.98M,3.298B,9.617B,,,81.52M,,264.47M,465.59M,730.06M,,168.07M,73.50M,241.57M,241.57M,704.95M,1.677B,602.64M,,602.64M,194.27M,194.27M,,112.43M,,,,2007-03,24.96M,6.824B,0.00,7.031B,,2007-03,AOR,Restated
2006-12,,4.006B,1.141B,5.147B,,,689.19M,,91.19M,453.28M,6.380B,,,,,,,,,511.66M,1.405B,571.48M,1.976B,500.57M,419.48M,,-124.65M,3.283B,9.663B,,,151.50M,,340.44M,401.09M,741.53M,,168.10M,118.60M,286.70M,286.70M,605.42M,1.634B,612.98M,,612.98M,183.52M,183.52M,,106.34M,,9.635M,,2006-12,25.36M,6.720B,178.46M,7.117B,,2006-12,AOR,Restated
2006-09,,3.613B,1.106B,4.719B,,,628.81M,,95.98M,674.67M,6.118B,,,,,,,,,506.29M,1.407B,574.63M,1.981B,471.55M,82.33M,,339.73M,3.381B,9.500B,,,97.94M,,360.96M,487.99M,848.95M,,168.06M,64.27M,232.33M,232.33M,789.30M,1.871B,627.92M,,627.92M,211.59M,211.59M,,95.80M,,9.245M,,2006-09,25.32M,6.334B,185.58M,6.685B,,2006-09,AOR,Restated
2006-06,,3.413B,1.059B,4.472B,,,610.40M,,106.64M,544.38M,5.734B,,,,,,,,,487.34M,1.407B,577.21M,1.984B,425.26M,549.28M,,-204.95M,3.241B,8.975B,,,126.06M,,396.61M,442.08M,838.69M,,167.98M,,167.98M,167.98M,725.68M,1.732B,639.35M,,639.35M,176.49M,176.49M,,111.11M,,9.10M,,2006-06,25.30M,5.983B,172.38M,6.306B,,2006-06,AOR,Restated
2006-03,,3.750B,1.056B,4.807B,,,567.67M,,104.00M,425.34M,5.904B,,,,,,,,,489.26M,1.404B,579.18M,1.983B,440.60M,388.81M,,-40.68M,3.261B,9.165B,,,157.74M,,318.03M,366.02M,684.05M,,168.31M,,168.31M,168.31M,579.00M,1.431B,866.00M,,866.00M,197.93M,197.93M,,92.79M,,33.86M,,2006-03,25.94M,5.653B,751.00M,6.543B,,2006-03,AOR,Restated
2005-12,,3.626B,958.80M,4.585B,,,538.26M,,96.33M,336.54M,5.556B,,,,,,,,,487.49M,1.390B,651.89M,2.042B,455.41M,304.06M,,46.73M,3.336B,8.892B,,,72.62M,,249.75M,326.90M,576.65M,,169.34M,,169.34M,169.34M,621.54M,1.368B,904.83M,,904.83M,216.14M,216.14M,,77.18M,,33.04M,,2005-12,25.81M,5.489B,681.76M,6.293B,,2005-12,AOR,Restated
2005-09,,3.076B,873.18M,3.949B,,,549.20M,,121.89M,,4.621B,,,,,,,,,489.37M,1.391B,656.59M,2.047B,452.83M,567.44M,,716.26M,4.273B,8.894B,,,25.73M,,231.58M,429.18M,660.76M,,169.39M,69.83M,239.22M,239.22M,-48.09M,851.90M,1.208B,,1.208B,235.00M,235.00M,,76.11M,,838.14M,,2005-09,25.27M,5.206B,374.86M,5.684B,,2005-09,AOR,Restated
2005-06,,2.952B,1.106B,4.059B,,,496.39M,,131.52M,504.07M,5.191B,,,,,,,,,487.00M,1.387B,659.85M,2.047B,429.37M,467.21M,,-92.41M,3.338B,8.529B,,,22.69M,,268.72M,429.03M,697.75M,,169.42M,,169.42M,169.42M,19.52M,886.69M,1.215B,,1.215B,248.70M,248.70M,,90.18M,,785.96M,,2005-06,25.14M,4.897B,314.37M,5.302B,,2005-06,AOR,Restated
2005-03,,3.197B,1.037B,4.234B,,,484.50M,,140.98M,443.20M,5.303B,,,,,,,,,490.78M,1.387B,664.12M,2.051B,429.82M,405.56M,,19.56M,3.397B,8.699B,,527.28M,12.37M,,732.12M,374.37M,1.106B,,170.00M,,170.00M,170.00M,778.10M,2.055B,1.223B,,1.223B,236.80M,236.80M,,89.66M,,34.61M,,2005-03,25.11M,4.661B,299.95M,5.061B,,2005-03,AOR,Restated
2004-12,,3.105B,990.70M,4.096B,,,433.00M,,143.91M,400.83M,5.074B,,,,,,,,,463.89M,1.389B,669.12M,2.058B,428.87M,361.21M,,65.68M,3.378B,8.451B,,,112.00M,,314.07M,327.86M,641.93M,,170.00M,,170.00M,170.00M,715.59M,1.528B,1.216B,,1.216B,240.90M,240.90M,,92.57M,,35.15M,,2004-12,25.02M,4.966B,256.78M,5.339B,,2004-12,AOR,Restated
2004-09,,2.814B,689.99M,3.504B,,,406.25M,,133.42M,,4.044B,,,,,,,,,470.58M,1.382B,671.50M,2.053B,388.82M,454.94M,,816.33M,4.184B,8.228B,,,76.86M,,364.44M,412.82M,777.26M,,169.63M,,169.63M,169.63M,-26.14M,920.75M,1.196B,,1.196B,236.13M,236.13M,,76.09M,,691.61M,,2004-09,24.97M,4.752B,255.14M,5.107B,,2004-09,AOR,Restated
2004-06,,2.480B,1.073B,3.553B,,,404.48M,91.74M,,605.76M,4.655B,,,,,,,,,475.37M,1.377B,674.54M,2.052B,311.13M,744.96M,,-164.08M,3.419B,8.075B,,,69.24M,,427.89M,367.90M,795.79M,,,,164.94M,164.94M,698.81M,1.660B,1.179B,,1.179B,220.55M,220.55M,,75.78M,,34.20M,,2004-06,24.94M,4.585B,230.49M,4.905B,,2004-06,AOR,Restated
2004-03,,2.550B,908.80M,3.458B,,,442.09M,92.90M,,512.81M,4.506B,,,,,,,,,486.64M,1.381B,680.19M,2.061B,314.67M,558.26M,,-76.35M,3.344B,7.850B,,,55.91M,,278.26M,312.96M,591.22M,,,,164.90M,164.90M,816.68M,1.573B,1.158B,,1.158B,218.18M,218.18M,,62.04M,,38.78M,,2004-03,24.99M,4.432B,260.51M,4.801B,,2004-03,AOR,Restated
2003-12,,1.353B,1.914B,3.266B,,,369.94M,92.82M,,434.01M,4.163B,,,,,,,,,504.01M,1.377B,684.26M,2.061B,305.27M,408.31M,,-24.38M,3.254B,7.417B,,,95.47M,,234.39M,263.38M,497.77M,,,,164.90M,164.90M,715.66M,1.378B,1.136B,,1.136B,206.52M,206.52M,,62.92M,,35.21M,,2003-12,24.88M,4.280B,215.78M,4.599B,,2003-12,AOR,Restated
2003-09,,1.054B,1.880B,2.934B,,,338.29M,,91.58M,523.37M,3.887B,,,,,,,,,356.77M,1.336B,684.28M,2.020B,280.36M,102.86M,,323.71M,3.083B,6.971B,,,43.50M,,215.49M,321.01M,536.50M,,,,0.287M,0.287M,-48.26M,488.53M,1.109B,,1.109B,203.50M,203.50M,,25.34M,,834.39M,,2003-09,24.59M,4.130B,108.02M,4.310B,,2003-09,AOR,Restated
2003-06,,1.413B,1.748B,3.161B,,,326.44M,91.78M,,393.27M,3.973B,,,,,,,,,369.90M,1.334B,688.17M,2.022B,268.55M,395.20M,,-51.83M,3.004B,6.977B,,,6.026M,,192.92M,278.74M,471.66M,,,,2.134M,2.134M,805.88M,1.280B,1.082B,,1.082B,204.98M,204.98M,,,,49.46M,,2003-06,25.07M,3.996B,333.47M,4.361B,,2003-06,AOR,Restated
2003-03,,824.89M,1.761B,2.585B,,,286.59M,95.56M,,556.45M,3.524B,,,,,,,,,379.57M,1.328B,690.48M,2.018B,258.35M,699.88M,,-273.56M,3.082B,6.606B,,,14.17M,,308.71M,253.26M,561.97M,,,,4.216M,4.216M,802.49M,1.369B,636.09M,,636.09M,187.47M,187.47M,,,,45.60M,,2003-03,25.55M,3.883B,504.81M,4.368B,,2003-03,AOR,Restated
2002-12,,1.051B,1.662B,2.713B,,,291.42M,93.17M,,450.38M,3.548B,,,,,,,,,386.78M,1.323B,693.20M,2.016B,261.94M,475.82M,,-168.95M,2.971B,6.519B,,,28.68M,,174.93M,231.44M,406.37M,,,,6.015M,6.015M,899.91M,1.312B,614.45M,,614.45M,186.99M,186.99M,,,,47.79M,,2002-12,25.79M,3.793B,583.16M,4.358B,,2002-12,AOR,Restated
2002-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.423B,,,,,,,,,,,,,,,595.10M,,595.10M,,,,,,,,2002-09,,,,4.267B,,2002-09,AOR,Restated
2002-06,,923.54M,1.786B,2.710B,,,722.48M,101.20M,,77.95M,3.612B,,,,,,,,,401.08M,1.287B,689.32M,1.976B,,484.69M,,-24.92M,2.837B,6.449B,,,48.52M,,193.51M,286.93M,480.44M,,,,8.685M,8.685M,871.40M,1.361B,575.43M,,575.43M,,,,,,196.52M,,2002-06,26.20M,3.652B,700.06M,4.316B,,2002-06,AOR,Restated
2002-03,,1.090B,1.475B,2.565B,,,760.30M,100.12M,,49.89M,3.475B,,,,,,,,,418.56M,1.287B,693.56M,1.981B,,684.89M,,-64.29M,3.020B,6.495B,,,19.39M,,328.42M,243.88M,572.31M,,,,8.279M,8.279M,903.36M,1.484B,605.27M,,605.27M,,,,,,190.92M,,2002-03,26.19M,3.545B,695.11M,4.214B,,2002-03,AOR,Restated
2001-12,,788.33M,1.655B,2.443B,,,645.23M,100.83M,,14.13M,3.203B,,,,,,,,,435.28M,1.287B,697.44M,1.984B,,60.85M,,405.95M,2.887B,6.090B,,,14.42M,,191.32M,228.60M,419.92M,,,,8.275M,8.275M,793.54M,1.222B,583.79M,,583.79M,,,,,,191.96M,,2001-12,26.13M,3.443B,675.93M,4.092B,,2001-12,AOR,Restated
2001-09,,596.21M,1.381B,1.977B,,,296.16M,108.90M,,673.23M,3.055B,,,,,,,,,449.63M,1.287B,702.20M,1.989B,243.11M,307.21M,,221.64M,3.210B,6.266B,,,11.92M,,435.13M,305.19M,740.32M,,,,8.361M,8.361M,779.41M,1.528B,566.01M,,566.01M,152.49M,152.49M,,,,41.16M,,2001-09,26.08M,3.343B,657.88M,3.978B,,2001-09,AOR,Restated
2001-06,,875.11M,1.186B,2.061B,,,748.19M,38.95M,,8.768M,2.857B,,,,,,,,,472.95M,,2.018B,2.018B,,639.53M,,-53.15M,3.078B,5.935B,,,17.62M,,285.40M,265.06M,550.46M,,,,8.703M,8.703M,751.24M,1.310B,551.33M,,551.33M,,,,,,138.00M,,2001-06,26.15M,3.309B,645.55M,3.935B,,2001-06,AOR,Restated
2001-03,,981.82M,387.44M,1.369B,,,257.33M,33.25M,,,1.660B,,,,,,,,,442.73M,,1.239B,1.239B,,291.08M,,323.44M,2.296B,3.956B,,,24.56M,,179.87M,178.54M,358.41M,,,,16.78M,16.78M,-61.59M,313.59M,254.58M,,254.58M,,,,,,205.91M,,2001-03,24.43M,3.206B,3.206B,3.182B,,2001-03,AOR,Restated
2000-12,,1.069B,216.60M,1.286B,,,255.76M,26.64M,,,1.568B,,,,,,,,,440.72M,,1.249B,1.249B,,486.81M,,348.00M,2.524B,4.092B,,,71.96M,,281.81M,160.46M,442.27M,,,,68.79M,68.79M,-106.67M,404.40M,285.76M,,285.76M,,,,,,323.93M,,2000-12,24.41M,3.084B,,3.078B,,2000-12,AOR,Restated
2000-09,,740.00M,662.67M,1.403B,,,268.39M,18.02M,,266.78M,1.956B,,,,,,,,,444.69M,,,1.169B,,424.91M,,47.50M,2.087B,4.042B,,,61.66M,,241.14M,257.71M,498.85M,,,,68.78M,68.78M,160.89M,728.51M,294.09M,,294.09M,,,,,,54.35M,,2000-09,24.37M,2.932B,0.00,2.965B,,2000-09,AOR,Restated
2000-06,,1.096B,211.61M,1.308B,,,249.30M,17.88M,,,1.575B,,,,,,,,,441.79M,,1.175B,1.175B,,341.48M,,317.42M,2.276B,3.851B,,,55.22M,,191.94M,222.57M,414.50M,,,,68.91M,68.91M,-64.92M,418.50M,334.53M,,334.53M,,,,,,267.16M,,2000-06,24.36M,2.799B,0.00,2.830B,,2000-06,AOR,Restated
2000-03,,1.068B,210.56M,1.279B,,,253.06M,13.29M,,,1.545B,,,,,,,,,430.54M,,1.184B,1.184B,,245.00M,,256.85M,2.117B,3.661B,,,43.71M,,145.78M,186.01M,331.79M,,,,59.10M,59.10M,-25.46M,365.42M,381.24M,,381.24M,,,,,,206.65M,,2000-03,24.36M,2.673B,0.00,2.708B,,2000-03,AOR,Restated
1999-12,,951.17M,254.77M,1.206B,,,256.99M,14.82M,,,1.478B,,,,,,,,,420.90M,,1.193B,1.193B,,392.44M,,264.71M,2.272B,3.749B,,,63.18M,,236.16M,154.86M,391.02M,,,,59.13M,59.13M,-80.93M,369.22M,377.38M,,377.38M,,,,,,278.30M,,1999-12,24.87M,2.689B,0.237M,2.724B,,1999-12,AOR,Restated
1999-09,,819.24M,412.51M,1.232B,,,444.50M,24.26M,,3.165M,1.704B,,,,,,,,,416.40M,,,1.203B,,107.15M,,236.80M,1.963B,3.667B,,,57.97M,,188.11M,224.81M,412.93M,,,,108.98M,108.98M,140.98M,662.90M,294.26M,,294.26M,,,,,,52.64M,,1999-09,25.10M,2.566B,69.63M,2.657B,,1999-09,AOR,Restated
1999-06,,0.00,491.40M,491.40M,,,,,,,491.40M,,,,,,,,,390.31M,,1.212B,1.212B,,142.96M,,,1.745B,3.575B,,,,,,,,,,,58.92M,58.92M,,58.92M,395.67M,,395.67M,,,,,,,,1999-06,25.21M,2.447B,104.00M,2.566B,,1999-06,,Restated
1999-03,,0.00,396.70M,396.70M,,,,,,,396.70M,,,,,,,,,363.93M,,1.221B,1.221B,,216.81M,,,1.802B,3.459B,,,,,,,,,,,58.73M,58.73M,,58.73M,391.27M,,391.27M,,,,,,,,1999-03,25.21M,2.338B,103.82M,2.446B,,1999-03,,Restated
1998-12,,0.00,293.94M,293.94M,,,,,,,293.94M,,,,,,,,,365.09M,,1.244B,1.244B,,192.73M,,,1.802B,3.398B,,,,,,,,,,,58.52M,58.52M,,58.52M,413.23M,,413.23M,,,,,,,,1998-12,25.24M,2.249B,115.04M,2.367B,,1998-12,,Restated
1998-09,,556.04M,491.91M,1.048B,,,395.67M,22.14M,,4.991M,1.471B,,,,,,,,,349.23M,,,1.254B,,87.28M,,319.07M,2.009B,3.480B,,,67.32M,,163.72M,209.43M,373.14M,,,,117.96M,117.96M,164.38M,655.47M,494.46M,,494.46M,,,,,,49.35M,,1998-09,25.17M,2.195B,93.03M,2.281B,,1998-09,AOR,Restated
1998-06,,0.00,210.59M,210.59M,,,,,,,210.59M,,,,,,,,,325.96M,,1.262B,1.262B,,290.86M,,,1.879B,3.575B,,,,,,,,,,,131.28M,131.28M,,131.28M,548.68M,,548.68M,,,,,,,,1998-06,25.30M,2.095B,126.89M,2.234B,,1998-06,,
