,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.697B,1.627B,1.199B,428.40M,,328.00M,328.00M,,,,47.50M,,,,15.70M,2.90M,-12.80M,,382.00M,46.40M,2.90M,15.70M,-12.80M,166.00M,-12.80M,126.50M,,-47.60M,,78.90M,56.10M,215.30M,,2020-09,0.15,-0.0705,0.15,,,,-0.0702,0.15,,2020-09,491.00M,491.50M,0.27,,2020-09,AOR,
2020-06,1.156B,1.188B,755.10M,433.00M,,179.30M,179.30M,,,,31.50M,,,,6.80M,2.30M,-4.50M,,179.30M,253.70M,2.30M,6.80M,-4.50M,20.60M,-4.50M,253.70M,,36.70M,,290.40M,22.20M,276.60M,,2020-06,0.58,0.5794,0.58,,,,0.5794,0.58,,2020-06,490.40M,490.70M,0.27,,2020-06,AOR,
2020-03,1.305B,1.338B,789.60M,548.70M,,192.60M,192.60M,,,,34.40M,,,,4.20M,3.70M,-0.50M,,192.60M,356.10M,3.70M,4.20M,-0.50M,-252.70M,-0.50M,58.80M,,20.30M,,79.10M,23.40M,107.10M,,2020-03,0.16,0.3061,0.16,,,,0.3061,0.16,,2020-03,491.50M,491.80M,0.27,,2020-03,AOR,
2019-12,1.381B,1.413B,833.30M,579.40M,,186.70M,186.70M,,,,34.50M,,,,6.70M,5.40M,-1.30M,,186.70M,392.70M,5.40M,6.70M,-1.30M,54.20M,-1.30M,348.10M,,2.40M,,350.50M,26.80M,452.30M,,2019-12,0.70,0.6848,0.70,,,,0.6849,0.70,,2019-12,494.70M,495.30M,0.27,,2019-12,AOR,
2019-09,1.417B,1.347B,845.70M,501.70M,,186.00M,186.00M,,,,38.80M,,,,4.70M,6.30M,1.60M,,200.70M,301.00M,6.30M,4.70M,1.60M,93.20M,1.60M,309.30M,,-2.90M,,306.40M,26.00M,400.50M,,2019-09,0.61,0.4066,0.61,,,,0.4072,0.61,,2019-09,497.60M,498.90M,0.26,,2019-09,AOR,Restated
2019-06,1.440B,1.477B,900.10M,576.60M,,201.70M,201.70M,,,,32.20M,,,,5.60M,7.20M,1.60M,,201.70M,374.90M,7.20M,5.60M,1.60M,37.00M,1.60M,254.60M,,-8.70M,,245.90M,25.60M,419.10M,,2019-06,0.48,0.4477,0.48,,,,0.4477,0.48,,2019-06,501.60M,502.30M,0.26,,2019-06,AOR,Restated
2019-03,1.408B,1.434B,859.00M,574.80M,,195.30M,195.30M,,,,31.40M,,,,5.70M,8.50M,2.80M,,195.30M,379.50M,8.50M,5.70M,2.80M,110.20M,2.80M,381.60M,,-14.10M,,367.50M,21.50M,498.20M,,2019-03,0.72,0.6311,0.72,,,,0.6312,0.72,,2019-03,504.70M,505.10M,0.26,,2019-03,AOR,Restated
2018-12,1.382B,1.412B,799.50M,612.00M,,200.50M,200.50M,,,,31.20M,,,,6.40M,9.00M,2.60M,,200.50M,411.50M,9.00M,6.40M,2.60M,-68.10M,2.60M,260.00M,,15.90M,,275.90M,20.30M,352.40M,,2018-12,0.54,0.5908,0.54,,,,0.5907,0.54,,2018-12,510.30M,510.80M,0.26,,2018-12,AOR,Restated
2018-09,1.492B,1.413B,834.80M,577.80M,,187.70M,187.70M,,,,34.60M,,,,3.40M,11.60M,8.20M,,189.50M,388.30M,11.60M,3.40M,8.20M,86.80M,8.20M,476.30M,,26.20M,,502.50M,17.70M,486.70M,,2018-09,0.96,0.7648,0.96,,,,0.7649,0.96,,2018-09,520.90M,521.20M,0.23,,2018-09,AOR,Restated
2018-06,1.523B,1.559B,857.30M,701.30M,,198.20M,198.20M,,,,30.50M,,,,22.10M,15.40M,-6.70M,,198.20M,503.10M,15.40M,22.10M,-6.70M,-49.20M,-6.70M,355.40M,,46.60M,,402.00M,20.40M,469.30M,,2018-06,0.75,0.8235,0.75,,,,0.8235,0.75,,2018-06,533.00M,533.50M,0.23,,2018-06,AOR,Restated
