,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-05,3.265B,3.265B,8.481B,8.481B,525.00M,1.07B,,,13.34B,11.14B,15.52B,55.12B,-26.97B,28.15B,6.973B,480.00M,7.453B,3.382B,38.99B,52.33B,,2.977B,334.00M,,3.311B,4.041B,7.352B,,1.342B,,1.342B,,,,9.627B,15.24B,,15.24B,2.867B,121.00M,3.539B,1.784B,2.187B,534.00M,23.29B,32.91B,,32.00M,24.82B,3.117B,7.978B,,-578.00M,19.42B,,AOR,Restated
2018-02,2.789B,2.789B,8.671B,8.671B,523.00M,1.592B,,,13.58B,,54.38B,54.38B,-26.68B,27.70B,7.464B,,7.464B,3.115B,38.28B,51.85B,,3.102B,,,3.102B,4.838B,7.94B,,1.563B,,1.563B,,,,9.503B,16.02B,,16.02B,2.401B,124.00M,3.057B,1.715B,2.181B,484.00M,23.45B,32.96B,,32.00M,23.71B,3.085B,7.576B,,-357.00M,18.89B,,AOR,Restated
2017-11,2.768B,2.768B,8.655B,8.655B,533.00M,925.00M,,,12.88B,,53.24B,53.24B,-25.95B,27.29B,7.325B,,7.325B,2.785B,37.40B,50.28B,,3.147B,,,3.147B,4.819B,7.966B,,261.00M,,261.00M,,,,8.227B,15.18B,,15.18B,3.088B,122.00M,3.843B,1.651B,3.868B,457.00M,25.00B,33.23B,,32.00M,21.78B,3.055B,7.383B,,-434.00M,17.06B,,AOR,Restated
2017-08,3.503B,3.503B,8.006B,8.006B,516.00M,,697.00M,,12.72B,,51.54B,51.54B,-25.30B,26.24B,7.382B,,7.382B,3.011B,36.63B,49.35B,,2.938B,,,2.938B,4.833B,7.771B,,19.00M,,19.00M,,,,7.79B,15.14B,,15.14B,2.73B,126.00M,3.431B,1.603B,4.313B,458.00M,24.94B,32.73B,,32.00M,21.16B,3.03B,7.275B,,-325.00M,16.62B,,AOR,Restated
2017-05,3.969B,3.969B,7.599B,7.599B,514.00M,546.00M,,,12.63B,10.45B,14.38B,50.63B,-24.64B,25.98B,7.154B,529.00M,7.683B,2.26B,35.92B,48.55B,,2.752B,283.00M,,3.035B,4.08B,7.115B,,22.00M,,22.00M,,,,7.918B,14.91B,,14.91B,2.485B,137.00M,3.153B,1.494B,4.487B,518.00M,24.56B,32.48B,,32.00M,20.83B,3.005B,7.382B,,-415.00M,16.07B,,AOR,Restated
2017-02,3.173B,3.173B,7.418B,7.418B,527.00M,820.00M,,,11.94B,,49.75B,49.75B,-24.14B,25.61B,7.00B,,7.00B,2.23B,34.84B,46.78B,,2.707B,,,2.707B,4.698B,7.405B,,45.00M,,45.00M,,,,7.45B,14.71B,,14.71B,2.299B,142.00M,2.897B,1.376B,4.67B,491.00M,24.15B,31.60B,,32.00M,19.83B,2.976B,7.32B,,-334.00M,15.18B,,AOR,Restated
2016-11,3.059B,3.059B,7.575B,7.575B,517.00M,901.00M,,,12.05B,,48.92B,48.92B,-23.61B,25.31B,6.921B,,6.921B,2.068B,34.30B,46.35B,,2.954B,,,2.954B,4.81B,7.764B,,43.00M,,43.00M,,,,7.807B,13.55B,,13.55B,2.148B,145.00M,2.84B,1.349B,5.845B,423.00M,24.01B,31.82B,,32.00M,19.41B,2.946B,7.432B,,-425.00M,14.53B,,AOR,Restated
2016-08,2.989B,2.989B,7.233B,7.233B,512.00M,667.00M,,,11.40B,,48.12B,48.12B,-23.32B,24.80B,6.783B,,6.783B,2.587B,34.17B,45.58B,,2.851B,,,2.851B,4.576B,7.427B,,47.00M,,47.00M,,,,7.474B,13.74B,,13.74B,1.762B,150.00M,2.369B,1.338B,6.063B,454.00M,23.96B,31.43B,,32.00M,18.86B,2.918B,7.494B,,-176.00M,14.14B,,AOR,Restated
2016-05,3.534B,3.534B,7.252B,7.252B,496.00M,707.00M,,,11.99B,9.987B,13.11B,47.02B,-22.73B,24.28B,6.747B,1.008B,7.755B,1.931B,33.97B,45.96B,,2.944B,311.00M,,3.255B,3.92B,7.175B,,29.00M,,29.00M,,,,8.008B,13.73B,,13.73B,1.567B,155.00M,2.122B,1.314B,6.227B,771.00M,24.17B,32.18B,,32.00M,18.37B,2.892B,7.342B,,-169.00M,13.78B,,AOR,Restated
2016-02,2.841B,2.841B,5.634B,5.634B,476.00M,678.00M,608.00M,,10.24B,,46.03B,46.03B,-23.48B,22.55B,3.764B,,3.764B,1.266B,27.58B,37.82B,,2.024B,,,2.024B,3.904B,5.928B,,11.00M,,11.00M,,,,5.939B,8.477B,,8.477B,2.046B,161.00M,2.93B,1.282B,4.628B,236.00M,17.55B,23.49B,,32.00M,18.48B,2.869B,6.896B,,-159.00M,14.33B,,AOR,Restated
