,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-05,2.292B,2.292B,,3.391B,367.00M,555.00M,511.00M,,7.116B,11.10B,,29.26B,-15.84B,13.42B,2.229B,,2.229B,1.482B,17.13B,24.24B,,1.372B,,,1.372B,1.638B,3.01B,,653.00M,,653.00M,,,,4.524B,1.93B,,1.93B,1.071B,289.00M,2.162B,904.00M,934.00M,164.00M,6.094B,10.62B,,31.00M,12.92B,2.053B,4.00M,,-1.373B,13.63B,,AOR,Restated
2009-02,2.673B,2.673B,,3.52B,370.00M,294.00M,516.00M,,7.373B,,,29.36B,-15.74B,13.62B,3.113B,1.198B,4.311B,1.703B,19.63B,27.01B,,1.392B,,,1.392B,1.607B,2.999B,,1.089B,,1.089B,,,,4.893B,1.918B,,1.918B,1.522B,296.00M,2.606B,869.00M,998.00M,171.00M,6.562B,11.46B,,31.00M,13.80B,2.001B,4.00M,,-272.00M,15.55B,,AOR,Restated
2008-11,1.542B,1.542B,,4.103B,405.00M,266.00M,518.00M,,6.834B,,,29.01B,-15.40B,13.61B,3.121B,1.071B,4.192B,1.748B,19.55B,26.38B,,1.878B,,,1.878B,1.636B,3.514B,,1.089B,,1.089B,,,,5.523B,918.00M,,918.00M,1.511B,302.00M,2.473B,825.00M,991.00M,173.00M,5.38B,10.90B,,31.00M,13.73B,1.979B,4.00M,,-258.00M,15.48B,,AOR,Restated
2008-08,1.573B,1.573B,,4.361B,412.00M,300.00M,528.00M,,7.174B,,,28.71B,-15.18B,13.53B,3.16B,966.00M,4.126B,,18.97B,26.14B,,2.05B,,,2.05B,2.468B,4.518B,,1.001B,,1.001B,,,,5.519B,1.007B,,1.007B,1.484B,309.00M,2.476B,813.00M,997.00M,191.00M,5.484B,11.00B,,31.00M,13.27B,1.954B,4.00M,,-115.00M,15.14B,,AOR,Restated
2008-05,1.539B,1.539B,,4.359B,435.00M,367.00M,544.00M,,7.244B,11.57B,,29.30B,-15.83B,13.48B,3.165B,919.00M,4.084B,827.00M,18.39B,25.63B,,2.195B,,,2.195B,1.553B,3.748B,,502.00M,,502.00M,,,,5.368B,1.506B,,1.506B,1.264B,315.00M,2.25B,804.00M,989.00M,190.00M,5.739B,11.11B,,31.00M,13.00B,1.922B,4.00M,,-425.00M,14.53B,,AOR,Restated
2008-02,1.011B,1.011B,,4.242B,384.00M,243.00M,551.00M,,6.431B,,,28.81B,-15.49B,13.31B,3.519B,1.332B,4.851B,,18.16B,24.60B,,2.164B,,,2.164B,2.43B,4.594B,,18.00M,,18.00M,,,,4.612B,2.006B,,2.006B,1.022B,323.00M,1.969B,785.00M,850.00M,182.00M,5.792B,10.40B,,31.00M,13.24B,1.848B,3.00M,,-928.00M,14.19B,,AOR,Restated
2007-11,830.00M,830.00M,,4.324B,392.00M,274.00M,531.00M,,6.351B,,,28.38B,-15.16B,13.22B,3.515B,1.256B,4.771B,,18.00B,24.35B,,2.30B,,,2.30B,2.483B,4.783B,,127.00M,,127.00M,,,,4.91B,2.007B,,2.007B,928.00M,330.00M,1.889B,790.00M,824.00M,167.00M,5.677B,10.59B,,31.00M,12.88B,1.796B,4.00M,,-945.00M,13.76B,,AOR,Restated
2007-08,1.112B,1.112B,,3.959B,342.00M,282.00M,533.00M,,6.228B,,,27.70B,-14.76B,12.94B,3.502B,1.233B,4.735B,,17.68B,23.91B,,2.018B,,,2.018B,2.543B,4.561B,,134.00M,,134.00M,,,,4.695B,2.007B,,2.007B,918.00M,336.00M,1.91B,,1.119B,954.00M,5.99B,10.68B,,31.00M,12.43B,1.761B,4.00M,,-1.00B,13.22B,,AOR,Restated
2007-05,1.569B,1.569B,,3.942B,338.00M,244.00M,536.00M,,6.629B,,,27.09B,-14.45B,12.64B,3.497B,1.238B,4.735B,,17.37B,24.00B,,2.016B,,,2.016B,2.773B,4.789B,,639.00M,,639.00M,,,,5.428B,2.007B,,2.007B,897.00M,343.00M,1.895B,759.00M,1.164B,91.00M,5.916B,11.34B,,31.00M,11.97B,1.689B,4.00M,,-1.03B,12.66B,,AOR,Restated
2007-02,1.77B,1.77B,,3.925B,322.00M,210.00M,540.00M,,6.767B,,,26.33B,-14.16B,12.17B,3.136B,1.362B,4.498B,1.539B,18.21B,24.97B,,1.888B,,,1.888B,2.623B,4.511B,,1.259B,,1.259B,1.402B,1.402B,-1.402B,5.77B,2.005B,,2.005B,1.402B,350.00M,629.00M,,971.00M,2.588B,6.193B,11.96B,,31.00M,11.39B,1.621B,3.00M,,-30.00M,13.01B,,AOR,Restated
2006-11,1.855B,1.855B,,3.956B,325.00M,192.00M,515.00M,,6.843B,,,25.90B,-13.92B,11.99B,2.941B,1.305B,4.246B,1.636B,17.87B,24.71B,,2.06B,,,2.06B,3.491B,5.551B,,1.168B,,1.168B,,,-745.00M,5.974B,2.047B,,2.047B,1.352B,357.00M,2.344B,,952.00M,838.00M,6.181B,12.16B,,31.00M,11.00B,1.554B,4.00M,,-22.00M,12.56B,,AOR,Restated
2006-08,2.69B,2.69B,,3.624B,320.00M,172.00M,536.00M,,7.342B,,,24.72B,-13.61B,11.12B,2.825B,1.245B,4.07B,1.351B,16.54B,23.88B,,1.875B,,,1.875B,3.333B,5.208B,,1.13B,,1.13B,,,-715.00M,5.623B,2.09B,,2.09B,1.369B,365.00M,2.394B,,953.00M,797.00M,6.234B,11.86B,,31.00M,10.52B,1.50B,2.00M,,-24.00M,12.02B,,AOR,Restated
2006-05,1.937B,1.937B,,3.516B,308.00M,164.00M,539.00M,,6.464B,,,24.07B,-13.30B,10.77B,2.825B,1.282B,4.107B,1.349B,16.23B,22.69B,,1.908B,,,1.908B,2.715B,4.623B,,850.00M,,850.00M,,,,5.473B,1.592B,,1.592B,1.367B,373.00M,2.398B,,,1.716B,5.706B,11.18B,,31.00M,10.07B,1.438B,2.00M,,-24.00M,11.51B,,AOR,Restated
2006-02,1.121B,1.121B,,3.401B,294.00M,163.00M,535.00M,,5.514B,,,23.67B,-13.25B,10.42B,2.827B,1.332B,4.159B,1.443B,16.02B,21.54B,,1.847B,,,1.847B,3.098B,4.945B,,241.00M,,241.00M,,,-675.00M,4.511B,2.209B,,2.209B,1.272B,380.00M,2.29B,,863.00M,742.00M,6.104B,10.62B,,31.00M,9.528B,1.406B,36.00M,,-5.00M,10.92B,,AOR,Restated
2005-11,786.00M,786.00M,,3.546B,278.00M,162.00M,520.00M,,5.292B,,,23.24B,-12.97B,10.28B,2.826B,1.281B,4.107B,1.537B,15.92B,21.21B,,1.859B,,,1.859B,2.439B,4.298B,,493.00M,,493.00M,,,,4.791B,2.203B,,2.203B,1.251B,387.00M,2.248B,,846.00M,715.00M,6.012B,10.80B,,30.00M,9.125B,1.309B,40.00M,,-16.00M,10.41B,,AOR,Restated
2005-08,1.051B,1.051B,,3.27B,251.00M,164.00M,510.00M,,5.246B,,,22.65B,-12.67B,9.98B,2.835B,1.348B,4.183B,1.177B,15.34B,20.59B,,1.705B,,,1.705B,2.525B,4.23B,,295.00M,,295.00M,,,,4.525B,2.408B,,2.408B,1.149B,393.00M,2.171B,,841.00M,712.00M,6.132B,10.66B,,30.00M,8.678B,1.277B,44.00M,,-12.00M,9.929B,,AOR,Restated
2005-05,1.039B,1.039B,,3.297B,250.00M,173.00M,510.00M,,5.269B,,,22.02B,-12.37B,9.643B,2.835B,1.385B,4.22B,1.272B,15.14B,20.40B,,1.739B,,,1.739B,3.247B,4.986B,,369.00M,,369.00M,,,-621.00M,4.734B,2.427B,,2.427B,1.206B,400.00M,2.138B,,,1.517B,6.082B,10.82B,,30.00M,8.363B,1.241B,29.00M,,-17.00M,9.588B,,AOR,Restated
2005-02,1.084B,1.084B,,3.188B,245.00M,201.00M,554.00M,,5.272B,,,21.54B,-12.15B,9.391B,2.835B,1.529B,4.364B,1.348B,15.10B,20.38B,,1.685B,,,1.685B,2.522B,4.207B,,973.00M,,973.00M,,,,5.18B,2.441B,,2.441B,1.216B,407.00M,2.116B,,820.00M,696.00M,6.073B,11.25B,,30.00M,7.939B,1.193B,34.00M,,-6.00M,9.122B,,AOR,Restated
2004-11,939.00M,939.00M,,3.251B,256.00M,160.00M,527.00M,,5.133B,,,21.20B,-11.86B,9.346B,2.834B,1.457B,4.291B,1.267B,14.90B,20.04B,,1.703B,,,1.703B,2.436B,4.139B,,775.00M,,775.00M,,,,4.914B,2.74B,,2.74B,1.176B,414.00M,2.092B,,807.00M,688.00M,6.327B,11.24B,,30.00M,7.643B,1.164B,38.00M,,-3.00M,8.796B,,AOR,Restated
2004-08,1.388B,1.388B,,2.965B,244.00M,146.00M,528.00M,,5.271B,,,20.67B,-11.58B,9.092B,2.801B,1.17B,3.971B,1.045B,14.11B,19.38B,,1.481B,,,1.481B,2.347B,3.828B,,830.00M,,830.00M,,,,4.658B,2.744B,,2.744B,1.198B,422.00M,938.00M,,786.00M,1.864B,6.332B,10.99B,,30.00M,7.31B,1.129B,42.00M,,-38.00M,8.389B,,AOR,Restated
2004-05,1.046B,1.046B,,3.027B,249.00M,159.00M,489.00M,,4.97B,,,20.31B,-11.27B,9.037B,2.802B,1.198B,4.00B,1.127B,14.16B,19.13B,,1.615B,,1.615B,3.23B,2.442B,5.672B,,750.00M,,750.00M,,,-1.615B,4.807B,2.837B,,2.837B,1.106B,426.00M,2.035B,,768.00M,651.00M,6.291B,11.10B,,30.00M,7.001B,1.079B,28.00M,,-46.00M,8.036B,,AOR,Restated
2004-02,475.00M,475.00M,,3.00B,256.00M,206.00M,428.00M,,4.365B,,,20.05B,-11.04B,9.007B,3.236B,,3.236B,1.741B,13.98B,18.35B,,1.464B,,,1.464B,2.125B,3.589B,,2.077B,,2.077B,,,,5.666B,1.859B,,1.859B,901.00M,434.00M,1.836B,,749.00M,638.00M,5.082B,10.75B,,30.00M,6.61B,1.01B,32.00M,,-17.00M,7.601B,,AOR,Restated
2003-11,1.03B,1.03B,,2.758B,221.00M,133.00M,417.00M,,4.559B,,,19.61B,-10.79B,8.813B,1.063B,,1.063B,1.779B,11.66B,16.21B,,1.463B,,,1.463B,1.921B,3.384B,,332.00M,,332.00M,,,,3.716B,1.893B,,1.893B,914.00M,440.00M,1.841B,,733.00M,621.00M,5.088B,8.804B,,30.00M,6.439B,1.015B,54.00M,,-20.00M,7.41B,,AOR,Restated
2003-08,706.00M,706.00M,,2.625B,220.00M,126.00M,416.00M,,4.093B,,,19.20B,-10.51B,8.685B,1.063B,,1.063B,1.624B,11.37B,15.46B,,1.136B,,,1.136B,1.825B,2.961B,,280.00M,,280.00M,,,,3.241B,1.815B,,1.815B,917.00M,446.00M,1.802B,,681.00M,599.00M,4.897B,8.138B,,30.00M,6.349B,1.055B,67.00M,,-40.00M,7.327B,,AOR,Restated
2003-05,538.00M,538.00M,,2.627B,228.00M,132.00M,416.00M,,3.941B,,,19.02B,-10.32B,8.70B,1.063B,412.00M,1.475B,1.269B,11.44B,15.38B,,1.168B,,1.168B,2.336B,1.859B,4.195B,,308.00M,,308.00M,,,-1.168B,3.335B,1.709B,,1.709B,882.00M,455.00M,1.803B,,657.00M,593.00M,4.762B,8.097B,,30.00M,6.25B,1.088B,50.00M,,-30.00M,7.288B,,AOR,Restated
2003-02,186.00M,186.00M,,2.587B,229.00M,151.00M,433.00M,,3.586B,,,18.55B,-10.05B,8.506B,1.063B,,1.063B,1.691B,11.26B,14.85B,,1.124B,,,1.124B,1.842B,2.966B,,481.00M,,481.00M,,,,3.447B,1.526B,,1.526B,826.00M,462.00M,1.725B,,620.00M,500.00M,4.371B,7.818B,,30.00M,5.971B,1.106B,41.00M,,-38.00M,7.028B,,AOR,Restated
2002-11,519.00M,519.00M,,2.642B,236.00M,125.00M,441.00M,,3.963B,,,18.38B,-9.834B,8.542B,1.063B,,1.063B,915.00M,10.52B,14.48B,,1.207B,,,1.207B,1.978B,3.185B,,31.00M,,31.00M,,,,3.216B,1.775B,,1.775B,611.00M,,611.00M,,,1.985B,4.371B,7.587B,,30.00M,5.853B,1.117B,53.00M,,-51.00M,6.896B,,AOR,
2002-08,233.00M,233.00M,,2.55B,234.00M,245.00M,437.00M,,3.699B,,,18.08B,-9.558B,8.522B,1.063B,,1.063B,719.00M,10.30B,14.00B,,1.089B,,,1.089B,1.836B,2.925B,,127.00M,,127.00M,,,,3.052B,1.775B,,1.775B,559.00M,,559.00M,,,1.96B,4.294B,7.346B,,30.00M,5.608B,1.133B,63.00M,,-51.00M,6.657B,,AOR,
2002-05,331.00M,331.00M,,2.491B,251.00M,123.00M,469.00M,,3.665B,,,17.58B,-9.274B,8.302B,1.063B,,1.063B,782.00M,10.15B,13.81B,,1.133B,,1.133B,2.266B,1.714B,3.98B,,6.00M,,6.00M,,,-1.133B,2.853B,1.80B,,1.80B,599.00M,484.00M,1.50B,,599.00M,515.00M,4.414B,7.267B,,30.00M,5.465B,1.144B,41.00M,,-53.00M,6.545B,,AOR,Restated
2002-02,220.00M,220.00M,,2.433B,254.00M,129.00M,489.00M,,3.525B,,,17.36B,-9.017B,8.344B,1.027B,,1.027B,801.00M,10.17B,13.70B,,1.073B,,,1.073B,1.743B,2.816B,,288.00M,,288.00M,,,,3.104B,1.809B,,1.809B,561.00M,,561.00M,,,1.896B,4.266B,7.37B,,30.00M,5.277B,1.123B,37.00M,,-66.00M,6.327B,,AOR,
2001-11,248.00M,248.00M,,2.521B,255.00M,97.00M,529.00M,,3.65B,,,17.08B,-8.756B,8.326B,1.027B,,1.027B,688.00M,10.04B,13.69B,,1.171B,,,1.171B,1.77B,2.941B,,200.00M,,200.00M,,,,3.141B,1.896B,,1.896B,520.00M,,520.00M,,,1.881B,4.297B,7.438B,,30.00M,5.204B,1.121B,37.00M,,-65.00M,6.253B,,AOR,
2001-08,110.00M,110.00M,,2.498B,265.00M,104.00M,501.00M,,3.478B,,,16.78B,-8.502B,8.282B,1.027B,,1.027B,698.00M,10.01B,13.48B,,1.147B,,,1.147B,1.697B,2.844B,,205.00M,,205.00M,,,,3.049B,2.05B,,2.05B,509.00M,,509.00M,,,1.856B,4.415B,7.464B,,30.00M,4.979B,1.121B,52.00M,,-57.00M,6.021B,,AOR,
2001-05,121.00M,121.00M,,2.506B,269.00M,117.00M,488.00M,,3.501B,,,16.41B,-8.312B,8.10B,1.052B,,1.052B,739.00M,9.891B,13.39B,,1.256B,,1.256B,2.512B,1.773B,4.285B,,221.00M,,221.00M,,,-1.256B,3.25B,1.90B,,1.90B,508.00M,,508.00M,,,1.834B,4.242B,7.492B,,30.00M,4.88B,1.12B,74.00M,,-56.00M,5.90B,,AOR,Restated
2001-02,139.94M,139.94M,,2.707B,281.72M,116.94M,402.75M,,3.648B,,,16.39B,-8.397B,7.994B,1.098B,,1.098B,779.25M,9.871B,13.52B,,1.193B,,,1.193B,1.630B,2.823B,,42.78M,,42.78M,,,,2.865B,2.659B,,2.659B,439.35M,,439.35M,,,1.778B,4.876B,7.741B,,29.86M,4.771B,1.117B,91.14M,,-48.00M,5.779B,,AOR,
2000-11,654.78M,654.78M,,2.673B,281.91M,88.56M,349.97M,,4.049B,,,15.35B,-8.142B,7.210B,499.76M,,499.76M,728.70M,8.439B,12.49B,,1.288B,,,1.288B,1.708B,2.995B,,23.08M,,23.08M,,,,3.018B,2.230B,,2.230B,305.31M,,305.31M,,,1.786B,4.322B,7.340B,,29.86M,4.649B,1.079B,559.18M,,-51.53M,5.147B,,AOR,
2000-08,176.59M,176.59M,,2.588B,260.46M,74.58M,309.37M,,3.409B,,,15.02B,-7.902B,7.117B,494.88M,,494.88M,736.69M,8.349B,11.76B,,1.102B,,,1.102B,1.712B,2.814B,,23.07M,,23.07M,,,,2.837B,1.895B,,1.895B,306.00M,,306.00M,,,1.758B,3.959B,6.796B,,29.86M,4.461B,1.079B,572.62M,,-35.11M,4.962B,,AOR,
2000-05,68.00M,68.00M,,2.547B,255.00M,,318.00M,97.00M,3.285B,,,14.74B,-7.659B,7.084B,,501.00M,501.00M,657.00M,8.242B,11.53B,,1.121B,,,1.121B,,1.121B,,7.00M,,7.00M,,,1.764B,2.892B,1.776B,,1.776B,345.00M,,345.00M,,,1.729B,3.85B,6.742B,,30.00M,4.295B,1.079B,583.00M,,,4.785B,,AOR,Restated
2000-02,129.49M,129.49M,,2.488B,279.42M,108.52M,314.26M,,3.319B,,,14.84B,-7.851B,6.986B,466.16M,,466.16M,743.70M,8.196B,11.52B,,1.066B,,,1.066B,1.607B,2.672B,,251.23M,,251.23M,,,,2.924B,1.856B,,1.856B,327.22M,,327.22M,,,1.770B,3.953B,6.877B,,29.86M,4.054B,1.059B,464.74M,,-18.02M,4.639B,,AOR,
1999-11,517.89M,517.89M,,2.379B,277.56M,72.95M,322.13M,,3.569B,,,14.48B,-7.609B,6.869B,439.58M,,439.58M,659.80M,7.969B,11.54B,,1.120B,,,1.120B,1.672B,2.792B,,207.58M,,207.58M,,,,2.999B,1.850B,,1.850B,299.70M,,299.70M,,,1.749B,3.899B,6.898B,,29.86M,3.945B,1.065B,352.73M,,-23.05M,4.640B,,AOR,
1999-08,379.70M,379.70M,,2.144B,277.30M,,297.30M,54.20M,3.153B,,,14.09B,-7.403B,6.688B,,341.00M,341.00M,613.30M,7.643B,10.80B,,1.034B,,,1.034B,,1.034B,,2.60M,,2.60M,,,1.641B,2.678B,1.360B,,1.360B,287.60M,,287.60M,,,1.652B,3.299B,5.977B,,29.80M,3.775B,1.068B,,,,4.819B,,,
1999-05,325.32M,325.32M,,2.153B,291.92M,79.90M,290.72M,,3.141B,,,13.72B,-7.161B,6.559B,344.00M,,344.00M,603.96M,7.507B,10.65B,,1.134B,,,1.134B,1.636B,2.770B,,14.94M,,14.94M,,,,2.785B,1.360B,,1.360B,293.46M,,293.46M,,,1.547B,3.200B,5.985B,,29.80M,3.616B,1.061B,18.53M,,-24.69M,4.664B,,AOR,Restated
1999-02,139.10M,139.10M,,2.099B,305.00M,,252.30M,123.70M,2.919B,,,13.37B,-6.962B,6.403B,,347.00M,347.00M,527.10M,7.277B,10.20B,,996.70M,,,996.70M,,996.70M,,216.50M,,216.50M,,,1.502B,2.715B,1.362B,,1.362B,283.90M,,283.90M,,,1.430B,3.076B,5.791B,,14.90M,3.409B,1.029B,,-27.90M,-27.90M,4.405B,,,
1998-11,664.40M,664.40M,,2.103B,332.10M,,256.70M,56.30M,3.412B,,,13.20B,-6.928B,6.271B,,350.00M,350.00M,520.60M,7.142B,10.55B,,1.099B,,,1.099B,,1.099B,,536.60M,,536.60M,,,1.570B,3.206B,1.362B,,1.362B,271.80M,,271.80M,,,1.415B,3.048B,6.254B,,14.80M,3.332B,999.00M,,-23.40M,-23.40M,4.300B,,,
1998-08,195.20M,195.20M,,1.977B,351.10M,,245.50M,89.00M,2.858B,,,12.88B,-6.748B,6.133B,,353.10M,353.10M,505.60M,6.992B,9.849B,,1.032B,,,1.032B,,1.032B,,265.50M,,265.50M,,,1.494B,2.791B,1.371B,,1.371B,268.90M,,268.90M,,,1.325B,2.965B,5.756B,,14.70M,3.149B,994.50M,,-40.70M,-40.70M,4.093B,,,
1998-05,229.56M,229.56M,,1.943B,364.71M,109.64M,232.79M,,2.880B,,,12.46B,-6.529B,5.935B,356.27M,,356.27M,514.61M,6.806B,9.686B,,1.145B,,,1.145B,1.401B,2.546B,,257.53M,,257.53M,,,,2.804B,1.385B,,1.385B,274.15M,,274.15M,,,1.262B,2.921B,5.725B,,14.74M,2.999B,992.82M,18.41M,,-27.28M,3.961B,,AOR,Restated
1998-02,144.50M,144.50M,,1.988B,375.00M,,219.30M,112.00M,2.839B,,,12.03B,-6.343B,5.683B,,359.50M,359.50M,471.90M,6.515B,9.353B,,1.145B,174.00M,,1.319B,,1.319B,,273.50M,,273.50M,,,923.40M,2.516B,1.500B,,1.500B,227.60M,,227.60M,,92.70M,1.238B,3.058B,5.574B,,14.70M,,,,,,3.779B,,,
1997-11,193.20M,193.20M,,1.747B,351.80M,,168.40M,41.60M,2.502B,,,10.33B,-5.486B,4.846B,,357.80M,357.80M,420.00M,5.624B,8.126B,,867.60M,153.30M,,1.021B,,1.021B,,274.50M,,274.50M,,,806.80M,2.102B,1.287B,,1.287B,169.50M,,169.50M,,152.30M,1.206B,2.814B,4.916B,,11.50M,,,,,,3.210B,,,
1997-08,209.80M,209.80M,,1.771B,323.50M,,157.60M,52.50M,2.514B,,,10.08B,-5.372B,4.712B,,361.60M,361.60M,431.40M,5.505B,8.019B,,841.80M,241.50M,,1.083B,,1.083B,,148.40M,,148.40M,,,804.10M,2.036B,1.438B,,1.438B,170.20M,,170.20M,,104.50M,1.167B,2.880B,4.916B,,11.50M,,,,,,3.103B,,,
1997-05,160.90M,160.90M,,1.878B,339.40M,,197.00M,68.40M,2.644B,,,11.39B,-5.918B,5.470B,,370.30M,370.30M,559.90M,6.401B,9.044B,,1.077B,143.50M,,1.221B,,1.221B,,356.60M,,356.60M,,,893.20M,2.471B,1.598B,,1.598B,181.80M,,181.80M,,108.70M,1.184B,3.072B,5.543B,,14.80M,2.622B,938.00M,73.10M,,,3.501B,,,
1997-02,100.30M,100.30M,,1.513B,284.60M,,132.30M,45.50M,2.076B,,,9.474B,-5.028B,4.447B,,369.00M,369.00M,470.80M,5.287B,7.362B,,832.80M,120.50M,,953.30M,,953.30M,,11.00M,,11.00M,,,701.90M,1.666B,1.540B,,1.540B,127.10M,,127.10M,,62.50M,1.150B,2.879B,4.545B,,11.40M,,,,,,2.817B,,,
1996-11,111.70M,111.70M,,1.399B,246.60M,,111.50M,40.70M,1.909B,,,9.263B,-4.880B,4.384B,,372.90M,372.90M,416.70M,5.173B,7.082B,,772.90M,145.70M,,918.60M,,918.60M,,10.00M,,10.00M,,,711.40M,1.64B,1.331B,,1.331B,97.50M,,97.50M,,98.00M,1.164B,2.691B,4.331B,,11.40M,,,,,,2.752B,,,
1996-08,154.90M,154.90M,,1.292B,236.70M,,98.20M,30.40M,1.812B,,,8.938B,-4.736B,4.202B,,376.90M,376.90M,439.30M,5.018B,6.830B,,741.70M,138.00M,,879.70M,,879.70M,,7.90M,,7.90M,,,715.30M,1.603B,1.318B,,1.318B,64.70M,,64.70M,,67.10M,1.136B,2.585B,4.188B,,5.70M,,,,,,2.642B,,,
1996-05,93.40M,93.40M,,1.272B,222.10M,,92.60M,48.60M,1.728B,,,8.678B,-4.562B,4.117B,,380.70M,380.70M,473.40M,4.971B,6.699B,,705.50M,153.90M,,859.40M,,859.40M,,8.00M,,8.00M,,,639.10M,1.506B,1.325B,,1.325B,64.00M,,64.00M,,111.90M,1.115B,2.616B,4.123B,,5.70M,1.767B,815.10M,11.30M,,,2.576B,,,
1996-02,104.00M,104.00M,,1.272B,217.00M,,101.00M,57.10M,1.751B,,,8.455B,-4.402B,4.053B,,384.70M,384.70M,503.80M,4.942B,6.693B,,683.60M,148.30M,,831.90M,,831.90M,,181.00M,,181.00M,,,677.20M,1.690B,1.327B,,1.327B,36.00M,,36.00M,,86.20M,1.101B,2.551B,4.241B,,5.70M,,,,,,2.452B,,,
1995-11,115.10M,115.10M,,1.284B,210.40M,,110.40M,28.00M,1.747B,,,8.295B,-4.274B,4.021B,,388.60M,388.60M,477.50M,4.887B,6.635B,,652.10M,135.20M,,787.30M,,787.30M,,181.00M,,181.00M,,,689.00M,1.657B,1.336B,,1.336B,52.10M,,52.10M,,88.00M,1.081B,2.557B,4.214B,,5.70M,,,,,,2.420B,,,
1995-08,206.80M,206.80M,,1.193B,194.80M,,113.50M,22.40M,1.730B,,,7.976B,-4.126B,3.849B,,392.90M,392.90M,520.90M,4.763B,6.494B,,603.40M,130.70M,,734.10M,,734.10M,,256.50M,,256.50M,,,669.10M,1.660B,1.319B,,1.319B,55.50M,,55.50M,,77.30M,1.057B,2.509B,4.168B,,5.60M,,,,,,2.325B,,,
1995-05,357.50M,357.50M,,1.130B,193.30M,,,188.00M,1.869B,,,7.698B,-3.982B,3.715B,,397.30M,397.30M,451.80M,4.564B,6.433B,,618.60M,,,618.60M,,618.60M,,255.40M,,255.40M,,,776.50M,1.650B,1.325B,,1.325B,56.00M,,56.00M,,,1.157B,2.537B,4.188B,,5.60M,1.466B,775.30M,1.70M,,,2.246B,,,
1995-02,259.20M,259.20M,,1.141B,175.10M,,112.10M,68.80M,1.756B,,,7.397B,-3.840B,3.557B,,400.80M,400.80M,421.60M,4.380B,6.136B,,546.00M,182.30M,,728.30M,,728.30M,,80.50M,,80.50M,,,608.40M,1.417B,1.449B,,1.449B,5.40M,,5.40M,,97.60M,1.022B,2.575B,3.992B,,5.60M,,,,,,2.144B,,,
1994-11,246.00M,246.00M,,1.153B,174.80M,,113.40M,59.00M,1.746B,,,7.235B,-3.701B,3.534B,,406.70M,406.70M,365.80M,4.306B,6.052B,,530.40M,174.80M,,705.20M,,705.20M,,80.50M,,80.50M,,,617.80M,1.404B,1.470B,,1.470B,2.00M,,2.00M,,105.30M,989.40M,2.567B,3.971B,,5.60M,,,,,,2.081B,,,
1994-08,415.80M,415.80M,,1.038B,173.10M,,118.90M,57.10M,1.802B,,,7.040B,-3.557B,3.484B,,410.80M,410.80M,375.80M,4.270B,6.073B,,487.20M,190.20M,,677.40M,,677.40M,,193.20M,,193.20M,,,623.90M,1.494B,1.588B,,1.588B,7.10M,,7.10M,,54.40M,937.50M,2.587B,4.082B,,5.60M,,,,,,1.991B,,,
1994-05,392.90M,392.90M,,1.020B,174.00M,,113.00M,61.30M,1.762B,,,6.890B,-3.441B,3.449B,,415.20M,415.20M,366.50M,4.231B,5.992B,,518.80M,130.80M,,649.60M,,649.60M,,198.20M,,198.20M,,,602.30M,1.450B,1.632B,,1.632B,3.60M,,3.60M,,86.40M,895.50M,2.618B,4.068B,,5.60M,1.162B,759.20M,2.30M,,,1.925B,,,
1994-02,229.60M,229.60M,,1.016B,159.40M,,139.80M,54.00M,1.599B,,,6.993B,-3.566B,3.427B,,419.60M,419.60M,406.40M,4.253B,5.852B,,494.20M,130.70M,,624.90M,,624.90M,,198.20M,,198.20M,,,563.30M,1.386B,1.673B,,1.673B,913.60M,,913.60M,,43.40M,,2.630B,4.017B,,5.60M,,,,,,1.835B,,,
1993-11,359.30M,359.30M,,987.60M,156.90M,,138.40M,51.20M,1.693B,,,6.954B,-3.487B,3.467B,,423.70M,423.70M,374.50M,4.265B,5.959B,,486.50M,117.70M,,604.20M,,604.20M,,302.30M,,302.30M,,,607.10M,1.514B,1.670B,,1.670B,873.90M,,873.90M,,120.20M,0.10M,2.664B,4.178B,,5.50M,,,,,,1.781B,,,
