,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-11,20.56B,20.56B,16.23B,4.331B,,,,,0.00,,-184.00M,2.866B,2.866B,1.465B,,-184.00M,125.00M,-184.00M,1.406B,180.00M,1.226B,,,1.226B,1.226B,2.401B,936.00M,1.465B,,4.64,,,4.64,4.64,,4.55,,,4.55,4.55,,264.00M,269.00M,0.65,,AOR,
2020-08,19.32B,19.32B,15.06B,4.259B,,,,,,,-184.00M,2.669B,2.669B,1.59B,,-184.00M,200.00M,-184.00M,1.606B,361.00M,1.245B,,,1.245B,1.245B,2.516B,926.00M,1.59B,,4.75,,,4.75,4.75,,4.72,,,4.72,4.72,,262.00M,263.00M,0.65,,AOR,
2020-05,17.36B,17.36B,13.89B,3.464B,,,,,-369.00M,,-174.00M,2.62B,2.62B,844.00M,,-174.00M,-989.00M,-174.00M,-319.00M,15.00M,-334.00M,,,-334.00M,-64.63M,1.26B,927.00M,333.00M,,-1.280,,,-0.2476,-1.280,,-1.28,,,-0.2519,-1.28,,261.00M,262.00M,0.00,,AOR,
2020-02,17.49B,17.49B,14.38B,3.112B,,,,,0.00,,-155.00M,2.701B,2.701B,411.00M,,-155.00M,164.00M,-155.00M,420.00M,105.00M,315.00M,,,315.00M,315.00M,1.319B,908.00M,411.00M,,1.21,,,1.21,1.21,,1.20,,,1.20,1.20,,261.00M,262.00M,0.65,,AOR,
2019-11,17.32B,17.32B,14.05B,3.272B,,,,,-66.00M,,-151.00M,2.652B,2.652B,620.00M,,-151.00M,103.00M,-151.00M,572.00M,12.00M,560.00M,,,560.00M,624.61M,1.521B,901.00M,620.00M,,2.15,,,2.398,2.15,,2.13,,,2.377,2.13,,261.00M,262.00M,0.65,,AOR,Restated
2019-08,17.05B,17.05B,13.55B,3.496B,,,,,,,-137.00M,2.519B,2.519B,977.00M,,-137.00M,156.00M,-137.00M,996.00M,251.00M,745.00M,,,745.00M,745.00M,1.856B,879.00M,977.00M,,2.86,,,2.86,2.86,,2.84,,,2.84,2.84,,260.00M,262.00M,1.30,,AOR,Restated
2019-05,17.81B,17.81B,13.60B,4.205B,,,,,-316.00M,,-136.00M,2.573B,2.573B,1.632B,,-136.00M,-4.05B,-136.00M,-2.554B,-585.00M,-1.969B,,,-1.969B,-1.725B,-1.045B,866.00M,-1.911B,,-7.550,,,-6.620,-7.550,,-7.56,,,-6.630,-7.56,,262.00M,262.00M,0.65,,AOR,Restated
2019-02,17.01B,17.01B,13.61B,3.398B,,,,,-4.00M,,-135.00M,2.483B,2.483B,915.00M,,-135.00M,151.00M,-135.00M,931.00M,192.00M,739.00M,,,739.00M,742.18M,1.766B,851.00M,915.00M,,2.83,,,2.842,2.83,,2.80,,,2.812,2.80,,261.00M,263.00M,0.00,,AOR,Restated
2018-11,17.82B,17.82B,14.07B,3.751B,,,,,0.00,,-131.00M,2.583B,2.583B,1.168B,,-131.00M,140.00M,-131.00M,1.177B,242.00M,935.00M,,,935.00M,935.00M,1.996B,828.00M,1.168B,,3.56,,,3.56,3.56,,3.51,,,3.51,3.51,,262.00M,266.00M,0.65,,AOR,Restated
2018-08,17.05B,17.05B,13.58B,3.473B,,,,,,,-127.00M,2.402B,2.402B,1.071B,,-127.00M,157.00M,-127.00M,1.101B,266.00M,835.00M,,,835.00M,835.00M,1.879B,808.00M,1.071B,,3.15,,,3.15,3.15,,3.10,,,3.10,3.10,,265.00M,269.00M,1.30,,AOR,Restated
2018-05,17.31B,17.31B,13.23B,4.085B,,,,,-380.00M,,-147.00M,2.377B,2.377B,1.708B,,-147.00M,-203.00M,-147.00M,1.358B,231.00M,1.127B,,,1.127B,1.442B,2.769B,802.00M,1.967B,,4.238,,,5.433,4.238,,4.15,,,5.309,4.15,,264.00M,272.00M,0.50,,AOR,Restated
2018-02,16.53B,16.53B,13.26B,3.266B,,,,,0.00,,-125.00M,2.408B,2.408B,858.00M,,-125.00M,141.00M,-125.00M,874.00M,-1.20B,2.074B,,,2.074B,2.074B,1.644B,786.00M,858.00M,,7.74,,,7.74,7.74,,7.59,,,7.59,7.59,,268.00M,273.00M,0.50,,AOR,Restated
2017-11,16.31B,16.31B,12.80B,3.51B,,,,,,,-124.00M,2.395B,2.395B,1.115B,,-124.00M,148.00M,-124.00M,1.139B,364.00M,775.00M,,,775.00M,775.00M,1.871B,756.00M,1.115B,,2.89,,,2.89,2.89,,2.84,,,2.84,2.84,,268.00M,272.00M,0.50,,AOR,Restated
2017-08,15.30B,15.30B,12.06B,3.241B,,,,,,,-114.00M,2.27B,2.27B,971.00M,,-114.00M,125.00M,-114.00M,982.00M,386.00M,596.00M,,,596.00M,596.00M,1.722B,751.00M,971.00M,,2.22,,,2.22,2.22,,2.19,,,2.19,2.19,,268.00M,272.00M,0.50,,AOR,Restated
2017-05,15.73B,15.73B,12.30B,3.43B,,,,,,,-125.00M,2.32B,2.32B,1.11B,,-125.00M,475.00M,-125.00M,1.46B,440.00M,1.02B,,,1.02B,1.02B,2.389B,754.00M,1.635B,,3.802,,,3.802,3.802,,3.75,,,3.75,3.75,,266.00M,270.00M,0.40,,AOR,Restated
2017-02,15.00B,15.00B,11.81B,3.185B,,,,,,,-122.00M,2.16B,2.16B,1.025B,,-122.00M,-4.00M,-122.00M,899.00M,337.00M,562.00M,,,562.00M,562.00M,1.787B,762.00M,1.025B,,2.11,,,2.11,2.11,,2.07,,,2.07,2.07,,266.00M,271.00M,0.40,,AOR,Restated
2016-11,14.93B,14.93B,11.56B,3.368B,,,,,,,-119.00M,2.201B,2.201B,1.167B,,-119.00M,30.00M,-119.00M,1.078B,378.00M,700.00M,,,700.00M,700.00M,1.907B,740.00M,1.167B,,2.63,,,2.63,2.63,,2.59,,,2.59,2.59,,266.00M,270.00M,0.40,,AOR,Restated
2016-08,14.66B,14.66B,11.33B,3.335B,,,,,,,-113.00M,2.071B,2.071B,1.264B,,-113.00M,-9.00M,-113.00M,1.142B,427.00M,715.00M,,,715.00M,715.00M,2.003B,739.00M,1.264B,,2.69,,,2.69,2.69,,2.65,,,2.65,2.65,,265.00M,269.00M,0.40,,AOR,Restated
