,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-11,1.226B,,52.00M,52.00M,,936.00M,936.00M,,0.00,46.00M,951.00M,-713.00M,,43.00M,-26.00M,-84.00M,-780.00M,,2.579B,,-1.402B,,,,8.00M,-1.394B,,-19.00M,0.00,-19.00M,349.00M,0.00,349.00M,-171.00M,-171.00M,-11.00M,148.00M,,6.954B,1.333B,52.00M,8.339B,,349.00M,11.00M,-30.00M,0.00,,,,AOR,
2020-08,1.245B,,,,,926.00M,926.00M,,,75.00M,531.00M,-387.00M,,198.00M,-30.00M,-50.00M,-269.00M,,2.651B,,-1.424B,,,,6.00M,-1.418B,,914.00M,,914.00M,82.00M,0.00,82.00M,-170.00M,-170.00M,-1.00M,825.00M,,4.881B,2.058B,15.00M,6.954B,,82.00M,959.00M,-45.00M,0.00,,,,AOR,
2020-05,-334.00M,,794.00M,794.00M,,927.00M,927.00M,-1.758B,369.00M,31.00M,2.246B,-827.00M,,825.00M,-59.00M,-745.00M,-806.00M,,1.819B,,-1.163B,,,,7.00M,-1.156B,,2.96B,-298.00M,2.662B,26.00M,0.00,26.00M,-170.00M,-170.00M,-4.00M,2.514B,,1.766B,3.177B,-62.00M,4.881B,,26.00M,4.165B,-1.503B,0.00,,,,AOR,
2020-02,315.00M,,,,,908.00M,908.00M,1.758B,0.00,33.00M,-961.00M,180.00M,,-921.00M,162.00M,-154.00M,-733.00M,,1.204B,,-1.439B,,,,11.00M,-1.428B,,-24.00M,148.00M,124.00M,12.00M,0.00,12.00M,-170.00M,-170.00M,0.00,-34.00M,,2.031B,-258.00M,-7.00M,1.766B,,12.00M,148.00M,-24.00M,0.00,,,,AOR,
2019-11,560.00M,,0.00,0.00,,901.00M,901.00M,,66.00M,37.00M,470.00M,-417.00M,,-154.00M,-44.00M,-13.00M,-628.00M,,1.509B,,-1.848B,,,,5.00M,-1.843B,,-36.00M,150.00M,114.00M,14.00M,0.00,14.00M,-169.00M,-169.00M,0.00,-41.00M,,2.389B,-375.00M,17.00M,2.031B,,14.00M,150.00M,-36.00M,0.00,,,,AOR,Restated
2019-08,745.00M,,,,,879.00M,879.00M,,,67.00M,694.00M,-267.00M,,-1.537B,-118.00M,-3.00M,-1.925B,,565.00M,,-1.418B,,,,-1.00M,-1.419B,,1.108B,,1.108B,12.00M,-3.00M,9.00M,-170.00M,-170.00M,-5.00M,942.00M,,2.319B,88.00M,-18.00M,2.389B,,12.00M,2.093B,-985.00M,-3.00M,,,,AOR,Restated
2019-05,-1.969B,,,,,866.00M,866.00M,-250.00M,0.00,33.00M,-273.00M,-93.00M,,736.00M,,-824.00M,-206.00M,,2.29B,,-1.733B,,,,21.00M,-1.778B,,-562.00M,-220.00M,-782.00M,43.00M,-115.00M,-72.00M,-169.00M,-169.00M,-9.00M,-1.032B,,2.872B,-520.00M,-33.00M,2.319B,,43.00M,-220.00M,-562.00M,-115.00M,,,,AOR,Restated
2019-02,739.00M,,,,,851.00M,851.00M,14.00M,0.00,33.00M,33.00M,563.00M,,-1.08B,,-37.00M,-554.00M,,1.144B,,-1.123B,,,,9.00M,-1.114B,,1.141B,-28.00M,1.113B,13.00M,-94.00M,-81.00M,-341.00M,-341.00M,4.00M,695.00M,,2.123B,725.00M,24.00M,2.872B,,13.00M,1.202B,-89.00M,-94.00M,,,,AOR,Restated
2018-11,935.00M,,,,,828.00M,828.00M,213.00M,0.00,40.00M,40.00M,-963.00M,,357.00M,,-10.00M,-616.00M,,1.478B,,-1.455B,,,,-25.00M,-1.48B,,450.00M,-51.00M,399.00M,20.00M,-646.00M,-626.00M,0.00,0.00,-3.00M,-230.00M,,2.369B,-232.00M,-14.00M,2.123B,,20.00M,1.182B,-783.00M,-646.00M,,,,AOR,Restated
2018-08,835.00M,,,,,808.00M,808.00M,23.00M,,68.00M,68.00M,-380.00M,,-584.00M,,-151.00M,-1.115B,,701.00M,,-1.179B,,,,78.00M,-1.101B,,-2.00M,299.00M,297.00M,25.00M,-625.00M,-600.00M,-173.00M,-173.00M,4.00M,-472.00M,,3.265B,-872.00M,-24.00M,2.369B,,25.00M,299.00M,-2.00M,-625.00M,,,,AOR,Restated
2018-05,1.127B,,,,,802.00M,802.00M,914.00M,,32.00M,-366.00M,-63.00M,,2.922B,,-2.21B,514.00M,,3.512B,,-1.669B,,,-12.00M,21.00M,-1.66B,,-8.00M,-797.00M,-805.00M,43.00M,-459.00M,-416.00M,-133.00M,-133.00M,4.00M,-1.35B,,2.789B,502.00M,-26.00M,3.265B,,43.00M,-798.00M,-7.00M,-459.00M,,,,AOR,Restated
2018-02,2.074B,,,,,786.00M,786.00M,-1.241B,,32.00M,32.00M,-3.00M,,-2.217B,,172.00M,-2.048B,,-336.00M,,-1.373B,,,0.00,9.00M,-1.364B,,1.478B,547.00M,2.025B,79.00M,-288.00M,-209.00M,-134.00M,-134.00M,3.00M,1.685B,,2.768B,-15.00M,36.00M,2.789B,,79.00M,2.028B,-3.00M,-288.00M,,,,AOR,Restated
2017-11,775.00M,,,,,756.00M,756.00M,230.00M,,41.00M,41.00M,-712.00M,,-24.00M,,-214.00M,-950.00M,,908.00M,,-1.577B,,,-44.00M,6.00M,-1.615B,,-16.00M,250.00M,234.00M,55.00M,-184.00M,-129.00M,-134.00M,-134.00M,9.00M,-20.00M,,3.503B,-727.00M,-8.00M,2.768B,,55.00M,250.00M,-16.00M,-184.00M,,,,AOR,Restated
2017-08,596.00M,,,,,751.00M,751.00M,97.00M,,62.00M,62.00M,-271.00M,,-540.00M,,-165.00M,-976.00M,,590.00M,,-1.044B,,,,6.00M,-1.038B,,-12.00M,0.00,-12.00M,150.00M,-86.00M,64.00M,-134.00M,-134.00M,-6.00M,-88.00M,,3.969B,-536.00M,70.00M,3.503B,,150.00M,0.00,-12.00M,-86.00M,,,,AOR,Restated
2017-05,1.02B,0.00,,-24.00M,,754.00M,754.00M,435.00M,,31.00M,31.00M,-216.00M,,1.745B,,-1.559B,48.00M,,2.285B,,-1.326B,,,0.00,12.00M,-1.314B,,-33.00M,,-33.00M,72.00M,-151.00M,-79.00M,-107.00M,-107.00M,16.00M,-203.00M,,3.173B,768.00M,28.00M,3.969B,,72.00M,0.00,-33.00M,-151.00M,,,,AOR,Restated
2017-02,562.00M,0.00,,0.00,,762.00M,762.00M,154.00M,,30.00M,30.00M,173.00M,,-1.709B,,-1.00M,-1.537B,,10.00M,,-1.109B,,,0.00,23.00M,-1.086B,,1.184B,0.00,1.184B,101.00M,-24.00M,77.00M,-106.00M,-106.00M,7.00M,1.162B,,3.059B,86.00M,28.00M,3.173B,,101.00M,1.19B,-6.00M,-24.00M,,,,AOR,Restated
2016-11,700.00M,-35.00M,,-35.00M,,740.00M,740.00M,147.00M,,36.00M,36.00M,-533.00M,,820.00M,,-248.00M,39.00M,,1.664B,,-1.466B,,,0.00,91.00M,-1.375B,,-31.00M,0.00,-31.00M,124.00M,-112.00M,12.00M,-107.00M,-107.00M,8.00M,-118.00M,,2.989B,171.00M,-101.00M,3.059B,,124.00M,0.00,-31.00M,-112.00M,,,,AOR,Restated
2016-08,715.00M,,,,,739.00M,739.00M,173.00M,,57.00M,57.00M,20.00M,,-753.00M,,-19.00M,-752.00M,,971.00M,,-1.215B,,,,9.00M,-1.206B,,-12.00M,,-12.00M,40.00M,-222.00M,-182.00M,-106.00M,-106.00M,-13.00M,-313.00M,,3.534B,-548.00M,3.00M,2.989B,,40.00M,,-12.00M,-222.00M,,,,AOR,Restated
2016-05,-70.00M,,,,,667.00M,667.00M,-257.00M,,29.00M,29.00M,-121.00M,,613.00M,,-244.00M,14.00M,,1.912B,,-1.256B,,,,7.00M,-5.867B,,5.268B,,5.268B,104.00M,-589.00M,-485.00M,-67.00M,-67.00M,-44.00M,4.672B,,2.841B,717.00M,-24.00M,3.534B,,104.00M,5.281B,-13.00M,-589.00M,,,,AOR,Restated
2016-02,507.00M,,,,,663.00M,663.00M,336.00M,,29.00M,29.00M,185.00M,,-212.00M,,-199.00M,-226.00M,,1.342B,,-1.00B,,,,-29.00M,-1.029B,,-11.00M,,-11.00M,17.00M,-1.032B,-1.015B,-69.00M,-69.00M,1.00M,-1.094B,,3.647B,-781.00M,-25.00M,2.841B,,17.00M,0.00,-11.00M,-1.032B,,,,AOR,Restated
2015-11,691.00M,,,,,653.00M,653.00M,-68.00M,,33.00M,33.00M,-313.00M,,217.00M,,-29.00M,-125.00M,,1.213B,,-1.353B,,,,2.00M,-1.351B,,1.236B,,1.236B,16.00M,-911.00M,-895.00M,-70.00M,-70.00M,-14.00M,257.00M,,3.543B,119.00M,-15.00M,3.647B,,16.00M,1.238B,-2.00M,-911.00M,,,,AOR,Restated
2015-08,692.00M,,,,,648.00M,648.00M,20.00M,,53.00M,53.00M,50.00M,,-151.00M,,-99.00M,-200.00M,,1.241B,,-1.209B,,,,10.00M,-1.199B,,-15.00M,,-15.00M,46.00M,-190.00M,-144.00M,-71.00M,-71.00M,6.00M,-224.00M,,3.763B,-182.00M,-38.00M,3.543B,,46.00M,,-15.00M,-190.00M,,,,AOR,Restated
2015-05,-894.00M,,,,,657.00M,657.00M,-792.00M,,27.00M,273.00M,-192.00M,,1.258B,,-665.00M,426.00M,,1.893B,,-1.378B,,,0.00,8.00M,-1.37B,,-4.00M,,-4.00M,48.00M,-238.00M,-190.00M,-56.00M,-56.00M,16.00M,-234.00M,,3.478B,289.00M,-4.00M,3.763B,,48.00M,0.00,-4.00M,-238.00M,,,,AOR,Restated
2015-02,628.00M,,,,,652.00M,652.00M,257.00M,,27.00M,27.00M,117.00M,,-398.00M,,5.00M,-276.00M,,1.322B,,-1.079B,,,-1.429B,9.00M,-2.499B,,2.491B,,2.491B,83.00M,-69.00M,14.00M,-57.00M,-57.00M,-15.00M,2.433B,,2.266B,1.256B,-44.00M,3.478B,,83.00M,2.491B,0.00,-69.00M,,,,AOR,Restated
2014-11,663.00M,,,,,651.00M,651.00M,-15.00M,,31.00M,31.00M,-231.00M,,56.00M,,-29.00M,-204.00M,,1.169B,,-1.17B,,,,3.00M,-1.167B,,-1.00M,,-1.00M,92.00M,-156.00M,-64.00M,-57.00M,-57.00M,13.00M,-109.00M,,2.416B,-107.00M,-43.00M,2.266B,,92.00M,0.00,-1.00M,-156.00M,,,,AOR,Restated
