,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,1.153B,-1.00M,,-440.00M,-71.00M,-512.00M,182.00M,182.00M,,0.00,0.00,-57.00M,,,,,-695.00M,323.00M,1.296B,,-69.00M,-69.00M,-154.00M,-183.00M,,-285.00M,,0.00,,0.00,,-916.00M,-916.00M,,288.00M,0.00,-169.00M,-26.00M,-195.00M,2.00M,-79.00M,-1.188B,,547.00M,-177.00M,370.00M,,,,0.00,0.00,-628.00M,,AOR,
2020-06,1.25B,-1.00M,,-704.00M,73.00M,-632.00M,163.00M,163.00M,,0.00,0.00,-25.00M,,,,,498.00M,868.00M,1.849B,,-101.00M,-101.00M,-42.00M,-867.00M,,-1.026B,,0.00,,0.00,,-407.00M,-407.00M,,0.00,0.00,-172.00M,-27.00M,-199.00M,44.00M,-52.00M,-614.00M,,338.00M,209.00M,547.00M,,,,0.00,0.00,-407.00M,,AOR,
2020-03,549.00M,-1.00M,,462.00M,318.00M,779.00M,155.00M,155.00M,,,,50.00M,,,,,250.00M,-588.00M,1.027B,,-65.00M,-65.00M,392.00M,-235.00M,,68.00M,,,,,,-414.00M,-414.00M,,-288.00M,-288.00M,-159.00M,-29.00M,-188.00M,8.00M,-213.00M,-1.095B,,338.00M,0.00,338.00M,,,,,,-702.00M,,AOR,
2019-12,1.773B,-3.00M,,-702.00M,-251.00M,-956.00M,171.00M,171.00M,,51.00M,51.00M,246.00M,,,,,364.00M,42.00M,1.234B,,-140.00M,-140.00M,-144.00M,837.00M,,428.00M,,0.00,,0.00,,-799.00M,-799.00M,,-1.132B,-840.00M,-163.00M,-42.00M,-205.00M,22.00M,-89.00M,-1.911B,,587.00M,-249.00M,338.00M,,,,0.00,0.00,-1.931B,,AOR,
2019-09,931.00M,0.00,,-197.00M,225.00M,28.00M,159.00M,159.00M,,0.00,0.00,-251.00M,,,,,419.00M,546.00M,1.833B,,-120.00M,-120.00M,-151.00M,-1.815B,,-2.093B,,-1.00M,,-1.00M,,-604.00M,-604.00M,,,1.122B,-166.00M,-31.00M,-197.00M,54.00M,-126.00M,248.00M,,599.00M,-12.00M,587.00M,,,,-1.00M,0.00,-604.00M,,AOR,Restated
2019-06,851.00M,-2.00M,,-324.00M,125.00M,-201.00M,160.00M,160.00M,,55.00M,55.00M,-114.00M,,,,,-239.00M,327.00M,1.348B,,-93.00M,-93.00M,-240.00M,-539.00M,,-879.00M,,175.00M,,175.00M,,-332.00M,-332.00M,,0.00,0.00,-166.00M,-30.00M,-196.00M,49.00M,-117.00M,-421.00M,,551.00M,48.00M,599.00M,,,,492.00M,-317.00M,-332.00M,,AOR,Restated
2019-03,1.292B,-1.00M,,-662.00M,15.00M,-648.00M,157.00M,157.00M,,,,140.00M,,,,,-107.00M,-249.00M,714.00M,,-80.00M,-80.00M,-59.00M,-114.00M,,-263.00M,,,,,,0.00,0.00,,0.00,0.00,-158.00M,-31.00M,-189.00M,-5.00M,-205.00M,-399.00M,,499.00M,52.00M,551.00M,,,,,,0.00,,AOR,Restated
2018-12,-542.00M,-2.00M,,894.00M,500.00M,1.392B,135.00M,135.00M,,0.00,0.00,-527.00M,,,,,318.00M,207.00M,1.357B,,-82.00M,-82.00M,-636.00M,1.533B,,737.00M,,1.00M,,1.00M,,-1.241B,-1.241B,0.00,,-385.00M,-159.00M,-37.00M,-196.00M,7.00M,-241.00M,-2.055B,,460.00M,39.00M,499.00M,,,0.00,0.00,1.00M,-1.626B,,AOR,Restated
2018-09,979.00M,-1.00M,,-176.00M,-39.00M,-216.00M,128.00M,128.00M,,0.00,0.00,-331.00M,,,,,442.00M,674.00M,1.728B,,-67.00M,-67.00M,-136.00M,-886.00M,,-1.145B,,0.00,,0.00,,-224.00M,-224.00M,0.00,,0.00,-160.00M,-39.00M,-199.00M,38.00M,-227.00M,-612.00M,,489.00M,-29.00M,460.00M,,,0.00,0.00,0.00,-224.00M,,AOR,Restated
2018-06,717.00M,-2.00M,,25.00M,-7.00M,16.00M,126.00M,126.00M,,0.00,0.00,-124.00M,,,,,-103.00M,440.00M,1.464B,,-66.00M,-66.00M,-334.00M,195.00M,,-60.00M,,-401.00M,,-401.00M,,-568.00M,-568.00M,-1.00M,,-1.00M,-163.00M,-29.00M,-192.00M,18.00M,-221.00M,-1.365B,,450.00M,39.00M,489.00M,,,-1.00M,0.00,-401.00M,-568.00M,,AOR,Restated
