,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,378.45M,378.45M,143.63M,,,143.63M,,556.02M,,,,,287.83M,,287.83M,,287.83M,,188.80M,188.80M,467.16M,,,67.91M,261.45M,10.38B,10.94B,,302.36M,302.36M,302.36M,,264.68M,,264.68M,264.68M,,567.04M,3.658B,220.39M,3.879B,,73.24M,432.92M,4.312B,4.879B,,1.697M,-1.766B,7.768B,,,-18.62M,5.985B,,AOR,
2020-09,276.55M,276.55M,141.31M,,17.83M,159.14M,4.325M,491.34M,,,,6.385M,288.14M,,294.52M,,294.52M,174.79M,201.47M,376.27M,526.30M,,0.00,73.56M,,10.50B,10.99B,,222.38M,222.38M,222.38M,,,,,,,222.38M,3.989B,220.08M,4.209B,,73.53M,442.53M,4.651B,4.874B,,1.697M,-1.703B,7.789B,24.69M,,-23.22M,6.040B,,AOR,
2020-06,583.42M,583.42M,156.74M,,29.49M,186.23M,3.933M,801.40M,,,,6.568M,289.74M,,296.31M,,296.31M,174.83M,215.38M,390.21M,524.18M,,0.00,76.95M,,10.58B,11.39B,,223.99M,223.99M,223.99M,,,,,,,223.99M,4.293B,221.04M,4.514B,,75.22M,450.78M,4.965B,5.189B,,1.697M,-1.615B,7.785B,24.60M,,-25.14M,6.122B,,AOR,
2020-03,733.25M,733.25M,148.06M,,,148.06M,3.595M,912.79M,,,,6.868M,290.99M,,297.86M,,297.86M,174.83M,228.82M,403.65M,534.80M,,0.00,81.25M,,10.66B,11.57B,,194.84M,194.84M,194.84M,,,,,,,194.84M,4.415B,221.70M,4.637B,,75.81M,461.68M,5.098B,5.293B,,1.696M,-1.533B,7.780B,23.90M,,-25.53M,6.199B,,AOR,
2019-12,115.56M,115.56M,131.99M,,37.34M,169.34M,,330.46M,,,,7.098M,292.79M,,299.88M,,299.88M,307.43M,242.82M,550.26M,519.88M,,2.987M,81.48M,,10.80B,11.13B,,213.70M,213.70M,213.70M,,,,,,,213.70M,3.920B,222.92M,4.142B,,76.61M,486.12M,4.629B,4.842B,,1.676M,-1.408B,7.655B,23.20M,,-12.00M,6.213B,,AOR,
2019-09,43.28M,43.28M,161.38M,,,161.38M,4.178M,244.40M,,,,6.431M,294.05M,,300.48M,,300.48M,311.90M,264.68M,576.58M,521.00M,,2.642M,84.96M,,10.93B,11.17B,,219.53M,219.53M,219.53M,,,,,,,219.53M,3.887B,223.58M,4.111B,,77.11M,502.72M,4.614B,4.833B,,1.676M,-1.350B,7.650B,22.86M,,-15.80M,6.263B,,AOR,Restated
2019-06,33.78M,33.78M,157.88M,,,157.88M,3.582M,210.35M,,,,6.59M,295.08M,,301.67M,,301.67M,313.18M,262.55M,575.73M,510.74M,,4.367M,86.95M,,10.74B,10.95B,,188.72M,188.72M,188.72M,,,,,,,188.72M,3.678B,223.96M,3.902B,,52.01M,503.19M,4.406B,4.594B,,1.676M,-1.309B,7.645B,22.54M,,-14.09M,6.301B,,AOR,Restated
2019-03,42.78M,42.78M,160.64M,,,160.64M,,218.69M,,,,5.99M,296.86M,,302.85M,,302.85M,314.14M,280.61M,594.76M,501.13M,,11.91M,88.79M,,10.80B,11.02B,,183.98M,183.98M,183.98M,,,,,,,183.98M,3.684B,225.12M,3.909B,,52.08M,521.99M,4.431B,4.615B,,1.675M,-1.263B,7.639B,21.23M,,-6.096M,6.351B,,AOR,Restated
2018-12,45.19M,45.19M,126.20M,,56.26M,172.36M,,278.06M,,,,6.127M,,,6.127M,,6.127M,314.14M,387.07M,701.21M,504.29M,,17.48M,91.83M,,10.67B,10.94B,,224.81M,224.81M,224.81M,,,,,,,224.81M,3.715B,0.00,3.715B,,52.20M,554.48M,4.270B,4.494B,,1.679M,-1.255B,7.673B,19.83M,,-0.927M,6.398B,,AOR,Restated
2018-09,40.36M,40.36M,160.71M,,,160.71M,4.121M,257.09M,,,,6.715M,,,6.715M,,6.715M,318.71M,412.65M,731.36M,502.06M,,26.80M,92.68M,,10.80B,11.06B,,236.25M,236.25M,236.25M,,,,,,,236.25M,3.717B,,3.717B,,40.15M,551.33M,4.269B,4.505B,,1.694M,-1.240B,7.756B,19.55M,,14.07M,6.512B,,AOR,Restated
