,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,392.70M,0.00,-98.40M,231.40M,,,379.20M,379.20M,-45.80M,0.00,60.60M,,256.00M,-16.10M,40.80M,174.60M,119.40M,,-313.20M,149.00M,154.50M,,2020-09,-345.20M,,-345.20M,0.00,-29.60M,-5.00M,-379.80M,2020-09,0.00,-497.60M,-497.60M,199.90M,0.00,199.90M,-479.30M,-479.30M,,-2.70M,-779.70M,2020-09,3.966B,331.20M,53.80M,,2020-09,199.90M,249.40M,-747.00M,0.00,8.00M,,2020-09,AOR,
2020-06,-678.10M,0.00,-66.00M,58.60M,,,377.10M,377.10M,-27.70M,0.00,41.40M,,302.10M,74.10M,-88.60M,-244.40M,-131.00M,,-309.60M,190.90M,-508.60M,,2020-06,-380.10M,,-380.10M,,-186.80M,-16.90M,-583.80M,2020-06,2.988B,-170.60M,2.817B,33.50M,0.00,33.50M,-479.00M,-479.00M,,-28.90M,2.343B,2020-06,2.572B,1.391B,2.20M,,2020-06,33.50M,3.038B,-220.70M,0.00,-35.10M,,2020-06,AOR,
2020-03,324.80M,0.00,-53.40M,-53.40M,,,377.70M,377.70M,37.30M,0.00,56.30M,,364.00M,-37.80M,-85.90M,-219.20M,-1.429B,,-307.00M,-423.30M,-2.502B,,2020-03,-364.00M,,-364.00M,0.00,5.00M,-2.60M,-361.60M,2020-03,1.740B,609.20M,2.349B,32.30M,-607.50M,-575.20M,-481.00M,-481.00M,,-19.60M,1.273B,2020-03,3.040B,-449.80M,-18.40M,,2020-03,32.30M,2.349B,0.00,-607.50M,1.634B,,2020-03,AOR,
2019-12,885.30M,,-62.90M,-62.90M,,,369.20M,369.20M,10.40M,,90.30M,,300.00M,-22.90M,122.80M,-28.50M,14.80M,,-301.60M,394.90M,179.50M,,2019-12,-394.30M,,-394.30M,,27.90M,-19.90M,-386.30M,2019-12,0.00,497.90M,497.90M,33.10M,-1.091B,-1.058B,-484.20M,-484.20M,,-78.40M,-1.123B,2019-12,2.687B,326.80M,27.10M,,2019-12,33.10M,497.90M,0.00,-1.091B,92.10M,,2019-12,AOR,
2019-09,802.40M,0.00,-76.50M,15.60M,,,365.70M,365.70M,-251.90M,0.00,52.60M,,-26.50M,-127.60M,-32.50M,90.40M,238.70M,,0.00,-71.80M,97.20M,,2019-09,-525.90M,,-525.90M,0.10M,4.80M,16.70M,-504.30M,2019-09,0.00,0.00,0.00,51.30M,-2.249B,-2.198B,-430.60M,-430.60M,,-5.40M,-2.634B,2019-09,4.763B,-2.030B,-46.50M,,2019-09,51.30M,0.00,0.00,-2.249B,343.90M,,2019-09,AOR,Restated
2019-06,1.373B,-601.80M,-65.90M,-617.20M,,,360.10M,360.10M,-529.00M,5.10M,63.30M,,-19.30M,-79.90M,-89.50M,57.00M,571.70M,,0.00,3.50M,462.80M,,2019-06,-435.10M,,-435.10M,635.70M,39.70M,-35.80M,204.50M,2019-06,1.996B,-75.00M,1.921B,82.80M,-145.00M,-62.20M,-436.20M,-436.20M,,-67.50M,1.355B,2019-06,2.055B,2.729B,-20.80M,,2019-06,82.80M,1.921B,0.00,-145.00M,126.20M,,2019-06,AOR,Restated
2019-03,658.60M,-21.00M,-53.20M,-74.20M,,,372.70M,372.70M,-359.90M,5.40M,94.80M,,85.00M,38.60M,-95.80M,-72.70M,-9.40M,,0.00,-282.30M,-421.60M,,2019-03,-414.20M,,-414.20M,48.50M,185.60M,-20.50M,-200.60M,2019-03,0.00,75.00M,75.00M,167.30M,-2.713B,-2.546B,-447.80M,-447.80M,,-0.60M,-2.919B,2019-03,4.762B,-2.730B,23.00M,,2019-03,167.30M,75.00M,0.00,-2.713B,,,2019-03,AOR,Restated
2018-12,760.40M,,-55.00M,-55.00M,,,350.80M,350.80M,-354.60M,,97.30M,,6.10M,-28.80M,44.80M,847.30M,468.00M,,0.00,179.00M,1.510B,,2018-12,-431.40M,,-431.40M,,-62.40M,-16.60M,-510.40M,2018-12,-350.00M,0.00,-350.00M,108.40M,-5.115B,-5.006B,-446.70M,-446.70M,,-55.60M,-5.859B,2018-12,8.756B,-3.99B,-4.70M,,2018-12,108.40M,0.00,-350.00M,-5.115B,,,2018-12,AOR,Restated
2018-09,756.10M,-2.90M,-75.60M,-2.90M,,,344.40M,344.40M,-48.80M,9.10M,65.30M,,-13.30M,145.90M,-19.70M,-145.20M,266.50M,,,7.021B,7.268B,,2018-09,-568.60M,,-568.60M,0.00,-99.90M,3.70M,-664.80M,2018-09,2.988B,-300.00M,2.688B,22.00M,-3.072B,-3.050B,-483.20M,-483.20M,,-29.90M,-875.10M,2018-09,1.892B,6.894B,-29.30M,,2018-09,22.00M,2.688B,0.00,-3.072B,277.20M,,2018-09,AOR,Restated
2018-06,852.00M,0.00,-59.80M,-59.80M,,,343.90M,343.90M,31.10M,0.00,68.50M,,22.90M,-20.10M,-31.80M,-16.60M,245.60M,,,-247.20M,-70.10M,,2018-06,-511.10M,,-511.10M,0.00,49.10M,4.20M,-457.80M,2018-06,0.00,300.00M,300.00M,25.60M,-869.80M,-844.20M,-412.30M,-412.30M,,1.30M,-955.20M,2018-06,2.142B,-197.10M,-52.80M,,2018-06,25.60M,300.00M,0.00,-869.80M,176.30M,,2018-06,AOR,Restated
