,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2020-09,5.718B,6.203B,4.66B,1.543B,439.00M,439.00M,-195.00M,124.90M,9.00M,-115.90M,100.00M,902.00M,641.10M,9.00M,124.90M,-115.90M,-82.80M,-115.90M,442.40M,49.70M,392.70M,-0.10M,,392.60M,565.69M,567.30M,,2020-09,0.3346,,,2020-09,0.33,,0.4768,2020-09,1.170B,1.179B,2020-09,AOR,
2020-06,3.745B,4.222B,4.022B,200.30M,399.90M,399.90M,-78.10M,120.80M,12.70M,-108.10M,133.60M,894.50M,-694.20M,12.70M,120.80M,-108.10M,-9.70M,-108.10M,-812.00M,-133.90M,-678.10M,-0.30M,,-678.40M,-613.19M,-691.20M,,2020-06,-0.58,,,2020-06,-0.58,,-0.5242,2020-06,1.168B,1.168B,2020-06,AOR,
2020-03,5.456B,5.996B,4.719B,1.277B,406.50M,406.50M,0.70M,99.20M,2.00M,-97.20M,95.00M,857.80M,418.80M,2.00M,99.20M,-97.20M,68.60M,-97.20M,390.20M,65.40M,324.80M,3.60M,,328.40M,327.82M,489.40M,,2020-03,0.28,,,2020-03,0.28,,0.2795,2020-03,1.172B,1.181B,2020-03,AOR,
2019-12,6.573B,7.097B,5.058B,2.039B,434.20M,434.20M,-6.30M,91.90M,15.90M,-76.00M,101.80M,887.00M,1.152B,15.90M,91.90M,-76.00M,67.60M,-76.00M,1.144B,258.50M,885.30M,0.40M,,885.70M,890.58M,1.236B,,2019-12,0.75,,,2019-12,0.74,,0.7441,2019-12,1.180B,1.191B,2019-12,AOR,
2019-09,6.215B,6.747B,4.849B,1.898B,458.40M,458.40M,-11.90M,95.70M,16.30M,-79.40M,91.60M,894.80M,1.003B,16.30M,95.70M,-79.40M,80.00M,-79.40M,1.004B,201.50M,802.40M,0.40M,,802.80M,812.31M,1.100B,,2019-09,0.6778,,,2019-09,0.67,,0.6779,2019-09,1.192B,1.206B,2019-09,AOR,Restated
2019-06,6.26B,6.823B,4.843B,1.980B,459.70M,459.70M,564.10M,86.40M,40.20M,-46.20M,94.40M,897.20M,1.083B,40.20M,86.40M,-46.20M,640.10M,-46.20M,1.677B,303.70M,1.373B,-0.40M,,1.373B,910.80M,1.763B,,2019-06,1.13,,,2019-06,1.12,,0.7422,2019-06,1.211B,1.223B,2019-06,AOR,Restated
2019-03,5.837B,6.306B,4.566B,1.740B,458.10M,458.10M,-22.00M,73.90M,15.20M,-58.70M,87.10M,901.40M,838.40M,15.20M,73.90M,-58.70M,40.30M,-58.70M,820.00M,161.20M,658.80M,4.40M,,663.20M,680.87M,893.90M,,2019-03,0.54,,,2019-03,0.53,,0.5441,2019-03,1.239B,1.251B,2019-03,AOR,Restated
2018-12,6.107B,6.633B,4.763B,1.870B,448.00M,448.00M,-43.20M,75.00M,24.80M,-50.20M,97.60M,879.00M,991.10M,24.80M,75.00M,-50.20M,24.60M,-50.20M,965.50M,205.10M,760.40M,0.20M,,760.60M,794.64M,1.040B,,2018-12,0.61,,,2018-12,0.61,,0.6372,2018-12,1.242B,1.253B,2018-12,AOR,Restated
2018-09,5.744B,6.304B,4.482B,1.822B,409.20M,409.20M,-42.30M,63.90M,36.20M,-27.70M,172.40M,908.20M,913.90M,36.20M,63.90M,-27.70M,45.40M,-27.70M,931.60M,175.50M,756.10M,-0.60M,,755.50M,789.83M,995.50M,,2018-09,0.5773,,,2018-09,0.56,,0.5855,2018-09,1.338B,1.349B,2018-09,AOR,Restated
2018-06,5.721B,6.310B,4.378B,1.932B,485.90M,485.90M,-14.40M,45.40M,31.50M,-13.90M,132.30M,948.20M,983.70M,31.50M,45.40M,-13.90M,57.00M,-13.90M,1.027B,174.80M,852.00M,0.50M,,852.50M,864.45M,1.072B,,2018-06,0.62,,,2018-06,0.61,,0.6186,2018-06,1.377B,1.388B,2018-06,AOR,Restated
