,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,226.60M,,226.60M,2.078B,2.078B,,,1.804B,,482.60M,4.591B,,,,,3.596B,,3.596B,,3.596B,,,11.52B,53.10M,641.20M,15.81B,20.40B,,2.118B,,2.118B,,2.118B,,,25.20M,25.20M,387.30M,412.50M,2.064B,4.594B,8.267B,1.434B,9.701B,846.10M,846.10M,275.60M,,1.374B,12.20B,16.79B,,,,,,,,,3.611B,,AOR,
2020-09,,619.90M,,619.90M,2.454B,2.454B,330.40M,1.342B,1.673B,,428.40M,5.176B,0.00,276.20M,1.061B,2.972B,1.739B,109.60M,6.157B,-2.639B,3.519B,7.006B,4.499B,11.50B,,611.20M,15.63B,20.81B,,2.056B,165.20M,2.221B,1.079B,3.30B,,,24.30M,24.30M,379.50M,403.80M,,4.358B,8.267B,1.421B,9.688B,956.70M,956.70M,262.30M,,1.337B,12.24B,16.60B,,120.40M,8.620B,,7.114B,,,-792.30M,4.207B,,AOR,
2020-06,188.10M,188.10M,,188.10M,2.472B,2.472B,356.30M,1.432B,1.789B,,434.00M,4.883B,0.00,282.90M,1.052B,2.932B,1.697B,114.60M,6.078B,-2.583B,3.495B,6.977B,4.534B,11.51B,,605.60M,15.61B,20.49B,,1.848B,255.70M,2.104B,958.60M,3.063B,,,560.20M,560.20M,369.40M,929.60M,,4.460B,8.289B,1.391B,9.680B,953.20M,953.20M,262.50M,,1.269B,12.16B,16.62B,,120.00M,8.036B,,6.708B,,,-867.20M,3.870B,,AOR,
2020-03,,238.50M,,238.50M,2.292B,2.292B,367.90M,1.587B,1.955B,,443.20M,4.928B,0.00,238.00M,1.041B,2.920B,1.683B,186.50M,6.069B,-2.556B,3.513B,6.959B,4.585B,11.54B,,585.30M,15.64B,20.57B,,1.958B,106.50M,2.065B,865.20M,2.930B,,,1.481B,1.481B,371.10M,1.852B,,5.220B,8.289B,1.374B,9.663B,949.50M,949.50M,262.80M,,1.186B,12.06B,17.28B,,119.70M,7.563B,,6.708B,,,-901.10M,3.289B,,AOR,
2019-12,,161.80M,,161.80M,2.089B,2.089B,380.00M,1.510B,1.890B,,491.40M,4.632B,0.00,242.10M,1.044B,2.952B,1.686B,144.00M,6.068B,-2.547B,3.521B,7.005B,4.734B,11.74B,43.00M,561.40M,15.86B,20.50B,,1.876B,85.70M,1.962B,1.001B,2.963B,204.70M,,429.80M,634.50M,371.60M,1.006B,,4.522B,8.051B,1.371B,9.421B,969.90M,969.90M,263.00M,,1.197B,11.85B,16.37B,,119.40M,7.367B,,5.836B,,,-679.50M,4.123B,,AOR,
2019-09,,189.64M,,189.64M,2.479B,2.479B,350.13M,1.475B,1.825B,,414.08M,4.908B,0.00,239.45M,1.007B,2.837B,1.659B,179.52M,5.922B,-2.465B,3.457B,6.959B,4.889B,11.85B,33.47M,617.86M,15.96B,20.86B,,2.028B,94.97M,2.123B,973.84M,3.097B,,,865.27M,865.27M,364.38M,1.230B,,4.866B,8.043B,1.352B,9.395B,1.097B,1.097B,260.97M,,1.223B,11.98B,16.84B,,119.24M,7.224B,,5.633B,,,-767.21M,4.023B,,AOR,Restated
2019-06,,145.58M,,145.58M,2.659B,2.659B,362.92M,1.532B,1.895B,,390.47M,5.090B,0.00,243.97M,1.010B,2.816B,1.668B,136.63M,5.875B,-2.433B,3.441B,6.962B,5.044B,12.01B,34.81M,614.78M,16.10B,21.19B,,2.068B,154.62M,2.222B,1.094B,3.316B,,,2.247B,2.247B,361.68M,2.608B,,6.343B,7.209B,1.362B,8.572B,1.115B,1.115B,259.85M,,1.150B,11.10B,17.44B,,118.94M,6.753B,,5.504B,,,-630.78M,3.747B,,AOR,Restated
2019-03,,94.39M,,94.39M,2.340B,2.340B,375.03M,1.618B,1.993B,,387.76M,4.815B,0.00,243.69M,984.35M,2.671B,1.663B,142.88M,5.705B,-2.279B,3.426B,6.956B,5.127B,12.08B,36.00M,600.53M,16.15B,20.96B,,1.894B,128.94M,2.023B,1.092B,3.115B,,,1.129B,1.129B,356.46M,1.485B,,5.001B,8.703B,1.371B,10.07B,1.129B,1.129B,258.74M,,1.039B,12.50B,17.50B,,118.67M,6.387B,,5.359B,,,-632.19M,3.460B,,AOR,Restated
2018-12,,155.50M,,155.50M,2.019B,2.019B,388.90M,1.426B,1.815B,,354.90M,4.344B,0.00,244.60M,979.10M,2.668B,,147.90M,4.040B,-2.263B,1.777B,6.957B,5.202B,12.16B,270.70M,584.00M,14.79B,19.13B,,1.799B,80.80M,1.880B,1.277B,3.158B,328.40M,,307.20M,635.60M,,635.60M,,4.298B,8.708B,,8.708B,1.131B,1.131B,257.60M,,1.009B,11.11B,15.40B,,118.40M,6.246B,,4.901B,,,-629.90M,3.731B,,AOR,Restated
2018-09,,181.51M,,181.51M,2.584B,2.584B,432.73M,1.429B,1.861B,,410.91M,5.038B,0.00,249.79M,955.20M,2.624B,,143.96M,3.973B,-2.206B,1.766B,6.963B,5.290B,12.25B,305.98M,617.15M,14.94B,19.98B,,2.166B,98.63M,2.264B,1.117B,3.381B,,,,960.70M,,960.70M,,4.842B,8.711B,,8.711B,1.371B,1.371B,277.86M,,803.94M,11.16B,16.01B,,118.28M,6.271B,,4.656B,,,-610.60M,3.975B,,AOR,Restated
2018-06,,154.97M,,154.97M,2.625B,2.625B,431.11M,1.444B,1.875B,,382.52M,5.037B,0.00,245.25M,919.21M,2.590B,,143.39M,3.898B,-2.121B,1.776B,6.994B,5.464B,12.46B,301.66M,581.76M,15.12B,20.15B,,2.049B,173.02M,2.222B,910.28M,3.132B,,,,651.90M,,651.90M,,4.190B,9.723B,,9.723B,1.380B,1.380B,276.80M,,837.47M,12.22B,16.41B,,117.96M,5.998B,,4.621B,,,-542.45M,3.747B,,AOR,Restated
2018-03,,158.61M,,158.61M,2.326B,2.326B,432.19M,1.569B,2.002B,,400.25M,4.887B,0.00,248.61M,955.38M,2.604B,,171.42M,3.980B,-2.140B,1.840B,6.820B,5.956B,12.78B,298.46M,566.05M,15.48B,20.37B,,1.975B,113.02M,2.088B,900.30M,2.989B,,,,921.19M,,921.19M,,4.327B,9.891B,,9.891B,1.495B,1.495B,275.74M,,689.08M,12.35B,16.68B,,117.88M,5.675B,,4.528B,,,-335.66M,3.690B,,AOR,Restated
2017-12,,204.20M,,204.20M,2.105B,2.105B,386.00M,1.356B,1.742B,,355.70M,4.407B,0.00,254.70M,962.10M,2.573B,,177.00M,3.967B,-2.090B,1.877B,6.814B,6.002B,12.82B,296.70M,502.00M,15.49B,19.90B,,1.792B,79.90M,1.871B,972.70M,2.844B,283.80M,350.00M,1.10M,634.90M,,634.90M,,3.987B,9.886B,,9.886B,1.420B,1.420B,274.70M,,684.40M,12.26B,16.25B,,117.60M,5.458B,,4.266B,,,-384.90M,3.648B,,AOR,Restated
2017-09,,207.94M,,207.94M,2.426B,2.426B,370.42M,1.334B,1.704B,,345.53M,4.684B,0.00,252.83M,992.86M,2.642B,,149.93M,4.038B,-2.142B,1.896B,6.915B,6.472B,13.39B,224.33M,589.32M,16.10B,20.78B,,1.832B,280.85M,2.113B,891.84M,3.005B,,,,865.55M,,865.55M,,4.372B,10.08B,,10.08B,2.611B,2.611B,262.54M,,709.57M,13.67B,18.04B,,117.19M,4.685B,,4.263B,,,-452.30M,2.741B,,AOR,Restated
