,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.489B,4.489B,2.360B,2.129B,1.472B,79.20M,-2.30M,81.80M,,-81.80M,,1.551B,577.30M,,81.80M,-81.80M,8.40M,-81.80M,503.90M,96.90M,407.00M,,,,407.00M,408.86M,664.90M,79.20M,585.70M,,4.54,,,4.561,4.54,,4.46,,,4.480,4.46,,89.62M,91.27M,1.34,,AOR,
2020-09,5.122B,5.122B,2.667B,2.455B,1.407B,78.70M,-0.40M,81.90M,,-84.50M,10.10M,1.496B,959.70M,,81.90M,-84.50M,0.40M,-84.50M,875.60M,169.80M,705.80M,,,,705.80M,703.54M,1.104B,146.10M,957.50M,,7.80,,,7.775,7.80,,7.66,,,7.635,7.66,,90.54M,92.11M,1.34,,AOR,
2020-06,4.604B,4.604B,2.395B,2.209B,1.291B,77.40M,9.60M,87.50M,,-89.90M,8.50M,1.377B,831.70M,,87.50M,-89.90M,5.60M,-89.90M,747.40M,151.50M,595.90M,,,,595.90M,589.52M,978.40M,143.50M,834.90M,,6.59,,,6.520,6.59,,6.48,,,6.411,6.48,,90.47M,91.95M,1.34,,AOR,
2020-03,4.147B,4.147B,2.257B,1.890B,1.308B,78.10M,-22.80M,86.20M,0.60M,-88.40M,2.20M,1.388B,501.80M,0.60M,86.20M,-88.40M,-21.10M,-88.40M,392.30M,70.60M,321.70M,,,,321.70M,345.48M,623.10M,144.60M,478.50M,,3.53,,,3.791,3.53,,3.46,,,3.716,3.46,,91.08M,92.86M,1.34,,AOR,
2019-12,4.114B,4.114B,2.220B,1.894B,1.354B,78.40M,-137.40M,85.40M,,-62.20M,5.10M,1.438B,456.10M,,85.40M,-62.20M,-96.50M,-62.20M,297.40M,48.80M,248.60M,,,,248.60M,365.96M,528.30M,145.50M,382.80M,,2.71,,,3.990,2.71,,2.66,,,3.918,2.66,,91.66M,93.26M,1.13,,AOR,
2019-09,4.868B,4.868B,2.642B,2.226B,1.345B,77.50M,18.50M,84.70M,,-87.30M,10.60M,1.433B,792.30M,,84.70M,-87.30M,4.80M,-87.30M,709.80M,133.30M,576.50M,,,,576.50M,573.01M,937.30M,142.80M,794.50M,,6.28,,,6.242,6.28,,6.16,,,6.123,6.16,,91.82M,93.60M,1.13,,AOR,Restated
2019-06,4.878B,4.878B,2.696B,2.181B,1.331B,78.10M,-0.50M,88.60M,,-91.30M,6.70M,1.416B,765.30M,,88.60M,-91.30M,1.70M,-91.30M,675.70M,204.70M,471.00M,,,,471.00M,469.54M,907.40M,143.10M,764.30M,,5.13,,,5.114,5.13,,5.03,,,5.014,5.03,,91.78M,93.56M,1.13,,AOR,Restated
2019-03,4.041B,4.041B,2.306B,1.735B,1.244B,78.80M,1.10M,91.00M,0.40M,-93.30M,0.60M,1.323B,411.70M,0.40M,91.00M,-93.30M,-19.50M,-93.30M,298.90M,53.70M,245.20M,,,,245.20M,238.63M,533.40M,143.50M,389.90M,,2.67,,,2.599,2.67,,2.62,,,2.550,2.62,,91.95M,93.67M,1.13,,AOR,Restated
2018-12,4.064B,4.064B,2.382B,1.683B,1.238B,79.08M,-5.589M,89.36M,2.468M,-89.22M,141.98M,1.459B,223.35M,2.468M,89.36M,-89.22M,-32.06M,-89.22M,102.08M,1.133M,100.94M,,,,100.94M,106.32M,337.21M,145.77M,191.44M,,1.09,0.00,,1.148,1.09,,1.07,0.00,,1.127,1.07,,92.60M,94.44M,0.86,,AOR,Restated
2018-09,4.731B,4.731B,2.721B,2.010B,1.273B,80.08M,-145.56M,92.28M,0.555M,-94.42M,2.299M,1.355B,654.96M,0.555M,92.28M,-94.42M,-144.59M,-94.42M,415.95M,61.93M,354.03M,,,,354.03M,480.59M,655.69M,147.46M,508.23M,,3.80,,,5.159,3.80,,3.72,,,5.050,3.72,,93.10M,95.14M,0.86,,AOR,Restated
2018-06,4.774B,4.774B,2.735B,2.039B,1.308B,73.89M,4.274M,93.51M,0.559M,-95.40M,31.25M,1.413B,625.62M,0.559M,93.51M,-95.40M,7.863M,-95.40M,538.09M,134.48M,403.60M,,,,403.60M,403.48M,778.03M,146.44M,631.59M,,4.34,,,4.339,4.34,,4.25,,,4.249,4.25,,92.93M,94.88M,0.86,,AOR,Restated
2018-03,3.965B,3.965B,2.278B,1.687B,1.215B,85.05M,-2.225M,91.55M,1.618M,-92.16M,0.765M,1.300B,386.47M,1.618M,91.55M,-92.16M,9.283M,-92.16M,303.59M,53.46M,250.13M,,,,250.13M,248.74M,551.77M,156.64M,395.13M,,2.68,,,2.665,2.68,,2.62,,,2.605,2.62,,93.34M,95.55M,0.86,,AOR,Restated
2017-12,3.980B,3.980B,2.240B,1.739B,1.325B,88.00M,-7.152M,89.48M,1.781M,-90.32M,9.588M,1.423B,316.32M,1.781M,89.48M,-90.32M,-0.025M,-90.32M,225.97M,-627.12M,853.09M,-0.06M,,,853.03M,858.01M,526.24M,210.79M,315.45M,,9.62,0.00,,9.673,9.62,,9.39,0.00,,9.442,9.39,,93.25M,95.26M,0.85,,AOR,Restated
2017-09,4.507B,4.507B,2.605B,1.902B,1.307B,83.71M,0.074M,91.59M,2.448M,-91.34M,4.183M,1.395B,506.53M,2.448M,91.59M,-91.34M,12.53M,-91.34M,427.72M,111.12M,316.61M,0.00,,,316.61M,314.71M,670.28M,150.96M,519.32M,,3.40,0.00,,3.380,3.40,,3.33,0.00,,3.310,3.33,,92.99M,95.21M,0.85,,AOR,Restated
