,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,705.80M,2.00M,2.00M,67.40M,78.70M,146.10M,146.10M,-3.80M,26.50M,132.10M,,,,-95.60M,566.00M,470.40M,1.489B,,-51.50M,,,,7.70M,14.00M,-29.80M,,0.00,-559.50M,-559.50M,0.00,-404.40M,-404.40M,-122.20M,-122.20M,58.10M,-2.10M,-1.030B,,188.10M,429.30M,2.50M,619.90M,,0.00,-355.00M,0.00,-404.40M,275.60M,73.00M,,AOR,
2020-06,595.90M,1.90M,1.90M,66.10M,77.40M,143.50M,143.50M,-3.60M,26.30M,156.80M,,,,-85.90M,176.30M,90.40M,1.020B,,-35.70M,,,,-35.70M,22.50M,-48.90M,,-433.50M,-494.70M,-928.20M,0.00,0.00,0.00,-122.70M,-122.70M,47.60M,1.50M,-1.002B,,238.50M,-31.00M,-19.40M,188.10M,,0.00,-494.70M,-433.50M,0.00,7.00M,87.30M,,AOR,
2020-03,321.70M,1.90M,23.20M,66.50M,78.10M,144.60M,144.60M,9.50M,20.10M,52.80M,,,,-89.10M,-430.10M,-519.20M,54.90M,,-106.60M,,,,6.40M,2.30M,-97.90M,,217.80M,849.70M,1.068B,57.40M,-890.30M,-832.90M,-122.90M,-122.90M,30.00M,-26.00M,115.70M,,161.80M,72.70M,4.00M,238.50M,,57.40M,1.849B,-781.20M,-890.30M,18.30M,82.70M,,AOR,
2019-12,248.60M,2.70M,101.10M,67.10M,78.40M,145.50M,145.50M,-87.70M,30.80M,101.70M,,,,-96.10M,294.80M,-16.10M,659.90M,,-104.10M,,,-4.70M,-65.30M,0.00,-174.10M,,6.50M,-231.80M,-225.30M,,-201.00M,-201.00M,-105.90M,-105.90M,43.40M,-15.90M,-504.70M,,189.60M,-18.90M,-8.90M,161.80M,,,7.20M,-0.70M,-201.00M,97.40M,89.30M,,AOR,
2019-09,576.50M,2.40M,17.20M,65.30M,77.50M,142.80M,142.80M,-13.20M,23.20M,68.80M,,,,-90.80M,168.30M,77.50M,903.40M,,-96.90M,,,-72.60M,54.10M,4.10M,-111.30M,,-195.00M,-371.70M,-566.70M,,-127.30M,-127.30M,-105.10M,-105.10M,45.70M,-3.70M,-757.10M,,145.60M,35.00M,9.00M,189.60M,,,852.10M,-1.528B,-127.30M,186.30M,66.30M,,AOR,Restated
2019-06,471.00M,2.80M,2.80M,65.00M,78.10M,143.10M,143.10M,-27.60M,24.60M,201.80M,,,,-100.90M,72.50M,-28.40M,794.00M,,-76.50M,,,,-28.50M,0.00,-105.00M,,-360.90M,-15.50M,-376.40M,,-145.40M,-145.40M,-105.00M,-105.00M,40.60M,-49.80M,-636.00M,,94.40M,53.00M,-1.80M,145.60M,,,-15.50M,-360.90M,-145.40M,107.70M,122.60M,,AOR,Restated
2019-03,245.20M,35.20M,35.20M,64.70M,78.80M,143.50M,143.50M,-2.60M,23.10M,100.00M,,,,-80.60M,-500.40M,-581.00M,-36.00M,,-51.40M,,,,-23.60M,2.80M,-72.20M,,0.00,496.20M,496.20M,0.00,-305.10M,-305.10M,-104.80M,-104.80M,24.90M,-59.80M,51.40M,,155.50M,-56.80M,-4.30M,94.40M,,0.00,496.20M,0.00,-305.10M,16.10M,57.90M,,AOR,Restated
2018-12,100.94M,38.48M,123.78M,66.69M,79.08M,145.77M,145.77M,-144.88M,29.47M,-128.47M,,,,,,242.10M,512.48M,,-84.82M,,,,-51.55M,0.046M,-136.32M,,136.03M,-324.29M,-188.26M,,-244.97M,-244.97M,-80.36M,-80.36M,16.42M,75.96M,-421.21M,,181.51M,-45.05M,19.05M,155.50M,,,136.72M,-0.688M,-244.97M,55.61M,122.27M,,AOR,Restated
2018-09,354.03M,-2.211M,-2.211M,67.38M,80.08M,147.46M,147.46M,-25.97M,16.36M,-33.08M,,,,,,390.08M,852.12M,,-64.36M,,,,32.06M,24.00M,-8.295M,,-705.20M,-0.596M,-705.80M,,-34.18M,-34.18M,-80.90M,-80.90M,40.87M,-28.76M,-808.77M,,154.97M,35.05M,-8.513M,181.51M,,,0.00,-705.20M,-34.18M,141.40M,60.67M,,AOR,Restated
2018-06,403.60M,-2.213M,-2.213M,72.54M,73.89M,146.44M,146.44M,24.00M,22.16M,-4.21M,,,,,,-88.83M,538.35M,,-59.57M,,,,-13.86M,7.002M,-66.43M,,-62.40M,-264.88M,-327.29M,,-93.01M,-93.01M,-80.61M,-80.61M,11.82M,-0.182M,-489.26M,,158.61M,-17.35M,13.71M,154.97M,,,88.58M,-150.99M,-93.01M,67.27M,127.31M,,AOR,Restated
