,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,13.15B,552.00M,13.70B,1.171B,,1.171B,961.00M,566.00M,76.00M,,,16.48B,,,13.01B,,52.36B,-16.16B,36.19B,4.527B,2.852B,7.379B,824.00M,144.00M,,172.00M,44.71B,61.19B,1.831B,,,1.831B,1.994B,3.825B,,4.584B,4.584B,759.00M,5.343B,5.679B,5.679B,944.00M,15.79B,22.30B,5.221B,27.52B,389.00M,5.063B,5.452B,,3.294B,,,2.131B,38.40B,54.19B,3.00M,4.524B,7.383B,3.898B,-1.009B,7.003B
2020-06,6.505B,958.00M,7.463B,857.00M,,857.00M,955.00M,766.00M,,,,10.04B,,,13.09B,,52.05B,-15.58B,36.47B,4.523B,2.852B,7.375B,798.00M,141.00M,,73.00M,44.86B,54.90B,1.725B,,,1.725B,1.669B,3.394B,,4.454B,4.454B,691.00M,5.145B,5.79B,7.298B,558.00M,16.40B,14.32B,5.429B,19.75B,804.00M,4.83B,5.634B,,3.178B,,,1.43B,29.99B,46.38B,3.00M,6.365B,7.307B,3.899B,-1.259B,8.517B
2020-03,3.442B,1.779B,5.221B,792.00M,,792.00M,1.07B,822.00M,,,,7.905B,,,13.05B,,51.68B,-15.01B,36.66B,4.523B,2.945B,7.468B,763.00M,149.00M,,106.00M,45.15B,53.06B,2.436B,,,2.436B,1.647B,4.083B,,4.055B,4.055B,747.00M,4.802B,6.664B,6.664B,538.00M,16.09B,13.20B,5.429B,18.63B,1.322B,4.133B,5.455B,,2.289B,,,1.179B,27.55B,43.64B,3.00M,7.991B,6.096B,3.901B,-771.00M,9.418B
2019-12,2.762B,2.182B,4.944B,1.364B,,1.364B,1.072B,814.00M,,,,8.194B,,,12.68B,,49.46B,-14.54B,34.93B,5.069B,2.463B,7.532B,1.18B,671.00M,,106.00M,44.42B,52.61B,2.703B,,,2.703B,2.271B,4.974B,,1.407B,1.407B,732.00M,2.139B,7.259B,7.259B,566.00M,14.94B,13.14B,5.166B,18.31B,1.736B,2.836B,4.572B,,2.235B,,,1.024B,26.14B,41.08B,3.00M,9.716B,6.129B,3.599B,-718.00M,11.53B
2019-09,2.959B,2.167B,5.126B,1.617B,,1.617B,1.065B,725.00M,,,,8.533B,,,12.56B,,48.42B,-14.15B,34.27B,4.523B,3.114B,7.637B,1.131B,529.00M,,100.00M,43.67B,52.20B,2.848B,,,2.848B,2.104B,4.952B,,1.243B,1.243B,870.00M,2.113B,8.052B,8.052B,574.00M,15.69B,12.90B,5.127B,18.03B,1.594B,2.682B,4.276B,,1.923B,,,981.00M,25.21B,40.90B,3.00M,9.075B,6.111B,3.384B,-504.00M,11.30B
2019-06,3.221B,2.223B,5.444B,1.762B,,1.762B,996.00M,708.00M,,,,8.91B,,,12.28B,,47.52B,-13.69B,33.83B,4.523B,3.129B,7.652B,1.139B,518.00M,,105.00M,43.24B,52.15B,3.033B,,,3.033B,1.871B,4.904B,,1.255B,1.255B,754.00M,2.009B,8.561B,8.561B,604.00M,16.08B,12.94B,5.236B,18.17B,1.192B,2.763B,3.955B,,2.643B,,,980.00M,25.75B,41.83B,3.00M,8.05B,6.096B,3.022B,-807.00M,10.32B
2019-03,1.848B,2.219B,4.067B,1.789B,,1.789B,972.00M,780.00M,,,,7.608B,,,12.23B,,47.39B,-13.74B,33.65B,4.523B,3.144B,7.667B,1.098B,512.00M,,103.00M,43.03B,50.64B,2.707B,,,2.707B,1.66B,4.367B,,1.201B,1.201B,772.00M,1.973B,8.394B,8.394B,601.00M,15.34B,12.73B,5.381B,18.12B,898.00M,2.75B,3.648B,,2.741B,,,998.00M,25.50B,40.84B,3.00M,6.999B,6.08B,2.487B,-793.00M,9.802B
2018-12,1.694B,2.256B,3.95B,1.426B,,1.426B,985.00M,733.00M,,,,7.094B,,,12.15B,,45.93B,-13.27B,32.66B,5.069B,2.613B,7.682B,966.00M,516.00M,,105.00M,41.93B,49.02B,2.363B,,,2.363B,2.184B,4.547B,,1.23B,1.23B,842.00M,2.072B,6.667B,6.667B,553.00M,13.84B,12.22B,5.50B,17.72B,828.00M,2.719B,3.547B,,2.871B,,,1.01B,25.14B,38.98B,3.00M,6.715B,6.12B,1.993B,-803.00M,10.04B
2018-09,2.621B,2.314B,4.935B,1.752B,,1.752B,1.011B,973.00M,,,,8.671B,,,7.788B,,40.63B,-13.32B,27.31B,4.523B,3.382B,7.905B,848.00M,,,105.00M,36.17B,44.84B,2.581B,,,2.581B,2.004B,4.585B,,910.00M,910.00M,136.00M,1.046B,7.468B,7.468B,585.00M,13.68B,12.22B,1.116B,13.33B,639.00M,2.712B,3.351B,,3.188B,,,1.811B,21.68B,35.37B,3.00M,6.203B,6.105B,1.753B,-1.089B,9.469B
2018-06,2.884B,2.187B,5.071B,1.84B,,1.84B,942.00M,1.028B,,,,8.881B,,,7.492B,,39.75B,-12.81B,26.95B,4.523B,3.399B,7.922B,848.00M,,,94.00M,35.81B,44.69B,2.703B,,,2.703B,1.782B,4.485B,,887.00M,887.00M,117.00M,1.004B,8.032B,8.032B,571.00M,14.09B,12.46B,1.039B,13.50B,419.00M,2.783B,3.202B,,3.40B,,,1.859B,21.96B,36.05B,3.00M,5.367B,6.091B,1.72B,-1.102B,8.639B
