,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,114.59M,0.00,0.687M,,0.687M,,56.82M,-0.318M,,6.023M,,-0.966M,-27.56M,17.75M,,47.24M,-8.551M,,,28.88M,,205.71M,,-53.75M,0.142M,0.142M,-869.43M,,0.00,-923.04M,,680.94M,680.94M,,-0.126M,-0.126M,-34.14M,-34.14M,5.397M,-10.23M,641.85M,,312.03M,-75.48M,15.95M,252.50M,,,573.78M,107.16M,-0.126M,,AOR,
2020-09,106.01M,-0.005M,-0.059M,,-0.064M,,54.42M,1.29M,,7.939M,,-1.382M,3.469M,1.749M,,-17.85M,6.374M,,,-6.258M,,161.95M,,-43.88M,0.138M,0.138M,0.00,,-2.392M,-46.14M,,-46.32M,-46.32M,,-0.138M,-0.138M,-34.09M,-34.09M,15.25M,-0.021M,-65.32M,,255.63M,50.49M,5.908M,312.03M,,,,-46.32M,-0.138M,,AOR,
2020-06,88.12M,0.01M,0.237M,,0.247M,,48.95M,-0.189M,,5.962M,,6.842M,84.66M,-27.02M,,-66.74M,-6.729M,,,-15.82M,,134.12M,,-66.86M,0.137M,0.137M,0.00,,,-66.72M,,-95.84M,-95.84M,,-14.30M,-14.30M,-31.47M,-31.47M,5.367M,2.237M,-134.00M,,319.58M,-66.60M,2.648M,255.63M,,,,-95.84M,-14.30M,,AOR,
2020-03,123.22M,-0.783M,0.366M,,-0.417M,,50.94M,10.56M,,4.949M,,2.932M,-47.73M,-6.251M,,60.86M,0.169M,,,7.047M,,199.23M,,-60.87M,3.769M,3.769M,-2.648M,,,-59.75M,,21.97M,21.97M,,-10.92M,-10.92M,-31.44M,-31.44M,11.77M,-0.654M,-9.272M,,199.23M,130.22M,-9.864M,319.58M,,,,21.97M,-10.92M,,AOR,
2019-12,104.67M,0.077M,-0.585M,,-0.508M,,49.56M,-0.373M,,5.586M,,-3.445M,-24.69M,-6.488M,,6.286M,0.73M,,,-24.16M,,131.33M,,-55.48M,0.181M,0.181M,-19.23M,,,-74.53M,,-61.71M,-61.71M,,-2.456M,-2.456M,-31.38M,-31.38M,-0.017M,5.21M,-90.34M,,225.54M,-33.55M,7.244M,199.23M,,,-13.24M,-48.47M,-2.456M,,AOR,Restated
2019-09,95.14M,0.05M,-0.016M,,0.034M,,49.63M,-0.154M,,7.739M,,0.343M,-3.073M,-1.706M,,-2.661M,5.365M,,,-2.075M,,150.66M,,-48.37M,0.188M,0.188M,-52.96M,,,-101.15M,,-14.62M,-14.62M,,-22.98M,-22.98M,-31.40M,-31.40M,13.08M,0.00,-55.92M,,238.07M,-6.41M,-6.121M,225.54M,,,-14.62M,0.00,-22.98M,,AOR,Restated
2019-06,84.78M,2.426M,0.061M,,2.487M,,47.10M,-0.612M,,5.537M,,0.596M,57.62M,-24.62M,,-61.07M,-2.48M,,,-30.55M,,109.34M,,-49.79M,0.018M,0.018M,-34.53M,,,-84.31M,,27.86M,27.86M,,-14.89M,-14.89M,-28.82M,-28.82M,9.899M,-1.658M,-7.607M,,220.63M,17.42M,0.011M,238.07M,,,27.86M,,-14.89M,,AOR,Restated
2019-03,108.88M,-0.862M,1.132M,,0.27M,,50.26M,-8.729M,,5.608M,,-8.63M,-57.80M,17.47M,,73.16M,-1.555M,,,31.27M,,178.93M,,-76.48M,0.004M,0.004M,2.674M,0.00,0.139M,-73.66M,,-62.50M,-62.50M,,-25.24M,-25.24M,-28.75M,-28.75M,5.752M,-0.24M,-110.98M,,224.91M,-5.72M,1.447M,220.63M,,,-35.42M,-27.09M,-25.24M,,,Restated
2018-12,48.43M,-1.171M,0.177M,,-0.994M,,82.69M,-0.024M,,5.419M,,6.562M,-19.71M,0.872M,,21.14M,-10.50M,,,-8.199M,,133.88M,,-50.69M,0.016M,0.016M,-13.31M,0.00,-7.422M,-71.41M,,-16.68M,-16.68M,,-0.352M,-0.352M,-28.74M,-28.74M,2.674M,-0.847M,-43.95M,,209.92M,18.52M,-3.539M,224.91M,,,-16.68M,0.00,-0.352M,,AOR,Restated
2018-09,77.50M,0.219M,0.183M,,0.402M,,46.12M,2.017M,,7.701M,,4.752M,-10.20M,1.108M,,-10.58M,7.113M,,,-12.56M,,125.92M,,-34.82M,2.752M,2.752M,0.00,0.00,-1.219M,-33.29M,,-51.35M,-51.35M,,-22.06M,-22.06M,-28.74M,-28.74M,1.501M,0.00,-100.65M,,218.52M,-8.014M,-0.589M,209.92M,,,33.65M,-85.00M,-22.06M,,AOR,Restated
2018-06,70.28M,0.444M,-0.568M,,-0.124M,,46.85M,0.225M,,5.237M,,-21.08M,39.22M,-34.06M,,-3.348M,-2.424M,,,-0.61M,,100.78M,,-27.73M,2.795M,2.795M,-0.196M,-4.955M,-4.784M,-34.87M,,18.44M,18.44M,,-33.84M,-33.84M,-26.26M,-26.26M,3.435M,-0.983M,-39.21M,,201.53M,26.70M,-9.709M,218.52M,,,18.44M,,-33.84M,,AOR,Restated
2018-03,73.62M,2.009M,1.763M,,3.772M,,44.48M,2.596M,,5.146M,,20.82M,-52.88M,16.39M,,12.24M,3.599M,,,-20.66M,,129.78M,,-51.95M,0.00,0.00,0.033M,0.00,,-55.00M,,-112.21M,-112.21M,,-21.63M,-21.63M,-26.30M,-26.30M,3.153M,-3.385M,-160.37M,,283.84M,-85.59M,3.277M,201.53M,,,29.06M,-141.27M,-21.63M,,AOR,Restated
2017-12,95.34M,11.40M,1.397M,,12.80M,,44.66M,-24.05M,,5.012M,,3.889M,-27.62M,-2.558M,,3.622M,-0.618M,,,-27.17M,,110.48M,,-38.09M,0.019M,0.019M,-9.22M,0.00,,-47.29M,,-28.03M,-28.03M,,-23.20M,-23.20M,-26.35M,-26.35M,1.299M,-0.188M,-76.47M,,295.63M,-13.28M,1.501M,283.84M,,,,-28.03M,-23.20M,,AOR,Restated
2017-09,64.44M,1.01M,0.246M,,1.256M,,45.55M,-0.404M,,7.22M,,6.597M,10.73M,-3.21M,,0.482M,4.062M,,,12.06M,,136.72M,,-38.93M,2.066M,2.066M,-9.797M,0.00,,-46.66M,,-59.33M,-59.33M,,-12.20M,-12.20M,-26.42M,-26.42M,0.862M,0.00,-97.09M,,294.84M,-7.026M,7.814M,295.63M,,,-13.63M,-45.70M,-12.20M,,AOR,Restated
2017-06,58.22M,0.124M,-0.824M,,-0.70M,,43.65M,-2.868M,,4.809M,,0.924M,32.04M,-15.80M,,-31.33M,-8.287M,,,-23.38M,,80.65M,,-36.49M,0.009M,0.009M,-18.40M,,,-54.88M,,6.131M,6.131M,,-8.451M,-8.451M,-23.86M,-23.86M,5.844M,-1.92M,-22.25M,,282.92M,3.517M,8.405M,294.84M,,,13.63M,-7.50M,-8.451M,,AOR,Restated
2017-03,26.06M,43.80M,0.366M,,44.17M,,52.90M,-15.48M,0.00,4.401M,,13.39M,-47.93M,14.54M,,44.52M,-1.899M,,,9.234M,,134.68M,,-60.68M,0.061M,0.061M,-0.777M,0.00,,-61.39M,,-29.50M,-29.50M,,-2.321M,-2.321M,-23.78M,-23.78M,1.734M,-4.639M,-58.51M,,264.86M,14.78M,3.284M,282.92M,,,,-323.23M,-2.321M,,AOR,
2016-12,-4.347M,28.97M,0.113M,,29.08M,,31.38M,51.36M,58.36M,3.829M,,-32.33M,-11.88M,-5.645M,,-16.90M,-1.993M,,,-36.43M,,100.90M,,-38.36M,0.022M,0.022M,4.219M,0.00,,-34.12M,,11.77M,11.77M,,-35.29M,-35.29M,-23.83M,-23.83M,0.727M,-0.352M,-46.98M,,254.35M,19.81M,-9.303M,264.86M,,,,11.77M,-35.29M,,AOR,Restated
2016-09,40.20M,13.80M,0.155M,,13.96M,,50.08M,-5.595M,,6.377M,,23.41M,-11.58M,-1.958M,,-9.237M,2.529M,,,-20.24M,,108.18M,,-38.51M,0.237M,0.237M,66.96M,-1.792M,,26.90M,,-41.57M,-41.57M,,-54.72M,-54.72M,-24.05M,-24.05M,1.736M,0.00,-118.60M,,242.42M,16.48M,-4.555M,254.35M,,,,-41.57M,-54.72M,,AOR,Restated
2016-06,48.71M,0.00,0.126M,,0.126M,,53.78M,0.989M,,4.187M,,-17.71M,23.25M,-19.76M,,-16.94M,3.687M,,,-9.767M,,80.32M,,-35.36M,4.526M,4.526M,-0.25M,-4.564M,,-35.64M,,-16.08M,-16.08M,,-5.171M,-5.171M,-21.54M,-21.54M,0.758M,-0.978M,-43.01M,,248.84M,1.663M,-8.081M,242.42M,,,,-16.08M,-5.171M,,AOR,Restated
2016-03,57.87M,,1.461M,0.00,1.461M,,52.82M,3.741M,,3.907M,-0.372M,3.835M,-28.49M,17.29M,,42.53M,-4.529M,,,26.80M,,150.06M,,-44.29M,0.444M,0.444M,0.661M,,,-43.18M,,-71.79M,-71.79M,,-0.30M,-0.30M,-21.48M,-21.48M,0.296M,0.434M,-92.83M,,231.36M,14.04M,3.441M,248.84M,,,20.78M,-92.57M,-0.30M,,AOR,Restated
