,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,252.50M,,252.50M,556.12M,556.12M,102.21M,42.11M,185.76M,294.13M,73.32M,,,1.176B,0.00,69.59M,567.11M,753.85M,903.52M,211.18M,2.505B,-1.129B,1.377B,2.927B,1.044B,3.970B,,57.61M,5.405B,6.581B,,134.47M,13.07M,147.54M,112.32M,259.86M,10.91M,,,21.36M,21.36M,44.31M,44.31M,97.44M,505.87M,29.83M,1.713B,130.22M,1.843B,264.04M,264.04M,,21.08M,11.20M,27.51M,2.197B,2.703B,,1.997B,1.873B,,,,,,-2.386M,3.867B,,AOR,
2020-09,312.03M,,312.03M,503.72M,503.72M,101.61M,40.62M,172.48M,278.59M,55.96M,,,1.150B,0.00,67.41M,546.27M,722.02M,872.54M,196.02M,2.404B,-1.085B,1.319B,2.418B,550.02M,2.968B,,55.17M,4.342B,5.493B,,124.94M,15.83M,140.78M,88.41M,229.18M,8.957M,,,20.97M,20.97M,35.04M,35.04M,87.04M,435.42M,29.01M,1.021B,124.34M,1.145B,164.73M,164.73M,,21.89M,15.31M,23.34M,1.395B,1.830B,,1.991B,1.787B,,,,,,-130.61M,3.647B,,AOR,
2020-06,255.63M,,255.63M,503.17M,503.17M,104.56M,40.83M,167.28M,276.97M,61.36M,,,1.097B,0.00,66.39M,534.10M,692.19M,848.20M,198.60M,2.339B,-1.048B,1.292B,2.372B,551.53M,2.923B,,51.97M,4.267B,5.364B,,133.53M,28.20M,161.74M,58.24M,219.98M,8.85M,35.00M,35.00M,20.58M,55.58M,39.98M,39.98M,105.53M,479.55M,28.57M,1.022B,125.15M,1.147B,160.97M,160.97M,,23.02M,15.05M,22.81M,1.395B,1.874B,,1.983B,1.700B,,,,,,-208.35M,3.475B,,AOR,
2020-03,319.58M,,319.58M,586.48M,586.48M,94.32M,35.64M,151.38M,248.26M,54.43M,,,1.209B,0.00,65.99M,531.27M,682.49M,821.54M,159.73M,2.261B,-1.017B,1.244B,2.356B,565.47M,2.922B,,51.58M,4.217B,5.426B,,149.34M,14.01M,163.35M,105.46M,268.82M,10.01M,,,19.81M,19.81M,53.30M,53.30M,105.66M,503.61M,27.30M,1.151B,114.11M,1.265B,160.27M,160.27M,,23.20M,12.85M,27.89M,1.515B,2.019B,,1.982B,1.647B,,,,,,-235.46M,3.394B,,AOR,
2019-12,199.23M,,199.23M,544.40M,544.40M,93.69M,35.94M,158.89M,252.05M,57.19M,,,1.053B,0.00,66.87M,510.03M,683.66M,807.63M,180.17M,2.248B,-1.023B,1.226B,2.404B,594.17M,2.998B,,59.36M,4.283B,5.336B,,139.81M,12.92M,152.72M,91.57M,244.30M,10.14M,,,19.19M,19.19M,45.36M,45.36M,98.40M,450.81M,24.52M,1.137B,104.06M,1.241B,156.33M,156.33M,,26.39M,13.39M,26.85M,1.489B,1.940B,,1.987B,1.544B,,,,,,-148.92M,3.383B,,AOR,Restated
2019-09,225.54M,,225.54M,513.35M,513.35M,87.88M,34.27M,153.15M,236.84M,56.23M,,,1.032B,0.00,64.39M,496.42M,669.25M,798.86M,150.38M,2.179B,-997.15M,1.182B,2.319B,576.38M,2.895B,,76.17M,4.154B,5.186B,,133.80M,6.186M,139.99M,76.78M,216.77M,10.40M,,,18.46M,18.46M,44.10M,44.10M,93.56M,428.02M,24.07M,1.187B,97.91M,1.285B,152.75M,152.75M,,27.28M,8.977M,17.39M,1.520B,1.948B,,1.982B,1.473B,,,,,,-225.72M,3.229B,,AOR,Restated
2019-06,238.07M,,238.07M,509.66M,509.66M,86.57M,33.82M,150.90M,233.59M,62.97M,,,1.044B,0.00,63.54M,483.67M,654.90M,795.36M,157.34M,2.155B,-978.08M,1.177B,2.347B,602.18M,2.950B,,59.20M,4.185B,5.230B,,135.49M,25.04M,160.53M,58.13M,218.66M,11.11M,,,20.14M,20.14M,52.61M,52.61M,96.44M,432.77M,24.20M,1.210B,102.49M,1.312B,154.38M,154.38M,,29.38M,8.102M,17.96M,1.552B,1.985B,,1.996B,1.397B,,,,,,-156.84M,3.237B,,AOR,Restated
2019-03,220.63M,,220.63M,564.83M,564.83M,83.01M,30.69M,131.05M,208.24M,60.03M,,,1.054B,0.00,63.52M,480.36M,656.96M,652.79M,133.69M,1.987B,-955.74M,1.032B,2.323B,604.61M,2.928B,,60.21M,4.019B,5.073B,,152.91M,15.46M,168.37M,90.72M,259.09M,9.193M,,,0.00,0.00,55.33M,55.33M,100.76M,465.20M,24.18M,1.183B,0.00,1.183B,151.04M,151.04M,,31.80M,7.988M,18.32M,1.422B,1.887B,,1.999B,1.339B,,,,,,-159.78M,3.178B,,,Restated
2018-12,224.91M,,224.91M,509.86M,509.86M,88.41M,31.24M,146.12M,227.63M,58.13M,,,1.021B,0.00,64.00M,427.89M,748.58M,486.87M,130.14M,1.857B,-868.43M,989.04M,,,2.945B,,51.61M,3.986B,5.006B,,136.72M,0.00,136.72M,70.96M,207.68M,9.845M,,,,,58.83M,58.83M,91.89M,398.02M,24.49M,1.246B,,1.246B,153.16M,153.16M,,37.05M,7.771M,18.51M,1.496B,1.894B,,2.018B,1.254B,,,0.015M,,,-167.02M,3.105B,,AOR,Restated
2018-09,209.92M,,209.92M,490.95M,490.95M,87.30M,31.00M,149.11M,230.83M,47.82M,,,979.52M,0.00,61.30M,433.39M,741.25M,481.59M,105.21M,1.823B,-836.53M,986.21M,,,3.009B,,46.69M,4.042B,5.021B,,125.55M,0.00,125.55M,61.29M,186.84M,9.42M,,,,,46.85M,46.85M,96.37M,372.59M,24.60M,1.268B,,1.268B,154.10M,154.10M,,39.46M,7.114M,18.87M,1.524B,1.896B,,2.013B,1.232B,,,0.015M,,,-126.78M,3.118B,,AOR,Restated
