,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,1.363B,,,555.00M,555.00M,555.00M,156.00M,,128.00M,-177.00M,19.00M,-472.00M,29.00M,,,-601.00M,1.601B,-695.00M,,,0.00,31.00M,-664.00M,-62.00M,-1.00M,-63.00M,,0.00,0.00,-655.00M,-655.00M,,-325.00M,-1.043B,2.724B,-106.00M,2.618B,,0.00,-62.00M,0.00,767.00M,422.00M
2020-06,1.132B,,,551.00M,551.00M,551.00M,80.00M,,55.00M,281.00M,24.00M,151.00M,-37.00M,,,419.00M,2.237B,-792.00M,,,0.00,182.00M,-610.00M,543.00M,0.00,543.00M,,0.00,0.00,-659.00M,-659.00M,,6.00M,-110.00M,1.207B,1.517B,2.724B,,1.008B,-465.00M,0.00,147.00M,140.00M
2020-03,1.474B,,,547.00M,547.00M,547.00M,91.00M,,-64.00M,-74.00M,59.00M,121.00M,1.00M,,,107.00M,2.155B,-807.00M,,,0.00,,-807.00M,2.691B,-1.00M,2.69B,,-2.956B,-2.956B,-660.00M,-660.00M,,-71.00M,-997.00M,856.00M,351.00M,1.207B,,2.996B,-305.00M,-2.956B,11.00M,349.00M
2019-12,1.403B,,,559.00M,559.00M,559.00M,269.00M,,-4.00M,55.00M,20.00M,-36.00M,99.00M,,,138.00M,2.345B,-958.00M,,,5.00M,25.00M,-928.00M,-175.00M,-1.00M,-176.00M,,-642.00M,-642.00M,-673.00M,-673.00M,,-373.00M,-1.864B,1.303B,-447.00M,856.00M,,0.00,-175.00M,-642.00M,278.00M,178.00M
2019-09,1.555B,,,557.00M,557.00M,557.00M,88.00M,,61.00M,159.00M,4.00M,-133.00M,73.00M,,,103.00M,2.364B,-935.00M,,,5.00M,33.00M,-897.00M,956.00M,-476.00M,480.00M,,-1.033B,-1.033B,-677.00M,-677.00M,,-5.00M,-1.235B,1.071B,232.00M,1.303B,,994.00M,-38.00M,-1.033B,387.00M,351.00M
2019-06,1.57B,,,551.00M,551.00M,551.00M,106.00M,,94.00M,-137.00M,5.00M,-220.00M,-28.00M,,,-380.00M,1.941B,-808.00M,,,5.00M,-23.00M,-826.00M,-44.00M,172.00M,128.00M,,-642.00M,-642.00M,-622.00M,-622.00M,,-6.00M,-1.142B,1.098B,-27.00M,1.071B,,0.00,-44.00M,-642.00M,716.00M,148.00M
2019-03,1.391B,,,549.00M,549.00M,549.00M,103.00M,,-53.00M,83.00M,-38.00M,-19.00M,-57.00M,,,-31.00M,1.959B,-752.00M,,,0.00,-32.00M,-784.00M,2.432B,299.00M,2.731B,,-3.487B,-3.487B,-626.00M,-626.00M,,-23.00M,-1.405B,1.328B,-230.00M,1.098B,,2.992B,-560.00M,-3.487B,1.00M,356.00M
2018-12,1.554B,,,555.00M,555.00M,555.00M,26.00M,,-21.00M,37.00M,47.00M,103.00M,41.00M,,,228.00M,2.312B,-1.009B,,,0.00,32.00M,-977.00M,-29.00M,-1.00M,-30.00M,,-1.201B,-1.201B,-583.00M,-583.00M,,-3.00M,-1.817B,1.81B,-482.00M,1.328B,,-100.00M,71.00M,-1.201B,360.00M,151.00M
2018-09,1.593B,,,547.00M,547.00M,547.00M,108.00M,,65.00M,-158.00M,-17.00M,161.00M,42.00M,,,28.00M,2.341B,-814.00M,,,0.00,5.00M,-809.00M,-412.00M,-1.00M,-413.00M,,-331.00M,-331.00M,-591.00M,-591.00M,,9.00M,-1.326B,1.604B,206.00M,1.81B,,100.00M,-512.00M,-331.00M,371.00M,216.00M
2018-06,1.509B,,,546.00M,546.00M,546.00M,92.00M,,-36.00M,-63.00M,36.00M,43.00M,5.00M,,,21.00M,2.132B,-704.00M,,,0.00,-2.00M,-706.00M,5.684B,-440.00M,5.244B,,-5.527B,-5.527B,-557.00M,-557.00M,,-30.00M,-870.00M,1.048B,556.00M,1.604B,,6.742B,-1.058B,-5.527B,474.00M,131.00M
