,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,240.50M,242.94M,77.28M,165.66M,19.58M,19.58M,-19.36M,,,40.03M,0.255M,-39.77M,1.208M,105.60M,60.06M,0.255M,40.03M,-39.77M,-6.982M,-39.77M,13.31M,,13.31M,,-0.622M,,12.69M,23.71M,138.14M,84.81M,53.34M,0.07,,,0.135,0.07,0.07,,,0.1348,0.07,169.67M,169.97M,0.595
2020-06,228.19M,231.11M,76.82M,154.29M,21.20M,21.20M,-0.23M,,,39.40M,0.575M,-38.83M,2.48M,108.74M,45.55M,0.575M,39.40M,-38.83M,12.86M,-38.83M,19.57M,,19.57M,,-0.528M,,19.05M,11.72M,144.04M,85.06M,58.98M,0.11,,,0.0668,0.11,0.11,,,0.0669,0.11,169.64M,169.97M,0.595
2020-03,280.96M,283.66M,78.26M,205.40M,13.70M,13.70M,-132.91M,,,36.33M,0.542M,-35.79M,1.337M,104.34M,101.06M,0.542M,36.33M,-35.79M,-128.07M,-35.79M,-62.79M,,-62.79M,,-0.549M,,-25.33M,76.15M,62.84M,89.30M,-26.46M,-0.3772,,0.2263,0.4535,-0.15,-0.3772,,0.2263,0.4535,-0.15,167.91M,167.91M,0.595
2019-12,285.07M,288.73M,79.79M,208.94M,18.26M,18.26M,12.10M,,,36.64M,0.201M,-36.44M,3.328M,113.23M,95.71M,0.201M,36.64M,-36.44M,11.79M,-36.44M,71.06M,,71.06M,,-0.84M,,40.29M,74.23M,199.34M,91.64M,107.70M,0.2026,,0.0384,0.2266,0.2411,0.2017,,0.0383,0.2257,0.24,167.57M,167.58M,0.585
2019-09,278.83M,282.28M,75.30M,206.98M,16.70M,16.70M,-1.377M,,,36.82M,0.22M,-36.60M,1.819M,110.38M,96.60M,0.22M,36.82M,-36.60M,-2.053M,-36.60M,57.94M,,57.94M,,-0.979M,,56.96M,58.26M,186.62M,91.86M,94.77M,0.34,,,0.3477,0.34,0.34,,,0.3477,0.34,167.56M,167.94M,0.585
2019-06,272.37M,275.87M,76.26M,199.61M,18.72M,18.72M,-10.44M,,,35.27M,0.244M,-35.02M,1.533M,113.84M,85.77M,0.244M,35.27M,-35.02M,1.946M,-35.02M,52.69M,,52.69M,,-0.962M,,51.73M,59.89M,181.55M,93.59M,87.96M,0.31,,,0.3587,0.31,0.31,,,0.3586,0.31,167.54M,167.96M,0.585
2019-03,283.60M,286.26M,74.79M,211.46M,21.30M,21.30M,-12.26M,,,36.04M,0.404M,-35.64M,1.134M,119.63M,91.84M,0.404M,36.04M,-35.64M,18.80M,-35.64M,75.00M,,75.00M,,-1.047M,,90.45M,82.73M,208.24M,97.19M,111.04M,0.4417,,0.0985,0.4941,0.54,0.441,,0.0983,0.4933,0.54,167.44M,167.72M,0.585
2018-12,281.95M,284.56M,83.87M,200.69M,13.54M,13.54M,0.00,,,35.10M,0.218M,-34.88M,-1.732M,109.68M,91.01M,0.218M,35.10M,-34.88M,8.704M,-34.88M,64.84M,,64.84M,,-0.832M,,78.90M,67.45M,192.81M,92.88M,99.93M,0.3779,,0.0877,0.3983,0.47,0.3767,,0.0877,0.397,0.46,169.36M,169.90M,0.555
2018-09,275.34M,278.31M,75.69M,202.62M,17.56M,17.56M,0.00,,,34.97M,0.458M,-34.52M,2.045M,108.79M,93.83M,0.458M,34.97M,-34.52M,8.845M,-34.52M,68.16M,,68.16M,,-0.812M,,69.72M,68.21M,192.32M,89.18M,103.14M,0.3975,,0.014,0.4026,0.41,0.3965,,0.014,0.4016,0.41,169.44M,169.84M,0.555
2018-06,279.09M,281.41M,73.39M,208.02M,16.78M,16.78M,-11.01M,,,36.13M,0.16M,-35.97M,2.799M,108.68M,99.34M,0.16M,36.13M,-35.97M,-3.369M,-35.97M,60.00M,,60.00M,,-0.748M,,47.84M,68.41M,185.24M,89.10M,96.13M,0.3497,,-0.0673,0.4038,0.28,0.3492,,-0.0673,0.4032,0.28,169.42M,169.68M,0.555
