,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,13.31M,,-5.263M,-8.116M,1.822M,7.801M,,,84.81M,84.81M,,,0.00,,3.437M,-5.062M,28.18M,,9.241M,,,1.448M,38.87M,157.17M,,,,,-5.869M,0.047M,-0.111M,-37.40M,-303.02M,,-303.02M,0.199M,0.00,0.199M,,,,-100.57M,,-100.57M,-0.107M,-22.76M,-426.26M,587.36M,-306.48M,280.88M,0.199M,0.00,-303.02M,0.00,0.322M,49.29M
2020-06,19.57M,,-11.77M,-2.824M,3.887M,-10.71M,,,85.06M,85.06M,,,0.23M,,3.897M,-7.378M,-42.68M,,38.48M,,,3.054M,-1.146M,91.74M,,,,,-9.116M,-0.024M,-0.273M,-25.57M,-108.75M,,-108.75M,-0.144M,0.00,-0.144M,,,,-100.56M,,-100.56M,-0.107M,-6.091M,-215.66M,736.84M,-149.49M,587.36M,-0.144M,598.83M,-707.58M,0.00,0.259M,24.10M
2020-03,-24.78M,,-33.08M,-11.42M,-4.328M,-48.83M,,,89.30M,89.30M,,,132.91M,,3.32M,-9.841M,18.57M,,-27.50M,,,-23.91M,-32.84M,125.68M,,,,,-32.97M,0.056M,-0.167M,-2.553M,478.56M,,478.56M,125.82M,0.00,125.82M,,,,-99.41M,,-99.41M,-5.298M,-1.519M,498.16M,115.56M,621.28M,736.84M,125.82M,610.00M,-131.44M,0.00,0.317M,47.91M
2019-12,41.13M,,-8.222M,-17.28M,1.618M,-23.89M,,,91.64M,91.64M,,,42.08M,,3.623M,-11.03M,-5.21M,,-10.71M,,,9.414M,-6.507M,151.92M,,,,,-9.588M,-0.712M,,-16.38M,31.87M,,31.87M,0.00,-0.001M,-0.001M,,,,-97.68M,,-97.68M,-0.039M,-1.581M,-67.43M,47.46M,68.10M,115.56M,0.00,110.00M,-78.13M,-0.001M,0.447M,24.08M
2019-09,57.94M,,-2.373M,0.282M,0.254M,-0.446M,,,91.86M,91.86M,,,-0.014M,,3.727M,-8.078M,-6.455M,,18.18M,,,7.553M,19.28M,180.03M,,,,,-24.36M,-2.537M,,-252.80M,185.69M,,185.69M,0.00,0.001M,0.001M,,,,-97.68M,,-97.68M,-0.017M,-5.136M,82.86M,37.36M,10.10M,47.46M,0.00,689.59M,-503.90M,0.001M,0.319M,43.70M
2019-06,52.69M,,-1.387M,-13.13M,0.983M,-13.53M,,,93.59M,93.59M,,,10.44M,,3.514M,-3.416M,-2.075M,,5.616M,,,-0.111M,3.43M,157.96M,,,,,-13.38M,0.077M,,-60.51M,-5.542M,,-5.542M,0.001M,0.00,0.001M,,,,-97.64M,,-97.64M,0.00,0.311M,-102.87M,42.78M,-5.42M,37.36M,0.001M,75.00M,-80.54M,0.00,0.444M,25.93M
2019-03,91.49M,,-24.56M,-30.83M,2.314M,-42.49M,,,97.19M,97.19M,,,1.672M,,3.475M,-10.17M,9.05M,,-8.908M,,,-24.37M,-24.23M,131.36M,,,,,-19.59M,-0.747M,,47.00M,-28.57M,,-28.57M,0.008M,-32.78M,-32.77M,,,,-97.61M,,-97.61M,-6.148M,-15.68M,-180.77M,45.19M,-2.406M,42.78M,0.008M,408.98M,-437.55M,-32.78M,0.015M,42.42M
2018-12,79.74M,,-21.19M,-13.43M,-2.56M,-37.18M,,,92.88M,92.88M,,,8.994M,,3.623M,-4.422M,-13.05M,,-15.86M,,,16.95M,-11.96M,145.57M,,,,,-15.87M,-0.27M,0.00,41.16M,-2.197M,,-2.197M,0.00,-88.86M,-88.86M,,,,-93.70M,,-93.70M,0.00,-1.264M,-186.02M,44.49M,0.704M,45.19M,0.00,120.00M,-122.20M,-88.86M,0.684M,32.44M
2018-09,70.53M,,-4.223M,-10.02M,0.931M,-13.32M,,,89.18M,89.18M,,,0.856M,,3.438M,-4.105M,-9.524M,,21.15M,,,-8.023M,3.605M,163.85M,,,,,-12.92M,-0.557M,0.00,46.73M,-114.09M,,-114.09M,0.00,0.00,0.00,,,,-93.72M,,-93.72M,-0.017M,-1.507M,-209.33M,43.24M,1.246M,44.49M,0.00,55.00M,-169.09M,0.00,4.481M,37.52M
2018-06,48.59M,,-1.623M,-9.174M,0.504M,0.717M,,,89.10M,89.10M,,,12.53M,,3.177M,-8.617M,-8.098M,,7.741M,,,-7.50M,-7.857M,151.04M,,,,,-6.121M,0.251M,16.11M,-86.70M,-8.939M,,-8.939M,0.00,0.00,0.00,,,,-93.71M,,-93.71M,0.00,-12.08M,-114.73M,93.64M,-50.40M,43.24M,0.00,215.00M,-223.94M,0.00,0.29M,36.22M
2018-03,53.46M,,-0.126M,-10.35M,0.04M,-10.27M,,,88.52M,88.52M,,,16.05M,,3.397M,-5.71M,4.296M,,-13.79M,,,0.588M,-8.909M,149.87M,,,,,-39.33M,-1.001M,-0.462M,-107.21M,238.48M,,238.48M,0.099M,-124.99M,-124.89M,,,,-94.85M,,-94.85M,-6.755M,-10.39M,1.593M,49.38M,44.26M,93.64M,0.099M,486.25M,-247.77M,-124.99M,,30.47M
2017-12,85.94M,,-23.45M,-9.537M,0.959M,-31.99M,,,90.44M,90.44M,-9.737M,,0.00,,3.713M,-1.995M,-14.75M,,-7.022M,,,-2.931M,-24.71M,124.36M,,,,,-11.23M,-0.12M,-1.776M,-149.49M,46.36M,,46.36M,88.46M,0.00,88.46M,,0.00,0.00,-89.85M,0.00,-89.85M,0.602M,-1.697M,43.87M,30.64M,18.74M,49.38M,88.46M,154.07M,-107.71M,0.00,,36.68M
2017-09,63.58M,,-1.008M,-12.22M,0.937M,-12.29M,,,91.47M,91.47M,,,0.00,,3.01M,-4.726M,-13.08M,,28.76M,,,-2.916M,12.76M,168.36M,,,,,-9.038M,-3.061M,-0.623M,-89.56M,15.25M,,15.25M,0.024M,0.00,0.024M,,-75.00M,-75.00M,-89.85M,-0.663M,-90.52M,-0.253M,-2.362M,-152.86M,104.70M,-74.06M,30.64M,0.024M,47.91M,-32.66M,-75.00M,,29.63M
2017-06,50.17M,,-5.253M,-12.24M,0.886M,-4.204M,,,92.23M,92.23M,0.087M,,,,1.695M,-5.889M,-3.783M,,0.52M,,,0.098M,-3.165M,144.41M,,,,,0.347M,0.543M,-2.327M,-81.67M,109.36M,,109.36M,0.00,,0.00,,0.00,0.00,-89.66M,-1.125M,-90.78M,-0.723M,-20.74M,-2.885M,44.84M,59.86M,104.70M,0.00,594.20M,-484.84M,0.00,,35.96M
2017-03,-20.72M,,-1.479M,-9.342M,1.062M,-9.759M,,,60.05M,60.05M,-0.087M,,0.00,,12.13M,-1.025M,5.535M,,-24.37M,,,-1.891M,-20.73M,32.66M,,,,,-650.40M,0.481M,-0.51M,-686.52M,1.015B,,1.015B,0.076M,0.00,0.076M,,-250.00M,-250.00M,-53.29M,-3.241M,-56.53M,-18.28M,-9.661M,680.82M,17.88M,26.96M,44.84M,0.076M,1.388B,-372.79M,-250.00M,0.00,7.687M
2016-12,61.66M,,-24.73M,-9.90M,0.406M,-33.93M,,,42.61M,42.61M,0.00,,2.534M,,3.098M,0.937M,-7.621M,,-7.188M,,,-0.85M,-15.66M,71.84M,,,,,-24.75M,1.481M,,-54.05M,15.61M,,15.61M,-0.625M,,-0.654M,,0.00,0.00,-51.98M,-5.265M,-57.24M,0.029M,-2.322M,-44.59M,40.90M,-26.79M,17.88M,-0.625M,98.22M,-82.62M,-0.029M,,28.05M
2016-09,11.11M,,-10.40M,-22.65M,0.82M,-18.29M,,,40.71M,40.71M,,,0.00,,2.365M,1.291M,0.749M,,22.05M,,,0.438M,23.24M,74.04M,,,,,-9.304M,1.453M,,-38.56M,-346.18M,,-346.18M,399.81M,,399.81M,,0.00,0.00,-51.99M,-5.266M,-57.25M,-0.029M,-15.86M,-19.51M,24.94M,15.96M,40.90M,399.81M,100.22M,-446.40M,0.00,,10.75M
2016-06,40.64M,,-1.15M,-11.05M,0.577M,-11.62M,,,40.30M,40.30M,,,0.00,,2.568M,1.653M,-4.451M,,-2.161M,,,-4.769M,-11.38M,74.48M,,,,,-1.385M,0.172M,,-308.69M,149.21M,,149.21M,137.50M,,137.50M,,0.00,0.00,-48.55M,-5.265M,-53.82M,0.00,-0.871M,232.02M,27.14M,-2.198M,24.94M,137.50M,305.00M,-155.79M,0.00,,36.54M
2016-03,53.58M,,-12.71M,-12.92M,-0.148M,-25.78M,,,38.72M,38.72M,0.00,,1.666M,,2.621M,2.002M,2.523M,,-7.286M,,,-5.059M,-9.822M,76.82M,,,,,-2.438M,-0.739M,,-7.333M,-28.85M,,-28.85M,13.20M,,13.20M,,0.00,0.00,-48.51M,-5.266M,-53.78M,-7.984M,-1.789M,-79.20M,36.86M,-9.719M,27.14M,13.20M,10.00M,-38.85M,0.00,,7.611M
2015-12,23.54M,,-2.206M,-4.517M,0.817M,2.394M,,,37.58M,37.58M,,,0.00,,2.702M,1.925M,0.392M,,-14.04M,,,2.169M,-11.48M,68.78M,,,,,-1.41M,-0.162M,0.719M,-30.99M,-150.64M,,-150.64M,197.50M,,197.50M,,,,-45.38M,-5.265M,-50.65M,,-11.11M,-24.81M,23.88M,12.98M,36.86M,197.50M,0.991M,-151.64M,,0.144M,29.79M
2015-09,59.73M,,-33.83M,-5.667M,-1.191M,-40.69M,,,37.03M,37.03M,,,,,2.759M,2.032M,-1.235M,,22.23M,,,-4.321M,16.68M,89.35M,,,,,-17.30M,0.033M,1.00M,-31.65M,-7.377M,,-7.377M,0.042M,,0.042M,,,,-45.38M,-5.266M,-50.65M,,-2.952M,-60.94M,27.11M,-3.234M,23.88M,0.042M,609.09M,-616.46M,,0.174M,18.28M
