,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,613.44M,613.44M,223.50M,389.94M,11.09M,11.09M,201.83M,,,,,116.72M,1.929M,-117.48M,,212.92M,177.02M,1.929M,116.72M,-117.48M,203.80M,-117.48M,263.33M,0.35M,262.98M,,,-10.13M,0.772M,252.86M,40.16M,581.89M,201.83M,380.06M,,0.68,,,,0.1081,0.68,,0.68,,,,0.1286,0.68,,371.92M,385.76M,0.6025,,AOR,
2020-09,622.43M,622.43M,228.53M,393.90M,10.86M,10.86M,200.60M,,,,,80.87M,0.535M,-82.44M,,211.46M,182.44M,0.535M,80.87M,-82.44M,-4.368M,-82.44M,95.63M,0.262M,95.36M,,,-4.079M,0.773M,91.29M,91.56M,380.00M,203.50M,176.50M,,0.24,,,,0.2407,0.24,,0.24,,,,0.2407,0.24,,371.87M,385.65M,0.6025,,AOR,
2020-06,653.53M,653.53M,223.10M,430.43M,11.84M,11.84M,205.98M,,,,,81.88M,1.511M,-82.48M,,217.81M,212.62M,1.511M,81.88M,-82.48M,141.53M,-82.48M,271.67M,0.187M,271.48M,,,-10.59M,0.772M,260.89M,117.76M,562.41M,208.86M,353.55M,,0.70,,,,0.3150,0.70,,0.70,,,,0.3291,0.70,,371.80M,385.91M,0.6025,,AOR,
2020-03,682.33M,682.33M,241.26M,441.07M,14.52M,14.52M,212.42M,,,,,85.59M,1.936M,-85.70M,,226.94M,214.13M,1.936M,85.59M,-85.70M,204.29M,-85.70M,332.72M,0.053M,332.67M,,,-24.06M,0.773M,308.61M,101.82M,633.74M,215.43M,418.31M,,0.83,,,,0.2735,0.83,,0.83,,,,0.2956,0.83,,371.58M,386.95M,0.6025,,AOR,
2019-12,684.28M,684.28M,226.69M,457.59M,11.63M,11.63M,214.88M,,,,,100.30M,0.236M,-103.07M,,226.51M,231.08M,0.236M,100.30M,-103.07M,170.27M,-103.07M,298.28M,-3.03M,301.31M,,,-11.54M,0.772M,289.76M,160.38M,615.26M,216.68M,398.58M,,0.78,,,,0.4314,0.78,,0.77,,,,0.4355,0.77,,371.16M,386.80M,0.5675,,AOR,
2019-09,685.12M,685.12M,224.45M,460.67M,11.42M,11.42M,211.48M,,,,,85.94M,0.656M,-88.16M,,222.90M,237.77M,0.656M,85.94M,-88.16M,128.50M,-88.16M,278.11M,0.265M,277.85M,,,-10.74M,0.773M,267.11M,135.92M,578.54M,214.49M,364.05M,,0.72,,,,0.3662,0.72,,0.71,,,,0.3709,0.71,,370.77M,386.90M,0.5675,,AOR,Restated
2019-06,669.37M,669.37M,224.28M,445.10M,14.33M,14.33M,200.51M,,,,,108.90M,1.152M,-111.40M,,214.84M,230.26M,1.152M,108.90M,-111.40M,202.68M,-111.40M,321.54M,0.246M,321.30M,,,-12.33M,0.772M,308.97M,101.33M,633.88M,203.44M,430.45M,,0.83,,,,0.2693,0.83,,0.83,,,,0.2922,0.83,,370.34M,386.11M,0.5675,,AOR,Restated
2019-03,662.49M,662.49M,232.91M,429.59M,15.38M,15.38M,204.22M,,,,,94.94M,0.581M,-96.49M,,219.60M,209.99M,0.581M,94.94M,-96.49M,-4.002M,-96.49M,109.50M,0.238M,109.26M,,,-4.718M,0.773M,104.54M,105.26M,412.67M,208.24M,204.43M,,0.28,,,,0.2820,0.28,,0.28,,,,0.2819,0.28,,369.56M,385.18M,0.5675,,AOR,Restated
2018-12,652.74M,652.74M,219.19M,433.56M,12.39M,12.39M,201.86M,,,0.00,,91.91M,0.457M,-93.70M,,214.25M,219.31M,0.457M,91.91M,-93.70M,-3.102M,-93.70M,122.50M,0.111M,122.39M,,,-5.201M,0.772M,117.19M,117.89M,416.26M,201.86M,214.40M,,0.32,,,,0.3219,0.32,,0.31,,,,0.3118,0.31,,368.45M,384.48M,0.54,,AOR,Restated
2018-09,652.87M,652.87M,220.18M,432.69M,12.64M,12.64M,194.62M,,,-0.702M,,111.22M,7.864M,-106.63M,,207.26M,225.43M,7.864M,111.22M,-106.63M,105.32M,-106.63M,224.13M,0.28M,223.85M,,,-8.909M,0.773M,214.94M,102.09M,529.96M,194.62M,335.34M,,0.58,,,,0.2734,0.58,,0.58,,,,0.2860,0.58,,368.03M,383.88M,0.54,,AOR,Restated
2018-06,639.81M,639.81M,216.71M,423.10M,12.50M,12.50M,192.94M,,,,,94.13M,1.116M,-95.11M,,205.44M,217.65M,1.116M,94.13M,-95.11M,-3.856M,-95.11M,118.68M,0.274M,118.41M,,,-4.808M,0.772M,113.60M,113.69M,405.76M,192.94M,212.82M,,0.31,,,,0.3102,0.31,,0.31,,,,0.3102,0.31,,367.93M,383.42M,0.54,,AOR,Restated
