,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,42.59M,,42.59M,,,,,57.14M,,99.73M,,,,499.29M,,499.29M,,499.29M,,,,52.78M,,291.43M,20.19B,20.29B,,107.37M,232.26M,,339.63M,65.90M,405.52M,,,414.83M,414.83M,,820.35M,7.629B,329.13M,7.959B,,237.84M,338.95M,405.54M,8.703B,9.523B,,41.00M,1.400B,9.129B,37.28M,-43.67M,10.53B,,AOR,
2020-09,178.33M,,178.33M,,,,,56.88M,,235.21M,,,,502.18M,,502.18M,,502.18M,,,,54.83M,,257.48M,20.39B,20.62B,,158.61M,232.24M,,390.85M,65.67M,456.52M,,,,,,456.52M,8.397B,329.68M,8.726B,,236.89M,293.71M,392.98M,9.413B,9.870B,,41.00M,1.372B,9.166B,37.28M,-61.48M,10.52B,,AOR,
2020-06,187.42M,,187.42M,,,,,58.12M,,245.53M,,,,505.08M,,505.08M,,505.08M,,,,55.31M,,282.35M,20.47B,20.71B,,109.78M,232.21M,,341.98M,67.59M,409.57M,,,,,,409.57M,8.422B,330.14M,8.752B,,239.80M,336.70M,379.21M,9.468B,9.877B,,41.00M,1.506B,9.118B,37.28M,-67.36M,10.60B,,AOR,
2020-03,82.34M,,82.34M,,,,,58.44M,,140.77M,,,,507.96M,,507.96M,,507.96M,,,,55.87M,,226.05M,20.78B,20.92B,,165.70M,232.19M,,397.88M,65.92M,463.81M,,612.65M,612.65M,612.65M,,1.076B,8.020B,330.71M,8.351B,,240.32M,353.34M,368.07M,9.072B,10.15B,,41.00M,1.470B,9.092B,37.28M,-72.90M,10.53B,,AOR,
2019-12,45.75M,,45.75M,,,,,71.25M,,117.00M,,,,512.77M,,512.77M,,512.77M,,,,52.24M,,233.94M,21.06B,21.17B,,94.35M,218.33M,,312.68M,66.85M,379.53M,,1.018B,1.018B,1.018B,,1.397B,8.019B,331.33M,8.350B,,229.02M,463.40M,417.02M,9.231B,10.63B,,41.00M,1.386B,8.966B,37.28M,-77.56M,10.32B,,AOR,
2019-09,28.78M,,28.78M,,,,,55.82M,,84.60M,0.00,437.30M,43.74M,,,481.04M,,481.04M,,,,52.47M,,249.99M,20.97B,21.05B,,151.68M,218.14M,,369.82M,73.75M,443.56M,,354.38M,354.38M,354.38M,,797.94M,8.638B,333.31M,8.971B,,224.36M,495.00M,383.25M,9.849B,10.65B,,40.99M,1.308B,8.917B,37.28M,-84.09M,10.18B,,AOR,Restated
2019-06,251.27M,,251.27M,,,,,58.20M,,309.47M,0.00,416.37M,15.38M,,,431.75M,,431.75M,,,,52.91M,,227.43M,20.68B,20.99B,,108.57M,218.70M,,327.27M,64.16M,391.43M,,0.00,0.00,0.00,,391.43M,9.130B,281.62M,9.412B,,226.02M,436.04M,371.66M,10.22B,10.61B,,40.99M,1.253B,8.950B,37.28M,-89.85M,10.15B,,AOR,Restated
2019-03,29.39M,,29.39M,,,,,64.12M,,93.51M,0.00,418.66M,16.02M,,,434.68M,,434.68M,,,,62.85M,,241.13M,20.68B,20.77B,,152.83M,218.47M,,371.30M,74.03M,445.33M,,344.84M,344.84M,344.84M,,790.17M,8.608B,282.24M,8.890B,,219.62M,432.56M,389.51M,9.712B,10.50B,,40.98M,1.155B,8.926B,37.28M,-75.01M,10.05B,,AOR,Restated
2018-12,47.44M,,47.44M,,,,,68.87M,,116.31M,,,,,,0.00,,0.00,,,,58.35M,,404.81M,20.28B,20.39B,,102.47M,206.60M,,309.07M,62.62M,371.69M,,499.18M,499.18M,499.18M,,870.88M,8.319B,0.00,8.319B,,226.44M,379.11M,425.82M,9.124B,9.995B,,40.97M,1.262B,8.935B,37.28M,-64.99M,10.17B,,AOR,Restated
2018-09,33.00M,,33.00M,,,,,55.76M,,88.75M,,,,,,,,,,,,57.58M,,465.09M,20.45B,20.54B,,182.45M,206.90M,,389.34M,69.13M,458.48M,,499.37M,499.37M,499.37M,,957.84M,8.324B,,8.324B,,231.67M,381.24M,411.55M,9.117B,10.08B,,40.96M,1.345B,8.900B,37.28M,-50.69M,10.24B,,AOR,Restated
2018-06,34.51M,,34.51M,,,,,54.37M,,88.88M,,,,,,,,,,,,58.12M,,433.03M,20.32B,20.41B,,146.42M,206.83M,,353.24M,63.34M,416.58M,,345.81M,345.81M,345.81M,,762.39M,8.427B,,8.427B,,231.35M,366.48M,410.96M,9.204B,9.967B,,40.96M,1.330B,8.905B,37.28M,-67.31M,10.21B,,AOR,Restated
2018-03,44.45M,,44.45M,,,,,50.26M,,94.71M,,,,,,,,,,,,59.09M,,444.50M,20.29B,20.38B,,167.48M,206.79M,,374.28M,69.75M,444.03M,,234.32M,234.32M,234.32M,,678.35M,8.425B,,8.425B,,235.92M,354.57M,400.70M,9.180B,9.859B,,40.96M,1.416B,8.910B,37.28M,-77.73M,10.29B,,AOR,Restated
