,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.033B,1.033B,759.57M,273.18M,31.00M,31.00M,,-56.32M,2.857M,,,,,289.39M,-16.21M,,,-65.13M,,-81.34M,2.003M,394.98M,,,-69.39M,,325.58M,367.71M,241.62M,257.83M,-16.21M,0.95,-0.17,,,1.051,0.78,0.94,-0.17,,,1.041,0.77,417.03M,418.99M,0.61
2020-06,1.182B,1.182B,787.12M,394.81M,34.06M,34.06M,,-75.40M,1.422M,,,,,300.86M,93.96M,,,-89.70M,,4.254M,2.233M,3.353M,,155.86M,20.03M,,179.25M,79.47M,362.61M,268.66M,93.96M,0.38,0.05,0.0,,0.5145,0.43,0.38,0.04,0.3719,,0.5138,0.42,417.08M,419.12M,0.61
2020-03,1.255B,1.255B,823.79M,431.38M,35.48M,35.48M,,-27.83M,7.072M,,,,,317.35M,114.03M,,,-38.34M,,75.69M,5.442M,66.56M,,262.82M,-19.10M,,310.28M,80.39M,391.49M,277.46M,114.03M,0.8,-0.04,0.0,,0.8802,0.76,0.8,-0.05,0.6373,,0.8798,0.75,410.31M,412.42M,0.87
2019-12,1.257B,1.257B,794.17M,462.82M,26.51M,26.51M,,-2.71M,0.00,,,,,289.15M,173.67M,,,-7.846M,,165.82M,-4.832M,-507.90M,,,-15.81M,,224.32M,-525.44M,439.32M,265.66M,173.67M,0.5228,-0.04,0.0,,0.5186,0.55,0.5204,-0.04,0.0296,,0.5161,0.55,406.06M,408.00M,0.87
2019-09,1.262B,1.262B,792.93M,468.97M,31.02M,31.02M,,-83.92M,0.00,,,,,303.46M,165.51M,,,-87.12M,,78.39M,3.968M,647.93M,,,-58.06M,,589.88M,670.73M,441.34M,275.82M,165.51M,1.6,-0.14,,,1.8,1.46,1.59,-0.14,,,1.7890000000000001,1.45,405.02M,406.89M,0.87
2019-06,1.317B,1.317B,842.46M,474.56M,33.74M,33.74M,,-9.939M,0.00,,,,,281.79M,192.77M,,,-30.40M,,162.37M,1.599M,151.72M,,-1.682M,-12.28M,,137.76M,151.18M,444.59M,251.82M,192.77M,0.37,-0.03,0.0,,0.399,0.34,0.37,-0.03,-0.0042,,0.3989,0.34,404.61M,406.67M,0.87
2019-03,1.264B,1.264B,816.04M,448.45M,35.28M,35.28M,,-15.72M,18.69M,,,,,297.90M,150.54M,,,-14.23M,,136.31M,2.222M,124.89M,,167.41M,-11.83M,,280.47M,126.08M,400.47M,249.92M,150.54M,0.75,-0.03,0.0,,0.7832,0.72,0.74,-0.03,0.4255,,0.7731,0.71,391.47M,393.45M,0.87
2018-12,1.234B,1.234B,795.01M,439.04M,31.10M,31.10M,,-76.08M,0.00,,,,,273.94M,165.10M,,,-81.01M,,84.09M,1.504M,82.78M,,41.91M,-11.26M,11.68M,113.44M,147.84M,413.45M,248.35M,165.10M,0.1582,-0.05,0.0,,0.3599,0.27,0.1575,-0.05,0.1103,,0.3583,0.27,378.32M,380.09M,0.87
2018-09,1.233B,1.233B,795.19M,437.49M,28.75M,28.75M,,-10.78M,0.00,,,,,271.90M,165.60M,,,-104.70M,,60.90M,1.741M,59.50M,,24.72M,-8.166M,11.68M,76.06M,70.54M,413.49M,247.90M,165.60M,0.23,-0.06,0.0,,0.2815,0.17,0.22,-0.06,0.066,,0.2713,0.17,373.02M,374.49M,0.87
2018-06,1.110B,1.110B,690.17M,420.24M,32.83M,32.83M,,-4.931M,0.00,,,,,269.11M,151.14M,,,7.975M,,159.11M,3.841M,156.52M,,10.76M,-1.165M,11.68M,166.11M,152.89M,391.87M,240.73M,151.14M,0.45,-0.03,0.0,,0.4434,0.42,0.45,-0.04,0.0288,,0.4434,0.41,371.64M,373.08M,0.87
2018-03,1.094B,1.094B,679.24M,414.71M,33.70M,33.70M,,-39.89M,0.00,,,,,261.91M,152.80M,,,-33.42M,,119.39M,1.588M,115.37M,,338.18M,-4.208M,11.68M,449.35M,143.45M,385.90M,233.09M,152.80M,1.22,-0.04,0.0,,1.307,1.18,1.22,-0.05,0.906,,1.306,1.17,371.43M,373.26M,0.87
2017-12,1.102B,1.102B,675.12M,426.77M,28.36M,28.36M,,-100.19M,,,,,,329.79M,96.98M,,,-157.99M,,-61.01M,25.66M,-146.12M,,56.38M,-10.10M,11.68M,-99.85M,-96.11M,340.04M,243.06M,96.98M,-0.4532,-0.84,0.0,,-0.291,-0.3,-0.4532,-0.84,0.1522,,-0.2917,-0.3,370.66M,372.32M,0.87
2017-09,1.085B,1.085B,646.58M,438.87M,29.91M,29.91M,,0.00,,,,,,260.05M,178.82M,,,-93.88M,,84.94M,0.669M,87.68M,,1.622M,-3.58M,11.68M,85.72M,84.42M,413.40M,234.58M,178.82M,0.24,-0.04,0.0,,0.2409,0.2,0.24,-0.04,0.0044,,0.2409,0.2,369.09M,370.74M,0.87
2017-06,1.054B,1.054B,618.09M,435.45M,32.63M,32.63M,,-19.15M,,,,,,257.48M,177.98M,,,-21.16M,,156.82M,-8.448M,161.29M,,42.16M,-3.332M,11.68M,200.11M,169.88M,407.29M,229.32M,177.98M,0.44,0.07,0.0,,0.4725,0.51,0.44,0.07,0.1145,,0.4724,0.51,366.52M,368.15M,0.87
2017-03,1.058B,1.058B,628.77M,429.46M,31.10M,31.10M,,-42.39M,,,,,,259.38M,170.08M,,,-51.21M,,118.87M,2.245M,93.52M,,244.09M,-0.823M,14.38M,336.79M,135.48M,401.73M,231.64M,170.08M,0.26,0.6,0.0,,0.378,0.86,0.26,0.6,0.6694,,0.3773,0.86,362.53M,364.65M,0.87
2016-12,1.070B,1.070B,621.20M,449.21M,32.81M,32.81M,,-40.10M,,,,,,270.94M,178.27M,,,-41.08M,,137.19M,-16.58M,150.94M,,200.16M,-1.714M,16.35M,349.40M,173.33M,409.55M,231.28M,178.27M,0.367,-0.19,0.0,,0.4335,0.92,0.3647,-0.19,0.5493,,0.4308,0.91,362.37M,364.65M,0.86
