,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,5.341B,5.341B,3.613B,1.728B,1.294B,0.00,59.00M,3.00M,-64.00M,,1.294B,434.00M,3.00M,59.00M,-64.00M,63.00M,-64.00M,433.00M,61.00M,372.00M,124.00M,-45.00M,,451.00M,322.70M,699.00M,207.00M,492.00M,,0.45,0.17,0.4441,0.62,,0.45,0.17,0.4441,0.62,,723.10M,726.50M,0.26,,AOR,
2020-09,5.954B,5.954B,3.979B,1.975B,1.453B,0.00,58.00M,2.00M,-64.00M,,1.453B,522.00M,2.00M,58.00M,-64.00M,63.00M,-64.00M,521.00M,31.00M,490.00M,0.00,-49.00M,,441.00M,439.12M,785.00M,206.00M,579.00M,,0.5998,0.00,0.5973,0.5998,,0.5998,0.00,0.5973,0.5998,,735.10M,737.70M,0.26,,AOR,
2020-06,5.343B,5.343B,3.511B,1.832B,1.334B,-610.00M,58.00M,3.00M,-63.00M,,1.334B,498.00M,3.00M,58.00M,-63.00M,-558.00M,-63.00M,-123.00M,-1.00M,-122.00M,0.00,-60.00M,,-182.00M,416.95M,137.00M,202.00M,-65.00M,,-0.24,0.00,0.5650,-0.24,,-0.24,0.00,0.5650,-0.24,,744.00M,744.00M,0.26,,AOR,
2020-03,5.444B,5.444B,3.643B,1.801B,1.451B,-62.00M,62.00M,5.00M,-62.00M,,1.451B,350.00M,5.00M,62.00M,-62.00M,-39.00M,-62.00M,249.00M,13.00M,236.00M,0.00,-23.00M,,213.00M,269.05M,518.00M,207.00M,311.00M,,0.28,0.00,0.3543,0.28,,0.28,0.00,0.3540,0.28,,754.80M,757.10M,0.26,,AOR,
2019-12,5.576B,5.576B,3.773B,1.803B,1.427B,-111.00M,62.00M,13.00M,-54.00M,,1.427B,376.00M,13.00M,62.00M,-54.00M,-66.00M,-54.00M,256.00M,65.00M,191.00M,0.00,-32.00M,,159.00M,240.75M,525.00M,207.00M,318.00M,,0.21,0.00,0.3162,0.21,,0.21,0.00,0.3156,0.21,,769.90M,774.00M,0.26,,AOR,Restated
2019-09,6.274B,6.274B,4.294B,1.98B,1.96B,0.00,66.00M,20.00M,-54.00M,,1.96B,20.00M,20.00M,66.00M,-54.00M,61.00M,-54.00M,27.00M,-627.00M,654.00M,0.00,-42.00M,,612.00M,607.62M,293.00M,200.00M,93.00M,,0.7870,0.00,0.7815,0.7870,,0.77,0.00,0.7645,0.77,,785.60M,790.60M,0.26,,AOR,Restated
2019-06,6.451B,6.451B,4.307B,2.144B,1.388B,-295.00M,81.00M,28.00M,-60.00M,,1.388B,756.00M,28.00M,81.00M,-60.00M,-232.00M,-60.00M,464.00M,239.00M,225.00M,4.051B,-84.00M,,4.192B,355.62M,748.00M,203.00M,545.00M,,0.16,4.65,0.4064,4.81,,0.16,4.63,0.4052,4.79,,870.90M,875.20M,0.26,,AOR,Restated
2019-03,5.779B,5.779B,3.935B,1.844B,1.458B,0.00,97.00M,6.00M,-98.00M,,1.458B,386.00M,6.00M,97.00M,-98.00M,33.00M,-98.00M,321.00M,47.00M,274.00M,284.00M,-43.00M,,515.00M,231.00M,629.00M,211.00M,418.00M,,0.27,0.30,0.27,0.57,,0.26,0.30,0.26,0.57,,902.50M,905.90M,0.26,,AOR,Restated
2018-12,5.464B,5.464B,3.739B,1.725B,1.438B,0.00,91.00M,7.00M,-90.00M,,1.438B,287.00M,7.00M,91.00M,-90.00M,47.00M,-90.00M,244.00M,108.00M,136.00M,263.00M,-44.00M,,355.00M,88.35M,546.00M,211.00M,335.00M,,0.12,0.27,0.1160,0.39,,0.12,0.27,0.1161,0.39,,921.60M,925.20M,0.26,,AOR,Restated
2018-09,6.183B,6.183B,4.126B,2.057B,1.392B,-101.00M,102.00M,0.00,-109.00M,,1.392B,665.00M,0.00,102.00M,-109.00M,-41.00M,-109.00M,515.00M,-117.00M,632.00M,193.00M,-54.00M,,771.00M,642.97M,792.00M,175.00M,617.00M,,0.8337,0.00,0.9039,0.8337,,0.83,0.00,0.8998,0.83,,924.80M,930.50M,0.26,,AOR,Restated
2018-06,6.282B,6.282B,4.194B,2.088B,1.441B,0.00,106.00M,5.00M,-109.00M,,1.441B,647.00M,5.00M,106.00M,-109.00M,69.00M,-109.00M,607.00M,61.00M,546.00M,258.00M,-81.00M,,723.00M,452.40M,940.00M,227.00M,713.00M,,0.51,0.27,0.4964,0.78,,0.51,0.27,0.4965,0.78,,925.60M,930.70M,0.26,,AOR,Restated
2018-03,5.63B,5.63B,3.806B,1.824B,1.49B,0.00,99.00M,1.00M,-106.00M,,1.49B,334.00M,1.00M,99.00M,-106.00M,26.00M,-106.00M,254.00M,36.00M,218.00M,265.00M,-45.00M,,438.00M,173.86M,565.00M,212.00M,353.00M,,0.20,0.27,0.2009,0.47,,0.20,0.27,0.2009,0.47,,926.20M,932.50M,0.26,,AOR,Restated
2017-12,5.305B,5.305B,3.607B,1.698B,1.319B,-154.00M,102.00M,7.00M,-102.00M,,1.319B,379.00M,7.00M,102.00M,-102.00M,-107.00M,-102.00M,170.00M,217.00M,-47.00M,318.00M,-41.00M,,230.00M,46.75M,482.00M,210.00M,272.00M,,-0.08,0.33,0.0655,0.25,,-0.08,0.33,0.0655,0.25,,926.10M,926.10M,0.26,,AOR,Restated
2017-09,799.00M,799.00M,95.00M,704.00M,818.00M,-121.00M,103.00M,-5.00M,-102.00M,,818.00M,-114.00M,-5.00M,103.00M,-102.00M,-129.00M,-102.00M,-345.00M,-248.00M,-97.00M,1.024B,-52.00M,,875.00M,-83.60M,-242.00M,0.00,-242.00M,,0.9415,0.00,1.012,0.9415,,0.93,0.00,0.9997,0.93,,929.60M,938.00M,0.25,,AOR,Restated
2017-06,7.683B,7.683B,5.252B,2.431B,1.609B,-49.00M,115.00M,4.00M,-125.00M,,1.609B,822.00M,4.00M,115.00M,-125.00M,21.00M,-125.00M,718.00M,89.00M,629.00M,,-74.00M,,555.00M,597.00M,1.114B,281.00M,833.00M,,0.59,0.00,0.6349,0.59,,0.59,0.00,0.6345,0.59,,935.40M,944.40M,0.25,,AOR,Restated
2017-03,7.267B,7.267B,4.986B,2.281B,1.726B,-99.00M,118.00M,5.00M,-124.00M,,1.726B,555.00M,5.00M,118.00M,-124.00M,-38.00M,-124.00M,393.00M,508.00M,-115.00M,0.00,-33.00M,,-148.00M,-93.40M,803.00M,292.00M,511.00M,,-0.16,0.00,-0.1019,-0.16,,-0.16,0.00,-0.1019,-0.16,,939.20M,939.20M,0.25,,AOR,Restated
2016-12,7.086B,7.086B,4.972B,2.114B,1.57B,-78.00M,110.00M,7.00M,-133.00M,,1.57B,544.00M,7.00M,110.00M,-133.00M,-26.00M,-133.00M,385.00M,-27.00M,412.00M,-34.00M,-49.00M,,329.00M,438.33M,841.00M,346.00M,495.00M,,0.40,-0.05,0.4804,0.35,,0.39,-0.05,0.4695,0.35,,937.20M,947.40M,0.25,,AOR,Restated
2016-09,6.254B,6.254B,4.566B,1.688B,1.549B,-201.00M,90.00M,4.00M,-97.00M,,1.549B,139.00M,4.00M,90.00M,-97.00M,-144.00M,-97.00M,-102.00M,-5.00M,-97.00M,-1.035B,-39.00M,,-1.171B,45.64M,261.00M,273.00M,-12.00M,,-1.608,-1.56,-1.359,-1.608,,-1.61,-1.56,-1.363,-1.61,,728.60M,735.90M,0.3037,,AOR,Restated
2016-06,5.154B,5.154B,3.732B,1.422B,895.00M,-27.00M,66.00M,4.00M,-69.00M,,895.00M,527.00M,4.00M,66.00M,-69.00M,22.00M,-69.00M,480.00M,78.00M,402.00M,57.00M,-76.00M,,383.00M,345.32M,781.00M,235.00M,546.00M,,0.54,0.06,0.5700,0.59,,0.53,0.06,0.5597,0.59,,644.90M,649.70M,0.3037,,AOR,Restated
2016-03,4.733B,4.733B,3.446B,1.287B,899.00M,-60.00M,65.00M,2.00M,-68.00M,,899.00M,388.00M,2.00M,65.00M,-68.00M,-23.00M,-68.00M,297.00M,41.00M,256.00M,-725.00M,-61.00M,,-530.00M,249.18M,581.00M,219.00M,362.00M,,0.34,-1.15,0.4236,-0.82,,0.33,-1.15,0.4131,-0.82,,648.20M,652.10M,0.3037,,AOR,Restated
2015-12,4.696B,4.696B,3.439B,1.257B,847.00M,0.00,72.00M,2.00M,-77.00M,,847.00M,410.00M,2.00M,72.00M,-77.00M,53.00M,-77.00M,386.00M,83.00M,303.00M,187.00M,-40.00M,,450.00M,254.42M,684.00M,226.00M,458.00M,,0.43,0.26,0.4168,0.69,,0.43,0.26,0.4169,0.69,,647.70M,652.80M,0.3037,,AOR,Restated
2015-09,-11.33B,-11.33B,-10.97B,-357.00M,236.00M,-215.00M,60.00M,0.00,-63.00M,,236.00M,-593.00M,0.00,60.00M,-63.00M,-406.00M,-63.00M,-1.062B,-394.00M,-668.00M,1.037B,-20.00M,,349.00M,-555.28M,-789.00M,213.00M,-1.002B,,0.0048,0.5572,0.1845,0.5620,,0.0048,0.5550,0.1830,0.5550,,738.78M,744.79M,0.2723,,AOR,Restated
2015-06,9.608B,9.608B,7.902B,1.706B,975.00M,0.00,72.00M,3.00M,-75.00M,,975.00M,731.00M,3.00M,72.00M,-75.00M,91.00M,-75.00M,747.00M,215.00M,532.00M,-325.00M,-29.00M,,178.00M,503.00M,1.037B,218.00M,819.00M,,0.8063,-0.5236,0.8063,0.2827,,0.7958,-0.5236,0.7958,0.2827,,625.43M,631.64M,0.2723,,AOR,Restated
2015-03,9.198B,9.198B,7.625B,1.573B,975.00M,0.00,72.00M,1.00M,-77.00M,,975.00M,598.00M,1.00M,72.00M,-77.00M,90.00M,-77.00M,611.00M,132.00M,479.00M,78.00M,-28.00M,,529.00M,444.76M,888.00M,205.00M,683.00M,,0.7225,0.1257,0.7125,0.8482,,0.7120,0.1257,0.7022,0.8377,,624.95M,631.45M,0.2723,,AOR,Restated
2014-12,9.624B,9.624B,8.015B,1.609B,1.005B,,71.00M,3.00M,-74.00M,,1.005B,604.00M,3.00M,71.00M,-74.00M,105.00M,-74.00M,635.00M,118.00M,517.00M,29.00M,-39.00M,,507.00M,475.57M,930.00M,224.00M,706.00M,,0.7644,0.0419,0.7606,0.8063,,0.7539,0.0419,0.7501,0.7958,,631.64M,637.94M,0.2723,,AOR,Restated
2014-09,9.952B,9.952B,8.205B,1.747B,1.315B,-76.00M,78.00M,2.00M,-80.00M,,1.315B,432.00M,2.00M,78.00M,-80.00M,60.00M,-80.00M,412.00M,49.00M,363.00M,-17.00M,-37.00M,,309.00M,380.63M,714.00M,224.00M,490.00M,,0.4895,-0.0031,0.5618,0.4863,,0.4817,-0.0031,0.5532,0.4817,,755.21M,764.18M,0.2304,,AOR,Restated
2014-06,9.833B,9.833B,8.253B,1.58B,943.00M,-257.00M,63.00M,3.00M,-65.00M,,943.00M,637.00M,3.00M,63.00M,-65.00M,-171.00M,-65.00M,401.00M,154.00M,247.00M,-48.00M,-23.00M,,176.00M,384.58M,704.00M,240.00M,464.00M,,0.3665,-0.0838,0.6196,0.2723,,0.3560,-0.0838,0.6061,0.2723,,634.50M,642.05M,0.2304,,AOR,Restated
2014-03,9.467B,9.467B,7.995B,1.472B,952.00M,,56.00M,2.00M,-59.00M,,952.00M,520.00M,2.00M,56.00M,-59.00M,76.00M,-59.00M,537.00M,101.00M,436.00M,-143.00M,-32.00M,,261.00M,401.57M,840.00M,247.00M,593.00M,,0.6492,-0.2304,0.6454,0.4084,,0.6387,-0.2304,0.6350,0.4084,,633.93M,641.57M,0.2304,,AOR,Restated
2013-12,10.57B,10.57B,8.998B,1.576B,1.038B,,57.00M,3.00M,-58.00M,,1.038B,538.00M,3.00M,57.00M,-58.00M,115.00M,-58.00M,595.00M,111.00M,484.00M,18.00M,-33.00M,,469.00M,448.57M,896.00M,244.00M,652.00M,,0.7016,0.0314,0.6978,0.7330,,0.6911,0.0314,0.6874,0.7225,,643.77M,651.50M,0.2304,,AOR,Restated
2013-09,6.435B,6.435B,4.729B,1.706B,603.00M,-705.00M,60.00M,7.00M,-59.00M,,603.00M,1.103B,7.00M,60.00M,-59.00M,-606.00M,-59.00M,438.00M,447.00M,-9.00M,153.00M,-39.00M,,105.00M,407.00M,754.00M,256.00M,498.00M,,0.1608,0.2094,0.8576,0.1608,,0.1571,0.2094,0.8469,0.1571,,652.93M,659.62M,0.1990,,AOR,Restated
2013-06,10.50B,10.50B,8.935B,1.564B,977.00M,-114.00M,67.00M,5.00M,-67.00M,,977.00M,587.00M,5.00M,67.00M,-67.00M,-40.00M,-67.00M,480.00M,-72.00M,552.00M,20.00M,-22.00M,,550.00M,626.90M,786.00M,239.00M,547.00M,,0.8063,0.0314,0.9546,0.8377,,0.8063,0.0314,0.9533,0.8377,,653.12M,659.05M,0.1990,,AOR,Restated
2013-03,10.10B,10.10B,8.662B,1.44B,1.044B,-84.00M,69.00M,3.00M,-71.00M,,1.044B,396.00M,3.00M,69.00M,-71.00M,68.00M,-71.00M,393.00M,214.00M,179.00M,14.00M,-29.00M,,164.00M,201.35M,696.00M,234.00M,462.00M,,0.2304,0.0209,0.3090,0.2513,,0.2304,0.0209,0.3084,0.2513,,653.22M,658.38M,0.1990,,AOR,Restated
2012-12,10.42B,10.42B,8.906B,1.516B,1.052B,,60.00M,4.00M,-61.00M,,1.052B,464.00M,4.00M,60.00M,-61.00M,85.00M,-61.00M,488.00M,99.00M,389.00M,,-30.00M,,359.00M,359.00M,771.00M,223.00M,548.00M,,0.5550,,0.5550,0.5550,,0.5445,,0.5445,0.5445,,652.36M,655.80M,0.1990,,AOR,Restated
2012-09,9.041B,9.041B,7.834B,1.207B,1.253B,-195.00M,66.00M,8.00M,-63.00M,,1.253B,-46.00M,8.00M,66.00M,-63.00M,-123.00M,-63.00M,-232.00M,-125.00M,-107.00M,,-28.00M,,-50.00M,-10.20M,55.00M,221.00M,-166.00M,,-0.0123,,0.1791,-0.0123,,-0.0123,,0.1781,-0.0123,,651.98M,655.61M,0.1885,,AOR,Restated
2012-06,10.58B,10.58B,9.04B,1.541B,973.00M,-52.00M,60.00M,2.00M,-60.00M,,973.00M,568.00M,2.00M,60.00M,-60.00M,19.00M,-60.00M,527.00M,71.00M,456.00M,,-25.00M,,431.00M,475.37M,794.00M,207.00M,587.00M,,0.6597,,0.7277,0.6597,,0.6597,,0.7271,0.6597,,652.65M,657.80M,0.1885,,AOR,Restated
2012-03,10.56B,10.56B,9.012B,1.553B,1.05B,0.00,63.00M,,-63.00M,,1.05B,503.00M,,63.00M,-63.00M,79.00M,-63.00M,519.00M,102.00M,417.00M,,-38.00M,,379.00M,379.00M,782.00M,200.00M,582.00M,,0.5864,,0.5864,0.5864,,0.5759,,0.5759,0.5759,,649.40M,658.85M,0.1885,,AOR,Restated
2011-12,10.42B,10.42B,8.881B,1.536B,1.035B,,49.00M,,-49.00M,,1.035B,501.00M,,49.00M,-49.00M,120.00M,-49.00M,572.00M,113.00M,459.00M,,-35.00M,,424.00M,424.00M,817.00M,196.00M,621.00M,,0.6492,,0.6492,0.6492,,0.6492,,0.6492,0.6492,,649.21M,658.09M,0.1885,,AOR,Restated
2011-09,10.79B,10.79B,9.167B,1.621B,1.338B,0.00,62.00M,,-81.00M,,1.338B,283.00M,,62.00M,-81.00M,146.00M,-81.00M,348.00M,-16.00M,364.00M,,-35.00M,,329.00M,329.00M,594.00M,184.00M,410.00M,,0.5131,,0.5131,0.5131,,0.5026,,0.5026,0.5026,,648.92M,658.57M,0.1675,,AOR,Restated
2011-06,10.36B,10.36B,8.814B,1.55B,1.094B,0.00,43.00M,,-43.00M,,1.094B,456.00M,,43.00M,-43.00M,56.00M,-43.00M,469.00M,89.00M,380.00M,,-23.00M,,357.00M,357.00M,705.00M,193.00M,512.00M,,0.5550,0.00,0.5550,0.5550,,0.5445,0.00,0.5445,0.5445,,648.06M,660.10M,0.1675,,AOR,Restated
2011-03,10.14B,10.14B,8.67B,1.474B,1.014B,,46.00M,,-46.00M,,1.014B,460.00M,,46.00M,-46.00M,61.00M,-46.00M,475.00M,90.00M,385.00M,,-31.00M,,354.00M,354.00M,706.00M,185.00M,521.00M,,0.5445,0.00,0.5445,0.5445,,0.5340,0.00,0.5340,0.5340,,646.82M,659.90M,0.1675,,AOR,Restated
2010-12,9.537B,9.537B,8.123B,1.414B,947.00M,,35.00M,,-35.00M,,947.00M,467.00M,,35.00M,-35.00M,66.00M,-35.00M,498.00M,95.00M,403.00M,,-28.00M,,375.00M,375.00M,702.00M,169.00M,533.00M,,0.5864,0.00,0.5864,0.5864,,0.5759,0.00,0.5759,0.5759,,645.01M,656.85M,0.1675,,AOR,Restated
2010-09,9.04B,9.04B,7.617B,1.423B,1.171B,,53.00M,,-53.00M,,1.171B,252.00M,,53.00M,-53.00M,98.00M,-53.00M,297.00M,4.00M,293.00M,,-28.00M,,265.00M,265.00M,517.00M,167.00M,350.00M,,0.4084,,0.4084,0.4084,,0.4084,,0.4084,0.4084,,642.91M,652.36M,0.1361,,AOR,Restated
2010-06,8.54B,8.54B,7.201B,1.339B,895.00M,,39.00M,,-39.00M,,895.00M,444.00M,,39.00M,-39.00M,52.00M,-39.00M,457.00M,31.00M,426.00M,,-8.00M,,418.00M,418.00M,664.00M,168.00M,496.00M,,0.6492,0.00,0.6492,0.6492,,0.6387,0.00,0.6387,0.6387,,642.43M,652.74M,0.1361,,AOR,
2010-03,8.317B,8.317B,7.094B,1.223B,847.00M,,43.00M,,-43.00M,,847.00M,376.00M,,43.00M,-43.00M,51.00M,-43.00M,384.00M,87.00M,297.00M,,-23.00M,,274.00M,274.00M,603.00M,176.00M,427.00M,,0.4293,0.00,0.4293,0.4293,,0.4188,0.00,0.4188,0.4188,,641.47M,651.88M,0.1361,,AOR,Restated
2009-12,8.408B,8.408B,7.172B,1.236B,883.00M,,35.00M,,-35.00M,,883.00M,353.00M,,35.00M,-35.00M,53.00M,-35.00M,371.00M,5.00M,366.00M,,-16.00M,,350.00M,350.00M,586.00M,180.00M,406.00M,,0.5445,0.00,0.5445,0.5445,,0.5445,0.00,0.5445,0.5445,,640.42M,650.36M,0.1361,,AOR,Restated
2009-09,7.867B,7.867B,6.724B,1.143B,761.00M,-111.00M,72.00M,,-72.00M,,761.00M,382.00M,,72.00M,-72.00M,-84.00M,-72.00M,226.00M,-77.00M,303.00M,,-3.00M,,300.00M,372.15M,482.00M,184.00M,298.00M,,0.5236,0.00,0.6496,0.5236,,0.5236,0.00,0.6496,0.5236,,572.52M,572.52M,0.1361,,AOR,Restated
2009-06,6.979B,6.979B,5.94B,1.039B,787.00M,0.00,65.00M,,-65.00M,,787.00M,252.00M,,65.00M,-65.00M,30.00M,-65.00M,217.00M,50.00M,167.00M,,-4.00M,,163.00M,163.00M,462.00M,180.00M,282.00M,,0.2827,0.00,0.2827,0.2827,,0.2723,0.00,0.2723,0.2723,,567.94M,645.77M,0.1361,,AOR,Restated
2009-03,6.315B,6.315B,5.633B,682.00M,803.00M,-230.00M,46.00M,,-46.00M,,803.00M,-121.00M,,46.00M,-46.00M,-228.00M,-46.00M,-395.00M,-183.00M,-212.00M,,19.00M,,-193.00M,-43.50M,-158.00M,191.00M,-349.00M,,-0.3456,0.00,-0.0818,-0.3456,,-0.3456,0.00,-0.0818,-0.3456,,566.89M,566.89M,0.1361,,AOR,Restated
