,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,372.00M,,-52.00M,-46.00M,-98.00M,,,207.00M,207.00M,-59.00M,,22.00M,-64.00M,224.00M,-98.00M,113.00M,-70.00M,,-34.00M,135.00M,-36.00M,479.00M,,-91.00M,34.00M,34.00M,,11.00M,9.00M,,-37.00M,,,-20.00M,-20.00M,-346.00M,-346.00M,-190.00M,-190.00M,31.00M,-22.00M,-547.00M,,1.96B,-105.00M,-11.00M,1.839B,,,,,-346.00M,,AOR,
2020-09,490.00M,,-45.00M,76.00M,31.00M,,,206.00M,206.00M,-389.00M,,13.00M,-70.00M,106.00M,250.00M,362.00M,68.00M,,-87.00M,699.00M,-260.00M,720.00M,,-96.00M,29.00M,29.00M,,117.00M,1.00M,,51.00M,,923.00M,-1.345B,-422.00M,-737.00M,-737.00M,-194.00M,-194.00M,33.00M,-188.00M,-1.621B,,2.342B,-482.00M,87.00M,1.951B,,368.00M,,-881.00M,-737.00M,,AOR,
2020-06,-122.00M,,20.00M,122.00M,142.00M,,,202.00M,202.00M,-87.00M,,23.00M,394.00M,184.00M,56.00M,-85.00M,30.00M,,96.00M,281.00M,208.00M,1.041B,,-97.00M,78.00M,78.00M,,-1.00M,-1.00M,,-21.00M,,-3.00M,977.00M,974.00M,0.00,0.00,-194.00M,-194.00M,3.00M,-63.00M,720.00M,,1.006B,1.372B,-36.00M,2.342B,,-368.00M,,-3.00M,0.00,,AOR,
2020-03,236.00M,,-19.00M,-40.00M,-59.00M,,,207.00M,207.00M,-58.00M,,15.00M,72.00M,7.00M,-147.00M,11.00M,-58.00M,,-71.00M,-258.00M,-14.00M,141.00M,,-124.00M,19.00M,19.00M,,-10.00M,0.00,,-115.00M,,-502.00M,325.00M,-177.00M,-816.00M,-816.00M,-199.00M,-199.00M,18.00M,-12.00M,-1.186B,,2.16B,-1.16B,7.00M,1.006B,,,,-502.00M,-816.00M,,AOR,
2019-12,191.00M,,8.00M,-40.00M,-32.00M,,,207.00M,207.00M,-3.00M,,23.00M,35.00M,237.00M,-114.00M,26.00M,-92.00M,,33.00M,90.00M,-194.00M,317.00M,,-126.00M,1.00M,1.00M,,-48.00M,0.00,,-173.00M,,,10.00M,10.00M,-651.00M,-651.00M,-203.00M,-203.00M,21.00M,-27.00M,-850.00M,,2.821B,-706.00M,57.00M,2.16B,,,,,-651.00M,,AOR,Restated
2019-09,654.00M,,-40.00M,600.00M,560.00M,,,200.00M,200.00M,230.00M,,29.00M,-15.00M,182.00M,217.00M,-951.00M,-37.00M,,-37.00M,-626.00M,-541.00M,491.00M,,-185.00M,12.00M,12.00M,,-9.00M,12.00M,,12.44B,,0.00,-10.00M,-10.00M,-861.00M,-861.00M,-208.00M,-208.00M,60.00M,0.00,-1.054B,,3.685B,-784.00M,-96.00M,2.805B,,-12.66B,,0.00,-861.00M,,AOR,Restated
2019-06,225.00M,,73.00M,-28.00M,45.00M,,,203.00M,203.00M,-121.00M,,24.00M,272.00M,-355.00M,32.00M,341.00M,-33.00M,,-25.00M,-40.00M,-502.00M,106.00M,,-123.00M,10.00M,10.00M,,3.00M,6.00M,,49.00M,,-2.321B,-2.842B,-5.163B,-4.122B,-4.122B,-233.00M,-233.00M,60.00M,-3.00M,-9.433B,,239.00M,3.429B,14.00M,3.685B,,12.66B,,-2.321B,-4.122B,,AOR,Restated
2019-03,274.00M,,-31.00M,-28.00M,-59.00M,,,211.00M,211.00M,460.00M,,24.00M,-35.00M,-285.00M,-99.00M,-309.00M,34.00M,,-34.00M,-693.00M,309.00M,491.00M,,-125.00M,3.00M,3.00M,,0.00,-1.00M,,-210.00M,,-12.00M,542.00M,530.00M,-533.00M,-533.00M,-239.00M,-239.00M,38.00M,-91.00M,-312.00M,,292.00M,-59.00M,5.00M,239.00M,,,,-12.00M,-533.00M,,AOR,Restated
2018-12,136.00M,,-36.00M,-29.00M,-65.00M,,,211.00M,211.00M,43.00M,,18.00M,-11.00M,146.00M,-222.00M,-247.00M,-63.00M,,-25.00M,-411.00M,193.00M,114.00M,,-153.00M,2.00M,2.00M,,-7.00M,22.00M,,-202.00M,,,1.014B,1.014B,-467.00M,-467.00M,-240.00M,-240.00M,13.00M,-64.00M,245.00M,,200.00M,155.00M,-43.00M,292.00M,,,,,-467.00M,,AOR,Restated
2018-09,632.00M,0.00,-44.00M,-62.00M,-106.00M,,,175.00M,175.00M,-661.00M,,29.00M,-24.00M,-21.00M,108.00M,561.00M,74.00M,,56.00M,778.00M,429.00M,1.252B,,-164.00M,25.00M,25.00M,,104.00M,2.00M,,-93.00M,,-711.00M,-251.00M,-962.00M,-45.00M,-45.00M,-240.00M,-240.00M,27.00M,-4.00M,-1.224B,,267.00M,-64.00M,-22.00M,185.00M,,,250.00M,-961.00M,-45.00M,,AOR,Restated
