,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,986.00M,,,,,317.00M,317.00M,200.00M,25.00M,,-20.00M,-229.00M,-21.00M,-106.00M,438.00M,,,-231.00M,-149.00M,,1.359B,-287.00M,,,,,,-2.00M,-289.00M,-27.00M,,-27.00M,,0.00,0.00,-242.00M,-242.00M,,16.00M,-253.00M,4.178B,817.00M,4.995B,,0.00,-27.00M,0.00
2020-06,1.005B,,,,,308.00M,308.00M,13.00M,18.00M,,-36.00M,605.00M,-47.00M,-72.00M,779.00M,,,-236.00M,1.029B,,2.337B,-269.00M,,,,,,0.00,-269.00M,-6.00M,-744.00M,-750.00M,,-146.00M,-146.00M,-242.00M,-242.00M,,-30.00M,-1.168B,3.278B,900.00M,4.178B,,0.00,-6.00M,-146.00M
2020-03,868.00M,,,,,297.00M,297.00M,156.00M,18.00M,,68.00M,-1.394B,-2.00M,56.00M,-823.00M,,,-237.00M,-2.40B,,-993.00M,-272.00M,,,,,,2.00M,-270.00M,2.232B,744.00M,2.976B,,-344.00M,-344.00M,-227.00M,-227.00M,,-109.00M,2.296B,2.245B,1.033B,3.278B,,2.239B,-7.00M,-344.00M
2019-12,-409.00M,,,,,94.00M,94.00M,-533.00M,34.00M,,2.039B,1.228B,21.00M,3.00M,268.00M,,,-281.00M,1.239B,,2.464B,-471.00M,,,,,,49.00M,-422.00M,-201.00M,-198.00M,-399.00M,,-300.00M,-300.00M,-222.00M,-222.00M,,-3.00M,-924.00M,1.127B,1.118B,2.245B,,-201.00M,0.00,-300.00M
2019-09,933.00M,,,,,318.00M,318.00M,-24.00M,38.00M,,-16.00M,-399.00M,0.00,-33.00M,459.00M,,,-137.00M,-110.00M,,1.139B,-257.00M,,,,,,7.00M,-250.00M,-310.00M,-101.00M,-411.00M,,-213.00M,-213.00M,-223.00M,-223.00M,,-3.00M,-850.00M,1.088B,39.00M,1.127B,,201.00M,-511.00M,-213.00M
2019-06,861.00M,,,,,304.00M,304.00M,15.00M,29.00M,,-4.00M,435.00M,-32.00M,-25.00M,167.00M,,,-143.00M,402.00M,,1.607B,-252.00M,,,,,,-3.00M,-255.00M,0.00,-713.00M,-713.00M,,-171.00M,-171.00M,-224.00M,-224.00M,,-4.00M,-1.112B,848.00M,240.00M,1.088B,,0.00,0.00,-171.00M
2019-03,863.00M,,,,,302.00M,302.00M,33.00M,26.00M,,-31.00M,-1.477B,-124.00M,-23.00M,-340.00M,,,-142.00M,-2.106B,,-913.00M,-284.00M,,,,,,4.00M,-280.00M,-20.00M,814.00M,794.00M,,-60.00M,-60.00M,-211.00M,-211.00M,,-61.00M,462.00M,1.579B,-731.00M,848.00M,,0.00,-20.00M,-60.00M
2018-12,356.00M,,,,,266.00M,266.00M,-41.00M,4.00M,,693.00M,855.00M,65.00M,53.00M,362.00M,,,-236.00M,1.099B,,2.377B,-463.00M,,,,0.00,,5.00M,-458.00M,-6.00M,-301.00M,-307.00M,,-1.054B,-1.054B,-205.00M,-205.00M,,-2.00M,-1.568B,1.228B,351.00M,1.579B,,,-6.00M,-1.054B
2018-09,1.244B,,,,,253.00M,253.00M,226.00M,29.00M,,-54.00M,-235.00M,-29.00M,-166.00M,-3.00M,,,-453.00M,-886.00M,,812.00M,-282.00M,,,,0.00,,21.00M,-261.00M,-726.00M,250.00M,-476.00M,,-168.00M,-168.00M,-209.00M,-209.00M,,-9.00M,-862.00M,1.539B,-311.00M,1.228B,,,-726.00M,-168.00M
2018-06,789.00M,,,,,159.00M,159.00M,49.00M,34.00M,,-15.00M,-124.00M,-36.00M,44.00M,157.00M,,,-182.00M,-141.00M,,875.00M,-199.00M,,,,-7.657B,,4.00M,-7.852B,-1.85B,249.00M,-1.601B,,-41.00M,-41.00M,-209.00M,-209.00M,,-2.00M,-1.853B,10.37B,-8.83B,1.539B,,,-1.85B,-41.00M
2018-03,840.00M,,,,,122.00M,122.00M,,19.00M,,2.00M,-591.00M,-37.00M,13.00M,-393.00M,,,-212.00M,-1.22B,,-237.00M,-305.00M,,,,,,-2.00M,-307.00M,-14.00M,0.00,-14.00M,,0.00,0.00,-198.00M,-198.00M,,-100.00M,-312.00M,11.22B,-856.00M,10.37B,,,-14.00M,0.00
2017-12,1.021B,,,,,152.00M,152.00M,,28.00M,,-537.00M,786.00M,45.00M,3.00M,391.00M,,,-1.267B,-42.00M,,1.607B,-278.00M,,,,0.00,,18.00M,-260.00M,8.232B,0.00,8.232B,,0.00,0.00,-174.00M,-174.00M,,-58.00M,8.00B,1.878B,9.347B,11.22B,,,-13.00M,0.00
2017-09,643.00M,,,,,110.00M,110.00M,,24.00M,,4.00M,-115.00M,34.00M,-61.00M,104.00M,,,195.00M,157.00M,,938.00M,-217.00M,,,,0.00,,14.00M,-203.00M,0.00,0.00,0.00,,-26.00M,-26.00M,-174.00M,-174.00M,,-40.00M,-240.00M,1.383B,495.00M,1.878B,,,0.00,-26.00M
2017-06,555.00M,,,,,109.00M,109.00M,,25.00M,,-26.00M,-320.00M,-27.00M,19.00M,123.00M,,,49.00M,-156.00M,,507.00M,-217.00M,,,,0.00,,5.00M,-212.00M,0.00,0.00,0.00,,-138.00M,-138.00M,-175.00M,-175.00M,,-2.00M,-315.00M,1.403B,-20.00M,1.383B,,,0.00,-138.00M
2017-03,650.00M,,,,,104.00M,104.00M,,17.00M,,-20.00M,-982.00M,-27.00M,-53.00M,-205.00M,,,77.00M,-1.19B,,-439.00M,-216.00M,,,,,,2.00M,-214.00M,0.00,,0.00,,-229.00M,-229.00M,-166.00M,-166.00M,,-90.00M,-485.00M,2.541B,-1.138B,1.403B,,,0.00,-229.00M
