,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.814B,1.814B,88.00M,1.902B,1.181B,1.263B,2.466B,159.00M,,,563.00M,5.09B,351.00M,147.00M,1.128B,1.626B,-673.00M,953.00M,12.65B,5.205B,17.86B,162.00M,114.00M,19.47B,24.56B,,2.813B,102.00M,2.915B,,2.915B,,149.00M,,149.00M,1.252B,1.252B,242.00M,4.558B,12.38B,371.00M,12.76B,338.00M,338.00M,279.00M,633.00M,13.73B,18.28B,,11.10B,1.277B,6.166B,-205.00M,6.001B,,AOR,
2020-09,,1.464B,79.00M,1.543B,1.152B,1.292B,2.492B,165.00M,,,445.00M,4.645B,,,942.00M,942.00M,,942.00M,12.36B,5.222B,17.58B,163.00M,125.00M,19.19B,23.84B,,2.461B,101.00M,2.562B,,2.562B,,144.00M,,144.00M,1.188B,1.188B,245.00M,4.139B,12.20B,387.00M,12.58B,429.00M,429.00M,261.00M,580.00M,13.59B,17.73B,,11.07B,1.158B,6.065B,-317.00M,5.846B,,AOR,
2020-06,,1.109B,73.00M,1.182B,1.105B,1.285B,2.424B,146.00M,,,456.00M,4.208B,,,946.00M,946.00M,,946.00M,12.13B,5.262B,17.40B,153.00M,123.00M,18.98B,23.18B,,2.295B,102.00M,2.397B,,2.397B,,142.00M,,142.00M,1.061B,1.061B,243.00M,3.843B,11.96B,402.00M,12.37B,539.00M,539.00M,261.00M,582.00M,13.49B,17.33B,,11.04B,1.057B,6.065B,-444.00M,5.591B,,AOR,
2020-03,,927.00M,63.00M,990.00M,1.309B,1.341B,2.683B,173.00M,,,430.00M,4.277B,,,934.00M,934.00M,,934.00M,11.99B,5.328B,17.32B,143.00M,120.00M,18.80B,23.08B,,2.384B,94.00M,2.478B,,2.478B,139.00M,139.00M,174.00M,313.00M,1.036B,1.036B,80.00M,3.907B,11.89B,366.00M,12.26B,618.00M,618.00M,260.00M,491.00M,13.37B,17.28B,,11.01B,1.08B,6.065B,-485.00M,5.542B,,AOR,
2019-12,837.00M,837.00M,62.00M,899.00M,1.312B,1.286B,2.638B,138.00M,,,451.00M,4.126B,331.00M,154.00M,1.066B,1.551B,-597.00M,954.00M,12.16B,5.514B,17.67B,152.00M,119.00M,19.12B,23.25B,,2.512B,108.00M,2.62B,,2.62B,,100.00M,,100.00M,1.014B,1.014B,211.00M,3.945B,11.54B,396.00M,11.94B,646.00M,646.00M,260.00M,456.00M,13.04B,16.99B,,11.05B,998.00M,5.733B,-311.00M,6.003B,,AOR,Restated
2019-09,,863.00M,57.00M,920.00M,1.176B,1.351B,2.579B,150.00M,,,346.00M,3.995B,,,941.00M,941.00M,,941.00M,11.92B,5.546B,17.46B,143.00M,108.00M,18.90B,22.89B,,2.19B,123.00M,2.313B,,2.313B,,98.00M,,98.00M,954.00M,954.00M,211.00M,3.576B,11.44B,393.00M,11.84B,654.00M,654.00M,263.00M,431.00M,12.92B,16.50B,,10.99B,982.00M,5.464B,-377.00M,6.131B,,AOR,Restated
2019-06,,938.00M,56.00M,994.00M,1.12B,1.294B,2.465B,180.00M,,,339.00M,3.978B,,,956.00M,956.00M,,956.00M,11.94B,5.701B,17.64B,152.00M,102.00M,19.09B,23.07B,,2.139B,111.00M,2.25B,,2.25B,,100.00M,,100.00M,934.00M,934.00M,211.00M,3.495B,11.30B,398.00M,11.70B,671.00M,671.00M,258.00M,424.00M,12.79B,16.29B,,10.96B,925.00M,5.151B,-215.00M,6.523B,,AOR,Restated
2019-03,,936.00M,55.00M,991.00M,1.202B,1.272B,2.526B,153.00M,,,329.00M,3.999B,,,954.00M,954.00M,,954.00M,11.86B,5.811B,17.67B,137.00M,103.00M,19.11B,23.11B,,2.122B,102.00M,2.224B,,2.224B,,100.00M,,100.00M,971.00M,971.00M,207.00M,3.502B,11.19B,401.00M,11.59B,742.00M,742.00M,250.00M,412.00M,12.74B,16.24B,,10.93B,865.00M,4.915B,-262.00M,6.615B,,AOR,Restated
2018-12,,891.00M,47.00M,938.00M,1.279B,1.13B,2.463B,151.00M,,,322.00M,3.874B,326.00M,154.00M,521.00M,1.001B,-567.00M,434.00M,11.80B,5.951B,17.75B,142.00M,109.00M,18.68B,22.55B,,2.295B,100.00M,2.395B,,2.395B,,100.00M,,100.00M,1.007B,1.007B,32.00M,3.534B,10.91B,0.00,10.91B,736.00M,736.00M,240.00M,418.00M,12.06B,15.60B,,10.90B,807.00M,4.77B,-224.00M,6.714B,,AOR,Restated
2018-09,,827.00M,52.00M,879.00M,1.089B,1.221B,2.364B,154.00M,,,299.00M,3.696B,,,,,,417.00M,11.79B,6.103B,17.90B,134.00M,96.00M,18.80B,22.50B,,2.162B,117.00M,2.279B,,2.279B,,101.00M,,101.00M,984.00M,984.00M,16.00M,3.38B,10.52B,,10.52B,734.00M,734.00M,245.00M,406.00M,11.66B,15.04B,,10.88B,726.00M,4.167B,-220.00M,7.215B,,AOR,Restated
