,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-09,93.00M,,,-3.00M,-3.00M,256.00M,256.00M,61.00M,0.00,0.00,29.00M,,2.00M,-31.00M,29.00M,-2.00M,436.00M,,-89.00M,,,-246.00M,0.00,1.00M,-334.00M,,663.00M,663.00M,,-558.00M,-558.00M,,,17.00M,-29.00M,93.00M,,902.00M,195.00M,6.00M,1.103B,,,1.613B,-950.00M,-558.00M,,AOR,Restated
2017-06,66.00M,,,-4.00M,-4.00M,245.00M,245.00M,-146.00M,0.00,40.00M,27.00M,,2.00M,8.00M,7.00M,15.00M,245.00M,,-100.00M,,,-111.00M,1.00M,10.00M,-200.00M,,314.00M,314.00M,,-378.00M,-378.00M,,,40.00M,-10.00M,-34.00M,,862.00M,11.00M,29.00M,902.00M,,,363.00M,-49.00M,-378.00M,,AOR,Restated
2017-03,102.00M,,,11.00M,11.00M,232.00M,232.00M,-52.00M,3.00M,,26.00M,,2.00M,-81.00M,-187.00M,-268.00M,56.00M,,-78.00M,,,-151.00M,-1.00M,-10.00M,-240.00M,,1.132B,1.132B,,-1.316B,-1.316B,,,29.00M,-21.00M,-176.00M,,1.198B,-360.00M,24.00M,862.00M,,,4.488B,-3.356B,-1.316B,,AOR,Restated
2016-12,-217.00M,,,3.00M,-11.00M,191.00M,191.00M,119.00M,0.00,0.00,46.00M,-27.00M,25.00M,-161.00M,260.00M,321.00M,447.00M,,-86.00M,,,1.883B,14.00M,2.00M,1.813B,,-1.276B,-1.276B,54.00M,-999.00M,-945.00M,,,,15.00M,-2.206B,,1.21B,54.00M,-66.00M,1.198B,,54.00M,638.00M,-1.914B,-999.00M,,AOR,Restated
2016-09,104.00M,,,-1.00M,-1.00M,34.00M,34.00M,-1.00M,0.00,28.00M,15.00M,-9.00M,2.00M,65.00M,23.00M,88.00M,260.00M,,-21.00M,,,-3.00M,0.00,2.00M,-22.00M,,-12.00M,-12.00M,28.00M,0.00,28.00M,,,,9.00M,25.00M,,955.00M,263.00M,-8.00M,1.21B,,28.00M,0.00,-12.00M,0.00,,AOR,Restated
2016-06,91.00M,,,4.00M,4.00M,32.00M,32.00M,-8.00M,0.00,0.00,10.00M,-2.00M,1.00M,-104.00M,17.00M,-87.00M,41.00M,,-31.00M,,,-8.00M,24.00M,-2.00M,-17.00M,,-13.00M,-13.00M,10.00M,-98.00M,-88.00M,,,,3.00M,-98.00M,,1.053B,-74.00M,-24.00M,955.00M,,10.00M,0.00,-13.00M,-98.00M,,AOR,Restated
2016-03,109.00M,,,2.00M,2.00M,32.00M,32.00M,5.00M,3.00M,,9.00M,-3.00M,2.00M,23.00M,-70.00M,-47.00M,112.00M,,-26.00M,,,-2.00M,-37.00M,22.00M,-43.00M,,-12.00M,-12.00M,5.00M,0.00,5.00M,,,,2.00M,-5.00M,,977.00M,64.00M,12.00M,1.053B,,5.00M,0.00,-12.00M,0.00,,AOR,Restated
2015-12,107.78M,,,-0.035M,-0.035M,34.78M,34.78M,-5.252M,3.219M,2.00M,9.298M,-3.856M,1.515M,-75.72M,8.897M,57.18M,206.62M,,-21.31M,,,-6.161M,-0.019M,-0.111M,-27.60M,,-12.29M,-12.29M,5.677M,-265.00M,-259.32M,,,,0.884M,-270.73M,,1.082B,-91.70M,-12.74M,977.00M,,5.677M,0.50M,-12.79M,-265.00M,,AOR,Restated
2015-09,108.84M,,,-5.362M,-5.362M,32.88M,32.88M,23.63M,3.13M,0.00,8.381M,-5.579M,1.685M,7.215M,108.13M,115.34M,282.95M,,-24.77M,,,29.59M,0.00,1.241M,6.065M,,-13.16M,-13.16M,13.02M,0.00,13.02M,,,,5.408M,5.263M,,803.62M,294.27M,-16.08M,1.082B,,13.02M,0.00,-13.16M,0.00,,AOR,Restated
2015-06,84.95M,,,-1.692M,-1.692M,30.01M,30.01M,0.509M,1.651M,,10.75M,-20.49M,4.123M,-114.03M,54.99M,-59.05M,50.76M,,-15.49M,,,-0.889M,-10.98M,0.204M,-27.16M,,214.66M,214.66M,26.81M,-250.00M,-223.19M,,,,-1.35M,-9.877M,,779.07M,13.73M,10.82M,803.62M,,26.81M,2.248B,-2.034B,-250.00M,,AOR,Restated
2015-03,86.43M,,,-0.911M,-0.911M,30.33M,30.33M,-0.884M,0.00,,9.574M,-9.077M,1.677M,-63.46M,-118.01M,-181.47M,-64.33M,,-16.43M,,,-2.542M,0.00,0.666M,-18.31M,,-1.21M,-1.21M,18.49M,,18.49M,,,,9.058M,26.34M,,867.36M,-56.30M,-31.99M,779.07M,,18.49M,,-1.21M,,,AOR,Restated
2014-12,88.94M,,-0.194M,5.763M,4.569M,31.89M,31.89M,5.529M,0.00,,7.612M,-7.198M,2.213M,39.72M,70.93M,123.65M,257.20M,,-25.22M,,,-1.662M,0.139M,-0.332M,-27.07M,,248.73M,248.73M,11.90M,-249.87M,-237.96M,,,,3.613M,14.38M,,645.03M,244.51M,-21.40M,867.00M,,11.90M,425.00M,-176.27M,-249.87M,,AOR,Restated
2014-09,92.73M,,0.308M,-1.524M,-1.216M,30.18M,30.18M,-10.36M,0.00,,6.787M,-4.189M,1.596M,-57.15M,78.72M,21.56M,137.10M,,-21.95M,,,-92.00M,0.00,1.033M,-112.92M,,-6.263M,-6.263M,11.78M,0.00,11.78M,,,,4.189M,9.709M,,636.47M,33.89M,-25.32M,645.03M,,11.78M,0.00,-6.263M,0.00,,AOR,Restated
2014-06,85.11M,,0.154M,-3.348M,-3.194M,29.84M,29.84M,0.414M,0.00,,8.38M,-2.773M,1.596M,-10.55M,-41.69M,-52.24M,67.13M,,-18.13M,,,-1.112M,0.00,0.209M,-19.03M,,-0.132M,-0.132M,5.397M,-165.13M,-159.73M,,,,2.773M,-157.09M,,741.38M,-108.99M,4.075M,636.47M,,5.397M,0.00,-0.132M,-165.13M,,AOR,Restated
2014-03,90.21M,,-5.268M,-4.891M,-10.16M,29.09M,29.09M,-1.587M,,,7.221M,-5.84M,1.595M,-51.02M,-87.95M,-138.97M,-28.44M,,-17.71M,,,-1.224M,5.861M,-0.91M,-13.98M,,-0.334M,-0.334M,5.916M,,5.916M,,,,-2.575M,3.007M,,778.14M,-39.41M,2.647M,741.38M,,5.916M,,-0.334M,,,AOR,Restated
2013-12,72.93M,-1.153M,-0.121M,-0.45M,-1.724M,30.55M,30.55M,-8.353M,,,5.866M,-16.06M,4.881M,-77.15M,68.72M,127.36M,215.46M,,-14.41M,2.021M,2.021M,-1.409M,0.00,1.611M,-12.18M,,-1.85M,-1.85M,47.62M,-6.434M,41.18M,,,,-72.64M,-33.30M,,609.71M,169.97M,-1.538M,778.14M,,47.62M,,-2.063B,-6.434M,,AOR,Restated
2013-09,66.58M,0.558M,-0.057M,0.128M,0.629M,27.32M,27.32M,-3.842M,,,5.869M,0.264M,1.686M,52.70M,25.31M,78.01M,176.53M,,-13.66M,-1.032M,-1.032M,-146.25M,0.00,0.349M,-160.59M,,-0.982M,-0.982M,-0.017M,0.00,-0.017M,,,-0.253M,-0.264M,-1.516M,,585.72M,14.42M,9.57M,609.71M,,-0.017M,,-0.982M,0.00,,AOR,Restated
2013-06,38.35M,-0.262M,0.007M,-0.357M,-0.612M,24.99M,24.99M,-23.20M,,,6.618M,-0.213M,12.38M,-87.58M,52.12M,-35.47M,22.84M,,-28.82M,0.373M,0.373M,-0.291M,0.00,1.53M,-27.21M,,-350.52M,-350.52M,489.94M,0.00,489.94M,,,0.104M,0.213M,139.74M,,454.29M,135.37M,-3.945M,585.72M,,489.94M,,-350.52M,0.00,,AOR,Restated
2013-03,48.16M,-0.296M,-0.012M,1.683M,1.375M,24.64M,24.64M,11.16M,,,4.473M,-0.196M,2.875M,-39.65M,-74.29M,-113.94M,-21.46M,,-31.46M,0.659M,0.659M,-4.377M,0.06M,-1.077M,-36.19M,,-34.30M,-34.30M,,,,,,0.149M,0.196M,-33.96M,,567.73M,-91.61M,-21.82M,454.29M,,,,-34.30M,,,AOR,Restated
2012-12,34.84M,-0.833M,,0.236M,-0.527M,25.57M,25.57M,14.07M,,,12.20M,-0.085M,3.548M,5.998M,46.15M,70.36M,159.97M,,-21.98M,0.853M,0.853M,8.678M,0.231M,-0.343M,-12.56M,,169.65M,169.65M,2.466M,-0.443M,2.023M,-241.70M,-241.70M,-0.35M,-9.643M,-80.02M,,506.31M,67.39M,-5.971M,567.73M,,2.466M,2.153B,-1.984B,-0.443M,,AOR,Restated
2012-09,51.98M,1.159M,,-0.897M,0.262M,25.73M,25.73M,-5.36M,,,3.26M,0.00,2.103M,-27.31M,37.74M,10.43M,88.40M,,-15.42M,0.375M,0.375M,-40.30M,-0.161M,-1.201M,-56.71M,,-5.792M,-5.792M,0.00,-2.454M,-2.454M,0.00,0.00,0.054M,0.00,-8.192M,,476.24M,23.49M,6.575M,506.31M,,0.00,0.00,-5.792M,-2.454M,,AOR,
2012-06,47.01M,-0.345M,,-0.265M,-0.61M,23.72M,23.72M,4.049M,,,3.083M,-0.229M,1.952M,-31.25M,34.96M,3.714M,82.69M,,-22.78M,0.595M,0.595M,-13.35M,-6.715M,0.795M,-41.46M,,-5.64M,-5.64M,1.00M,-1.252M,-0.252M,0.00,0.00,0.145M,0.38M,-5.367M,,446.27M,35.86M,-5.897M,476.24M,,1.00M,-0.02M,-5.62M,-1.252M,,AOR,
2012-03,42.81M,-0.522M,,-1.573M,-2.095M,23.27M,23.27M,3.836M,,,7.386M,-0.151M,1.634M,-7.697M,-64.35M,-72.05M,4.641M,,-11.15M,0.906M,0.906M,-2.448M,-6.489M,-2.323M,-21.50M,,281.92M,281.92M,0.00,-9.214M,-9.214M,-326.15M,-326.15M,0.151M,,-53.29M,,516.30M,-70.15M,0.127M,446.27M,,0.00,287.81M,-5.892M,-9.214M,,AOR,
