,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2017-03,2.36B,2.36B,1.526B,834.00M,381.00M,-22.00M,75.00M,2.00M,-73.00M,613.00M,221.00M,2.00M,75.00M,-73.00M,-21.00M,-73.00M,127.00M,24.00M,102.00M,-2.00M,100.00M,117.84M,434.00M,232.00M,202.00M,,0.43,0.5075,0.43,,0.43,0.5060,0.43,,230.10M,234.90M,,AOR,Restated
2016-12,3.403B,2.275B,1.495B,780.00M,393.00M,-148.00M,71.00M,2.00M,-69.00M,584.00M,196.00M,2.00M,71.00M,-69.00M,-134.00M,-69.00M,-7.00M,207.00M,-217.00M,-4.00M,-221.00M,-132.20M,255.00M,191.00M,64.00M,,-0.74,-0.3628,-0.74,,-0.74,-0.3628,-0.74,,235.40M,235.40M,,AOR,Restated
2016-09,1.137B,1.497B,1.056B,441.00M,207.00M,-32.00M,25.00M,1.00M,-24.00M,241.00M,200.00M,1.00M,25.00M,-24.00M,-33.00M,-24.00M,143.00M,39.00M,104.00M,-4.00M,100.00M,123.26M,202.00M,34.00M,168.00M,,0.83,1.026,0.83,,0.82,1.012,0.82,,118.90M,121.20M,,AOR,Restated
2016-06,1.167B,1.553B,1.121B,432.00M,216.00M,-34.00M,22.00M,0.00,-22.00M,248.00M,184.00M,0.00,22.00M,-22.00M,-31.00M,-22.00M,131.00M,36.00M,91.00M,-5.00M,86.00M,110.65M,185.00M,32.00M,153.00M,,0.73,0.9363,0.73,,0.71,0.9129,0.71,,119.50M,121.50M,,AOR,Restated
2016-03,1.108B,1.49B,1.076B,414.00M,200.00M,-3.00M,26.00M,1.00M,-25.00M,232.00M,182.00M,1.00M,26.00M,-25.00M,-8.00M,-25.00M,149.00M,43.00M,109.00M,-2.00M,107.00M,109.14M,207.00M,32.00M,175.00M,,0.89,0.9079,0.89,,0.88,0.8976,0.88,,119.40M,121.40M,,AOR,Restated
2015-12,1.128B,1.521B,1.069B,451.91M,138.08M,-8.678M,24.74M,0.53M,-24.21M,266.08M,185.83M,0.53M,24.74M,-24.21M,-2.814M,-24.21M,158.80M,51.02M,107.78M,-3.418M,104.36M,110.25M,218.32M,34.78M,183.54M,,0.86,0.9088,0.86,,0.85,0.8979,0.85,,120.82M,123.07M,,AOR,Restated
2015-09,1.093B,1.425B,1.014B,410.42M,231.42M,-11.98M,25.43M,1.141M,-24.29M,231.42M,179.01M,1.141M,25.43M,-24.29M,-11.05M,-24.29M,143.67M,40.19M,108.84M,2.447M,111.29M,119.91M,201.98M,32.88M,169.10M,,0.91,0.9802,0.91,,0.89,0.9588,0.89,,122.85M,125.34M,,AOR,Restated
2015-06,1.074B,1.444B,1.053B,390.52M,225.90M,-14.01M,25.49M,1.459M,-24.03M,225.90M,164.62M,1.459M,25.49M,-24.03M,-25.67M,-24.03M,114.92M,31.70M,84.95M,0.004M,84.95M,95.10M,170.42M,30.01M,140.41M,,0.69,0.7719,0.69,,0.67,0.7502,0.67,,123.83M,126.54M,,AOR,Restated
2015-03,1.030B,1.348B,979.45M,368.15M,219.61M,-5.324M,25.34M,0.87M,-24.47M,219.61M,148.54M,0.87M,25.34M,-24.47M,-2.463M,-24.47M,121.61M,36.09M,86.43M,-0.033M,86.40M,90.14M,177.28M,30.33M,146.95M,,0.69,0.7201,0.69,,0.68,0.7094,0.68,,124.50M,127.45M,,AOR,Restated
2014-12,1.063B,1.411B,1.003B,408.51M,123.72M,-5.251M,26.45M,1.149M,-25.30M,244.72M,163.79M,1.149M,26.45M,-25.30M,-6.815M,-25.30M,131.68M,37.95M,88.94M,0.10M,89.04M,92.78M,190.01M,31.89M,158.13M,,0.70,0.7297,0.70,,0.69,0.7190,0.69,,125.66M,128.69M,,AOR,Restated
