,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-12,7.385M,,,,11.00M,10.64M,10.64M,-2.456M,,,,25.37M,11.73M,-9.587M,-25.45M,-2.89M,,-17.09M,-4.421M,-47.71M,4.223M,-9.865M,-145.46M,-155.32M,,-68.26M,-1.157M,-224.74M,,-8.57M,148.69M,0.00,148.69M,,0.347M,,-9.991M,130.48M,157.50M,-90.04M,,67.46M,148.69M,,,0.00,,
2004-09,11.52M,,,,5.144M,9.985M,9.985M,-24.30M,,,,-3.627M,-43.68M,4.515M,27.94M,41.48M,,3.193M,4.421M,37.87M,36.59M,-8.796M,145.46M,136.66M,,-84.43M,-5.256M,46.98M,,25.00M,0.874M,-15.29M,-14.42M,,-2.611M,,1.561M,9.531M,64.40M,93.10M,,157.50M,0.874M,,,-15.29M,,
2004-06,51.01M,,,,-1.761M,9.931M,9.931M,0.444M,,,,1.194M,-42.67M,-13.92M,-7.122M,64.82M,-7.901M,32.43M,,25.64M,86.46M,-5.347M,,-5.347M,,,0.00,-5.347M,,-35.00M,0.74M,,0.74M,,-4.31M,,-0.405M,-38.98M,22.26M,42.14M,,64.40M,0.74M,,,,,
2004-03,13.96M,,,,1.344M,9.924M,9.924M,0.931M,,,,2.433M,-21.37M,26.37M,0.728M,-4.382M,7.901M,-0.506M,,8.737M,37.33M,-13.77M,,-13.77M,,,2.876M,-10.90M,,-15.00M,1.894M,,1.894M,,-1.707M,,-1.05M,-15.86M,11.69M,10.57M,,22.26M,1.894M,,,,,
2003-04,26.70M,,,,-15.76M,8.979M,8.979M,4.446M,,,,-6.594M,23.56M,-2.551M,-2.59M,-28.02M,,10.23M,,0.631M,18.41M,-19.92M,24.00M,4.078M,0.00,,0.00,4.078M,,0.00,0.295M,-0.777M,-0.482M,,-1.703M,,0.00,-2.185M,17.75M,20.30M,,38.05M,0.295M,,,-0.777M,,
2003-01,-1.596M,,,,1.379M,7.161M,7.161M,-0.333M,,,,-25.75M,-22.88M,-7.126M,1.006M,32.43M,-0.409M,-1.557M,,1.465M,-17.68M,-19.06M,,-19.06M,-2.50M,,-0.041M,-21.60M,,-8.571M,0.69M,-0.382M,0.308M,,-1.706M,,0.00,-9.969M,67.00M,-49.24M,,17.75M,0.69M,,,-0.382M,,
2002-10,5.247M,,,,-1.983M,7.196M,7.196M,-0.334M,,,,0.202M,-0.752M,-10.35M,,7.356M,0.409M,0.143M,,-3.195M,7.133M,-8.577M,,-8.577M,,,0.487M,-8.09M,,,0.61M,-1.945M,-1.335M,,-1.708M,,-0.635M,-3.678M,71.63M,-4.635M,,67.00M,0.61M,,,-1.945M,,
2002-07,6.093M,,,,-0.825M,7.67M,7.67M,1.809M,,,,0.128M,-5.667M,16.99M,2.391M,7.62M,-4.186M,-1.379M,,15.77M,30.64M,-14.50M,,-14.50M,,0.00,0.15M,-14.35M,,0.00,0.941M,-1.442M,-0.501M,,-1.714M,,,-2.215M,57.55M,14.08M,,71.63M,0.941M,,,-1.442M,,
2002-04,6.199M,,,,-1.571M,6.884M,6.884M,1.275M,,,,14.10M,-23.82M,-2.725M,-2.391M,37.20M,-0.725M,-16.75M,,-9.214M,17.68M,-8.133M,,-8.133M,,0.00,1.31M,-6.823M,,0.00,0.00,0.00,0.00,,-1.558M,,,-1.558M,48.25M,9.296M,,57.55M,0.00,,,0.00,,
2002-01,-0.485M,,,,-2.32M,6.714M,6.714M,1.10M,,,,-13.78M,-3.793M,0.433M,,-6.791M,-2.87M,-9.087M,,-22.11M,-30.88M,-6.299M,,-6.299M,,0.00,6.25M,-0.049M,,-8.572M,0.847M,-0.068M,0.779M,,-1.555M,,,-9.348M,88.53M,-40.27M,,48.25M,0.847M,,,-0.068M,,
2001-10,20.22M,,,,-2.748M,6.431M,6.431M,0.15M,,,,-1.424M,38.21M,-9.868M,,-34.16M,3.595M,3.996M,,1.773M,24.40M,-6.384M,,-6.384M,,4.50M,1.15M,-0.734M,,,0.659M,-0.092M,0.567M,,-1.55M,,,-0.983M,65.84M,22.69M,,88.53M,0.659M,,,-0.092M,,
2001-07,19.61M,,,,-1.841M,7.736M,7.736M,2.627M,,,,-0.027M,-2.992M,14.53M,0.012M,1.811M,-3.892M,-0.389M,,9.081M,37.18M,-7.587M,,-7.587M,,,6.392M,-7.069M,,-5.167M,3.697M,,3.697M,,-1.548M,,0.00,-3.018M,38.74M,27.10M,,65.84M,3.697M,,,,,
2001-04,20.89M,,,,-0.859M,6.632M,6.632M,0.414M,,,,0.706M,8.256M,-1.822M,-0.012M,-19.32M,-0.714M,4.167M,,-9.44M,18.34M,-6.109M,,-6.109M,,,-1.75M,-7.859M,,0.00,1.818M,,1.818M,,-1.359M,,-0.729M,-0.27M,28.53M,10.21M,,38.74M,1.818M,,,,,
2001-01,12.54M,,,,-0.58M,6.407M,6.407M,0.458M,,,,-0.671M,53.57M,-6.441M,,-38.64M,0.047M,-14.16M,,-5.618M,12.54M,-9.722M,,-9.722M,,,2.10M,-7.622M,,-8.571M,,,,,-1.359M,,-0.05M,-9.98M,33.60M,-5.064M,,28.53M,,,,,,
2000-10,20.41M,,,,-1.067M,6.552M,6.552M,0.369M,,,,,-14.02M,0.195M,,13.46M,0.667M,11.01M,,11.31M,37.58M,-5.153M,,-5.153M,,,-1.049M,-6.202M,,,,,,,-1.359M,,-0.05M,-1.409M,3.628M,29.97M,,33.60M,,,,,,
2000-07,4.951M,,,,-0.095M,7.515M,7.515M,-3.384M,,,,2.89M,-37.52M,7.078M,,34.37M,0.978M,5.366M,,10.27M,22.15M,-3.789M,,-3.789M,,,0.40M,-6.671M,,-15.17M,,0.00,0.00,,-1.284M,,-0.02M,-16.47M,4.619M,-0.991M,,3.628M,,,,0.00,,
2000-04,8.194M,,,,-0.228M,6.581M,6.581M,-0.246M,,,,-2.79M,-0.643M,-11.08M,,-4.99M,4.394M,5.562M,,-6.758M,4.753M,-4.572M,,-4.572M,,,1.20M,-3.372M,,5.721M,,-7.224M,-7.224M,,-1.409M,,-0.744M,-3.656M,6.90M,-2.275M,,4.619M,,,,-7.224M,,
2000-01,-4.90M,,,,0.00,7.00M,7.00M,-0.30M,,,,-0.10M,-7.50M,-3.50M,,26.40M,-5.20M,-5.20M,,5.00M,6.70M,-4.90M,,-4.90M,,,0.00,-4.90M,,-4.30M,,,,,-1.40M,,,-5.70M,10.80M,-3.90M,,6.90M,,,,,,
1999-10,3.20M,,,,-0.60M,6.40M,6.40M,-0.20M,,,,,-20.80M,4.90M,,23.80M,-0.10M,-3.40M,,4.40M,13.20M,-6.00M,,-6.00M,,,0.80M,-5.20M,,,,,,,-1.40M,,,-1.40M,4.20M,6.60M,,10.80M,,,,,,
1999-07,10.30M,,,,-0.60M,6.70M,6.70M,0.00,,,,2.00M,-14.00M,3.80M,,17.80M,2.30M,4.40M,,14.30M,32.70M,-9.00M,,-9.00M,,,0.70M,-8.30M,,-22.50M,,,,,-1.30M,,,-23.80M,3.50M,0.60M,,4.20M,,,,,,
1999-04,8.80M,,,,-5.80M,7.10M,7.10M,1.10M,,,,-0.40M,-25.70M,-9.50M,,28.30M,-0.20M,5.70M,,-1.40M,9.40M,-8.00M,,-8.00M,,,0.80M,-7.20M,,-0.20M,,,,,-1.40M,,,-1.60M,2.80M,0.60M,,3.50M,,,,,,
1999-01,-1.80M,,,,5.10M,6.60M,6.60M,-1.20M,,,,-0.20M,7.90M,2.00M,,-8.00M,-1.50M,-4.70M,,-4.30M,4.20M,-5.10M,,-5.10M,,,0.80M,-4.30M,,1.40M,,,,,-1.30M,,,0.10M,2.80M,0.00,,2.80M,,,,,,
1998-10,2.60M,,,,-0.40M,6.00M,6.00M,-0.20M,,,,-1.40M,-9.30M,4.60M,,-3.00M,,2.40M,,-5.30M,1.30M,-4.80M,,-4.80M,,,0.60M,-4.20M,,4.50M,,,,,-1.30M,,,3.20M,2.60M,0.30M,,2.80M,,,,,,
1998-07,8.00M,,,,0.10M,6.50M,6.50M,0.50M,,,,,-11.50M,-4.30M,,21.80M,4.00M,-2.30M,,7.70M,22.80M,-20.30M,,-20.30M,,-2.00M,,-18.60M,,-4.50M,,,,,-1.30M,,0.60M,-5.20M,0.00,-1.00M,,2.60M,,,,,,
1998-04,3.00M,,,,-0.20M,6.70M,6.70M,2.00M,,,,-0.10M,15.00M,1.90M,,-12.00M,-2.80M,1.70M,,3.80M,15.20M,-6.00M,,-6.00M,,-3.00M,,-9.00M,,-3.90M,,,,,-1.20M,,-0.70M,-5.80M,0.00,0.40M,,0.00,,,,,,
1998-01,-1.00M,,,,-0.30M,6.00M,6.00M,2.30M,,,,0.10M,36.60M,-4.00M,,-46.10M,-0.20M,-8.70M,,-22.40M,-15.30M,-10.60M,,-10.60M,,,,-10.60M,,9.20M,,,,,-1.30M,,0.10M,8.00M,0.00,-17.90M,,0.00,,,,,,
1997-10,5.20M,,,,-0.20M,5.20M,5.20M,1.80M,,,,,-16.00M,8.80M,,20.90M,-0.30M,-9.90M,,3.50M,15.50M,-12.80M,,-12.80M,,,,-12.80M,,-0.50M,,,,,-1.20M,,,-1.70M,20.00M,1.00M,,0.00,,,,,,
