,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2016-03,43.39M,,3.166M,-0.265M,11.62M,87.88M,87.88M,46.66M,-56.12M,3.226M,,-36.50M,-111.75M,7.276M,10.59M,0.365M,,,,-93.52M,6.636M,-149.57M,0.258M,-149.32M,0.00,144.12M,,-5.193M,260.19M,260.19M,0.00,-133.43M,-133.43M,-58.60M,-58.60M,,-25.11M,43.04M,66.53M,44.49M,0.00,111.02M,0.00,1.084B,-823.50M,-133.43M,19.17M,15.26M
2015-12,-23.95M,,29.28M,0.331M,20.94M,90.57M,90.57M,-82.96M,143.55M,8.439M,0.00,-62.77M,170.37M,51.60M,21.60M,-254.87M,,,,-11.30M,82.53M,-202.26M,3.433M,-198.82M,-0.391M,242.91M,,43.69M,58.00M,58.00M,0.00,-261.06M,-261.06M,-59.54M,-59.54M,,-36.82M,-299.42M,239.73M,-173.20M,,66.53M,0.00,530.90M,-472.90M,-261.06M,101.93M,5.834M
2015-09,210.61M,,5.04M,-0.457M,4.583M,87.76M,87.76M,-105.32M,225.45M,7.706M,0.113M,-18.51M,112.11M,-72.56M,-19.00M,-99.55M,,,,-79.00M,333.40M,-156.98M,13.60M,-143.38M,-54.64M,5.965M,,-192.06M,50.00M,50.00M,0.00,-161.63M,-161.63M,-62.18M,-62.18M,,38.85M,-134.97M,233.36M,6.372M,,239.73M,0.00,188.90M,-138.90M,-161.63M,174.40M,15.00M
2015-06,373.19M,,2.745M,0.182M,-0.861M,87.80M,87.80M,51.61M,-135.48M,6.997M,-0.113M,-8.399M,-107.60M,61.24M,-11.51M,6.178M,,,,-51.70M,323.05M,-144.29M,1.418M,-142.88M,0.00,21.59M,,-121.28M,-145.16M,-145.16M,0.00,-265.07M,-265.07M,-62.86M,-62.86M,,-89.42M,-562.50M,594.09M,-360.73M,,233.36M,0.00,100.60M,-245.76M,-265.07M,271.13M,11.09M
2015-03,242.66M,,1.457M,8.557M,10.01M,80.01M,80.01M,-9.47M,-6.546M,7.225M,,-23.92M,75.24M,-74.00M,22.20M,-76.52M,,,,-53.09M,246.89M,-172.62M,0.814M,-171.80M,,59.71M,,-112.10M,23.00M,23.00M,,-55.06M,-55.06M,-62.34M,-62.34M,,-14.29M,-108.69M,567.98M,26.11M,,594.09M,,153.50M,-130.50M,-55.06M,38.98M,14.52M
2014-12,-210.34M,,-11.89M,-0.011M,-11.90M,100.50M,100.50M,-191.49M,397.48M,8.87M,,-55.07M,118.10M,146.86M,-23.23M,-327.09M,,,,-85.37M,-47.34M,-195.69M,1.922M,-193.77M,0.00,149.30M,0.00,-44.47M,16.00M,16.00M,,-25.70M,-25.70M,-161.43M,-161.43M,,-25.11M,-196.24M,856.03M,-288.04M,,567.98M,,103.70M,-87.70M,-25.70M,15.42M,10.04M
2014-09,187.56M,,-12.13M,2.186M,-9.943M,80.94M,80.94M,11.35M,0.00,6.882M,,-23.59M,75.92M,-75.11M,21.55M,-191.10M,,,,-168.75M,84.45M,-124.36M,14.71M,-109.65M,0.00,56.02M,0.00,-53.63M,12.00M,12.00M,,-113.02M,-113.02M,-162.68M,-162.68M,,-29.40M,-293.10M,1.118B,-262.28M,,856.03M,,61.50M,-49.50M,-113.02M,104.35M,14.97M
2014-06,185.15M,,11.03M,1.719M,12.75M,101.39M,101.39M,-7.839M,0.00,7.66M,,-9.909M,-105.72M,85.46M,-6.839M,64.44M,,,,37.34M,326.55M,-120.49M,,-120.49M,,35.88M,3.435M,-81.18M,5.30M,5.30M,,-6.147M,-6.147M,-164.47M,-164.47M,,-36.39M,-201.71M,1.075B,43.67M,,1.118B,,55.80M,-50.50M,-6.147M,117.91M,10.23M
2014-03,163.96M,,-10.55M,1.363M,-7.694M,80.55M,80.55M,-5.679M,0.00,6.186M,,4.924M,114.82M,-236.04M,10.01M,263.89M,,,,152.68M,394.93M,-124.28M,,-124.28M,,9.646M,1.586M,-113.05M,18.51M,18.51M,,-13.99M,-13.99M,-158.61M,-158.61M,,6.742M,-147.35M,940.10M,134.53M,,1.075B,,421.30M,-402.79M,-13.99M,0.233M,20.47M
2013-12,69.79M,,-13.44M,2.014M,5.345M,79.06M,79.06M,67.35M,,10.54M,,-36.38M,6.481M,212.61M,-17.61M,-330.19M,,,,-128.70M,67.01M,-138.94M,2.00M,-136.94M,3.00M,-62.97M,2.30M,-194.61M,-2.00M,-2.00M,0.00,-36.70M,-36.70M,-160.51M,-160.51M,,-27.58M,-226.78M,1.294B,-354.38M,,940.10M,0.00,54.10M,-56.10M,-36.70M,36.26M,8.825M
